-0.0011059+0.0012149i,-0.00089284+0.00016298i,-0.0001888-0.0013653i,0.0001319-0.0010595i,-0.00063514-0.00032667i,-0.001854-0.00022501i,-0.0012885+0.00092097i,0.0006312+0.0017401i,0.0016286+0.0011871i,0.0015859+0.00034735i,0.0015076-0.00063187i,0.0011431-0.001281i,0.00079843-0.0010914i,-2.4333e-05-0.00053335i,-6.0424e-05-0.00019521i,0.00051513-0.00065232i,0.00053764-0.00038322i,0.0005217-0.00013365i,5.9214e-05-0.0010635i,8.6287e-05-0.00045827i,0.0005549+6.787e-05i,0.00020769-3.5703e-05i,-0.00025873+0.00059289i
0.0005288-0.00092295i,0.0002666-0.00028989i,-0.00041224+0.0001232i,-0.00078124-0.00012517i,-0.00097727-0.00068748i,-0.00072508-0.00038847i,3.1392e-05-2.679e-05i,0.00013608+0.00031458i,-0.00012421+4.4341e-05i,0.00015317-0.00026691i,0.00081046+0.00034939i,0.00080075+0.00048049i,0.0006881-0.00048442i,0.00049183-0.00033337i,-1.4596e-05+0.00069087i,-0.00053822+0.00033525i,-0.00041121-0.00032637i,0.00047151-0.00029602i,0.00098385-0.00011743i,0.00039984+0.00027677i,-9.1633e-05+0.0004465i,-0.00013666+0.00066435i,0.00068501+0.0011709i
-0.0028916-0.00062868i,-0.0023687-0.00020688i,-0.0024788+0.00062473i,-0.0018196+0.0015471i,-0.0010143+0.002319i,-0.00053981+0.0016221i,0.00049703+0.00020349i,0.0003542-0.00033098i,-0.0010698+5.0569e-05i,-0.0011704+8.9051e-05i,0.00032044-0.00072725i,0.0011807-0.00096753i,0.00036521-0.00069286i,-0.00034373-0.00060931i,-0.00012403-0.00089803i,0.00072991-0.00050089i,0.00049147+2.6582e-05i,0.00025701-0.00029378i,0.0002722+0.00014369i,-0.00044856+0.00049035i,-0.00059998-0.00063013i,-0.00027563-0.0013157i,-0.00045869-0.00071465i
1.7112e-05-0.0023091i,0.0010134-0.0014891i,0.00030622-0.00076049i,-0.00037355-0.00034829i,-0.00034465+0.00021098i,0.00013215+0.00036238i,0.00038751+0.0003841i,-9.8728e-05-0.00015072i,-0.00023174-0.000862i,9.7885e-05-0.0010695i,-0.00019608-0.00063743i,-0.00090472-0.00020087i,-0.00081817-0.00017787i,-0.00033702-0.00025167i,3.0325e-05-0.00026998i,6.3694e-05+0.00023746i,-0.00017947+0.00058894i,-0.00040235+0.0004828i,-0.00019409+0.00028026i,-0.00029989+0.0005799i,-0.00080554+8.9254e-05i,-0.0006419-0.00069738i,-0.00029159-0.00040029i
0.0017885+0.0010308i,0.00091163+0.00086884i,0.0012983-3.2237e-05i,0.0012508-0.0013529i,0.00039532-0.0015553i,-0.00027768-0.00041571i,-0.00054181+0.00012381i,-0.00058917-0.00059425i,0.00056087-0.00046932i,0.00079809-7.2033e-06i,0.00013116+0.00027948i,0.00011443+0.00069648i,0.00019652+0.00052726i,-0.00046932+0.00063331i,-0.00070052+0.0010143i,-0.00048543+0.00064392i,-0.00057292-7.2823e-05i,-0.00024862-0.00027055i,0.00011167-0.00073907i,0.00034617-0.00053273i,0.00070022-9.5204e-05i,0.00076588-0.00010274i,4.3505e-05+0.00023009i
0.00080947+0.00054008i,0.00084616-0.00020521i,0.0017495-0.00077278i,0.0021088-0.00065318i,0.0012857-0.00051571i,0.00014911-0.00040373i,-0.00024173-0.00023801i,-0.00022417+0.0001614i,2.0071e-05+0.00022731i,-0.0001321+0.00032319i,-0.00028557-0.00018615i,-0.00034425-0.00044586i,-0.00019484-3.7682e-05i,0.00025489+0.00010971i,-0.00052228-0.00020995i,-0.00082191+0.00017661i,-0.00028204+0.00013771i,-0.00029855-0.00053479i,0.00020881-0.00094383i,0.00047395-0.0008691i,0.00033732-0.00019881i,0.00051884+0.00069329i,0.00085822+0.00062083i
-0.0018852-7.3159e-05i,-0.0021318+0.001356i,-0.0018832+0.0020063i,-0.00018197+0.0018297i,0.0012896+0.0010701i,0.0021267+0.00054983i,0.0017504+0.00061161i,0.00052623+0.00030632i,0.00041673-1.5311e-06i,0.00038142-0.00015539i,0.00024727-0.00064994i,0.00011664-0.00095929i,-2.3843e-05-0.00060525i,-0.00047791-0.00017085i,-0.00079061+9.2011e-06i,-0.00034624-0.00047973i,0.00016294-0.00047778i,0.00044405+0.00046633i,0.00019171+0.00079709i,-6.3427e-06+0.00082609i,0.00019192+0.00088139i,0.00036343+0.00037181i,1.3238e-05+0.00046576i
-0.0010464+0.0015893i,0.00019098+0.00085399i,0.0023781+0.00094983i,0.0036461+0.00081608i,0.0036528+4.2962e-05i,0.0016721-0.00065942i,0.00015404-0.00076822i,-1.5857e-05+4.6487e-05i,8.9342e-06+0.00010114i,0.0001998-0.00048363i,1.7975e-06-0.00040913i,1.3081e-05-0.00052362i,-0.0002171-0.00061468i,-0.00068313-0.0006928i,-0.00059096-0.0003924i,-0.00051519+0.00016875i,0.00014566+0.00023574i,0.0012095-0.00016027i,0.00089965-0.00041185i,-4.1006e-05+0.00065409i,0.00012715+0.0013985i,0.00018792+0.0010799i,-0.00013924+0.00095926i
-0.00027755+0.00065863i,-0.00023052+0.00088863i,0.00062354+0.00033696i,0.0012183+0.00024554i,0.00013624+0.00018521i,-0.00022722-1.1298e-05i,-0.00015566+0.00051569i,-9.0121e-05+0.00082942i,0.00054794+0.00051406i,0.00077594-0.00052986i,0.00030788-0.0005379i,-8.5683e-05+0.00025864i,-3.4006e-05+0.00052213i,4.7362e-05+0.00019333i,-0.00017486-6.9628e-05i,-8.0545e-05-0.00023267i,0.00053735-0.00041339i,0.00086638-0.0003045i,0.00095587+2.2836e-05i,0.00066611-0.00018169i,-0.00015968-0.00060486i,0.00011488-0.0003102i,0.00061253+0.00044492i
-0.00098659+0.0011559i,-0.001127+0.00052066i,-0.00014412+0.0013315i,0.00093245+0.0010492i,0.00096856+0.00070713i,3.1475e-05-5.0445e-05i,-0.0003321-0.00013616i,-0.00061916+0.00023114i,-0.00026188+0.00048953i,0.00056082+0.0003903i,0.00057262-0.00053028i,0.00036458-0.0010193i,-0.00013718-0.00051423i,-0.0011161-9.2108e-05i,-0.0010113-0.00048214i,0.00069442-0.00042565i,0.0011306-9.1598e-05i,0.00020922+0.00024741i,-0.00029777+0.00037556i,-0.0004451+0.00046413i,0.00013501+0.00036596i,-3.6066e-05+1.1825e-05i,-0.00025094-0.00032684i
-0.00066343-0.0033178i,-0.0010589-0.0022458i,-0.0017179-0.0010672i,-0.001267+0.00091819i,-0.00046686+0.0017916i,-0.00064252+0.00076835i,-0.00046902+1.9686e-06i,0.00048824-0.00014332i,0.00059806-0.00044639i,0.00073926-0.0005971i,0.0006648+4.3585e-06i,0.00018707+0.00031362i,7.9247e-05-0.00051632i,2.9489e-05-0.001014i,-0.00012673+0.00020291i,-0.00044033+0.00085266i,-0.00023776+0.00026433i,5.8567e-06-0.00032075i,-0.00022288-0.00032456i,-0.00062668-0.00027565i,-0.00067558-0.00053621i,-0.00026396-0.0002331i,-0.00043276+0.00012931i
