-0.0011308+0.00046678i,-0.0015431+0.00047919i,-0.0029799-0.00081804i,-0.003224-0.001495i,-0.0017462-0.0017012i,-0.00020275-0.0014335i,0.00041223+0.000213i,0.00078781+0.0006476i,0.0017413+0.0001887i,0.0016317-9.6499e-05i,0.00054769-0.0011296i,-0.00013671-0.0016232i,0.000112-0.0010848i,0.0001182-0.00062865i,-0.0002871-0.00081432i,-2.5917e-05-0.00036636i,-9.0688e-05+0.00018881i,-0.0001484-0.00052747i,-8.5915e-05-0.00018854i,0.00011764+0.00093918i,0.00017092+0.00078693i,-3.4985e-05+0.00023812i,0.00063684+0.00078193i
-0.0010507-9.3481e-06i,-0.00048626-0.0006129i,0.00044058-0.0011334i,0.0015211-0.00065311i,0.0022034-0.00046852i,0.0017145-0.00071552i,0.0004396-0.00092228i,8.5886e-05-0.0017209i,0.00019381-0.0015649i,-1.8941e-06-0.00051419i,7.9986e-05-0.00029368i,0.000281-0.00016269i,0.00020381+0.00071392i,-0.00031798+0.00089156i,-0.00042684+0.00060624i,0.00043372-0.0002139i,0.00090571-0.00026808i,0.00047948+7.0431e-05i,-0.00021016-0.00058501i,-0.0004492-0.00075835i,-0.00038998-0.00020809i,-0.00059487-5.3472e-05i,-0.00049603+4.4588e-06i
-0.00031046+0.001731i,0.00017796+0.0010925i,0.00085709-0.0013229i,0.0019367-0.0025623i,0.0022483-0.0016813i,0.0015044-0.0015827i,0.001172-0.00066114i,0.0007373+6.8033e-05i,0.0001795+6.6419e-05i,-0.00036032+0.00017198i,-0.0011993-0.00010314i,-0.0012463+0.00028171i,-0.00020988+0.00082493i,0.00046082+0.0012434i,-1.8779e-05+0.001199i,-0.00017414+0.00040446i,0.00032009-0.00026067i,0.00021482-0.00053524i,-0.00011511+0.00013095i,-0.00025372+0.00021415i,-0.00054597+0.00023742i,-0.00020035+0.00052117i,0.0002069+7.6209e-05i
0.0013388+0.0015846i,0.002187+0.0010744i,0.0036908-0.00061552i,0.0029733-0.0018983i,0.0016001-0.002204i,0.0015848-0.0025302i,0.00088568-0.0015486i,-0.00073626-0.00057289i,-0.00053991-0.0002455i,-0.00024867+0.00043281i,-0.00022169+0.00044999i,0.00020341+0.00045044i,0.00063518+0.00040728i,0.00033255-0.00011388i,-0.00016758+0.00015411i,0.00028796+0.00013009i,0.00030965-5.054e-05i,-3.6221e-05-0.00023113i,0.00024136-0.00057262i,0.00022404-0.00075699i,0.00079456-0.0008563i,0.0011427-0.00075675i,0.00039148-0.00047797i
-0.0010352-0.00027166i,-0.0018343-0.00078942i,-0.0023099-0.0013338i,-0.0017866-0.00097935i,-0.00026863-0.0011313i,0.00020244-0.0013173i,0.00040312-0.0016848i,0.00079893-0.0014674i,5.2562e-05-0.00011969i,9.5155e-05+0.00035273i,0.00062401+0.00016246i,0.00012089+0.00010081i,0.00034703+0.00040955i,0.001022+0.00049949i,0.00076912+0.00032069i,-0.00039784+0.0004115i,-0.00069766+0.00058623i,2.7886e-06-0.00032007i,0.00026529-0.0005973i,0.00010316-0.00021278i,-0.00030535-1.7123e-05i,-0.00086273+3.5471e-05i,-0.00094728-3.4188e-06i
0.00033727-0.0016175i,0.00064932-0.0019097i,0.00097909-0.0025036i,0.00070386-0.001618i,-0.00059104-0.00085092i,-0.00026417+4.2691e-05i,0.0011921+0.00031345i,0.0011563-0.00068731i,0.00013913-0.0010074i,0.00011581-0.00018735i,0.00032158+0.00026135i,-0.00030062+0.00029279i,0.00021135+0.00031567i,0.00098652+0.00040832i,0.00082073+0.00025732i,0.00080099-0.00027998i,0.00094444-0.00046995i,0.0005965+0.00016169i,0.00016329+0.00062686i,0.00010683-0.00039712i,0.00012224-0.00048838i,-0.00018065+2.2855e-05i,6.1211e-05-0.000406i
-0.00069191+0.0017058i,-0.00056535+0.0009304i,-0.00044017+0.00019446i,0.00020942-7.1363e-05i,0.00076292-0.0012023i,0.00028078-0.0020151i,-0.00092662-0.0014402i,-0.0010048-0.00046824i,-0.00033823+0.00010898i,-0.00017741+0.00062622i,-0.0001768+0.00041356i,-0.0005543-0.00020768i,-0.00081173-0.00055913i,-0.00084439-0.00040312i,-0.00020212-0.00083651i,0.0007717-0.001065i,0.00065128-0.00024286i,0.00039225+0.00019604i,0.00013144-5.0754e-05i,-0.00020024-0.00017509i,-0.00028716-3.1237e-05i,-0.00027043-7.0021e-05i,9.316e-05-2.174e-05i
-0.00039362-0.0027594i,-0.0012554-0.0019705i,-0.0010872-0.00127i,-2.6167e-05-0.00128i,0.00058203-0.0013443i,0.00079636-0.00047502i,0.0013624+3.4438e-05i,0.00069985-0.00033496i,-0.00059114+2.2019e-05i,-0.00055572+0.00026206i,4.6413e-05-5.9074e-05i,2.8302e-05-2.8845e-05i,-0.00028674+5.9312e-05i,-0.00036572+0.00048114i,-4.8371e-05+0.00078861i,0.00024283+0.00067134i,0.0001718+0.00035937i,3.3329e-05+0.00023646i,-0.00025131+0.00014164i,-0.00094785+0.00037379i,-0.0012602+0.00066345i,-0.000722+0.00064107i,1.6838e-05+0.00071419i
0.001567+0.00097315i,0.0020369+0.0007453i,0.0027827+0.00013428i,0.0027616-0.0012269i,0.0021707-0.0010918i,0.0014014-0.00043112i,0.000636-0.00049095i,0.00064412+0.00017148i,0.00039822+0.00061345i,-0.00019837+0.00034071i,-0.00017881+0.001146i,-0.00039175+0.0012649i,-0.00032126+0.00039186i,-0.00046546+0.00050934i,-0.00058766+0.00040973i,5.1468e-05-0.00034655i,0.00073954-0.00028897i,0.00028298-0.00013589i,0.00010072-0.0002414i,0.00064937-0.00024557i,0.00011738+3.0817e-05i,-0.00060615+0.00057002i,-0.00096557+0.00066118i
-0.00053319-0.00012342i,-0.00070119+0.00020958i,-0.00052436-0.00019227i,0.00055109-1.2703e-05i,0.0015412+4.9622e-05i,0.0012675-0.00016184i,0.0003285-0.0004276i,8.662e-05-0.0006383i,0.00080434+1.2425e-05i,0.00079031+0.00060033i,0.00041179+0.00029223i,0.00023748-3.4072e-05i,4.7386e-05+0.00017737i,-3.8479e-05+0.0001176i,-0.00027731+0.00062344i,-0.00047436+0.0015774i,-3.8679e-05+0.0011889i,0.00015056+0.00053881i,-0.00027237+0.00016527i,0.00023797-0.00010133i,0.00012287+7.6571e-05i,-0.00088935+0.00055987i,-0.0013439+0.00011163i
0.00063418-0.00042115i,-0.00069405-0.0020686i,-0.0010066-0.0037461i,-0.0015657-0.0043113i,-0.00052042-0.0031195i,0.00018271-0.0015427i,0.00011548-0.00065767i,0.00055213-0.00048528i,0.0002243-0.00066847i,-9.2729e-05-0.0003492i,-8.1735e-05-9.5821e-05i,7.3522e-05+0.00023712i,0.00055915+0.0005354i,0.00023728+0.00085173i,-0.00038806+0.00055162i,0.00031148+0.00020522i,0.0013561+0.00060506i,0.00091193+0.00021897i,-0.00025537-8.4992e-05i,-0.00078155+0.00020627i,-0.00056531-9.2897e-05i,2.7442e-05-0.00042596i,-0.00025606-0.00058186i
-0.00052336-0.001514i,-0.00014306-0.002042i,0.00097886-0.0017478i,0.0021656-0.0010677i,0.0018011-0.00010124i,0.001281-0.00032596i,0.00056736-0.00070164i,-0.00032046-0.0010659i,-0.00027976-0.00087926i,0.0003865-0.00050932i,0.00093579-0.0002066i,0.00079104-7.2907e-05i,0.00024334-0.00077441i,-0.00011071-0.0011292i,-0.00039759-0.00064224i,2.0263e-05+7.2329e-05i,0.0009524+0.00056793i,0.00018089+0.00077447i,-0.00057366+0.00015157i,-0.00046041-0.00024039i,-0.00098016+0.0001865i,-0.001348+0.00041485i,-0.00050445+0.00042478i
-8.4348e-05+0.00027154i,0.0010268-0.00041137i,0.00064765+6.692e-05i,-3.2363e-05+0.00076896i,0.00060399+0.00035956i,0.0015083-0.00046141i,0.0015868-0.00060534i,0.00079087+0.00040946i,0.00055153+0.0012235i,0.00086333+0.00053186i,0.00084201-3.8758e-05i,5.0912e-05+0.00030652i,-0.00064275+0.00022138i,-0.00025083-0.00046296i,2.1601e-05-0.00039344i,-0.0003581-0.00045284i,0.00018678-0.0009381i,8.1333e-05-0.00050083i,-0.00021394+0.00013208i,3.2759e-05+0.00036981i,-0.00042696+0.00035327i,-0.00039336+0.00040642i,-0.00041161-0.0002139i
0.00044321+0.00031061i,0.0011195+0.00039318i,0.0015992+0.00028256i,0.0016289-0.00045809i,0.0016733-0.00079434i,0.0011911-0.00038731i,0.0011773-0.00044283i,0.00088865-0.0005307i,0.00021652-0.00029388i,-0.00028277+0.00023543i,0.00036926+0.00037881i,0.00076468+0.00020708i,0.0011294-0.00036803i,0.00092464-0.00077685i,-1.0425e-05-0.00076708i,-0.00014032-0.00041886i,-0.00033173+0.00033635i,-0.00033023+0.00067483i,0.00019483+0.00047892i,-0.00049756+0.0003662i,-0.0014398+0.00048331i,-0.00091382+6.7752e-05i,-3.5642e-05-0.00017061i
0.00065931+0.00085347i,0.0011435+0.00058957i,0.0020473-0.00050843i,0.0024555-0.0014521i,0.001955-0.002959i,0.00059665-0.0033306i,-0.00042532-0.0029984i,-0.00064167-0.0016051i,-0.0009897-0.00042335i,-0.00067357-8.1173e-05i,0.00038776-0.00028082i,0.0011054-0.00039508i,0.001363-0.00035098i,0.0010685-1.9409e-05i,0.00018172-0.00017879i,-0.00021309+1.0424e-05i,2.397e-05+0.00079127i,0.00030159+0.00039122i,0.00056166+9.5848e-05i,0.00039105+2.5989e-06i,0.00015128-0.00050619i,0.00080278-0.00055223i,0.0009112+0.00011416i
0.0022599-0.00030959i,0.0016351-0.001261i,0.0013751-0.0027595i,0.00076856-0.0030148i,-2.9726e-05-0.0013282i,-0.00017446-1.6435e-05i,9.9147e-05-0.0003345i,0.00013068-0.00014253i,0.00021235+0.00014916i,0.00084728-2.4037e-05i,0.00052671-3.2478e-05i,-0.00017669+1.4684e-05i,0.00019294-6.9599e-05i,0.00027571-0.00012627i,0.00014731-7.1792e-06i,0.00042364+0.00047117i,0.00025845+0.00029639i,-0.0002018-0.00029191i,0.00026478-0.00049386i,0.00065411-0.00057161i,0.00018784-0.00027583i,0.00010332-0.00014794i,0.00044865-0.00026874i
0.00081674+7.2249e-05i,0.00053482-3.9897e-05i,0.00036744+5.898e-05i,0.00029506-0.00059304i,0.00020741-0.0013982i,0.00020014-0.0012921i,-0.00043982-0.00089947i,-0.00069212-0.00090668i,4.7246e-06-0.0011741i,0.00068897-0.0013279i,0.00094263-0.00013971i,0.00048508+0.0015775i,-0.00047243+0.0019274i,-0.00066938+0.00088347i,0.00041006-5.9455e-05i,0.00051564+0.00011722i,0.00027113+0.00034641i,0.0008695+2.9022e-05i,0.00063558-0.00010229i,-0.00028823-2.1421e-05i,-0.00031906+1.853e-05i,0.00029521+0.00063158i,0.00024749+0.00030459i
0.00072889-0.00041178i,8.758e-05-0.00095148i,2.6503e-05-0.00063558i,0.0010508-0.00053045i,0.0017195-0.00072684i,0.00092188-0.0012878i,0.00058083-0.0016223i,0.0010642-0.0008541i,0.00076752+0.00028492i,0.00060558+0.00049808i,0.00093521+0.00036127i,0.0006922-0.00028335i,-0.00031055-0.00091656i,-0.0010781-0.00042296i,-0.00029051+0.00068658i,0.00015735+0.00043122i,-0.0007555-0.00030221i,-0.0010714-0.00013796i,-0.00082637+0.00030285i,-0.00029512+0.0011134i,-6.7827e-05+0.0011133i,-0.0001451-0.00021171i,0.00038026-0.00084422i
-0.00048582-0.0010892i,-0.0011758-0.0017362i,-0.0002284-0.0021397i,6.7184e-05-0.0025573i,0.00040787-0.0021635i,0.0019715-0.0010309i,0.0024937-0.00072124i,0.001433-0.00048717i,0.00086126-0.00015377i,0.00066729+0.0001225i,0.00089745+0.00037708i,0.0012644+0.00036869i,0.00064028+4.0581e-05i,-0.00050237-0.00027733i,-0.00039441-0.0010745i,-0.00072644-0.00094264i,-0.0011256-0.0001896i,0.00052262+0.00030183i,0.001311+0.00031771i,0.00093287+0.00025799i,0.00049333+0.00029788i,0.0003378-0.00018052i,-0.00029396-0.00027045i
