-0.0018592+0.0006001i,-0.00047604+0.0018248i,-0.0016517+0.0012712i,-0.0032971-0.00039187i,-0.0027066-0.00080224i,-0.0014632+3.4878e-05i,-0.0001372+0.00077742i,0.00072206+0.0015537i,0.00056027+0.0014098i,0.0006402+0.00063441i,0.00050315-0.00039141i,-0.00032794-0.00084763i,3.7977e-05-0.00094626i,0.00045001-0.0010669i,9.1844e-05-0.00074129i,-0.00049403-0.00037327i,-0.00039851+0.00018941i,0.00057743+0.00043759i,0.0010339+0.00034749i,0.00074266+0.00062689i,0.00060437+0.0010163i,0.00047056+0.0010019i,-0.00020545+0.00062546i
-0.00092015-0.0015462i,-0.0021624-0.0012993i,-0.0022824-0.0013677i,-0.0017952-0.001324i,-0.0017668+8.8596e-05i,-0.00078745+0.00080624i,-0.00034056+0.00054949i,-0.00066929+0.00083176i,-0.00047855+0.0013425i,-8.0357e-05+0.0010146i,-2.982e-05+0.00057999i,0.00052415+0.00061173i,0.0010393+0.00037173i,0.00056234+0.0003039i,0.00014449-9.2244e-05i,0.00027207-0.00071244i,-7.5125e-05-0.00052726i,-7.9846e-05-0.00032582i,-7.2823e-05-0.00018524i,-0.00039367+0.00018006i,-0.00066931+0.0006576i,-0.00061638+0.00097395i,0.00040581+0.00021269i
0.00024555-0.0012373i,0.00016722-0.0014193i,0.00033639-0.0010612i,0.00032704-0.0003277i,-0.00068744-0.00084589i,-0.0010423-0.0016476i,-0.00042626-0.0016895i,-5.7421e-05-0.00103i,-0.00037242-1.1984e-05i,-0.0009559+0.00052758i,-0.0009883+0.00046477i,-0.00030915+0.00043763i,6.7304e-05+0.00056971i,0.00048116+0.00014441i,0.00076885-0.00067133i,-8.6131e-05-0.00017231i,-0.00057402+0.00032534i,-0.00022232-0.00042921i,0.00064334-0.00044013i,0.00031689+0.00017156i,-0.00028688+0.0004824i,-8.8636e-05+0.00021261i,0.00029876-0.00030405i
0.0012125+0.00088594i,0.00076853+0.0011656i,0.0016241-0.00024189i,0.001495-0.0020377i,0.00029796-0.0025127i,-0.00045278-0.0014144i,-0.00013077-0.0011172i,-0.00011009-0.00026893i,-0.00063025+0.00072972i,-0.00028645+0.000874i,-0.00044137+0.0011334i,-0.00023798+0.00028448i,0.00010983-0.000758i,-0.00032925-0.00047221i,-0.00062511-0.00031155i,-0.00082907-0.00012788i,-0.00070013+3.5272e-05i,-0.00099645+0.00016655i,-0.00057191+0.00038084i,0.00054276+0.00016513i,0.00072287+0.00022988i,0.00047612+0.00044702i,0.00057671-0.0001191i
0.0017453-0.00064899i,0.0011837+0.00043849i,0.00099268-0.00099232i,-0.00016992-0.0031046i,-0.0011367-0.0027342i,-0.00089829-0.00082446i,-0.00084769-2.1647e-06i,-0.00012689+0.0001433i,0.00018143+0.00042213i,-0.00030924+0.00053194i,-0.00011708+0.00052822i,0.00038894+0.00012113i,0.0005192+0.00024016i,0.00053077+0.0011099i,0.00031643+0.00092063i,0.00023563-0.00013093i,-7.85e-05-0.00032137i,-0.00061735+0.00039151i,-0.00031125+0.00060878i,-0.00056148+0.00014451i,-0.00063218-0.00040409i,-0.00083193-0.00053006i,-0.00032827-0.00032689i
0.00082562-0.0009704i,0.0006656-0.0014317i,0.00091086-0.001365i,0.00062898-0.00096435i,0.00035615-0.001383i,0.0001879-0.0013897i,-0.00022115-0.00091535i,3.8349e-05-0.00022922i,0.00089034+0.00065888i,0.00098537+0.0010468i,0.00054828+0.00048611i,0.00045595-0.00018807i,0.0004544-0.00061475i,0.00041091-0.0011472i,8.9655e-05-0.0018347i,0.00012734-0.0012662i,-0.00024678-0.00029251i,-0.00045118-0.00019292i,-0.00018766-0.0004941i,-0.00061417-9.4566e-05i,-0.00079198+0.00090651i,-0.0012659+0.00048309i,-0.0018335-0.00036228i
-0.0005805-0.0013818i,-0.00089102-0.00069631i,-0.0017643-0.0010533i,-0.0018368-0.0013892i,-0.0010615-0.00043102i,2.4558e-05-0.00021587i,0.00041885-0.00092185i,0.00070194-0.00074232i,0.00076059+0.00010173i,0.0003334+0.000319i,0.00026973-0.00018778i,0.00039198-0.00058319i,2.6821e-05-0.0007607i,-5.7578e-05-0.00052199i,0.00020558-0.00062355i,0.00044191-0.00079081i,0.00057852-0.00034699i,9.0008e-05-0.00049337i,-0.00046949-0.0010238i,-0.0002987-0.00066572i,0.0001628-1.5117e-05i,-0.00044838+0.00034287i,-0.0010005+0.00029787i
0.0001758+0.0024228i,0.00057388+0.0025554i,0.0012794+0.0015511i,0.0010023+0.00065086i,2.7407e-05-0.00031153i,-0.00037403-0.0012087i,-0.00095864-0.0014877i,-0.0009133-0.0007043i,-3.8171e-05+0.00044431i,0.00031917+0.00043727i,0.00071395+0.00012517i,0.00091669+3.5947e-05i,-0.0001172-0.0001213i,-0.00031322-0.00031368i,-0.00029146-0.0003672i,-0.001044-0.00021903i,-0.0011918+6.7271e-05i,-0.00074306+1.1585e-05i,-0.00033989-0.00023541i,0.00010213-0.00033445i,-5.5056e-06+0.00029672i,6.3904e-06+0.00025632i,1.147e-05-0.00036542i
-0.0013169+0.00057819i,-0.0023772-5.2776e-05i,-0.0011761-0.0012599i,-0.00038224-0.0017369i,-0.00012675-0.0018275i,0.00043574-0.0014003i,0.00021906-0.00027661i,8.4597e-05+0.00020056i,0.0003389+0.00061405i,0.00014018+0.00083183i,4.3638e-05+6.511e-05i,1.2076e-05-0.00020524i,0.00038747-0.0001298i,0.00089835-0.0001588i,0.00097939-0.00053654i,0.0013056-0.00091051i,0.0010488-0.00068874i,0.0006791-6.1627e-05i,0.00076605+0.00083501i,0.00049322+0.00050297i,0.00017738+0.00063596i,0.00014178+0.0014485i,-0.00030463+0.0011638i
-0.00041628-0.001128i,-7.1215e-05-0.00038366i,0.00072232+0.00037443i,0.0014441+0.00033583i,0.00076611-0.00035677i,-0.0004444-0.00042067i,-0.0011024-3.3452e-05i,-0.0013745+0.00047728i,-0.0010143+0.00073338i,-0.00049154+0.00060662i,0.00017742-0.00024701i,0.00056284-0.00098701i,0.00065926-0.00066007i,0.0010832-0.00046003i,0.0014584-0.00054211i,0.0011997-0.00017543i,0.00056941-8.9512e-05i,0.00033482-0.00019065i,0.00055983+0.00012265i,0.00045815+0.00023321i,-8.9081e-05+0.00017226i,-0.00015949+0.00011365i,0.00044055+0.00030378i
9.6714e-05-0.00096125i,0.00083398-0.0012033i,0.0011588-0.0013613i,-0.00017235-0.0019592i,-0.00091109-0.0026307i,-0.00047937-0.0018704i,0.00026336-0.00072102i,0.00023652+0.00035614i,-0.00029583+0.001085i,-0.00017126+0.0010679i,0.00094101+0.00063241i,0.0012268-0.00040583i,0.0007259-0.00052956i,0.00056438-0.00024657i,0.00035735-0.00019698i,-0.00011789-0.00029017i,-0.00072251-0.000957i,-0.00074318-0.0007715i,-0.00068177+0.00070566i,-0.00032328+0.0016182i,6.6618e-05+0.0011878i,-1.956e-05-4.7083e-05i,0.00031267-0.00050653i
-0.00097334-0.0012402i,-0.00041493-1.0661e-05i,-0.00041676-0.00016591i,-0.001532-0.0010721i,-0.0016467-0.0010389i,-0.00012897-4.4648e-05i,0.00026889-0.00082839i,-0.00015151-0.0016332i,-0.00058399-0.0001172i,0.00030604+0.0011716i,0.00095389+0.0010003i,0.00023293+6.0567e-05i,0.00023523-0.0010355i,0.00076586-0.00086212i,0.0002926-5.0014e-05i,-1.3274e-05+0.00010203i,0.00043809+0.00032943i,9.3049e-05+0.00074979i,-0.00033042+0.0001099i,-9.4639e-05-0.00018636i,0.00021208+5.0796e-05i,0.00041393+0.0003236i,-0.00020089+0.00016407i
-0.0010283+0.0010395i,-0.00014983+0.0010838i,0.00064014+0.00025159i,0.00043123-0.00025202i,-0.00027169-0.00089439i,0.00029243-0.0015592i,0.00086052-0.00088702i,-0.00023956-0.00016257i,-0.00063912+0.00048041i,0.00022235+5.8066e-05i,0.00067123-7.1423e-05i,0.00045146+0.00069373i,-0.00030418+0.00038017i,-0.0003612-0.00050057i,0.00040524+3.6122e-06i,0.00035304+0.00098698i,-0.00078757+0.00048932i,-0.00073283+0.00032443i,-0.00014057+0.00048831i,0.00026117-0.00024025i,0.00015236-0.00014239i,-0.00056155+0.00035122i,-0.00043569+6.0895e-05i
0.0016523+0.00011154i,0.0013489-0.00021448i,0.0013694-0.00090139i,0.00019923-0.0015754i,-0.00090493-0.0024052i,-0.00081031-0.0020677i,-0.00044789-0.00055089i,0.00020766+0.00029721i,0.00056508-0.00040865i,0.00015951-0.00072555i,-0.00074521-0.00017177i,-0.00094078-0.00052749i,-7.43e-05-0.00072341i,0.0003446+7.7773e-05i,0.00040057+0.00039326i,0.00039651+0.0001042i,0.00021121-0.00028611i,4.6914e-05+1.5048e-06i,0.00041354+0.00016141i,0.00088942-2.491e-05i,0.0012663+0.00037715i,0.00042859-0.00025434i,-0.00049453-0.0003957i
