-0.00021825+0.0011908i,-0.00044829+0.002127i,-0.0017713+0.0013479i,-0.0027996+1.6931e-05i,-0.0021338+0.0010918i,-0.0012977+0.0027891i,0.00011899+0.0017282i,0.001211+0.00060724i,0.0010084+0.00046706i,0.00059739-0.0002065i,0.00011433-0.00059014i,-0.00038336-0.00018194i,-0.00056501+0.00017169i,-0.00048235+0.00037524i,-0.00052838+0.00068222i,-0.00075324+0.0013029i,-0.00026802+0.0010675i,0.00022583+0.00048637i,0.00023591+0.00039392i,0.00020352+0.00024277i,-3.7286e-05-5.2325e-05i,-0.00054404-0.00039762i,-0.00064852-0.00038911i
-0.00066721+0.00096922i,-0.0014954+0.00051657i,-0.00066221+7.8201e-05i,0.0013857+0.00070806i,0.0019975+0.0015133i,0.0012754+0.00044187i,0.00046854+1.3416e-05i,-0.00016552+0.00022616i,-0.00013814-8.1646e-05i,0.00044363-8.2764e-05i,0.0009765-0.00040408i,0.0010845-0.00054222i,0.00047877-0.00050163i,-0.00010413+0.000279i,-0.00078815+0.00038949i,-0.00056448-0.00059498i,-0.00025059-8.2191e-05i,-0.00057481+0.00023211i,-0.00027335+3.2527e-05i,0.0003226+0.00043382i,-2.8216e-05+0.0003265i,-0.00043488-0.00013601i,-0.00084203-0.00042074i
-7.6278e-05-0.0018602i,-0.00054189-0.0021282i,-0.0016281-0.0011541i,-0.00099787+0.00059708i,0.00045673+0.0020877i,9.992e-05+0.001816i,-0.00094806+0.00094876i,-0.0012341+0.00058889i,-0.00071723-0.00013809i,-0.00029047-0.00021186i,-0.00063179-0.00039459i,-0.00090992-0.00057527i,-0.00047887-0.00064093i,0.00038322-0.00051877i,0.00083659-0.00025038i,0.0010488-1.3446e-05i,0.00046564+0.00055786i,-3.184e-05+0.00012228i,0.00019644-7.3742e-05i,0.00019135-7.2806e-05i,0.00012324-0.00026168i,0.00022237-0.00050927i,9.7396e-05-0.00052152i
-0.0010877+0.00078025i,-0.0015722+0.0009983i,-0.0013495+0.00077229i,-0.0010259+0.0013364i,-0.00052539+0.0016118i,0.00013651+0.00073842i,0.00023364-0.0002832i,-0.00030605-0.00041499i,-0.00062011-1.4703e-05i,-7.5913e-05-0.0001026i,6.517e-05-0.00021836i,-0.00010288+0.00047083i,9.6226e-05+0.00040127i,-8.8009e-05-9.12e-05i,-0.00055777-0.0002994i,-0.00053635-0.00076175i,-5.299e-05-0.00088496i,0.00032406-0.00040523i,0.00041157-0.00026677i,0.00032257-7.2445e-05i,0.00018922+0.00023247i,-0.00026916-1.5096e-05i,-0.0004137-0.00057355i
-0.0008298+9.3662e-05i,-0.0010812+0.00018012i,-0.00065397+0.00033149i,-0.00022547+7.3757e-06i,-0.00090343+0.00036217i,-0.0010377+8.4357e-05i,-0.00010603-0.0010001i,0.00034863-0.00065125i,-0.00012437+0.00063927i,-0.00081726+0.00015086i,-0.001185-0.00092865i,-0.00053543-0.00011218i,-0.00014187+0.00086064i,0.00022245+0.00016965i,0.0001753-0.000516i,-9.0812e-05-0.00020669i,-0.00014567-0.00052261i,-2.6451e-06-0.0001343i,0.00031043+0.00045553i,-2.2255e-05-0.00010745i,-0.00063704-7.5617e-05i,-0.00046572+0.0004175i,-0.00041913+0.00032657i
-0.0018522-0.001399i,-0.0019536+7.1255e-05i,-0.0029701+0.0018917i,-0.0024094+0.0029588i,-0.00045883+0.0034141i,-0.00025645+0.0027692i,-0.0010339+0.001754i,-0.00080628+0.0011306i,-0.00098234+0.00087074i,-0.0010359+0.00073289i,-1.5471e-05+0.00058778i,0.00017529-2.7313e-05i,8.437e-05-0.00082237i,0.0003619-0.00073026i,0.00071171-0.00044921i,0.00046642+0.00021565i,0.00087308+0.00075025i,0.00098116+0.00088152i,0.00041117+0.00092705i,0.00057789+0.00055192i,0.00066042+0.00024551i,0.00037635-0.00032262i,-0.00023546-0.00084599i
-0.00034373-0.0011292i,-0.00016341-0.00091984i,0.00019045-0.00070446i,0.00089879-0.00087595i,0.0010211-0.00086353i,0.00058549-0.00065891i,-0.00047274-0.00056057i,-0.00095994-0.00022105i,-5.4933e-05-0.0002733i,0.00034193-0.00011688i,-2.9941e-05-0.00013618i,-0.0004337-0.00047969i,-0.00028524-0.00098673i,-0.00034305-0.00072984i,-0.00026878-0.00013887i,-6.5962e-05+0.00024395i,-0.00030075+0.00023366i,-0.00073484+0.00018129i,-0.00069794+0.00029246i,-0.00028968-0.0002155i,0.00020881-0.00092831i,0.00039861-0.00041056i,0.0005021+7.4119e-05i
0.00126+0.00039206i,0.0011369-0.00059433i,0.00019315-0.00088995i,-9.4752e-05-8.1376e-05i,0.00020749+0.00046058i,0.0002649+0.0011368i,-0.00016606+0.00082944i,-0.00049133+0.00011427i,-0.00037606+0.00046978i,0.00013446+0.00041193i,0.00010409-0.00017756i,-0.00029091-0.00087883i,0.00017212-0.00046334i,0.00091397+0.0005601i,0.00019789+0.0007397i,-0.00028124+0.0011183i,0.00071187+0.00055532i,0.0013495-0.00040503i,0.0015922-0.00092971i,0.0017157-0.0003498i,0.0010406+4.9116e-05i,0.00048596-9.5821e-05i,8.5081e-05-0.00028111i
9.0267e-05+0.00011275i,0.0011762+0.0005353i,0.0010297+0.00088602i,0.00012726+0.0019399i,-0.00029833+0.0020162i,0.00017439+0.001328i,0.00017556+0.00072712i,-0.00028479+0.00067419i,-0.00076276+0.00053515i,-0.00047059-0.00058288i,6.6783e-05-0.0011263i,-0.00025618-0.0008356i,-0.0010593-0.0004449i,-0.0013307+9.4588e-06i,-0.0011723-2.0898e-05i,-0.00075957-0.00051774i,-0.00020762+0.00040251i,0.00035148+0.001244i,0.00046785+0.0011247i,-0.00023123+0.00098095i,-0.00073822+0.00087622i,-0.00037517+0.00067205i,-0.00048782+0.00043275i
-0.0003162-0.00046113i,-0.00024741-0.0014948i,-0.00096934-0.00090983i,-0.0020484-0.00058031i,-0.0016813+0.00021624i,-0.0015246+0.0013259i,-0.0013272+0.00064421i,-0.00080934+9.0372e-05i,-0.0010672+0.00011068i,-0.0012995-1.8429e-05i,-0.00067397+8.7104e-05i,-0.00054427+0.00068754i,3.9579e-05+0.00099846i,0.00036122+0.001067i,0.00042658+0.00059022i,0.00036784-0.00025436i,0.00039747+5.0523e-05i,-8.9477e-05+0.00040286i,-0.00087305-4.6697e-06i,-0.00076129-0.00073942i,-0.00042516-0.0012206i,-7.5778e-05-0.0009027i,0.00020298-6.0555e-05i
0.001274-0.0015235i,0.00071334-0.0022962i,0.0003011-0.0021044i,9.0117e-05-0.0016726i,-0.00011675-0.0012655i,-0.00060879-0.00021677i,-0.0003439+0.00035081i,-0.00015922+0.00025192i,5.9349e-05-0.00033475i,0.00014939-0.00059124i,-0.00046395+0.00032826i,-0.00074034+0.0008425i,-0.00085966+0.00069096i,-0.00060843+0.00071978i,-0.00020894+0.00063674i,0.00015592+0.00033132i,0.00027314+0.00024548i,0.00053952+0.00069216i,0.00058925+0.00088199i,0.00016103+0.00042101i,0.00017145-0.00037493i,0.00025833-0.00033527i,0.00032591+0.00023712i
0.0019557+0.00010282i,0.0017511+5.6065e-05i,0.00075328+6.4586e-05i,-2.5973e-05+0.00041943i,-0.00042094+0.00025496i,-0.00030845+0.00051857i,-0.00044559+0.00024816i,-0.00033689-0.00035765i,-0.00021375-0.00024135i,-0.0003853+0.00033404i,-0.00062091+0.00064943i,-0.00047641+0.00039846i,-0.00059977+4.1204e-05i,-0.00081654-1.0607e-05i,-0.00085779+0.00034257i,-0.00053784+0.00065337i,-0.00051751+0.00060365i,-0.00055887+0.00043638i,-4.0307e-05+0.00015476i,-0.0003893-0.00049446i,-0.0009838-0.00045336i,-0.00091206+0.00062142i,-0.00018905+0.001092i
-0.0020045+0.00037406i,-0.0036901+0.00063393i,-0.0038264+0.0017388i,-0.0013569+0.0020166i,0.00064358+0.0020822i,0.001605+0.0017768i,0.001184+0.0011013i,8.1013e-05+0.00018502i,1.706e-05-0.00027761i,0.00038329-0.00035678i,5.7477e-05-0.00075438i,-7.5669e-05-0.00046624i,0.00039189+0.00011009i,0.00076225+0.00025268i,0.00049468+6.8676e-05i,0.00022821-0.00047276i,0.00067196-0.00050235i,0.00029413-2.2137e-05i,-9.0062e-05+0.00080824i,0.00087193+0.00068878i,0.0016571+0.00023701i,0.00045872+0.00039718i,-0.00022684+0.00017456i
