0.0020595-0.0010935i,0.0013602-0.0013615i,0.00034072-0.0032038i,-0.00080662-0.0037606i,-0.0017493-0.0025007i,-0.0023792+0.00022086i,-0.0011607+0.0016137i,0.00048917+0.002257i,0.0012167+0.0019907i,0.0016431+0.00065014i,0.0013175-0.00035366i,-2.8403e-05-0.00040316i,-0.00042993-5.6776e-06i,-0.00018862+0.00070897i,0.00016853+0.00086948i,0.00041536+0.00054441i,0.00040991-0.00013525i,0.00030289-0.00080733i,0.00063471-0.0004309i,0.00049165+0.0001228i,-0.00017098+0.00050194i,-0.00044804+0.00047427i,-0.0010021-2.565e-05i
-0.0010113-0.0008068i,-0.001613-0.00099956i,-0.0010702+0.00080319i,-0.0010099+0.0018537i,-0.0012114+0.00096404i,-0.0007357+0.00030063i,-0.00025318+0.00028192i,0.00024329+5.5711e-05i,0.00022753+0.0001508i,0.00043595+0.00056458i,0.00069758+0.00051837i,0.00017617-3.4883e-05i,-0.00027308-0.00027492i,-0.00019428-0.00029786i,0.00022243-0.0002818i,0.00038548+0.00034883i,4.9337e-05+0.00088652i,0.00025708+0.00041934i,0.0004114+4.8954e-05i,-8.1174e-05+0.0001372i,7.894e-06+9.728e-05i,0.00059432-0.00055861i,0.00046539+2.7446e-07i
-0.00068847-0.0017725i,-0.0011165-0.0017392i,-0.00054837-0.00057412i,-0.00015087+0.00038224i,-0.00048396+0.00030074i,-0.00053924+1.5908e-05i,-0.00093875+7.678e-05i,-0.0010248+0.00023076i,-0.00042073+0.00049466i,0.00011554+0.00041707i,-0.00022733-0.00022948i,-0.00050088-0.00032621i,4.01e-05+0.00025352i,-3.6533e-05+3.9638e-05i,-9.9005e-05-8.3908e-06i,-1.6172e-05+0.00019677i,-0.00038586+0.0006293i,-0.00041449+0.00049456i,0.00015221-0.00017259i,0.00021037-0.00070204i,-0.00035662-0.00078328i,-0.00098988-1.8212e-05i,-0.0010372+0.0003085i
-0.00026555+6.2853e-06i,-0.0011712-6.4033e-05i,-0.0014342+0.00030829i,-0.0014146+0.00077486i,-0.00049702+0.00077843i,0.00015009+0.00070908i,0.00028589-0.00019401i,0.00059211-0.00072985i,0.00067099-0.00057775i,0.00048664-4.4721e-05i,0.0002562-3.032e-05i,0.0005853-0.00020204i,0.00064277+0.00023752i,0.00031249+0.00079282i,-0.00027856+0.00046064i,-4.0005e-05+0.00053523i,0.00032557+0.0011382i,0.00041199+0.00058367i,-0.00042535-6.4443e-05i,-0.00089135-0.00075718i,0.00012608-0.00028412i,0.00079909+0.00077336i,0.00053335+0.00098765i
-7.4676e-05+7.4985e-05i,0.0011359-0.00047472i,0.00041614-0.00033207i,-0.00042606+0.00012466i,-0.0001447+0.00022277i,0.0004848-2.1258e-05i,0.0011761-0.00031118i,0.001733+0.00017127i,0.00074594+1.8113e-05i,5.5419e-05-0.00043375i,0.00054616-0.0003569i,-2.4468e-05+0.0001135i,-0.0008017+0.00023504i,-0.00042045-0.00016007i,-0.00012956-0.00049589i,-0.00018452-0.00076112i,-0.00011118-0.00043197i,4.1162e-05-0.00044221i,-0.00024869-0.0001062i,-0.00069974+0.00074919i,-0.00039789+0.00044337i,-0.00017165-0.00011877i,0.0002155-0.00025092i
0.00045138+0.0012692i,0.00050832+0.0022339i,0.00094985+0.0026894i,0.0020346+0.0013795i,0.00093602-0.00026997i,-0.00057022-0.00093589i,-0.00032862-3.4617e-05i,0.00024812+0.0013094i,0.00015825+0.0013136i,-0.0001453+0.00059806i,-0.00034994+9.1765e-08i,-0.00022639-0.00056077i,0.00027671-0.00028439i,0.00050849-0.00046634i,0.00062939-0.00083168i,0.00060321+0.00013673i,0.00052118+0.00092774i,0.00040396+0.00078658i,2.9042e-06+0.00023399i,-0.00044357-0.00022649i,-0.00072328-0.00058049i,-5.3141e-05-0.00057614i,0.00054421-0.00027885i
-0.00037497-0.00099522i,0.00036313-0.0027656i,2.4161e-05-0.0030992i,-0.0011563-0.0011305i,-0.00090152+0.00059557i,0.00052945+8.8305e-05i,0.0008678-0.00053776i,0.00019272-0.00013648i,-0.00070651+0.00074028i,-0.0011049+0.0010382i,-0.00031875+4.6509e-05i,0.00017651-0.00039136i,-0.00074397+0.00046808i,-0.00064574+0.00015042i,0.00062269-0.00032412i,0.0013398+0.00056516i,0.0011185+0.00055082i,0.00098747+0.00032311i,0.00021711+0.00053767i,-0.00013128-0.00018856i,-0.00035221-0.00060167i,-0.0004052-0.00085558i,-0.0002562-0.00095492i
-0.00011412-0.00017744i,0.00042653-0.00059956i,-0.00048589-0.00069622i,-0.00070873-0.00027652i,-0.00075762-0.00041592i,-0.00040772-0.00042358i,0.001156+0.00013474i,0.0014678-5.541e-05i,0.00078666-0.00050479i,0.00066302+0.00049971i,-4.5656e-05+0.0012012i,-0.000968+0.00067833i,-0.0013155-0.00011921i,-0.00093669-0.00043652i,-0.00049991+0.00036276i,-0.00082603+0.00080532i,-0.00026808+0.0001049i,0.00058317-0.0004899i,0.00024597-0.00085666i,-0.00058049-0.00062096i,-0.00032059+7.762e-05i,-0.00012028+0.00024819i,-0.00046365+0.000419i
4.2124e-05+0.00026091i,-0.00056542+9.8223e-05i,-0.00046643-0.00012077i,-0.00011253-4.3893e-05i,-0.00059001+0.00071695i,-0.0009136+0.0012788i,-0.000341+0.00068259i,0.00050385+7.3163e-05i,0.00029344+0.00018922i,-0.00020712-0.00038589i,9.5592e-05-0.0003644i,0.00056499+0.00037319i,0.00053414-5.8266e-05i,-7.2178e-05-7.2139e-05i,-0.00051977+0.00060879i,-0.00036045+0.00040584i,0.0001395-6.5441e-05i,-0.000193-0.00075852i,-0.00043195-0.0010429i,-0.00090164-0.00047854i,-0.0016263-5.6844e-05i,-0.0013622-0.0001579i,-0.00069127-0.00044386i
-0.0021382-0.0013464i,-0.0033398-0.00056989i,-0.0025646-0.0010268i,-0.0015997-0.00030344i,-0.0017323+0.00094706i,-0.0012644+0.00087624i,-0.00032723+0.0003907i,0.00051915+2.1085e-05i,0.00061981-0.00065282i,-9.6956e-05-0.0011311i,3.6283e-05-0.00068443i,0.00029862-0.00031879i,0.00018739-0.00063356i,0.0001862-0.00080601i,0.00054582-0.00078497i,0.0004204-0.00044736i,8.4677e-05+0.00070392i,0.0001802+0.0014405i,0.00017458+0.00074406i,-0.00017178-0.00039046i,-0.00027445-0.00082469i,-0.00032879-0.00033781i,-0.00042188+0.00019139i
-0.00050179-0.0023939i,0.00011256-0.0023238i,0.00054198-0.002364i,0.00061537-0.0024351i,1.4035e-05-0.0020116i,-0.0006512-0.00093016i,-0.00065053+2.9474e-05i,-0.00026713-0.00037866i,1.4316e-05-0.00062628i,-0.00038622-0.00051286i,-0.00030326-0.0001533i,0.00089697+0.00046001i,0.0012605+0.00020393i,0.00036489+0.00014728i,-9.9977e-05+0.00026906i,0.00047964-0.0004306i,0.00048356-0.00057922i,-0.00023927+2.9384e-05i,-0.0003612+2.745e-05i,-0.00014549-7.5932e-05i,1.7355e-05-6.3782e-05i,9.3746e-06-0.00030447i,0.00023393-0.00049721i
0.00082723-0.0015233i,0.0014592-0.0011555i,0.00051446-0.00080779i,-0.0014122-0.0013301i,-0.0015139-0.0013229i,-0.0010084-0.00032581i,-0.0009723+0.00044434i,-0.00071528-0.00015334i,-0.00070448-0.00088975i,-0.0011842-0.00048225i,-0.00078875-0.00080134i,0.00019505-0.0008893i,-0.00028848-0.00021932i,-0.00127-0.00038539i,-0.0013064-0.001391i,-0.001017-0.0014755i,-6.2257e-06-0.00075127i,0.00056794-0.00020084i,-7.3243e-05-0.00035088i,-4.3073e-05-0.00079839i,0.00010865-0.00039631i,0.00016672+0.00028822i,0.00022143+0.00011885i
0.00096043-0.0020722i,0.0010129-0.0016612i,0.00062456-0.0017728i,5.5061e-05-0.0014265i,3.2343e-06-0.00048458i,0.00028912+0.00021966i,-7.2868e-05+4.3865e-05i,0.00035081-0.00044338i,0.00042309+4.9886e-05i,4.4427e-05+0.0012882i,-0.00048016+0.00071173i,-0.00063535-0.00025144i,-0.00055418-0.00064768i,6.5214e-05-0.00033541i,-3.863e-06+0.0002893i,-0.00058601+0.00014598i,8.0062e-05-0.00090325i,0.00033101-0.0011629i,-0.00025733-5.5196e-05i,-0.0005578+0.00049093i,-0.0012929-0.0001455i,-0.00091522-0.00025416i,0.00023982+4.334e-05i
-0.00020438-0.00031437i,-0.0002131+0.00049978i,-0.00050359+0.00021021i,-0.00048762-4.8216e-05i,-0.00049332-0.00016089i,-0.00022336+0.00060769i,2.8593e-05+0.0011921i,-0.00012944+0.00035185i,0.00048816+0.00020306i,0.0012141-2.6856e-05i,0.0010737-0.00047216i,0.00082226-0.00016884i,0.00020298+0.0002842i,-0.001111+0.00084559i,-0.00084908+0.00033177i,0.00046369+6.2796e-05i,0.00011515+0.00030434i,-0.00031332+9.6511e-05i,-0.00026921+0.00064488i,-0.00021141+0.00092863i,-0.00045992+0.00059212i,-0.00063087+0.00017699i,-0.00061021-6.378e-05i
0.0013879+0.00028144i,0.00087974+0.00075014i,-3.5222e-05-0.00028379i,-0.00097497-0.0010823i,-0.0020086-0.00099357i,-0.0020204-0.00093763i,-0.0012738-0.00022563i,-0.00049299+8.3966e-05i,0.0009136+6.8328e-05i,0.00094492-0.00036707i,0.00030516-0.00078092i,0.00042069-0.00050911i,0.00062852-0.00016229i,0.00012499+0.00019377i,-0.00046083+1.2378e-05i,5.4968e-05-0.0002292i,0.00066753+0.00015427i,0.00066094+0.00012008i,0.00056234-0.0010067i,3.23e-05-0.00084504i,-0.00043374+0.00045749i,-0.00042656+0.00038383i,-0.00064957+0.00012378i
-2.8782e-05-0.00055817i,0.00032606-0.0013522i,0.00073315-0.0014236i,0.0015052-0.00073074i,0.00089414-0.00043647i,-0.00057205-0.00085461i,-0.00071606-0.00022231i,-0.00030596+7.575e-05i,-0.00042359-0.0006884i,-0.00024483-0.00021469i,-0.00040616+0.00027059i,-0.0003836-0.00022648i,-0.0001427-0.00035116i,-0.00016716-0.00034898i,-0.00024439+2.4332e-05i,-3.5381e-05+0.00032055i,-8.2286e-05-0.00045583i,-0.0003291-0.00040783i,-1.2788e-05-0.00021852i,-1.0463e-05+0.00041773i,-0.00053131+0.00046801i,-0.00013374-0.00038305i,0.0008341-0.00026804i
-0.00023844-0.00014287i,-0.00056265-0.00034588i,-0.0003686+0.00052115i,0.0010615+0.0015106i,0.0017768+0.0019545i,0.00137+0.0011463i,0.00090787+0.00062453i,-2.3587e-05+0.0007178i,-0.00070333+0.0003453i,-0.00034845+0.00010003i,-0.00057836-0.000187i,-0.00069123-0.00031056i,-0.00052268+0.00027337i,-0.00075456+0.00052226i,-0.00050086+0.00086649i,-0.0004536+0.00063709i,-0.00018293+0.00039618i,6.8637e-05+9.0954e-05i,0.00022679-0.00018872i,-0.00020916+6.1825e-05i,-0.00066532-0.00063294i,-0.00023466-0.0010121i,-0.00015332-0.00079036i
-0.0025367-0.0016158i,-0.0027144+0.00018568i,-0.0022003+0.0018573i,-0.00085115+0.0014901i,0.00032934+0.00062095i,0.0002853+0.00015951i,0.00033082+8.5621e-06i,0.00059244-0.00018952i,0.00053225-0.00035917i,6.7337e-05+0.00063043i,0.00054371+0.0016158i,0.0014988+0.00097802i,0.0010996+0.00013871i,0.0005086-0.0005046i,0.00036518-0.00053107i,1.5928e-05+0.00043654i,-0.00063443+0.00048688i,-0.00057833+0.00033076i,-0.0010268+0.00014916i,-0.001114-0.00049069i,-0.0005454-0.00071665i,-0.00028373-0.00028238i,-9.0866e-05-0.00023283i
-0.00033825+0.0015303i,-0.00027918+0.0010541i,0.00061646+0.0006036i,0.0017147-9.8379e-05i,0.00079152-0.0011405i,-0.00068119-0.00066607i,-0.00088381+1.2164e-05i,-0.00012795+4.0806e-05i,0.00053047+0.00033015i,0.00051892+0.00022733i,-7.1424e-05-0.00026052i,-0.00083248-3.7705e-05i,-0.00097733+0.00066113i,-0.0005659+0.00061979i,0.00010645+0.00020126i,2.1936e-05+0.00013506i,0.00074505-0.00013447i,0.00092831+0.0005119i,0.00045617+0.00041636i,0.00040934-5.3214e-05i,0.00065437+0.00018015i,0.00083711-0.00072107i,-0.00015176-0.0015941i
-0.0028244-0.00060899i,-0.0024848-0.00044269i,-0.0017655+7.9439e-05i,-0.0012205-0.00066462i,-2.8215e-05-0.00089245i,0.0006741-0.00074734i,0.00051334-0.00073016i,0.00080935-0.00055798i,0.0011367+0.00022086i,0.0012849+0.00092422i,0.00075367+0.00072789i,0.00029749+0.00053473i,0.0010691+0.00060771i,0.001121+0.00041526i,0.00053582+0.00013203i,-0.0001239-0.00099802i,-0.00069663-0.0011318i,-0.0005153-0.00045344i,-0.00059571-0.00025733i,-0.00035002-0.0003607i,-0.00036147-8.2378e-05i,-0.00075746-0.00032026i,-0.00079565+0.00019825i
-0.00043646+0.00086128i,-0.00086501-0.00028299i,0.00078855-0.00089452i,0.00086226-7.6281e-06i,0.00041105-0.00017551i,0.0002285-0.00047778i,-0.00013235-8.8761e-05i,-0.00030696+0.00013058i,0.00016646+4.5203e-05i,0.00090729-0.00030794i,0.00079721-0.00067972i,0.00052183-0.00059741i,0.00026684-0.00027041i,0.00046442-0.00085916i,0.00018435-0.00073118i,-0.00014221+0.00020955i,0.00048075+0.00074301i,0.00019664+0.00060791i,-0.00034605-0.00025265i,0.00015025-0.000826i,0.00044033-0.000228i,0.00048086-0.00031856i,0.00067193-0.00074003i
-0.0012314-0.001649i,-0.0011492-0.0016448i,-0.0017312-0.00011474i,-0.002224+0.001521i,-0.0017646+0.0019819i,-0.00074434+0.0015451i,-0.00044449+0.00055982i,-0.00021222-0.00023203i,0.00026128-0.00092233i,0.00024621-0.0014045i,-0.00048639-0.0011567i,-0.00035637-0.00031008i,0.0004599-0.00066797i,0.00032762-0.00069657i,-2.6342e-05+0.00024938i,-0.00032427+0.00015243i,-0.00014032-0.0001219i,-7.7325e-05-0.00013848i,-0.000334-0.00018384i,-0.00027701-4.8729e-05i,8.9675e-05-0.00019455i,5.0095e-05-0.00019493i,-0.00028678+0.00045534i
-0.00014456+0.00030768i,0.0007916-0.00010905i,0.0012944-0.0010248i,0.00071574-0.0019043i,0.00034717-0.0015987i,8.2481e-05-0.0003834i,7.7412e-05+0.00013133i,0.00065737-0.00020666i,0.00029085-0.00056948i,-0.0011646-0.00097428i,-0.0014644-0.00066845i,-0.0010732-0.00050111i,-0.00068428-0.00071836i,-0.00020695-0.00066667i,0.00022952-0.00032983i,0.00071307-0.00015022i,0.00076457-0.00021029i,0.00010749-0.00047426i,-9.5094e-05-0.00048175i,0.00028921-0.0004032i,0.00017908-3.5544e-06i,-0.00028872+0.0003074i,-0.00022533+0.00029827i
0.0014153+0.00071385i,0.00058205+0.00057258i,0.00049603+0.001355i,0.00070348+0.0011994i,-0.00049405-5.2607e-05i,-0.0013105+1.0751e-05i,-0.00036121+0.00058747i,0.00072902+0.00068547i,0.00063476+0.00061029i,0.00017551-5.1497e-05i,-0.00029004-0.00013269i,-0.00037977+4.9412e-05i,-0.00014131+0.00016972i,-0.00030644+4.2734e-05i,-0.00039984-0.00068493i,-1.0521e-05-0.00039213i,0.00083026-0.00022482i,0.0011014-0.00042699i,0.00066967-0.00028978i,-3.8629e-05-0.00073908i,-0.00054416-0.00025947i,-0.00031133+0.00019558i,-2.6572e-05-0.00010775i
0.00032222-0.00039801i,0.00020992-0.00050936i,0.001033-0.0014215i,0.0013531-0.0014911i,0.00054428-0.00071243i,-0.00014327-0.00041459i,-0.00042656+0.00019345i,-0.00034074+0.00033041i,-9.7528e-06+0.00078i,0.00061748+0.00044465i,0.00034188-0.00061252i,-0.0003231-0.00085033i,-4.1555e-06-0.00031305i,0.00014135+0.00032773i,-0.00029215+0.0010448i,-0.00046235+6.3458e-05i,-0.00013657-0.0016607i,0.00029455-0.00097107i,0.00073022-0.00010122i,0.0010354+0.00039177i,0.00010719+0.00085727i,-0.00046665+0.00068722i,-0.00021687+0.00023209i
