-0.0005322-0.00050621i,-0.0004167-0.0010116i,-0.0014835-0.0010857i,-0.0015501-0.00064749i,-0.00078505-1.2524e-05i,0.00015062+0.0012428i,0.00060562+0.0015481i,0.00083687+0.0015908i,0.00084315+0.00098385i,0.0003325-0.00030314i,0.00035452-0.0011332i,0.00054239-0.0011902i,0.00020038-0.00023068i,0.00056267+0.00022461i,0.00093162+3.0451e-05i,-0.00012008+0.00023933i,-0.00054175-0.00012797i,0.00017809-0.00050016i,0.00068706-0.00060423i,0.00088238-0.00098713i,0.0012302-0.0012704i,0.00077279-0.0017192i,6.9093e-05-0.001361i
-0.0018909-0.0013014i,-0.0013523-0.0017197i,-0.0018963-0.0015195i,-0.0014306+0.0013974i,-0.00031677+0.0025951i,0.00091863+0.0018616i,0.00089886+0.00076665i,0.00014662-0.00048593i,-0.001112-0.00037268i,-0.0016798+0.00069708i,-0.0006509+0.00093801i,0.00080731+0.00099837i,0.00064179+0.0010405i,-0.00046386+0.0010712i,-0.00048705+0.00039767i,0.00034661+0.00021006i,0.00033139+0.00063711i,-9.3979e-05+0.00029944i,0.00053371-0.0009356i,0.0007963-0.0010322i,0.00039793-0.00010926i,0.00014047+0.00021219i,-4.8551e-05+0.00060417i
-0.00015469+0.0014714i,0.00076967+0.0018708i,0.0011821+0.00090615i,0.00050642+0.00073229i,0.00020131+0.000787i,0.0014663+0.00072438i,0.0013704+0.0009126i,0.00045924+0.00030204i,-8.3585e-05-0.00019296i,-0.00034253-0.00042499i,0.00027534-0.00032857i,0.00058088+3.8152e-05i,0.00021918+5.5635e-05i,-3.507e-05-2.5509e-05i,-0.00064642-7.1769e-05i,-0.00067925-0.0002188i,0.00035677-0.00024156i,0.00063322-0.0005943i,0.00055528-0.0010433i,0.00044121-0.00029973i,-0.00014111-0.0002777i,-0.00016594-0.00073834i,0.00034565-0.00051756i
0.0003062-0.003165i,5.9586e-05-0.0028696i,0.00027381-0.0016478i,-2.2116e-05+0.00079281i,-0.00014035+0.0018437i,0.00049929+0.0017311i,0.001177+0.0010974i,0.00073966+0.00078872i,6.5539e-05+3.3227e-05i,-0.00047902-0.00042901i,-0.00079765+5.2652e-05i,-0.00089589+5.3286e-05i,-0.00089246-0.00069509i,-0.00053044-0.00049832i,0.00048867+0.0001332i,0.00099048+4.5269e-05i,-0.00015723-5.8655e-05i,-0.0011869+0.00041181i,-0.00095249+0.00077033i,-1.2759e-05+0.0001747i,4.7431e-05-4.2011e-05i,-0.00055195-0.00032406i,-0.00034221-0.00053624i
0.00011275+0.0017034i,-0.00037647+0.0022673i,-0.00097683+0.0022649i,-0.0001803+0.001465i,0.00038621+0.0012398i,0.00069238+0.00068149i,0.0010214+0.00040918i,0.00080629+0.00052252i,0.000116+0.00018833i,-0.00043264+0.00020018i,-1.9519e-05-2.7342e-05i,-3.5424e-05-9.0907e-05i,-0.0006351-9.6221e-06i,-0.00029858+0.00010928i,4.1087e-05+0.00032466i,-6.5735e-05-0.00025506i,0.00016412-0.00053882i,-5.6723e-05-0.000187i,-0.00042342+0.00054317i,-0.00079438+0.00052493i,-0.0003754-0.00024827i,0.00050537-0.00076371i,0.00056607-6.5616e-05i
-0.00061742-0.0013245i,-0.0013288-0.0021127i,-0.0010254-0.0015923i,-0.00021852+0.0001457i,3.0504e-05+0.00080928i,0.00025403+0.00043958i,0.00022303+0.00014942i,-0.00030063-0.00048945i,2.3027e-05+3.5476e-05i,-0.00062252+0.00098621i,-0.00053626+0.00078567i,0.00048384+0.00040579i,0.00027232-0.00022207i,7.2224e-05+8.0826e-05i,-0.00017453+0.00077768i,-0.00065324+0.001264i,-0.00087634+0.00060779i,-0.0010284-0.00065206i,-0.0014333-0.00090885i,-0.0006438-0.00036482i,0.00064231+0.0005595i,0.00029346+0.00084202i,0.00010048+0.00010477i
-0.0006547-0.0010437i,0.00041076+6.8793e-05i,0.00016159+0.0011675i,-0.00092708+0.00071531i,-0.00098865+9.1401e-05i,0.0010395+0.00048109i,0.0022696+0.00043971i,0.0017132+0.00014609i,0.0007367+0.00021617i,0.00034788+0.00082192i,-0.00049634+0.00084947i,-0.00044731+0.00024927i,-0.00032104+0.00043741i,-0.00037021+0.00067255i,7.4191e-05+0.00037994i,0.00027731+0.000191i,0.0002504-2.2604e-05i,0.0001116-4.2888e-05i,0.00019202+0.00038841i,0.00082327+0.00069339i,0.00094378+0.00048233i,-3.7971e-05+0.00039412i,-0.00038526+2.9427e-05i
0.0011883+0.0011526i,-0.0001124-0.00033771i,0.0002274-0.0016758i,0.00082424-0.0012179i,0.00027962-0.00084036i,-0.00057292-0.0013224i,-8.9385e-05-0.001153i,0.00042538-0.00028165i,-0.00095449+0.00043603i,-0.0018608+0.00026392i,-0.00083293+0.00016838i,-0.00048055-9.6132e-05i,-0.00063335+9.7886e-05i,-0.00030719+0.00012165i,0.00041229-0.00012761i,0.00091009-0.00029196i,0.00068329-0.0010831i,0.00042245-0.0013081i,0.00019668-0.00089469i,0.00054085-0.00023054i,0.00061878+0.00045115i,0.00014785+0.00039452i,-0.00015982+6.5634e-05i
-0.00068312-0.00053027i,-0.00024321+3.7056e-05i,-0.00024734+0.00026193i,-0.00064485+0.00045294i,-0.0007259+0.00065512i,1.056e-05+9.1511e-05i,0.00059133+0.00018675i,0.00034338+0.00029828i,-8.476e-05+0.00013424i,-3.9466e-05+0.00066018i,-0.00047384+0.00061958i,-0.00032909+0.00028488i,-0.00011218-0.00050979i,0.00043365-0.001408i,0.0005245-0.0013052i,0.00027166-7.7339e-05i,9.7766e-05+0.00035024i,-0.00029838-0.00015206i,-0.00040963-4.1836e-05i,-0.00059015-5.0088e-05i,-9.7094e-05+5.1005e-05i,-5.03e-05-7.3593e-05i,-0.00030189-0.00010049i
-0.0006228-0.0014734i,-0.00064256-0.00056323i,-0.0015653+0.00041225i,-0.00080488+0.00082719i,6.3121e-05+0.00093946i,0.00048897-0.00025611i,0.0012736-0.00030713i,0.0013555+7.3981e-05i,3.1743e-05-7.4787e-05i,-0.00043266+0.00087058i,-0.00014+0.00098702i,0.00022764+0.00029316i,0.00022977+0.00060081i,7.1116e-05+0.00091026i,0.00043185+0.00085798i,0.00040783+0.00020571i,0.00020612-0.00043873i,3.8671e-05-0.00043357i,6.2043e-05-0.00020626i,0.00043882+0.00031813i,0.00085478+0.00021719i,0.00072861+0.00018058i,9.5998e-05+0.00042881i
-0.00057929-0.00047075i,0.00031143-0.0005077i,0.00013476-0.00022233i,-5.7712e-05+0.00015958i,-2.2827e-05+0.0011525i,0.00040238+0.0017172i,0.00088089+0.0012785i,0.00075317+0.00068966i,5.7075e-05-0.00039041i,8.3683e-07-0.00019276i,0.00050934+0.0012544i,0.00044627+0.0016565i,0.0002541+0.0009652i,0.00039506+0.00018553i,0.0011228-3.0303e-06i,0.0010997+0.00026326i,0.00016131+0.00020504i,5.9115e-05+5.6299e-05i,-7.8198e-05+0.00016068i,6.1234e-05+2.1949e-05i,0.0009825+0.00027125i,0.0010488-0.00028211i,0.00045068-0.00071083i
