-3.5677e-05+0.0013153i,-0.00023628-0.00032178i,-0.0025402-0.001061i,-0.0027904-0.00061503i,-0.0021889-0.00050355i,-0.0024998+0.00064063i,-0.0025475+0.0019632i,-0.00086147+0.0018353i,0.0010824+0.00012505i,0.0013662-0.00067632i,0.00038415-0.00011811i,-0.00022657-0.00021349i,-0.00014021-0.00089969i,-8.6766e-05-0.00079316i,7.1936e-06-0.00015929i,0.00052133-0.00031287i,0.00085521-0.00031616i,0.001084-1.1316e-05i,0.00090711-2.863e-05i,0.00019587+0.0001269i,-0.00041783+0.00035349i,-0.00059497-0.0001517i,-0.00083385-8.1649e-06i
0.00060418+0.0013994i,0.0018224+0.0021698i,0.0027586+0.0017001i,0.0028996+8.0123e-05i,0.0021868+0.00035681i,0.00010537+0.00066065i,-0.00033063+0.00048246i,0.00026275+0.00041452i,6.4606e-06+9.4932e-05i,0.00020618-5.3911e-05i,0.00020208+0.00059763i,0.00073243+0.00057778i,0.0012494-5.648e-05i,-3.2688e-05+8.9987e-05i,-0.0008686+0.00022241i,-0.00051725+0.00024539i,-8.2621e-05+0.00044633i,-0.0001293+0.0005935i,0.00026156+0.00033165i,0.00017812-0.00012959i,-0.00061153-0.00035605i,-0.0014431-0.00029839i,-0.00098492-0.00041287i
-0.0010666+0.0002069i,-0.00065184-0.00012611i,0.0005727-0.00030739i,0.0011369+8.7926e-05i,0.00039254-7.2872e-06i,-0.00092714-0.00021112i,-0.00083545-0.00026306i,-0.00049267-0.0012017i,-4.0977e-05-0.001484i,0.00097653-0.0007107i,0.0012492-5.5705e-05i,0.0011077+0.0010293i,0.00083545+0.00076269i,0.00038319-0.00032146i,-0.00027452-0.00090467i,-0.00066117-0.00092804i,-0.00027943-0.00047708i,-0.00025735-0.00031108i,-2.9058e-07+4.9751e-05i,0.00025063+0.00031013i,-4.6316e-05-1.0422e-05i,0.00023873-0.00063624i,0.00064211-0.0003083i
0.0012141-0.00031581i,0.0019008+0.0013041i,0.0012972+0.0019732i,0.0002731+0.00093987i,0.00010954+0.00064445i,-5.715e-05+0.00067745i,-9.5226e-06-7.9666e-05i,0.00053738-0.00054578i,0.00072404-0.0010411i,-0.00033048-0.0010558i,-0.00071032+7.7237e-05i,-0.00052543+0.0011457i,-0.0005913+0.0012497i,-0.00018285+0.00073723i,-0.0001604+0.00069899i,0.00020969+0.00068451i,0.00057572+0.00028757i,0.00029412+0.00037819i,0.0002298+7.4468e-05i,0.00036661-0.00036156i,7.0001e-06-0.00074946i,0.00012526-0.0007265i,9.4406e-05-0.00050138i
0.001925+0.0010992i,0.0016796+0.00077469i,0.0014467+0.00065712i,0.0017219-0.00049567i,0.0016605-0.00067448i,0.00045634+0.00043234i,-0.00062959+0.0017212i,-0.00087923+0.0014936i,-0.00027434+0.0005658i,-0.00069595+0.00023865i,-0.0011376+2.0505e-05i,-0.00010871+6.9187e-05i,0.00071282+0.00018417i,0.00093669+0.00044806i,0.0009167+0.00083228i,0.00053097+0.0010731i,0.0008966+0.00071775i,0.00079442+0.00047839i,0.00028706+0.0004311i,0.00014049-0.00010745i,-0.00018442+6.4826e-05i,-0.00026189+0.00033041i,-0.00029064-4.6787e-05i
0.00030869+0.00070778i,-6.4975e-05+0.00039643i,0.00080021+0.0011897i,0.0021964+0.0022544i,0.0015826+0.0022502i,0.00032376+0.0012795i,3.3603e-05+0.00018801i,-0.00013476-0.00048246i,0.0004173-0.0006886i,0.00069112-6.5682e-05i,-7.5648e-05+0.00086168i,-0.00033935+0.0011159i,0.00036661+0.00097867i,0.0004084+0.0004498i,-0.00069472-0.00015164i,-0.0010592-6.7568e-06i,-0.0005111+0.00012238i,-0.00031072+0.00011966i,6.3779e-05+0.00078925i,0.00057557+0.00048067i,0.00044332-0.00044708i,0.00038371-0.00085493i,-0.0002186-0.00011856i
0.00023607-0.0023345i,0.00071837-0.002722i,0.00093439-0.0034257i,-0.00045388-0.0030438i,-0.0016222-0.0022642i,-0.001243-0.00051371i,-0.00038618+0.0008528i,8.4763e-05+0.0010885i,-4.0796e-05+0.00019261i,-0.00027844-0.00059194i,-0.00055805-0.00053206i,-0.00069848+0.00044931i,-0.00039371+0.00067287i,-0.00050597+0.00017554i,-0.0005181-3.5027e-05i,4.4512e-05+0.00023343i,0.00015687+0.0004i,-0.00034224+0.00048771i,-0.00024993+0.00021875i,-0.00015951+0.00032233i,-0.00018247+0.00019024i,-0.00013112-0.00053957i,-0.00041555-0.00042376i
-0.00091949-0.00078984i,-0.001376-2.3751e-05i,-0.00099164+0.0021983i,-0.00028646+0.0019989i,-0.00036308+0.00056774i,-0.0010706+0.00025142i,-0.00048261+0.00050097i,0.00028097-0.00012733i,0.00054506-0.00087213i,0.0003101+6.1071e-05i,-0.00032476+0.00072409i,-0.00070439+0.00020222i,-0.00045763-0.00033686i,0.00053809-9.7072e-05i,0.00068445-0.00016079i,2.7341e-05+0.00012214i,-0.0001729+0.00097681i,-0.00018003+0.0018748i,-0.00023451+0.0010329i,-0.00017418-0.00076302i,-0.00020643-0.00088483i,-0.00049369+6.0344e-05i,-0.00038024+0.00081469i
0.0013836-0.00039488i,0.00079175-0.00010994i,0.0016626-0.00047316i,0.002225-0.00018069i,0.0011569+0.00051557i,0.00031341+0.00047117i,0.00026544+0.00022291i,-0.00026306+0.00031746i,-0.0004715+0.00021053i,0.0004086-5.8473e-05i,-2.6996e-05+0.00081916i,-0.00045411+0.00084174i,-0.00020534-0.00048968i,-0.00016032-0.00082497i,-0.00081022-0.0002917i,-0.0010273+6.5186e-05i,5.2676e-05-1.2857e-05i,0.00076094+0.00042039i,0.00078848+0.00069575i,0.0010286+0.00046771i,0.00050731+7.76e-05i,-0.00037724-0.00089488i,-0.00033283-0.00079781i
-0.0026466+0.00045441i,-0.0023973+0.00077551i,-0.0020367+0.0015142i,-0.0013586+0.0019212i,-0.00021373+0.0017481i,0.00031513+0.0010218i,0.00020222+0.00024886i,0.00011101+0.00027054i,-0.00050861-0.00013104i,-0.00049657-0.0006925i,-0.00075451+0.00019396i,-0.00069661+0.00062083i,2.9354e-05-1.2991e-05i,-0.00020913+0.00033591i,-0.0013016+0.00031647i,-0.00098894-0.00020248i,-0.00060262+6.4453e-05i,-0.00024986-0.00054442i,0.00018796-0.00079163i,-0.00075284-0.00060196i,-0.00078422-0.0008035i,-0.00052265+3.1863e-05i,-0.00018827+0.00037854i
0.00088282-0.0001599i,0.00094337+0.00018283i,0.00068255-3.7202e-05i,-0.00034292+0.00034623i,-0.0014197+9.1437e-05i,-0.00086617-0.00041617i,0.00040445-0.00016868i,0.00090017-0.00066121i,0.00051848-0.00086176i,-0.00038905-0.00035733i,-0.0011776+0.0002076i,-0.00087555+0.00017127i,-0.00029158-9.5588e-05i,-0.00010689-0.00055583i,-0.00054434-0.00024683i,-0.00032694+0.00022363i,-1.8549e-05-0.00037088i,-0.00051722-0.00022579i,-0.00075238+0.00062872i,-0.00085042+0.00077759i,-6.2021e-05+6.7922e-05i,0.00084135-0.00026968i,0.00089783+0.00024694i
