-0.0081252-0.00096619i,-0.0049866-0.00024612i,-0.0038753+0.0027397i,-0.0023725+0.0040737i,-0.00060753+0.0030287i,0.00051731+0.0013226i,0.00023301+0.00066629i,5.3191e-05+0.00090787i,0.00055324+0.0010848i,0.0013602+0.0013316i,0.0022229+0.00068456i,0.0028531+6.3123e-05i,0.00188+0.00031978i,0.00059128+0.00016995i,-3.7685e-05-0.00024382i,0.00038597+0.00059053i,0.00076963+0.00085615i,0.00084202-0.00032213i,0.00075517-0.00070107i,-0.00035394-0.00051466i,-0.00066007-0.00061499i,0.00017119-0.00035988i,0.00076255+0.0003413i
0.00014204+0.0013635i,0.001143+0.0010078i,0.0013966+6.8587e-06i,0.0012572-0.00015383i,0.00095883-0.00089921i,0.0012722-0.0024761i,0.0013973-0.0021638i,0.00085511-0.0011082i,0.00052346-0.00019272i,1.0494e-05-2.1572e-05i,2.5748e-05-0.00014951i,-0.00035611+0.00018094i,-0.00089968-9.6974e-05i,-0.0004187-0.00022292i,-0.00044048+0.00049934i,-0.00070978+0.00043867i,-0.0001875+0.00014195i,6.7633e-06-0.00030657i,-0.00032314-0.00070902i,-0.00059758-0.00018723i,-0.00073323-0.00047171i,-0.00044449-0.0007866i,-7.2086e-05-0.00031497i
0.002129-0.0013592i,0.0018783-0.00058199i,0.00070963-0.0011694i,0.00042097-0.0013472i,-0.00049365-0.0011069i,-0.0013173-0.0010801i,-0.001102-0.00084793i,-0.00097916-0.00046781i,-0.00059894-0.00032184i,-0.0003981+0.00024294i,-0.00080925+0.00079051i,-0.0011334+0.00037707i,-0.00090238+0.00031863i,-0.00054272+7.0185e-05i,-0.00049384-0.00017403i,-7.4171e-05+0.00034982i,-7.0036e-05+0.0011473i,-0.0001937+0.00066546i,0.00044729+6.7103e-05i,-1.6778e-05+0.00084701i,-0.00063235+0.0006592i,-0.00012781+2.0239e-05i,0.00024834-8.9114e-05i
-0.00082166+0.00054539i,-0.0013187+0.00039528i,-0.0012033-0.0008403i,-0.00065397-0.0020551i,3.2858e-05-0.0014952i,-0.00019463-0.00085869i,6.3427e-05-0.00057219i,0.0013091-0.00035191i,0.00093586-0.00015774i,-5.2774e-06+0.00047241i,0.00070699+0.00092013i,0.0013602+0.00089918i,0.0011748+0.00081423i,0.00087195+0.00029424i,0.00012846+0.00017256i,-0.00043421+0.00047536i,-0.00012412+0.00080444i,2.825e-05+0.00069129i,0.00029516+0.00025627i,-7.5767e-05+0.00010073i,-0.00039489-0.00063371i,-0.00026826-0.00054821i,0.00026041+0.00010798i
-0.0018559-0.001609i,-0.0018462-0.0002821i,-0.00036268+0.0004796i,0.00074617+0.00013658i,0.001334-0.0012371i,0.0011973-0.0024723i,0.00064703-0.0022958i,0.00040202-0.0015587i,3.8667e-05-0.00085224i,0.00011365-0.0006429i,0.00058899-7.9921e-05i,0.00076636+0.00063546i,0.0008679+0.00026989i,4.0231e-06+0.00046008i,-0.00027797+0.00069997i,0.00061458+0.00028099i,0.00082736-7.8904e-05i,0.00029566-0.00040019i,6.9605e-05-0.00024322i,-1.2898e-05+3.293e-06i,-0.00012017-0.00011154i,-0.00019949+0.00014202i,7.7858e-05+0.00022919i
0.000138-0.00085444i,0.00030917+3.9404e-05i,-5.7746e-05+0.00025059i,-0.00038397-1.9235e-05i,-0.000521-0.0010486i,-0.00068576-0.002505i,-0.00077476-0.0020292i,-0.00033953-0.00059434i,-0.00028299-0.00026039i,-6.3381e-05-2.1945e-06i,0.0002991+3.2861e-05i,0.00090066-0.0004985i,0.00095356-9.3793e-05i,0.00026398+0.00026114i,0.00015722-0.00011033i,2.599e-05-0.00033923i,-2.5175e-05-0.0001386i,4.5345e-05+0.00057873i,0.00041207+0.00074472i,0.00059272+5.3462e-05i,0.00031574+2.3222e-05i,-0.00011232+0.0010646i,4.482e-05+0.0013411i
0.0010214+0.0021931i,0.0020632+0.001104i,0.0023658+0.00065568i,0.0021253-0.0007936i,0.0011001-0.0022453i,-0.00045117-0.0019287i,-0.00082405-0.00077733i,3.4034e-05-0.00012255i,0.00035227+0.00038977i,-0.0002617+0.00032279i,-0.00017541+0.0001054i,0.00060547+0.00025456i,0.00079732+0.0006261i,0.00030848+0.00065559i,-3.5096e-05-0.00061189i,-0.00019677-0.0009744i,-0.00046315-0.00025221i,-0.0010324-0.00013773i,-0.0010208-0.00072941i,-0.00045901-0.0012783i,-0.00048593-0.00070695i,-0.000831+9.1401e-05i,-0.0014181-4.374e-05i
-5.169e-05-0.00037641i,0.0001348-0.0014541i,8.1681e-07-0.0025549i,-0.00027098-0.0028469i,-0.00011593-0.0022405i,0.00049072-0.0018825i,0.00034685-0.0018698i,-0.00019564-0.0011926i,-0.00035533-0.00078863i,-0.00059332-0.00019199i,-0.0001989+0.001055i,0.0003198+0.0013445i,0.00017612+0.0012665i,0.00015051+0.0010793i,0.00053377+0.00038956i,5.8787e-05+0.00043591i,0.00015237+0.0007849i,0.00023364+0.00082243i,-0.00057041+0.00081192i,-0.00018144+0.0003699i,0.00031324-8.7285e-05i,-0.00026257+0.00018077i,-0.00035267+0.00068273i
-0.0012292+0.0012804i,-0.0014361+0.00078709i,-0.0014193+0.00079575i,-0.0012152+0.00022137i,-0.00086707-0.00052017i,-6.8564e-05-0.0012566i,0.00036616-0.0014983i,0.00020665-0.00021947i,0.00012009+0.00088814i,1.1381e-05+0.00066877i,-7.6626e-05+0.00053115i,7.647e-05+0.00027052i,0.00070582-0.00015042i,0.0013208-0.00072634i,0.0011976-0.00051822i,0.00095923+0.00039249i,0.00026722+0.0015425i,-0.00019231+0.0013405i,-0.00010441+0.0008971i,-0.00017701+0.00061528i,4.7207e-05+0.00014933i,0.00016737+0.00015609i,-0.00018042+4.5936e-05i
0.00068256-9.2543e-05i,0.0013733-0.00067938i,0.001528-0.00077264i,0.00057364+3.9049e-05i,-0.00058601-0.00031193i,-0.00064197-0.0016023i,-0.00035249-0.0015039i,-4.785e-05-0.00054878i,-0.00048285-0.00042074i,-0.0012724-0.00047709i,-0.0014957+4.0807e-07i,-0.00066782+0.00027653i,-0.00033717+0.0005941i,-0.00061469+0.00086086i,-3.8412e-05+5.4643e-05i,0.00045134-0.00088613i,0.00018563-0.00038744i,8.503e-05+0.00046389i,0.00021373+0.00093379i,-0.00024496+0.00024885i,-0.0008152-0.00072796i,-0.00068146-0.00084808i,-9.7767e-05-0.0007941i
0.00085252+0.0015213i,0.0002296+0.0004348i,0.00079076-0.00024298i,0.0014954-0.00079747i,0.00081905-0.0011223i,0.00031238-0.0013826i,0.00028807-0.0010318i,-0.00013796-0.00083598i,-0.00070231-0.00044128i,-0.0017483+6.4068e-05i,-0.0015084+0.00033686i,-0.00074295+8.067e-05i,-0.00042086-0.00048378i,-0.00015812-0.0011487i,-9.4613e-06-0.00087321i,5.7272e-06-0.00010668i,-0.00043893+1.7096e-05i,-0.00022383+0.00041667i,6.0969e-05+0.00052277i,0.00010806-0.00020243i,0.0006432-0.00023494i,0.0011067-0.00030953i,0.00071682-0.00036772i
