-0.0012317+0.0020751i,-0.00032044+0.0017222i,-0.0011332+0.00082264i,-0.00096915+0.00061071i,-0.0011767+0.0015206i,-0.0013465+0.001739i,-0.00093305+0.0019905i,0.00040465+0.0015282i,0.0013272+0.0010307i,0.00087816+0.00090033i,0.00021366+0.0006928i,0.0002158+0.00038527i,0.00043316-0.00018003i,0.00094758-0.00048336i,0.00085198-0.0005103i,0.00039101-0.00029491i,0.00015106+0.00038811i,0.00022429+0.00047557i,0.00060922+0.00041554i,0.00048972+0.0005707i,0.00050513+0.00032656i,3.3251e-07-0.00055498i,-0.00080161-0.00055327i
-0.0018439+0.00057945i,-0.0018169-0.00029111i,-0.0017035+0.00075061i,-0.0013206+0.00060053i,-6.2197e-05-0.00078584i,0.00028636-0.00037155i,-0.00058535+0.0010291i,-0.0010977+0.0010702i,-0.00016261+0.00049406i,0.0010805+0.0005556i,0.0012911+0.00097513i,0.00081268+0.00070466i,0.00086008+0.00028146i,8.2525e-05+0.00065249i,-0.0005472+0.00041217i,0.00086924+4.9499e-05i,0.001211+0.00013269i,0.00036666-0.00015394i,-9.0736e-05-0.00044136i,-0.00064203+0.00016801i,-0.00063281+0.00054689i,-0.00075907+0.00021862i,-0.00054647-0.00018715i
0.001159-0.0015142i,0.00044095-0.0021408i,-0.00056524-0.0020494i,-0.00060836-0.0022391i,-2.307e-05-0.0018357i,-0.00044825-0.0007424i,7.2714e-05-0.00014159i,-0.00022689+0.00040491i,0.00017273+0.00023734i,0.00059122-0.00035449i,7.2075e-05+0.00013099i,0.00013922+0.0008665i,0.00035425+0.00079974i,0.00099671+0.00049949i,0.0015828+0.00046699i,0.0012059+0.00038331i,0.00069521-0.00030499i,0.00064403-0.0011003i,0.00080623-0.0012733i,0.00067151-0.00035026i,0.00051693+0.00046325i,0.00078437+9.7847e-05i,0.00089196-9.2396e-05i
0.00037592-0.0010615i,-0.00068472-0.00085759i,-0.0015561-0.00054144i,-0.0020587+0.00046117i,-0.0015357+0.00095254i,-0.00060229+0.0013193i,-0.00027816+0.00086047i,-0.0008502+0.00065648i,-0.0011683+0.00064016i,0.00030596+6.8167e-05i,0.00064577+4.9208e-05i,0.00043642-2.7698e-05i,0.00080421-0.00046466i,0.00050912-0.0011907i,0.00096894-0.0010315i,0.0018201-0.00025015i,0.0010083-0.00061119i,0.0003242-0.0010357i,0.00046549-0.00097218i,0.00098502-0.00053829i,0.0012463-0.00019929i,0.00054822-0.00031866i,0.00016327-0.00017942i
-0.0003439+0.00099691i,6.3256e-05+0.00071457i,-0.00013333+0.00035257i,-0.0003247+0.00018821i,0.00010901+8.6845e-05i,-0.000253+0.00038919i,-0.00037741+0.00055412i,0.00048054+0.00070939i,0.00075683+0.00024266i,0.0010848-0.00032286i,0.0014137+9.7317e-05i,0.00035708+0.00010142i,-0.00038931-0.00028501i,-0.00024593+4.5856e-06i,0.00020358+0.0005257i,0.00063687+0.0001861i,0.00084572-0.00049091i,0.00057751-0.00068464i,-7.1401e-05-5.6535e-05i,-5.8472e-05+1.8966e-05i,0.00023722-0.00019478i,-0.00016626-0.00030607i,0.00030239-0.00046145i
-0.00033896-0.0006255i,-0.0018183-0.0013001i,-0.0027546-0.00063425i,-0.0023354+0.00073107i,-0.00066587+0.00041035i,0.00047767-0.00023469i,0.00028803-1.4184e-06i,-0.00071602-0.0001636i,-0.0015114-0.00045283i,-0.0010738-0.00062817i,-0.00023956-0.00044241i,0.00010538-0.00048292i,0.00011869-0.0010044i,0.00041648-0.0004299i,0.00025449+0.00015582i,0.00025637+0.00034684i,0.00025272+0.00049306i,0.00042825+0.00080087i,0.000164+0.0010351i,-0.00063895+0.00057299i,-0.00047889+7.3612e-05i,-0.00022866+2.0248e-05i,-0.00036826-5.5137e-06i
3.8179e-06-0.00021538i,0.0014156-0.00072427i,0.001358-0.00048254i,0.00097542+8.7084e-05i,0.0015231-0.00011012i,0.0011171-0.00071458i,0.00025468-0.00046335i,5.486e-05+0.00027703i,0.00065106+0.00057292i,0.0009127+0.00021691i,-0.00022238+9.8947e-06i,-0.00058414-6.3222e-05i,-0.00021706+0.00019592i,-0.00034447+0.00025299i,-7.9673e-05-0.00032366i,0.00015986-0.00029009i,0.00017921-0.00022604i,0.00028854+3.78e-06i,0.00011762+0.00051211i,-0.00017182+0.00047484i,0.00014068+0.00048282i,0.00053633+0.00065852i,-0.00026081+0.0008448i
-0.0010898+0.00067104i,-0.0015675+0.00049256i,-0.0018319+0.0011265i,-0.001251+0.0011177i,-0.00052514+0.00048698i,-0.00010816+0.00022677i,-0.00024337+0.00099995i,-0.0011204+0.0016501i,-0.001149+0.0013649i,-0.00019376+0.001227i,0.00051588+0.00052684i,0.00049336-0.00040208i,-9.8225e-05-5.2474e-06i,-0.00039434+0.00023933i,0.00026136+0.00013101i,0.0009049-2.0318e-05i,0.00056997-0.00057848i,1.4226e-05-0.00065462i,-0.00019163+0.00025081i,0.00023502+0.00071539i,0.00075223+0.00067775i,0.00091253+0.00033749i,0.00011504-0.00065135i
-0.0007159-0.00084713i,-0.0014896-0.00037906i,-0.0029055+0.00043967i,-0.0021518+0.0013214i,-0.00016494+0.0017319i,0.00036086+0.0011741i,0.00024866+0.00034342i,0.00022162-0.00028562i,-9.245e-05-5.3901e-05i,-0.00022417+0.00020757i,-0.00087054+4.4716e-05i,-0.00069476+0.00012102i,0.00052173+0.00014031i,0.00083411-0.00022071i,0.00051452-0.00041198i,0.00021426-0.00024715i,-0.00044372-0.00025164i,-9.494e-06-0.00013892i,0.00071896+0.00073714i,0.0007072+0.0010031i,0.00021985+7.6389e-05i,-0.0004677-0.00034316i,-0.0001464-0.00014916i
0.00023079+0.00017027i,-0.00027553+0.00078165i,-0.00046115+0.0014937i,0.00021407+0.0016027i,0.00077961+0.00096672i,0.0007247+0.00045804i,-0.00015297-0.0004009i,-0.00050213-0.00076155i,-0.00023675-0.00058771i,-0.00037183-0.00068187i,-0.00043343+0.00037496i,0.00030372+0.0013262i,0.0014829+0.0014904i,0.00097992+0.00091487i,0.00026855+0.00012378i,0.00095134-0.00033779i,0.0011576-0.00045872i,0.00064501-0.00019435i,0.00010482+4.4166e-06i,-0.00043698-0.0003047i,-0.00053475-0.00059287i,0.00026326-0.00042935i,-0.00014771-0.00057622i
-0.00032903+0.00025467i,0.00012219+0.0010462i,-7.0508e-05+0.00080168i,-0.00086248-1.6696e-05i,-0.00056929+0.00029504i,0.00010703+0.00076484i,0.00038657+0.00051775i,6.9934e-05-4.0801e-05i,0.00027531-7.9331e-05i,2.5144e-05+0.00033955i,-0.00044857+0.00034523i,1.0429e-05-0.000313i,0.00053075-0.00033509i,0.00051034+4.6353e-05i,0.00088605+0.00015163i,0.0015283-0.00037154i,0.00085894-0.00075672i,0.00030288+3.5731e-05i,0.00039661+0.00029061i,0.00057046+0.00024251i,0.00058138+0.00049463i,0.00015225+0.00052378i,-2.6152e-05-3.2092e-05i
