-0.00064857+0.0008573i,0.0005036+1.197e-05i,-0.0010483-5.0216e-05i,-0.0012025+0.00087593i,-0.00069578+0.0025057i,-0.00044298+0.0021713i,2.2723e-05+0.00075275i,0.00089304+0.00047889i,0.00163+0.00081988i,0.0013893+0.00042854i,0.001351+1.6263e-05i,0.0014188-0.00024306i,0.00037519-0.00063313i,-0.00030661-0.00037919i,-0.00054211+0.0001022i,-0.00044792+0.00097948i,0.00034599+0.0013319i,0.00040318+0.00052118i,0.00040927+0.00011985i,0.00033111+7.9652e-05i,2.9148e-05+0.00017579i,-4.7525e-05+8.7338e-05i,-0.00032705-0.00071277i
0.001042-0.0013608i,0.0010148-0.0007936i,0.00017571+0.00022684i,-0.0001781-0.00024697i,-0.00059027-0.0014646i,-5.7832e-05-0.00062004i,0.00044148+0.0001467i,0.00029276+0.00070042i,-0.00026754+0.0014139i,-8.9411e-05+0.0013083i,0.0003048+0.00043119i,-0.00034938+0.00053094i,-0.00043288+0.00082014i,-0.00028778+0.00060416i,-0.00023775+8.0475e-05i,-1.0354e-05-0.00038188i,-0.00033416-0.00031565i,-0.00011261+0.00057722i,0.0012324+0.00022459i,0.0013576-0.00055314i,0.00082337-0.00051491i,0.00036977-0.00030569i,-8.2841e-05-0.00042115i
0.00092372+0.00011922i,0.0015562-0.00052133i,0.0013398-0.00092814i,0.00061217-0.00022501i,0.00047276-0.00071235i,0.00068292-0.0015113i,0.00029598-0.0014483i,-0.00015992-0.0013619i,-0.00010002+0.00038777i,0.00053441+0.0014383i,0.00046192+0.00097069i,1.497e-05+0.00064705i,0.00068462+0.00042923i,0.00022702+0.00029964i,-0.00037133+6.9907e-05i,-0.00033413+1.0432e-06i,-7.0918e-05-0.00016767i,0.00030132-8.5046e-07i,0.00022652+0.00091847i,2.3631e-05+0.00187i,9.4643e-06+0.0017856i,-0.00030559+0.00092871i,-0.00054677+0.00031031i
0.00097612-0.00032701i,0.00073489-0.00030965i,0.00027192-0.00037738i,5.7906e-05-0.00016959i,0.00087648-0.0004594i,0.0013681-0.00056835i,0.00046567-0.00016117i,3.4469e-05+0.00044406i,0.00019585+0.0010263i,0.0007146+0.0012832i,6.9551e-05+0.0010503i,-0.00020902+0.00071136i,0.00061609-0.00011001i,0.00098242+7.6686e-06i,-3.5382e-05+0.00027671i,-0.00088213-0.00028544i,-0.00030214-0.00013677i,0.00070339-0.00033113i,0.0010348-0.00025066i,0.00058445+0.00016465i,-0.00026604+0.00019271i,-0.00048114-0.0001387i,-0.00034324-0.0010509i
0.00089869+0.0012548i,0.0016917+0.00076183i,0.00094482-0.00052501i,0.0012018-0.0014363i,0.0022027-0.0013534i,0.001314-0.0011873i,7.5349e-05-0.0010037i,-0.0005182-0.00028721i,-0.00059184-0.00011188i,-0.0003366-0.00031558i,-4.3894e-05-0.00010846i,-0.00018112-0.00012345i,-0.00019074+0.00032405i,-0.00036172+0.00035305i,-0.00031436-0.00040886i,0.00051122-0.00054721i,0.00088326-0.00049777i,0.00040225+0.00029401i,0.00021849+0.00077751i,7.2663e-06+0.00040131i,-0.00040334+0.0010384i,0.00012893+0.00087416i,0.00039231+0.00021657i
3.4947e-05+0.00082761i,0.0010535+0.00093847i,0.0011733+0.0024089i,0.00065601+0.0022751i,0.00058464+0.0010069i,0.00068477+0.00026601i,0.00067476-0.00051916i,0.00052592-0.00057506i,0.00018122-0.00024643i,0.00024244+0.00011466i,1.0769e-05-8.2024e-05i,-0.00015612-0.00041718i,0.00049285+0.00018803i,-0.00018929+0.00051393i,-0.0011679+0.0005764i,-1.5719e-05+0.00034706i,0.00067953-0.00027513i,0.00028015-0.00062542i,0.00026388-0.00041929i,0.00067624+0.00019083i,0.00086916+0.00062115i,0.00062562+0.00070531i,0.00044966+0.00020468i
-0.00012384-0.00045659i,0.0004151-0.00061595i,0.00068554-4.9081e-05i,0.00078329-0.00021061i,0.00064033-0.0010841i,-0.00031923-0.0012747i,-0.0010484-0.0010567i,-0.00060375-0.00033283i,-0.00047785+0.00036445i,-0.00018657+0.0007066i,-0.00013872+0.00097399i,-0.00034835+0.00082603i,-8.393e-05+0.00029201i,0.00036058-0.00039103i,0.00039046-0.00053724i,0.00059812+0.00019048i,0.00031438+0.00052873i,-0.0001444+0.00045845i,0.00020293+0.00024816i,0.00025796-0.00012815i,-0.00033415-0.00058837i,-0.00055971-0.0004443i,-0.0012742+4.381e-06i
0.0012344+0.00017065i,0.0019447-0.00045212i,0.0016555-0.0010886i,0.0012619-0.0011405i,0.0010436-0.00092336i,0.00058702-0.00092157i,-5.1122e-05-0.0012653i,-0.00081904-0.00082352i,-0.0010152+0.00069762i,-0.00062805+0.00079853i,0.00025208+0.00016905i,0.00020307-0.00011426i,-0.00088319-0.00034301i,-0.00082046-0.0005014i,-0.00029605-0.00029768i,5.5373e-05+0.00019733i,-6.4493e-05+0.00016814i,-0.00048773+0.00012451i,-0.00050219+0.00041678i,-0.00021468+0.00034929i,4.1629e-05-0.00012174i,0.00055365+0.00011943i,0.00020684-0.00023383i
0.0009331+0.00051904i,0.0015715+0.00011635i,0.0016873-0.00064704i,0.0013064-0.00087523i,0.00086796-0.00032228i,0.00024065-0.00052348i,-0.00068729-0.00074146i,-0.00082606-0.00038584i,-0.00034914+0.00030195i,0.00054939+0.00055873i,0.00098669+0.00012871i,0.00057366+0.00075983i,-0.00018318+0.0011813i,-0.00041303+0.00033012i,2.7526e-05+0.00032683i,0.00024072+0.00035731i,-0.00025554-5.3751e-05i,-0.00033195+2.2915e-05i,-0.00026618+0.00061037i,4.652e-06+0.00069188i,-0.00022686-2.2662e-05i,-0.00048528+0.00010734i,-3.047e-05+0.00081167i
0.00021133+0.00065147i,0.00078487+0.00095004i,0.0021666+0.00043292i,0.0030596+0.00011838i,0.0025902-0.0004899i,0.0015632-0.0015135i,0.00076088-0.0012314i,-1.7256e-05+0.00027678i,-0.00029449+0.0010112i,3.5018e-05+0.00086635i,0.00027308+0.00027919i,0.00038783+3.9705e-05i,0.00020731+0.0001761i,-0.00034535-0.00039675i,-0.00012273-0.00067878i,-1.2965e-05-4.4686e-05i,-0.00058523+0.00019319i,-0.00018689+4.7883e-05i,-0.0001034+0.00034863i,-0.00030013+0.00031616i,-1.7611e-05+0.00044599i,0.00014395+7.0829e-05i,-0.00019894-5.9497e-05i
0.00013279-0.0015711i,7.2639e-05-0.0016335i,7.715e-06-0.00089085i,-2.462e-06-0.00020495i,0.00014885+0.00027323i,0.00071055-0.00014025i,0.00062799-0.0010407i,3.0186e-05-0.00040675i,-0.000591+0.00022041i,-0.00053287+0.00059852i,0.00062773+0.0011526i,0.00037547+0.001098i,-0.00056607+0.00047571i,-0.00061232-0.00031165i,-4.4624e-05-0.0001409i,0.00018316+0.00016555i,0.00022504-0.00032169i,-0.00015743-0.0002765i,-0.00073967+0.00050549i,-0.0007105+0.00083322i,0.00010958+0.00043522i,5.8008e-05-0.00013384i,5.7682e-05-0.00024343i
