-0.00096507+0.0013831i,6.7618e-05+0.0010153i,-0.00099349+0.0020879i,-0.0015784+0.0019208i,-0.0013757+0.00133i,-0.0014426+0.00061225i,-0.0011187-0.00021441i,-0.00044604+0.00023854i,-1.9228e-05+0.00029674i,0.00086239+0.00038825i,0.0010392-0.00020197i,8.0675e-05-0.0010863i,8.5887e-06-0.0016729i,0.00028133-0.0016318i,-1.5027e-05-0.0011254i,0.00041693-0.00068411i,0.00051794-0.00066134i,-0.0004667-0.00086639i,-0.00058172-0.0010403i,-0.00010244-8.4918e-05i,0.00016579+0.00055018i,0.00069298-9.7085e-05i,-8.033e-05-0.00038013i
0.0011554-0.00085682i,0.0010933+6.1888e-05i,0.00066805+0.00045918i,-0.00027304+0.0012829i,-0.00039783+0.0016879i,-4.2406e-05+0.0010994i,0.00094298+0.0011809i,0.00122+0.0002047i,0.00090632-0.001158i,0.00046006-0.0012259i,-6.1805e-05-0.0019723i,0.00018839-0.0019502i,-0.00033545-0.00068413i,-0.00082482+0.00019519i,-0.00062262+0.00057266i,-0.00035196+8.1484e-05i,0.00030013-0.00037219i,0.00066192-0.00039961i,0.00070457-0.00036508i,0.00060373-0.00042978i,0.00070912-7.6661e-05i,0.00052882+0.00055901i,0.00022382+0.00018966i
-0.0003514+0.0013422i,0.0004147+0.0012934i,0.00055049+0.0016814i,0.0005668+0.0010137i,0.0011198+0.00014171i,0.0016487-0.00028549i,0.0012045-0.00040355i,0.0005589-0.00076714i,0.00024722-0.00090762i,-0.00025335-0.00062553i,2.4393e-05+2.4484e-05i,0.00011781+0.00035552i,-0.00020455+0.00013981i,-0.00025557-0.0002093i,-0.00034721-0.00021674i,-0.00061721-0.00026763i,-0.00075112-0.00018858i,-0.00050179+0.00025965i,0.00020344+0.0014009i,0.00026564+0.0014937i,-0.00042361+4.1329e-06i,-0.00027136-0.00043445i,0.00040929-0.00018621i
0.0017245+0.0010145i,0.0010814-7.4617e-05i,0.00043854-0.00045618i,-0.00038431-0.00086404i,-0.0007503-0.00090118i,-0.00051782+0.00039197i,-0.00025442+0.0012918i,0.00010219+0.00088096i,0.00018376-1.1834e-05i,7.4014e-05-0.00057107i,-0.00037385-0.00086224i,-0.0011611-0.00047263i,-0.0011308-0.00055402i,-0.00044588+0.00011565i,-0.00053205+0.0012674i,-0.0010754+0.00040121i,-0.00035913-0.00030287i,0.00031082+0.00014413i,0.00044935-0.00018982i,0.00057181-0.00070401i,0.00056744-0.00019711i,-7.3185e-06+0.00036458i,-0.00042587+0.00044501i
0.00054645+0.00013595i,0.001096-0.00014916i,0.002534-0.0013815i,0.0032617-0.0014172i,0.0022042-0.00024417i,0.00043269+0.00018803i,0.00011199+0.00034152i,0.00037891+0.0003519i,8.8895e-05+0.00032857i,0.00034388-5.9537e-05i,0.00046279-0.00089155i,-0.00024407-0.0011379i,-0.00064901-0.00085452i,7.0667e-06-6.9916e-05i,0.00022087+0.00053526i,-0.00049185+0.00023906i,0.00010045-0.00051146i,0.00057258-0.00030716i,5.0171e-05-0.00034061i,-0.00012168-0.00050833i,-0.00037072+0.00014803i,-0.00024874+0.00043043i,0.00055205+0.0005332i
-0.0022965+0.00058018i,-0.0015243+0.00091604i,-0.00061496+0.0011284i,-0.00013097+0.0021399i,0.00047635+0.002596i,0.0011734+0.0011985i,0.00083537-0.00020556i,0.00024931-0.0005715i,0.00058921-0.00027024i,0.00073445-0.00037014i,0.00016404-0.00042484i,0.000288-0.00087128i,0.0002342-0.0012101i,-0.00061624-0.00059732i,-0.00094653-0.00042454i,8.8392e-05+0.00013449i,0.00047907+0.00014933i,-0.00011871-0.00022326i,-0.00053839+0.0001583i,-0.00062233+1.0875e-05i,-0.000228-0.0003225i,-0.00082281+3.5052e-05i,-0.00094514-0.00023209i
0.00065628-0.00031066i,0.00050047-0.00075614i,0.00091609-0.00011546i,-9.2378e-05-0.00022358i,-0.0012204-0.0012049i,-0.0013306-0.0012405i,-0.0009555-0.00031149i,-0.00027537-0.00053231i,0.00010183-0.00077112i,-0.00019875-0.00052431i,-0.00053876-8.2324e-05i,-0.00022995+0.00025351i,0.00013578-0.00010424i,0.00038825+1.3555e-05i,0.00033326+0.00015394i,-0.0001372+0.00051864i,-9.8646e-05+0.00022407i,0.00043573-0.0011073i,0.00072659-0.0013974i,0.00066665-0.00083282i,0.00026159-0.00039272i,0.00015863-0.00067704i,0.00048833-0.00039988i
7.7953e-05+0.00035941i,0.00055542+0.00084136i,0.00076737+0.00058732i,0.0013842+0.00030372i,0.0015096+0.00026986i,0.0010205+0.0010192i,0.00097502+0.00076258i,0.0008317-0.00043807i,0.00072286-0.00055412i,0.00038995-0.00052714i,-7.8988e-05-0.00054417i,-0.00038201-0.00029005i,-0.00075615-0.00030875i,-0.00058297-0.00042632i,-0.00056991-5.8841e-05i,3.2914e-05+0.00073138i,0.00048981+0.00068577i,0.00020504-1.1542e-05i,-0.00032857-0.00021676i,-0.00021767-0.0001295i,0.00079913-0.00049624i,0.00089687-0.00079316i,0.00038125-0.00015351i
-0.00065022-0.00061165i,-0.0014206-0.00013362i,-0.0018399+0.00012957i,-0.0019775+0.0005291i,-0.0010768+0.00067099i,5.7505e-05+0.00050065i,0.00063356-0.00038144i,0.00037267-0.00086159i,-0.00045471-0.00047391i,-3.2935e-05+0.00065997i,0.00048485+0.00090624i,0.00085142+0.00012533i,0.0010758+0.00034529i,0.00082848+0.00061083i,0.00034642+0.00045409i,-0.00024518-6.4116e-05i,-0.00038723-0.00064717i,-0.00066838-0.00034711i,-0.00062813+0.00029109i,0.00022538+0.00034921i,1.5271e-05+0.00031091i,-0.00057821+0.00066678i,-0.00014657+0.00044278i
-8.4422e-05+0.00028612i,-8.1308e-05+0.0010629i,0.00070108+0.00078174i,0.00048998-0.00031955i,-0.00032447-0.00070016i,-0.00040761-0.00043403i,3.7063e-05-0.00063639i,-1.4016e-05-0.00026945i,0.00015935+0.00074346i,8.0245e-05+0.00034489i,-4.5862e-05-0.00028766i,0.00038564-0.00029628i,-0.00025555+0.00016486i,-0.0012215+0.00056536i,-0.00063876+0.00034535i,0.00029447+0.00043574i,0.00041559+0.0006032i,0.00022431+5.013e-05i,1.3723e-06-0.00041675i,0.00019223-0.00030095i,0.00070993-0.00025135i,0.00068407+0.00046391i,0.00039941-3.938e-05i
-0.00012304+0.00047169i,-5.488e-05+0.0010281i,-0.00063637+0.0019219i,0.00026301+0.0022865i,0.00061405+0.0018105i,0.00083862+0.00024685i,0.0013886-0.00073513i,0.0010679-0.00037552i,0.00029321-0.00023032i,-0.00012359-0.00040874i,3.0611e-05+5.5881e-05i,0.00018998+0.00042291i,0.0001116-0.00045754i,6.9314e-05-0.0012067i,0.00034953-0.0005166i,0.0001481+0.00025598i,-0.00012225+3.4612e-05i,0.00021284-0.00063335i,0.00045129-0.0011649i,7.6761e-05-0.0011925i,-0.0003236-0.00018469i,-0.00080795+0.0011793i,-0.00084629+0.0012218i
