0.00080484+0.001025i,0.00036979-0.0002141i,-0.00077427-0.0011287i,-0.0018611-0.0013404i,-0.0022967-0.00050519i,-0.0016693+0.00095464i,-0.001115+0.001518i,-0.0011163+0.0016251i,-0.00073815+0.0017218i,0.00076995+0.0011475i,0.0018924+0.00042084i,0.00092441-0.00029773i,4.0849e-05-0.0010012i,0.00086324-0.00070076i,0.0015179-0.00043508i,0.00040922-0.00031216i,-0.00095168+0.00040128i,-0.00087944+0.00024975i,-0.00022631-0.00095002i,0.00053844-0.0013887i,0.00075608-0.0010193i,9.5117e-05-0.00034845i,0.00011025+0.00031757i
-0.00042387-0.00061164i,-0.00084286-0.00028552i,-0.00014437+0.00025365i,0.00012788+0.000396i,-0.00043778+0.0005116i,-0.00072312+0.0016256i,-0.0010052+0.0017345i,-0.00073607+0.0011033i,-0.00027831+0.00073592i,0.00014215+0.00069131i,0.00026714+0.0010412i,0.00062775+0.00085317i,0.00084325+0.00026579i,0.00085996-0.00029262i,0.00063776-0.00089619i,0.00036941-0.00078806i,0.00076994-0.00017393i,0.00048233-0.0003169i,0.0002546-0.0010992i,0.00056492-0.00026044i,0.00053443+0.00065542i,-0.00047326-5.0295e-05i,-0.0014224-0.00051365i
0.00079833-0.0016836i,0.00044419-0.0022675i,-0.00088676-0.002388i,-0.0020185-0.0016398i,-0.0029867-0.00076608i,-0.0030937-0.00064797i,-0.0014661+0.00014516i,-0.00033262+0.0012357i,-0.00027488+0.00091772i,-0.0002886+0.00041047i,-0.00051718+0.0005788i,0.00025383+0.00025901i,0.00041227+0.00027668i,4.3151e-05+0.00025491i,-0.0001342-0.00022155i,-0.00060224+0.00024466i,-0.0010509+0.00030401i,-0.0010036-0.00010707i,-0.00022541-6.7543e-06i,-0.00057871+0.00058574i,-0.0013117+0.00060935i,-0.00085146+1.1893e-05i,-0.00070834+0.0002187i
-0.00065554-5.3073e-05i,-0.0012221-0.00034838i,-0.0026602-0.00017028i,-0.0030296+6.2284e-05i,-0.0016181+0.00081111i,-0.00030217+0.0013848i,1.7361e-05+0.00084601i,2.7007e-05+0.00072723i,-0.00042939+0.0014201i,-0.0007258+0.0010245i,2.3681e-06+0.00050244i,0.00039535+0.00035603i,0.0007391-8.1825e-05i,0.00035591-0.00040682i,-0.00067175-0.00061716i,-0.0016286-0.00028255i,-0.0019883+0.0003097i,-0.0011192+0.00020902i,0.00011327+7.5134e-05i,0.0002507+0.00045115i,0.00022645+0.00043999i,0.0003442+0.00079325i,0.0002048+0.00091238i
0.0010059-0.0020453i,0.00062122-0.0015045i,0.00016189-0.0015012i,-0.0012006-0.0017222i,-0.0022076-0.00077378i,-0.0014657-6.625e-05i,-0.00072118+0.00013132i,-0.00067984+0.00033847i,-0.001569+6.0986e-05i,-0.0014759+0.00030388i,-0.00027785+0.00045617i,0.00057287+0.00033646i,0.00097224+0.00036362i,0.00053629+0.00029977i,0.00011247-0.00010866i,-0.00025392-0.00022841i,-0.00040315+0.00060929i,0.0002584+0.00074925i,0.00088849+0.00079097i,0.00031819+0.00078819i,-0.0003459-1.3898e-05i,-0.00048727-0.00064447i,-0.00037398-0.00033441i
0.0011124-0.0006362i,0.00073693-0.00084793i,0.00049838-0.0021671i,-0.00062852-0.0014393i,-0.0012087+0.00030613i,-0.00067361+0.00068052i,-0.00015497+0.00065142i,-0.000343+0.0014018i,-0.00058388+0.0011782i,-0.00014031-0.00025452i,-0.00035679-0.0006413i,-7.7365e-05-1.5205e-05i,0.0011995+1.9374e-05i,0.00078137-0.00072525i,-0.00026591-0.00063771i,-0.00047254-0.00093211i,-0.00068209-0.0011825i,-0.00040721-0.00084371i,0.00022563-0.00015182i,0.00094053+0.0001667i,0.0014294+0.00046392i,0.0011984+0.00047539i,0.0010383-5.221e-05i
8.6529e-06-0.00076101i,-0.00011469-0.00028079i,-0.001389+0.00075707i,-0.0025801+0.0007675i,-0.0023169+0.00089222i,-0.001676+0.0012697i,-0.00073991+0.00059545i,0.00032865-0.00020862i,9.2306e-05+0.00013334i,-4.2172e-05+0.00025709i,0.00034996+0.00028994i,0.0009372+8.5641e-05i,0.0011487-0.0006012i,0.00090316-0.00090968i,0.0003902-0.00059659i,0.00025069-0.00034019i,-0.00061571-0.00016907i,-0.00046688-0.00045282i,-0.00010005-0.0013819i,-0.00070426-0.00072838i,-0.0007546-1.2467e-06i,-0.0005724-0.00040626i,-0.00065878-0.00016334i
-0.0012874-0.00072395i,-0.0015385-0.0013413i,-0.0017473-0.00089033i,-0.0020171-0.00040911i,-0.0012466+2.2475e-05i,-0.0011479+0.00032654i,-0.00108+0.0001989i,-0.00022444-0.00010706i,-3.6559e-05+0.00051299i,-0.00015658+0.00084324i,0.00059273+0.00020367i,0.0015379-0.00014283i,0.0014363-2.8584e-05i,0.00015523+9.8201e-05i,-0.00063402-0.00066479i,-0.00017924-0.0011629i,0.00018046-0.00036722i,-0.0003694+0.00026883i,-0.00088532+0.00017228i,-0.00063285+0.00051826i,-0.00019697+0.0004942i,0.00022009+0.00023399i,0.00069493-0.00020223i
-0.0009712-0.00046628i,-2.2922e-07-0.00090158i,-7.9716e-05-0.0014362i,-0.00041497-0.0013651i,-0.00023314-0.00066673i,8.3237e-05-0.00082887i,6.6177e-05-0.00071959i,0.00025236+0.00017516i,-0.00018638+0.00082193i,-0.00026232+0.0006479i,0.00084076+0.00030701i,0.0019739+0.00031674i,0.0011413+0.00013775i,-0.0010182+3.2175e-05i,-0.00090037-0.00010282i,-0.00018376-0.00022579i,-0.00030942-0.00034919i,-0.00047277-0.00048704i,-0.00018878+0.0001102i,-0.00016518+3.4858e-05i,-0.00069039-0.00030216i,-0.00067777+0.00035955i,-0.00041546-6.1395e-08i
-0.0018988+0.0010669i,-0.001241+0.00053355i,-0.00036402+0.0012094i,0.00086029+0.0022599i,0.0013558+0.0025598i,0.00054725+0.0011018i,8.4997e-05+0.00026757i,-0.0003352+0.00034778i,-8.7079e-05+0.00058401i,0.00017302+0.00098341i,0.000383+0.00021698i,0.00094468-0.00067817i,0.0015103-0.00047678i,0.00086677+1.8647e-05i,-4.1605e-05-4.1894e-05i,-1.9331e-05-0.00045454i,-0.00023943-0.00096295i,-0.00054711-0.0007291i,0.00068842+3.5932e-05i,0.0015256+0.00044432i,0.00058993+0.00010177i,0.00018781-0.00059974i,0.00029375-0.0003704i
-0.0013705+0.00075065i,-0.0012788+0.00068862i,0.00040263+0.0013557i,0.00096512+0.0009937i,0.0004098+0.0011103i,-0.00043867+0.00136i,-0.0011003+0.0012139i,-0.00080672+0.001262i,0.0001333+0.0014511i,0.00089605+0.0018165i,0.0011908+0.00092745i,0.0015605-0.00042538i,0.0015141-0.00098263i,0.00057644-0.00069544i,-0.00068031-0.00050907i,-0.0010214-0.0005052i,-0.0011335-0.00077618i,-0.0012507-0.00052154i,-0.00086713+0.00051841i,-0.00057626+0.00051157i,0.00024715-0.00056119i,0.00049845-0.0006895i,-0.00018251+0.00048264i
