-0.00087211+0.00060633i,-0.0011246-0.00034264i,-0.0015711-0.0012092i,-0.0011533-0.0010179i,-0.00094835+0.00073338i,-0.00086786+0.0019359i,-0.00013005+0.0018111i,0.00045189+0.00062278i,0.00092986-0.00032821i,0.0011838-0.00020911i,0.0004436-1.2101e-05i,-0.00014979-0.00043569i,-0.00076313-0.00033465i,-0.0008455+0.00055351i,-0.00064212+0.00048997i,-0.00087505-4.3948e-05i,-0.00064687-0.00012695i,-0.0002193-0.00053123i,0.00015111-0.00087601i,-1.5718e-05-0.00053469i,-8.7257e-05+0.00032298i,8.4731e-05+0.00045962i,-3.5105e-05+0.00041557i
-0.0012948-0.00076685i,-0.00088744-0.00019441i,-0.00087809+0.00020764i,-0.0011553+0.00046364i,-0.00074526+0.0010535i,0.00062234+0.00088118i,0.0012806+0.00017643i,0.00083006-0.0007158i,0.00049785-0.00057189i,0.00041939+0.00017471i,-0.000137+0.00041284i,-0.00062924+0.00040187i,-0.00012462+0.00040421i,-6.0948e-05+0.00050139i,-0.00069018+0.00048488i,-4.942e-05+0.00062225i,0.00050133+0.0010343i,-0.00052023+0.00067973i,-0.0010533-0.00011625i,-0.00097686-0.00022512i,-0.00085908-2.1796e-06i,-0.001006-3.1336e-05i,-0.00034097-0.00033388i
0.0010501-0.0011407i,0.00072654-0.0013203i,0.00098568-0.0014427i,0.0010781-0.0018064i,0.00033255-0.0014081i,0.00015681-0.0005587i,0.00059266-0.00035912i,0.00041296-0.00058559i,0.0001039-0.00079961i,0.0001293-0.00030486i,0.00025417+0.0004813i,-0.00028722+0.00051043i,-0.00044192+0.00052888i,-0.00040184+0.00033148i,-0.00025152+0.00010471i,-0.00059256-9.0223e-05i,-0.0011424-0.00037538i,-0.00076146-0.00020543i,0.00023361-9.0119e-05i,0.00034087+0.00027962i,-6.6646e-05+0.00015108i,0.00030213-0.00022408i,0.00077628+0.00046131i
0.0002416+0.0020373i,0.00034356+0.0005636i,-6.8519e-05+0.0005858i,0.00062511+0.0011716i,0.0013949+0.0010219i,0.0012461+0.0010862i,0.00064365+0.00027251i,0.00050103-0.00028273i,0.00022798+9.2726e-05i,0.00032103-0.00042278i,0.00026377-0.00097224i,5.0406e-05-0.0012393i,-0.00040341-0.0011038i,-0.00075572+0.00019939i,-0.00019128+0.00070161i,0.00023466-1.6516e-05i,0.0007738-0.00032372i,0.00091526-9.3869e-05i,0.00027803-9.2737e-05i,2.0983e-05+0.00010398i,0.00021901+0.00031422i,0.00086219+0.00029455i,0.0011693+0.00029002i
-1.7383e-05+0.00069145i,-9.7157e-05-8.3705e-05i,-0.00058616+0.0011503i,-0.00078344+0.0015669i,2.3128e-05+0.00092748i,0.00074237+0.0008704i,0.0013619+0.00030559i,0.00047404-0.00032649i,-0.00055725+3.9499e-05i,0.0003276+3.1448e-06i,0.00097639+0.00050018i,0.00028812+0.00035237i,-0.00057904-0.00015082i,-0.00066175+0.00054303i,-0.00022399+0.00017511i,-0.00017008-0.00059183i,-0.0003043+0.00027185i,-0.00058983+0.0012182i,-0.0010165+0.0016199i,-0.00049537+0.0013957i,0.00029695-0.00029455i,0.00041389-0.001022i,-0.00016643-0.00069949i
9.941e-06-0.0026289i,-0.00020006-0.0019507i,-0.00063801-0.0021559i,-0.0010072-0.0010015i,-0.00044798+0.00063188i,0.00055479+0.00087234i,0.001021+0.00041139i,0.00068993-2.7219e-05i,0.00037654-0.00026337i,0.00014297-4.8327e-05i,-0.00021167+0.00065551i,-5.5601e-08+0.00088801i,5.7725e-05+0.00083657i,-0.00070884+0.0010957i,-0.00020296+0.00090693i,0.00029102-3.6239e-05i,-0.00035371-0.000445i,-0.00080215-0.00037644i,-0.00059463-0.00065161i,-0.0002215-0.000669i,9.5475e-05-0.00046527i,0.0005972-0.00017444i,0.000731+0.00027262i
-0.00067674-2.9012e-05i,-0.00057701-0.0003304i,9.7012e-06+6.9095e-06i,0.00056354+0.00020049i,0.00066759+0.00055201i,0.00046088+0.00049916i,0.00064119-0.00020595i,0.0010445-0.00081577i,0.0010273-0.00024229i,0.00079839+3.7054e-05i,0.00073152-0.00044824i,0.00012532-0.00053972i,-0.00033583-0.00018398i,-0.00028969+0.00036708i,-0.00044684-0.00034998i,-0.00054307-0.00083485i,-0.00051819-0.00061735i,-0.00075438-0.00070105i,-0.00076623-0.00092011i,-0.00024329-0.00056004i,9.0043e-05+6.6191e-05i,-0.00027058+0.0008402i,-0.00018548+0.00082664i
-0.00097494+4.0672e-05i,-0.0020183-0.00090465i,-0.0012018-0.00034151i,-0.00041281+0.00017516i,-0.0012617+0.0003748i,-0.0013865+0.0004456i,-9.4439e-05-0.00021352i,0.00077294-0.00089511i,0.00048318-0.00097681i,-0.0001006-8.0718e-05i,-3.2683e-05+0.00070959i,0.00063428-6.3545e-05i,0.00059423-0.00053742i,-0.00038474+0.00011233i,-0.00049946+0.00078051i,5.462e-05+0.00067914i,8.7927e-05+0.00017414i,-0.0001428+1.4152e-05i,-0.00024476+4.2139e-05i,-4.1171e-05+0.00028089i,-7.068e-05+0.00063032i,-0.00025209+0.00064525i,0.00029768+0.00056713i
-0.00028093-0.0010497i,-0.00057463-0.001438i,-0.0015677-0.0010098i,-0.00094453-1.2728e-05i,0.00011202+0.0014193i,0.0014129+0.001114i,0.0013221-0.00046047i,0.0005126-0.0012582i,0.00047841-0.0010107i,0.00068261-0.00032002i,0.00039723+0.00025451i,7.6217e-05+0.00088464i,0.00016926+0.00078676i,-4.3247e-05-0.00021536i,-0.00089984-0.00039882i,-0.00092693-0.00013703i,-0.00055976-9.5038e-05i,-0.00068827+7.0165e-05i,-0.00056379-0.00012093i,-0.00070625-0.00016951i,-0.001288-0.00026022i,-0.00052297-0.00042077i,0.00049967+0.00053032i
-0.00072777-0.0018672i,-0.0016135-0.00064342i,-0.0024482+0.00021451i,-0.0020018+0.00066624i,-0.0011325+0.0013546i,0.0002091+0.0015936i,0.0011274+0.00029503i,0.001477-0.0014807i,0.0012494-0.0018321i,0.00052277-0.00097275i,-6.0476e-05+0.00075401i,-0.00021622+0.0014311i,0.00011254+0.00053488i,0.00040205-0.00032694i,0.00013444-0.00067151i,-0.00088906-0.00037843i,-0.00060739-0.00029777i,-0.00023416-0.0003968i,-0.00015337-2.9045e-05i,0.0007038+0.00027147i,0.0010243+0.00029829i,0.00031156-8.649e-06i,-0.00057438-0.00025905i
0.00016797-0.0008345i,-0.00071607-0.00069601i,-0.0011311-0.00059893i,-0.00094409-0.00088814i,-0.00018986-0.00049595i,-5.8243e-06+0.00054977i,0.00026103+0.0006514i,0.00092973+3.5053e-05i,0.00049559-0.00052291i,-0.00049013+0.0003838i,-0.00081869+0.0008147i,-0.00056534+0.00041492i,-0.00040104+0.00068799i,-0.0010883+0.00055737i,-0.0013636+0.00025827i,-0.00060618-0.00014399i,-0.00020359-0.00067247i,6.6002e-05-0.00054045i,-0.00016362+0.00034007i,-0.0012469+0.0010107i,-0.0013155+0.00060432i,-0.0010277-0.00014885i,-0.0007021-0.0005896i
-7.6796e-05-6.4363e-06i,-0.00023014-0.00029593i,0.00060119-0.00025343i,0.00087359+0.00073236i,0.00018546+0.00094576i,7.4595e-05+0.00095272i,0.00079253+0.00023416i,0.00086027-0.0012412i,0.001058-0.001924i,0.00053137-0.001163i,-0.00046753-0.00051058i,-0.0011555-0.00053718i,-0.001193-0.00054759i,-0.0006246-0.00016274i,-0.00056829-0.00020393i,2.5937e-05+1.7349e-05i,0.00030656+0.0003573i,0.00019421-5.7315e-06i,-0.00011725-0.00016133i,-0.00049613+0.00018532i,-0.0010542-0.0001401i,-0.00087268-0.000552i,0.00043836-0.00030327i
-0.0010239-0.00062142i,-0.00092124-0.00096952i,-0.00062487-9.4158e-05i,-0.00025776+0.0005544i,2.7942e-05+0.00043631i,3.5749e-05+0.0001882i,0.00070765+0.00024333i,0.00098583+8.5837e-05i,0.0010364-0.00068175i,0.00029237-0.00068369i,-0.00015851-0.00029874i,0.00014275+0.00030639i,-0.0002136+0.00083743i,-0.00094543+0.0012447i,-0.00054396+0.00084971i,-6.1077e-05+0.00061754i,1.238e-05+0.0010627i,8.9481e-05+0.0012607i,-1.1354e-05+0.0008536i,0.00061023+0.0010632i,0.0015216+0.0010918i,0.0011474+0.001053i,0.00035628+0.00061515i
0.00044836-0.0010152i,-1.0162e-05-0.0011536i,6.0807e-06-0.00026639i,-0.00058025+0.00040367i,-0.00040585+0.00068285i,-5.5332e-05+0.0010046i,0.00029072+0.00028334i,0.00050499-3.428e-05i,7.214e-06-4.9946e-06i,-0.00048622-0.00015294i,-0.00055243-0.00061054i,-0.00079852-6.7728e-05i,-0.00092731+2.7442e-05i,-0.00087357-0.00055127i,-0.00093804-0.00056085i,-0.0012363-0.00032818i,-0.0010658-0.00052504i,-0.00032218-0.00027429i,3.556e-06+0.00052716i,-7.8758e-05+0.00034755i,-0.00062494+0.00042952i,-0.00036773+0.00020016i,0.00042925-0.00032671i
