-0.00030659+0.00019225i,-0.00012585-0.00034367i,-0.0016427+3.3927e-05i,-0.00227-0.000472i,-0.0025838-0.00043146i,-0.0022294+0.0014406i,-0.00097939+0.0029662i,0.00046302+0.0029142i,0.001853+0.0025001i,0.0026452+0.0014914i,0.0015331+4.9918e-05i,0.00053195-0.00034063i,0.00090376-0.00044408i,0.00047323-0.0004382i,7.0941e-05-0.00023204i,0.00076826-0.00024489i,0.00083573-0.000385i,0.00048155-3.3882e-05i,0.00017898+0.00015027i,0.00059704-0.00014271i,0.0013114+9.7457e-05i,0.00064318+0.0008815i,0.00010905+0.00077972i
-0.0010142-0.0010288i,-0.0013063-0.00098706i,-0.0030635-0.0002024i,-0.0035828+0.0006077i,-0.0020382+0.0013035i,-0.00044088+0.00064039i,0.00042848+0.00011103i,0.00089802+0.00070312i,0.00028094+0.0012298i,-0.00038027+0.0012084i,-0.00085988+0.00016005i,-0.00081265-0.00044941i,-3.3851e-05+8.3438e-05i,0.00033241+0.00057885i,0.00020017+0.00021052i,-6.6525e-05-0.00027922i,-0.00070594-0.00050732i,-0.00071887-0.0010594i,-5.622e-05-0.0013033i,0.00026203-0.00058399i,0.00035243+0.00035583i,0.00099281-0.00011714i,0.0010045-0.0011062i
0.00019291+0.00054925i,7.4953e-05-0.0011229i,0.00019364-0.0020766i,-0.00073933-0.0021116i,-0.00089669-0.0009431i,0.00012843-0.00012138i,0.00079039+0.00010773i,0.00030658+0.00076913i,-0.0002375+0.00099025i,-0.0006354+0.00081311i,-0.0013199+0.00030082i,-0.00072455+0.00049218i,0.00052028+0.00082716i,0.00097156+0.0004217i,0.0012421+0.00021784i,0.00095606+0.00041029i,0.00058524+0.00050558i,0.0010513+0.00018268i,0.0016383+0.00020216i,0.00048711+0.00098207i,-0.000911+0.00033029i,-0.00080346-0.00038927i,-0.00024624-0.00011678i
-0.00023678-0.000453i,-0.00070552-0.00093901i,-0.00077949-0.0014445i,-0.0013176-0.0010724i,-0.00092694-0.00023063i,0.00020394+0.00078967i,0.00046693+0.0014122i,0.00073057+0.0013857i,0.00054857+0.0010364i,-0.00014799+0.00073074i,8.4907e-06+0.00048832i,0.00044668+0.00044356i,0.0004323+0.00053042i,-4.4552e-05+0.0011182i,-0.00031813+0.0011029i,-0.00015431+0.00053431i,-0.00022363-2.1832e-05i,-0.00023425-0.0011049i,0.00019989-0.00094235i,0.00031272-0.00038958i,0.00050188-0.00070536i,0.00064338-0.00035856i,0.00031188+0.0005031i
-0.0008492-0.00057978i,-0.0013189+0.00011735i,-0.0012833+0.00041409i,-0.0016713-0.00027762i,-0.0021821-0.00064672i,-0.0010949+0.00054104i,-0.0002844+0.00099217i,0.00014159+0.00063616i,3.9791e-05+0.00067409i,-0.00022419+0.0013262i,0.00043014+0.0012615i,0.0003489+0.00093247i,0.00058524+0.0014382i,0.00091769+0.0017254i,0.00059432+0.0013154i,0.00066423+0.00044827i,0.00063281-0.00056314i,0.00038744-0.00096273i,-0.00018851-0.00068288i,-0.00050916-0.00025651i,-0.00040806-0.00059868i,-0.00028995-0.00013106i,0.00043163+0.00021294i
0.00098021+0.0009992i,0.00077464+0.00041113i,0.00057309-0.00090925i,0.00058162-0.0018391i,0.00045697-0.0023483i,0.0008776-0.0013448i,0.00093007+8.3895e-06i,8.3666e-05+0.00013979i,-0.00078591+0.00033652i,-0.00062206+0.00072208i,-0.00075084+0.0011327i,-0.0010286+0.00068922i,-0.00086093+7.1773e-05i,-0.00095429+0.00063502i,-0.00074003+0.00015889i,0.00022076-0.0005038i,0.00040257-0.00049811i,-0.00016975-0.00044926i,4.5636e-05-0.0007086i,0.00032975-0.00079855i,0.00023618-0.0011416i,0.00030169-0.0010432i,-3.3811e-05-0.00077537i
0.00044403+1.5533e-05i,0.0012366-0.00027393i,0.0013876-0.00060506i,0.00098725+0.00021643i,-0.00051466+0.0014077i,-0.00086395+0.0014336i,0.00080677+0.00087499i,0.0014619+0.00059928i,0.00061538+0.00073933i,-4.462e-05+0.00045046i,2.3727e-05-8.4687e-05i,9.4221e-05-0.00025519i,7.2352e-05-0.00055967i,-9.4259e-06-0.00032911i,-0.00010305-8.2388e-05i,-5.0291e-05-5.6769e-05i,0.0001998+0.0001507i,-9.4534e-05-0.0002164i,-0.0002569-0.00036355i,-0.00017747-0.00047123i,-0.00011999-0.00038751i,-0.00030935-0.00026224i,-0.00049895-0.00039309i
-0.001654-0.0011786i,-0.0024575-0.00077403i,-0.0028706-0.0010756i,-0.0031945-0.0013426i,-0.0030633-0.00081769i,-0.0013417-0.00044113i,0.00066478-0.00017808i,0.00086318+0.00046688i,0.00055404+0.001284i,0.00056358+0.0010179i,0.0001181+0.00070796i,0.0001426+0.00098554i,0.00049764+0.0012423i,1.4835e-05+0.00075769i,0.00048641+0.00040706i,0.00090315+0.00032458i,0.0003246-0.00021773i,8.5739e-05-0.00069127i,0.00029738-0.00072334i,0.00027411-0.00035488i,0.00042661-0.00029157i,0.00059881-0.00081375i,0.0002393-0.00027795i
-0.0008651+0.00018097i,-0.001339-0.00022822i,-0.0017776+0.00051088i,-0.00086571-8.7891e-05i,0.00078874-0.00010338i,0.0010142+0.0010903i,0.00057832+0.0011791i,0.00055519+0.0010171i,7.5476e-05+0.0013967i,9.569e-05+0.00080718i,-0.0001163-0.00026508i,-0.0006132+0.00025287i,-0.00028715+0.00047101i,0.00030545-0.00097919i,0.00059854-0.0016513i,0.00019365-0.00059282i,0.00036043+0.00023018i,0.0014077-0.00010677i,0.00084521+4.7826e-05i,0.00025123+0.00053209i,0.00086691+0.00029505i,0.00062919-0.00018581i,2.9125e-05-0.00024238i
0.0037756+0.0010066i,0.0037259-0.00027233i,0.0044534-0.0031404i,0.0038549-0.0040525i,0.001329-0.0023775i,-0.0004556-0.00019872i,7.7002e-05+0.0013248i,0.0010291+0.00099743i,0.00083217+0.00083144i,0.00028168+0.0011452i,0.00022363+0.00053865i,-0.00025749-0.0002875i,-0.00023788-0.00088831i,0.00018945-0.00092561i,1.2946e-05-0.0011061i,7.9098e-06-0.0010286i,0.00015172-0.00084171i,-0.00017476-0.00084256i,-0.00036863-0.00047105i,0.0002296-0.00034757i,0.0007997-0.00038081i,0.00038485-0.00050077i,0.00026303-0.00075385i
0.00036911-0.00034785i,0.00078612+0.00026988i,-2.6268e-05-0.00039406i,-0.001594-0.00048507i,-0.0016308-6.7768e-05i,-0.00078907+0.00028434i,-0.0008497+0.00084181i,-0.00096651+0.0014673i,-0.0005089+0.0019754i,-0.00041758+0.0015157i,-0.00038528+0.00061089i,-0.00050066+0.00032765i,-0.00092848-8.844e-05i,-0.0006159-0.00037312i,-0.00012439+0.00023555i,-0.00042597+0.00012402i,-0.00029193-0.00056729i,0.00021725-0.00050482i,-0.00011991-0.00063144i,-0.00033068-0.00053858i,0.00050517+1.5745e-06i,0.00061396+0.0001061i,0.00020555+0.00015099i
-0.0011515-0.0016113i,-0.0015058-0.0023279i,-0.0027583-0.0033651i,-0.0033949-0.002702i,-0.0023024-0.00041386i,-0.00119+0.0011472i,-0.00052979+0.0015706i,8.9685e-06+0.0019952i,0.00011316+0.0017637i,-0.00053422+0.00093119i,-0.00065589+0.00022828i,-0.00062649+0.00011677i,-0.00056025+0.00024187i,-0.00058906+0.00063244i,9.0622e-05+0.00031311i,0.00061804-4.8563e-05i,0.00056221-5.5158e-05i,3.9163e-05-0.00044412i,-0.00060743-0.00060044i,-0.0005386-0.00027078i,-0.00015521-0.00029968i,-2.9842e-05-0.00015951i,-0.00023959+0.0001389i
-0.00047755-0.0022283i,0.00012191-0.0025729i,-0.00077749-0.0030397i,-0.0019575-0.0026852i,-0.0020543-0.0011068i,-0.001192+0.00051464i,-0.00051065+0.00072597i,-5.2429e-05+0.0010699i,-0.00055578+0.0012845i,-0.00056309+0.00051948i,0.00095442+0.00034884i,0.0005801+0.0012847i,-0.00015408+0.0013383i,0.00025379+0.00047053i,0.00053833-6.9409e-06i,-0.00024181-0.00040658i,-0.00068207-0.00076914i,-5.4582e-05-0.00043501i,-0.00010054-0.00029663i,-0.00018553-0.00030005i,-0.00041886-0.00040847i,-0.00084089-0.00031057i,-0.0012001-4.6156e-05i
