-0.0031646+0.00033061i,-0.001862-4.1674e-05i,-0.003245-0.00045235i,-0.0041003-0.00034707i,-0.0029371+0.00080621i,-0.0021551+0.0018849i,-0.0018456+0.0021686i,-0.00075037+0.0016496i,-0.0005269+0.00038132i,-0.00089155+0.00037507i,-0.00013119+0.00065312i,0.00054728-0.00013391i,-0.00011207-0.00039305i,-0.00054752+0.00018793i,-0.00024324+0.00029131i,0.00040823-0.00030228i,0.00087667-0.00018998i,0.00064881+0.00071958i,0.00025733+0.0009157i,0.00033468+0.00076124i,0.00058993-9.1673e-05i,0.00026157-0.00079378i,-4.6501e-05-0.00058243i
0.0025516+0.0014509i,0.0029968+0.00058525i,0.0028058-0.00091973i,0.0021184-0.0023775i,0.00057173-0.0019271i,-0.00052265-0.00017974i,-0.00010377-0.00016059i,-0.0001494-0.00070987i,-0.00080741-0.00143i,-0.00075707-0.0021265i,-0.001176-0.0016484i,-0.0012369-0.00090266i,-0.0011862-0.00091607i,-0.00085406-0.00060511i,-0.00015121+0.00034152i,-1.5837e-05+3.5717e-05i,0.00043966-0.00029789i,0.00088787+0.00052199i,0.00073969+0.0010436i,0.0011719+0.00070522i,0.0013236+0.00056668i,0.00058303+0.00080416i,-0.00046985+0.00015983i
4.1055e-05-0.0015058i,-0.00098762-0.0011646i,-0.0020422+9.2128e-05i,-0.0018052-0.00050738i,-0.0011124-0.001406i,-0.00064357-0.00053069i,-0.0005282+0.00038438i,-0.00088538+0.00029901i,-0.00082445+5.1599e-05i,-0.00093371+0.00020215i,-0.00094372-0.00053761i,-0.00022492-0.00049355i,-0.00019847+0.00021914i,-7.4034e-05+0.00087586i,3.6625e-05+0.0012867i,9.9974e-05+2.8309e-06i,0.00034368-0.00067991i,0.00029351-0.00023459i,0.00020166+0.000446i,7.3357e-05+0.00085158i,-9.2928e-05+0.00025552i,1.8092e-05-0.00013648i,0.00021307-0.00028689i
0.00032427-0.0013694i,0.00046303-0.0016654i,0.00044259-0.0026183i,-0.000405-0.0023879i,-0.0013565-0.0010873i,-0.0014278-5.4001e-05i,-0.0013596+0.00020326i,-0.0015686-0.00025363i,-0.0023018-0.00081857i,-0.0023532-0.00096443i,-0.00086041-0.0010008i,-0.00031892-0.00075026i,2.7445e-05-0.0007433i,0.00034319+2.1458e-05i,0.00065343+0.00076398i,0.00096157+0.00040369i,0.00070311+8.2003e-05i,0.0004653-0.00033607i,0.00081572-0.00012469i,0.00056692+0.00037481i,-0.00052377+0.00049365i,-0.0003736+0.00082717i,0.00076934+0.00080628i
0.00044527+0.00087612i,-2.5177e-05+0.00022402i,-0.00066238-0.00042279i,-0.00054725-0.00038791i,-0.001552+4.3583e-05i,-0.0020507+0.00045878i,-0.0021729-9.613e-05i,-0.0015499-0.0010156i,-0.00051358-0.0010734i,-0.00031603-0.00038605i,-0.00010698+0.00041527i,-0.00011678+0.0010505i,-0.00045139+0.00064296i,-0.00088384-6.8116e-05i,-0.00061028+6.0836e-05i,0.00046654+0.00060433i,0.00014959+0.00086235i,-0.00059314+0.00025161i,-0.00061274-0.00017098i,-0.0002373+2.0231e-05i,-6.4444e-05+0.00012444i,-0.00023505+0.00011439i,-0.00022221-6.9805e-05i
-0.00034439+0.0012693i,-0.00037268+0.0010892i,-0.00064661+0.0011543i,-0.0013238+0.00067916i,-0.00081933+4.2986e-05i,-0.00079378-0.00044653i,-0.0010686-0.0011497i,-0.0014741-0.0013219i,-0.0024801-0.0015657i,-0.0014581-0.0014294i,0.00011617-0.00036129i,0.00053103-0.00022115i,0.00015511-0.00033163i,-0.00012915+0.00051433i,0.00078867+0.0011231i,0.00099965+0.0013695i,0.00053453+0.0017133i,0.00038412+0.0012224i,0.00047093+0.00075309i,-0.00014411+0.00087409i,-0.00038498-0.00025477i,-0.00028227-0.00058498i,0.00015704+0.00051516i
-2.4838e-05-0.00044884i,-0.00033345-0.0012762i,0.00029745-0.0016834i,0.00056158-0.001496i,-0.00053973-0.00084703i,-0.0010694-0.00070575i,-0.00013226-0.00072746i,-0.0016159-0.0003004i,-0.0031494-0.00098807i,-0.0022031-0.0015824i,-0.0013721-0.0014938i,-0.00147-0.00041024i,-0.0012062+0.00061101i,-0.00078775+0.00097323i,-0.00019693+0.0012664i,0.00086825+0.0010765i,0.00091751+0.00084103i,0.00098244+7.0944e-05i,0.00081929-0.00019052i,0.00052683-0.00023705i,0.0005833-1.5603e-05i,-0.00037574+0.00017716i,-0.00067581-0.00041096i
-0.00041122-0.00016902i,-0.00075474-0.00011089i,-0.0028268+0.00035729i,-0.0039465+0.00081944i,-0.0024813+0.0014129i,-0.00049979+0.0010953i,8.7404e-06-4.5979e-05i,-0.00046324-0.00030371i,-0.00072866-0.00040712i,-0.00068747-0.00072815i,-0.0010334-0.00033125i,-0.00085296-5.7514e-05i,-0.00048065+0.00019798i,-0.00097089+0.00037021i,-0.00061751+0.00080194i,0.00051092+0.00077225i,0.00076998+0.00060049i,0.00049676+0.00045197i,-6.1038e-05-0.00035729i,-6.8028e-06-0.00072237i,0.00045047-0.00046222i,0.00090822-0.00079404i,0.00050394-0.00050177i
-0.0027276-0.0011669i,-0.0020865-0.00077503i,-0.0021452+0.00031727i,-0.0015143+0.00057679i,-0.00091421+0.00034867i,-0.00059817-7.5508e-05i,-0.0010045-0.00025816i,-0.0020248-0.00064736i,-0.0021158-0.0013057i,-0.0015607-0.0009046i,-0.00095143-0.00013578i,-0.00057935+0.00035646i,-0.00032076+0.00088432i,0.00054807+0.00036456i,0.00093696-0.00029592i,0.00022374-0.00028668i,-0.00056564-0.00061303i,-0.00063592+5.1843e-05i,-3.1416e-05+9.4044e-05i,0.0004361-1.9302e-05i,0.00067626+0.00034894i,0.00054195+0.0004985i,0.00035733-3.6564e-05i
0.00012495-0.0007859i,-0.0011573-0.00070501i,-0.002402-0.00020395i,-0.002335+8.4421e-05i,-0.0017508+0.00068567i,-0.0016379+0.0010448i,-0.0013118+0.00042411i,-0.0013251+0.00014371i,-0.0017172-0.00034969i,-0.0012353-0.00091477i,-0.00085489-0.0007798i,-0.0011453-0.00051871i,-0.00066491-0.00031605i,0.00035768-0.00028188i,0.00073747+7.19e-05i,0.0010872+0.00030289i,0.001299+9.3441e-05i,0.00072218-0.0001436i,0.00059719+0.00037305i,0.00059762+0.0006519i,0.00027125+0.00065079i,-0.00039215+0.00026264i,-0.00034776-0.0004908i
0.0020586-0.0010864i,0.0028328-0.0024745i,0.0027278-0.0034748i,0.00060573-0.0037418i,-0.0018056-0.0025827i,-0.0023562-0.00067136i,-0.001535-0.00016118i,-0.00075167+1.062e-05i,-0.00074995+0.00018566i,-0.00057348-0.00012262i,-0.00075468-0.00032692i,-0.0010843-7.9043e-06i,-0.0015293+0.0004661i,-0.0015723+0.00079237i,-0.00079371+0.00068185i,0.00020155+0.00014745i,0.00099301+0.00011546i,0.00071589+0.00014979i,-0.00016244+0.00016903i,-0.00069769+0.00043148i,-0.00053321+0.00082492i,-0.00042077+0.00028479i,-0.00044393-0.00080362i
