-0.0034031-0.00073261i,-0.0042925-0.0019124i,-0.0047037-0.0015377i,-0.0041224-0.00036605i,-0.0030404+0.0012263i,-0.0014922+0.00093078i,2.8046e-05+0.00024987i,0.0010379+0.0011417i,0.0016525+0.0013213i,0.0014182+0.00061764i,0.00081725+0.00036117i,0.0011824-0.00021096i,0.0011712-0.00056239i,0.0013141-0.00015128i,0.0015993+0.0002658i,0.00082747+0.00070431i,-0.00054993+4.6395e-05i,-0.00089764-0.00020953i,-0.00037469+0.00041605i,-0.00016414+0.00027149i,-0.0002237+4.1754e-05i,-0.00049965-0.00023909i,0.00011319-0.00087074i
-0.00066303-0.00049398i,0.00024119-0.00068i,-0.00096691+0.001667i,-0.0013979+0.0030129i,0.00015923+0.0025135i,0.001354+0.0014557i,0.0013717+0.00096588i,0.0013576+0.00017052i,0.0012959-0.00014467i,0.00097208+2.265e-05i,0.00090399+0.00047151i,0.0012129+0.00056622i,0.0008139+5.3548e-05i,0.00039631+8.3024e-05i,-0.00021306+0.00033395i,-0.00090516+0.00032359i,-2.0027e-05+1.6927e-05i,0.00011086-0.0011292i,-0.0005618-0.0009686i,-0.00010405-0.00062204i,0.00033094-0.00072556i,0.00047921-0.00065061i,0.00046026-0.0006919i
-0.00091648-0.00073792i,-0.00018103-0.00014532i,-0.00066655-0.0011868i,-0.0014452-0.0010091i,-0.00054888+0.00035263i,0.00090692+0.00049947i,0.00082168+0.00022778i,0.00075138+0.00015424i,0.00061164-0.00039905i,0.0004475-0.00082519i,0.00031906-0.00031786i,2.8029e-05+0.00064478i,-4.6461e-05+0.00068165i,-1.4731e-05+0.00016967i,-5.5765e-05-8.8505e-06i,-0.00011945+0.00020012i,4.0178e-05+0.0001809i,0.00037935+0.00012938i,0.00034939+0.00062182i,4.4705e-06+0.00088929i,0.00014054+5.7838e-05i,0.00049679-0.00045536i,0.00080981-0.00016441i
-0.00048864-0.00021043i,-0.0013447+3.0202e-05i,-0.0021669-0.00017162i,-0.0018813+0.00082647i,6.4728e-05+0.0013719i,0.0010016+0.0011308i,0.00054563+0.00095704i,3.2214e-05+0.0014036i,-0.00090062+0.0014543i,-0.0012065+0.00083114i,-0.0002962+0.00042911i,-0.00016519+0.00050148i,-0.00052012+0.00085034i,-0.00019851+0.00101i,0.00029131+0.00032678i,0.00068118+0.00029896i,0.0003309+0.0005735i,1.4328e-05+0.00029235i,-0.00020076+4.0641e-05i,-0.00024802+0.00066324i,0.00059315+0.00095136i,0.00063951-7.1766e-05i,-7.468e-06-0.00076256i
-0.0012246-0.00019207i,-0.00062377+0.00029523i,-0.0006609+0.00067785i,-0.0015943+0.00034302i,-0.00083223+0.00013847i,0.00077552-0.00011955i,0.0013232-0.00015666i,0.00057031+0.00030509i,0.00065285+0.00055043i,0.00090353+0.00096458i,9.4241e-05+0.00038939i,-0.00076903-0.00032014i,-0.0010473+0.00051402i,-0.00065889+0.00096455i,0.0002084+0.00023962i,0.00064956-0.00031115i,3.7962e-05+9.5828e-05i,-0.0003016+0.00025499i,0.00019803+0.00013774i,5.9861e-05-0.00065417i,5.9652e-06-0.001207i,0.00015098-0.0007497i,0.00012317-0.00044926i
0.0006851-0.00036639i,0.00015182-0.0005465i,0.00042494-0.00028673i,0.00081104-0.00018047i,0.00050387-8.1605e-05i,0.00018954+0.00030685i,2.9899e-06+0.00048248i,0.00036095+0.00047341i,0.00087341+0.00021906i,0.00085776-0.00049172i,0.00021077-0.0006681i,-0.00025559+0.00025214i,-4.5186e-06+0.00061195i,0.00014633+0.00049138i,0.00013456-9.1068e-05i,0.00028464-0.0004545i,0.00029183-0.00013638i,0.00033686+0.00035141i,-0.0005058+0.00088119i,-0.00096904+0.00039911i,-0.0010075-0.00013605i,-0.00051261-0.00032725i,0.00054021-0.00048821i
-0.00062792+0.00067317i,-0.00051747+0.00053669i,-0.00078048+0.0007206i,-0.00033731+0.0017665i,5.8855e-05+0.0023842i,0.00044364+0.0020647i,0.0006616+0.0010593i,0.00082871+0.0006253i,0.00104+0.0003378i,0.0013521-0.0001315i,0.00094325-0.00034775i,0.0003801-3.3838e-05i,-0.00039395+0.00023271i,-0.0016878+0.00013618i,-0.0008785+0.00041938i,-7.1611e-05+0.00028805i,-0.00067694-0.00066842i,-0.0013748-0.0007991i,-0.00091646-0.00014571i,-0.00010016-0.0001498i,-0.0003756+6.9562e-05i,-0.00045995+0.00061558i,0.00010367+2.657e-05i
-0.00084743+0.00015336i,-0.0011721+3.8911e-06i,-0.00058928-0.00055485i,-0.00044127-0.00020128i,-0.00028399+0.0006286i,0.00043269+0.00040708i,0.000467+0.00057679i,0.00052602+0.00041449i,0.0011518-0.00072455i,0.0013917-0.00090557i,0.00086538-0.00068946i,0.0003249-0.00092489i,-0.00076634-0.00025852i,-0.0014172+1.6106e-06i,-0.00077687-9.6936e-05i,-0.0002822-0.00013272i,-7.2847e-05+0.00029276i,-6.6502e-05+0.00083596i,4.8868e-05+0.00032826i,0.00010122-0.00070759i,-0.00019862-0.00018495i,-0.00033075+0.00016223i,-0.00047654-0.0011606i
-0.00037703+0.00089226i,0.00024221+0.0019676i,0.00060354+0.001564i,0.00082418+0.00091394i,0.00046197+0.00043463i,0.00050019-7.8107e-05i,0.00091152+0.00036177i,0.0015771+9.0797e-06i,0.0013497-0.00029118i,0.00041775+0.00060595i,7.1453e-05+0.0014554i,-1.1505e-05+0.00088333i,-0.00017667-1.7203e-05i,-0.00018388-0.000103i,-0.00081249+0.00013065i,-0.0010778+0.00042368i,-0.00089712+0.00015315i,-0.00041524-0.00049777i,3.6817e-05-0.0011749i,-0.00065412-0.00078233i,-0.001095-0.00021752i,-0.00041276-1.8259e-06i,0.00035915-0.00034727i
-0.0013134+0.00049029i,-0.0018407+0.00066828i,-0.001567+0.0012322i,-0.00093082+0.0012801i,-5.7898e-05+0.00070215i,0.00073033+0.00041939i,0.0015083-0.00026057i,0.0013046-0.00061712i,0.00046656+0.00056424i,0.00052424+0.0015271i,0.0003737+0.0015351i,0.00038232+0.0013751i,0.0007451+0.0013056i,-0.00015951+0.00082021i,-0.0010993+5.2697e-05i,-0.0013163-0.0014413i,-0.00066736-0.0014582i,-0.00013077-0.00039918i,-0.00019431-0.00043951i,0.00067466-0.0013542i,0.0011655-0.00077527i,0.00014212-0.00010828i,-0.00027005-0.00024415i
9.0661e-05-0.00074581i,-0.00028947+0.00031312i,-0.00057974+0.00072068i,-0.00069547+0.00073092i,-1.3846e-05+0.00062335i,0.0008802+0.00045414i,0.0010306+0.00029963i,0.00085084-0.00047156i,0.0008648-0.00079317i,0.0010185-0.00017511i,0.00098877-0.00013265i,0.00030764-0.00027938i,-1.524e-05+0.0003175i,4.5229e-05+0.00024834i,-0.00025555-0.00034186i,5.1647e-05-4.3015e-05i,0.00082401+0.00042079i,0.00043283+0.00029476i,-0.00021246+0.00013234i,-0.00037055+0.00042788i,-0.00017143+0.00031543i,-0.00031021+9.165e-06i,-0.00028903-0.00040511i
-0.00096701-0.00037867i,-0.0013087-0.00037183i,-0.0017703-0.00020929i,-0.0014665+0.00030323i,-0.00059817+0.0009147i,0.00035177+0.00086331i,0.00035192+0.0006452i,-0.00019612-0.00031439i,2.8483e-05-0.0010628i,0.00024103-0.00033989i,0.00015435+0.00070926i,0.00021215+0.00072531i,8.1088e-05-0.00011917i,-0.00022627-0.00056198i,-8.7065e-05+2.3277e-05i,0.00030103+0.00026343i,0.00050072+7.6639e-05i,0.00044169+2.091e-05i,-5.3596e-05-5.5509e-05i,-0.00099571-0.00016478i,-0.0012414+0.00029987i,-0.00065685+0.00024877i,-0.00051075-3.1852e-05i
0.00074248+0.00017136i,0.0010255-0.0002655i,0.0014621-0.0013416i,0.00069452-0.00089329i,-1.8982e-06+0.00081311i,-5.6087e-05+0.0013146i,0.00014054+0.00068643i,0.00017588+0.00043186i,-0.00055789-0.00029375i,-0.0004951-0.0010254i,0.00037189-0.00038884i,0.0010653+0.00053794i,0.00065865+0.00016003i,-0.00030407-0.00036341i,-0.00061035-0.00047588i,-0.00053742-0.00022933i,-0.0006892-0.00032167i,-0.00083083-0.00059392i,-0.00057878-0.00012381i,-0.00036291+0.00058861i,-0.00020272+0.00018185i,0.00010564-0.00017436i,0.00022205-0.00013923i
-7.4843e-05-6.598e-05i,-0.0013478+0.00054987i,-0.0010889+0.00072306i,-0.00073718+0.00044479i,-0.00073163+0.00056149i,0.00037644+0.0002232i,0.0011452-4.109e-05i,0.00095544+0.00076097i,0.0008598+0.00096819i,0.00097926+0.000787i,0.0010705+0.00066086i,0.001176+0.00035471i,0.00070246-0.00016712i,-3.6976e-06-0.00012709i,-0.00048671+0.00053023i,-0.00020277+0.00096569i,7.7493e-05+0.0009703i,-0.00020305+0.00044994i,-0.00053799+0.00012803i,-0.00077843+0.00018739i,-0.00064674-6.2908e-05i,-0.00034276-0.00053953i,0.00029614-0.00057018i
