-0.0045355-0.00012543i,-0.0044032-4.0524e-05i,-0.0043695+0.0017514i,-0.0028595+0.002856i,-0.0014575+0.0024692i,-0.00034599+0.0017201i,-0.0003354+0.0016339i,-0.00056256+0.0016983i,-0.00090369+0.0019608i,-0.00075853+0.0022806i,0.00033624+0.0015956i,0.00062474+0.00067959i,0.0004215-0.00040919i,0.00022696-0.00081106i,0.00017517-0.00054387i,0.00032329-0.00032236i,0.00080547-0.00037408i,0.0001559-5.7631e-05i,-0.00071369+0.00026507i,-0.00052756+0.00045275i,-9.3068e-05+0.00052934i,0.00078955+0.00010464i,0.00059703+0.00044363i
0.00083334-0.0020233i,0.0013664-0.0010955i,0.0019093-0.0011656i,0.0005883-0.0010942i,-0.0012441-0.0001883i,-0.0014073+0.00066515i,-0.0010207+0.0018168i,-0.001144+0.0018409i,-0.00060514+0.0010151i,-0.00041827+0.00093743i,-0.00084564+0.00011901i,-0.00027453-0.00064815i,7.3522e-05+1.8732e-05i,0.00056136+0.00054563i,0.00069483+0.00063298i,0.00018225-0.00010331i,-7.1426e-05-0.00036227i,-0.00065777+9.9533e-05i,-0.0011909+0.00036052i,-0.00024331+0.00080524i,0.00020244+0.0011345i,-0.00019721+0.00078558i,-0.00070762+0.00066262i
0.00050843-0.00094813i,0.00019681-0.0016074i,-0.0013155-0.0020759i,-0.0014572-0.0012084i,-0.0015086-0.00021295i,-0.0020314+0.00087156i,-0.00081288+0.0014447i,2.7732e-05+0.0005909i,-0.00059234+0.00019852i,-0.0017162+0.00017224i,-0.00087563+0.00019083i,0.00060414+7.543e-05i,0.0011352-8.8644e-05i,0.0010773+0.00014506i,5.7228e-05+0.00012149i,-0.00087171-0.00025332i,2.1628e-05-0.00062255i,0.00050867-0.00021182i,-0.00018975+0.00018979i,-0.00030537-7.876e-05i,-3.1689e-05-0.00063399i,0.00068954-0.00019284i,0.00013282+0.00066137i
-0.0003436+2.4221e-05i,0.00011186+0.00020243i,0.00017053+0.00069558i,0.00058176+0.00050039i,0.0011472-0.00018265i,0.00066534-0.00055276i,-0.00012528+3.1861e-05i,-0.0008972-0.00018813i,-0.0017112-0.00075017i,-0.0014769+1.0066e-05i,-0.00027355+0.00097711i,-6.7082e-05+0.00089739i,-0.00023379+0.00019069i,-0.00028581-0.00053233i,-0.00052504-0.00078521i,-0.00060742-0.00063041i,-0.00055709-0.00050352i,-0.00044519-0.00062871i,4.5051e-05-0.00037244i,3.1249e-06-7.4285e-06i,-0.00038648-0.00012971i,0.00045528-9.7074e-05i,0.00093437-0.00013606i
-0.00012496-0.001658i,-0.0020619-0.0017736i,-0.002429-0.0019246i,-0.0025523-0.0014816i,-0.0022658-0.00096617i,-0.0013871+0.00084472i,-0.001639+0.0018084i,-0.00046487+0.00095937i,0.0001091+0.00050202i,-0.0010943+0.0016175i,-0.0010938+0.0015263i,-0.00044455+0.00032421i,-0.00022329+0.00012706i,-7.8144e-05+0.00029405i,4.4233e-05-0.00029542i,0.00033201-0.0012372i,0.00069655-0.0010808i,1.7976e-05-0.0007375i,-3.4841e-05-0.001022i,0.00027693-0.0005296i,0.00044363+0.00040059i,0.00047026+0.00064655i,-0.00038497-0.0002477i
0.0012773-0.00021454i,0.001205-0.00047367i,0.0018847-0.0011565i,0.0021023-0.0010087i,0.00031387-0.0007395i,-0.0016195-0.00059841i,-0.0018221+0.00020391i,-0.0016112+0.00045481i,-0.00094933+0.00019458i,-0.00036742+0.00052208i,0.0002509+0.00094674i,0.0011535+0.00063i,0.0010286-0.0001219i,0.0005554-3.8371e-05i,0.00029702-0.00027069i,-0.0003761-0.00033856i,-0.00086538+0.00018381i,-0.00067217-4.759e-06i,-9.9105e-05-0.00042982i,0.00014083-0.0004421i,0.00015241-7.7972e-05i,-0.00010875+0.00052584i,-5.1018e-05+0.00074309i
0.00010256-0.0013984i,-9.9336e-05-0.00082566i,-0.001286-0.0019139i,-0.0025873-0.0011592i,-0.0023393-0.00041611i,-0.0016133-0.00049586i,-0.0013436+0.00017533i,-0.00090381+0.0003526i,-0.00077501+7.695e-05i,-0.00057335+0.00014428i,-0.00044927+0.00053464i,-7.8832e-05+0.00058646i,0.00096688+0.00029041i,0.0010394-0.0004397i,-0.00014407-0.00045288i,-0.00018318-0.0001313i,0.00010531-0.0002064i,-0.00026866-4.7522e-05i,7.1876e-05-6.2909e-06i,0.00058092+0.00060393i,0.00010927+0.001477i,-0.00037174+0.0013339i,-0.00013603+0.0003435i
5.2364e-05+0.0014801i,0.001538+0.0017361i,0.003085+0.00052363i,0.002335-9.1637e-05i,0.00046016+0.0005063i,-0.00054771+0.00084297i,-0.00078419+0.0012392i,-0.0010761+0.0013179i,-0.0012574+0.00064695i,-0.00083274+0.00046566i,-0.00047844+0.00071871i,0.00019244+0.00015725i,0.00072302-0.00013374i,0.0003369+0.00023155i,0.00083184-4.644e-05i,0.00049839-0.00048969i,-0.00063777-0.00097616i,-0.00084984-0.00079796i,-0.00071842-0.00013755i,0.0005128-0.00034484i,0.00071127-3.944e-05i,0.00024604-0.00036491i,0.0002671-0.00033935i
0.0017709-0.0009633i,0.0011508-0.0019935i,0.0012727-0.0019039i,0.0002281-0.001222i,-0.00094721-0.0014587i,-0.001022-0.0015849i,-0.00068203-0.0011096i,-0.00083771-0.0001465i,-0.00051432-3.0819e-05i,-0.0002682-0.00022253i,-0.00043901+0.0007014i,-0.0003546+0.00075864i,0.0002515+0.00031565i,0.00039637+4.1646e-05i,-5.0043e-05-0.00025821i,-0.00024077+6.176e-05i,0.00010918+8.1275e-05i,0.00060323+0.00022136i,-2.1599e-05+0.00075464i,-0.00060541+0.00048779i,-7.4973e-05-0.00014711i,0.00017883-9.9963e-05i,0.00014672+0.00042057i
-0.00082364-0.0020245i,-0.0017059-0.001738i,-0.0024763-0.0015928i,-0.0030434-3.9449e-05i,-0.0036815+0.0010532i,-0.0025846+0.0013034i,-0.0016558+0.0020507i,-0.001113+0.0016395i,-0.00092313+0.00020536i,-0.0012537-0.00021152i,-0.00035285+0.00054551i,0.00073956+0.0007466i,0.0007043-0.00035505i,0.00073322-0.00052931i,0.00046461+0.00041715i,-0.00031676+0.00030121i,-0.00067054+0.00038961i,-0.00051461+0.00040713i,8.1459e-05+0.00053692i,9.1586e-05+0.00073115i,0.00026245+0.00035997i,0.00021966-0.0004464i,3.8829e-05-0.00046054i
0.00054118-0.0011297i,0.00035265-0.0013391i,0.00028889-0.0013205i,0.00044192-0.0010358i,-0.00018372-0.0010354i,-0.0010275-0.0012861i,-0.0010503-0.00012239i,-0.0009357+0.0010106i,-0.00096051+0.0010877i,-0.00072333+0.0010732i,9.7779e-06+0.0014796i,0.00085751+0.00056312i,0.0010048+9.0859e-05i,0.00045774+0.00015349i,0.00031403-0.00022997i,0.00059578-0.00026805i,-7.4089e-05+0.00012299i,-0.00051953-0.00031209i,-0.00027396-0.000565i,-0.00012693+0.00028986i,0.00028893+0.00043703i,0.00026072-0.00059538i,0.00066649-0.00094264i
