-0.0011877+0.0009206i,-0.00088577-2.6003e-05i,-0.001342-0.00043575i,-0.00093732-0.00069069i,-0.0014974-0.0002416i,-0.0022156+0.0019443i,-0.0014387+0.0029327i,0.00020977+0.0026636i,0.0012182+0.0019429i,0.0017062+0.00049577i,0.0010927-0.00045983i,-0.00067019-0.00052109i,-0.0010082-0.00037148i,-0.00073473-0.00054946i,-0.00091476-0.00039672i,-0.000958+1.6396e-05i,-0.00033331-0.00012534i,0.00036452-0.00094465i,-6.1914e-05-0.00074495i,-0.00026475-3.4134e-05i,0.00018229+0.00086673i,-0.00011577+0.00096832i,-0.00063357+0.00033197i
0.0010874+0.00028286i,0.00059013-0.0010022i,0.00039216-0.003308i,0.00055433-0.0035817i,-0.00033515-0.0015382i,-0.0017566+0.00030276i,-0.0012153+0.0017208i,0.00034878+0.0022804i,0.00065255+0.00079144i,-0.00011978+0.00011455i,-0.00079182+0.0001777i,-0.00094406-0.00047014i,-0.00038858-0.00085501i,-7.5243e-05-0.00042799i,-2.293e-06-0.00029864i,0.00062993-0.00079069i,0.00091492-0.0004972i,0.0003442-0.00045622i,-3.4657e-06-0.0002992i,-0.00010187-0.00010808i,5.4927e-05-0.00014478i,-0.00013055+1.4211e-05i,-0.00023646+0.00035341i
0.00089208-0.0011684i,-0.00044015-0.00092841i,-0.001009-0.00034393i,-0.001906-0.00056625i,-0.0027716-0.00022129i,-0.0022592+0.00088691i,-0.00053511+0.001484i,0.00045148+0.00084474i,0.00011275-0.00069887i,-0.00012337-0.0015951i,-0.00055868-0.0010919i,-0.0012279-0.00046958i,-0.00067708+0.00021588i,-0.00048774+0.00035195i,-0.00044068-0.00085481i,-0.00076026-0.0012992i,-0.00037319-0.00018117i,0.00032801+0.00041745i,-0.00010784+0.0002349i,-9.8475e-05+0.0005789i,-0.00063618+0.0007069i,-0.00043856+1.3284e-05i,-0.0002693+3.6755e-05i
-0.00042873+0.0016351i,-0.00018102+0.0010393i,0.00042616+0.0012777i,0.00093837+0.00034623i,0.00075249+0.00039446i,-0.00022678+0.0013411i,-0.0006931+0.00087011i,0.00028036+0.00011875i,0.0008375-0.00026283i,0.0013185+0.00015282i,0.0010921+0.00030018i,-0.000544-1.4201e-05i,-0.00041798+0.00032579i,0.00030217+0.0004165i,0.0009854+0.0003018i,0.00095402+0.00044314i,3.6223e-05+0.00019265i,0.00034803-0.00018281i,0.00017967-0.000291i,-0.00011138-0.00028097i,0.00016736+0.00011666i,0.0008116+0.00039482i,0.0013697+0.00086632i
-0.0017336-1.4309e-05i,-0.0016823+0.00029169i,-0.001319+0.00018052i,-0.00092795+0.00025274i,-0.00054292+0.00056907i,-0.00028816+0.00087185i,0.00061857+0.00079992i,0.0011996+0.00067499i,0.00058469+0.00042466i,0.00047258+0.00037046i,0.00042059+0.00063287i,-0.00050461+0.00042041i,-0.0009374+0.00023434i,-5.4172e-06-0.00031787i,0.00078961-0.00084031i,0.00066977-0.00021395i,0.00074336-3.4371e-05i,0.00081571-0.00065783i,0.00013135-0.00060997i,-0.0003769-0.00062178i,-6.5316e-05-0.00014787i,-6.3509e-05-7.3493e-05i,-0.00082403-7.705e-05i
-0.00094613-0.0014177i,-0.0010249-0.00095063i,-0.00079274-0.00093943i,-0.001451-0.00015741i,-0.0025716+0.001124i,-0.0016096+0.0024289i,-0.0001059+0.0025924i,-0.000131+0.0017501i,0.00026513+0.00057708i,0.0010526-0.0004342i,0.00067615-0.00011384i,-0.00046071+0.00022719i,-0.0010907+9.2159e-05i,-0.00046897+7.567e-05i,0.00012103+0.00084547i,0.0005313+0.00072723i,0.0010447-0.0006232i,0.0012566-0.00070077i,-0.00019544+0.00052288i,-0.0012299+0.00067154i,-0.00079343+0.00024105i,-0.00095998+0.00011637i,-0.00085003+1.8079e-05i
0.0007166-0.00073812i,0.00015374-0.0011558i,-0.00059047-0.001266i,-0.0005149-0.00013977i,-4.7515e-05+0.00090231i,-0.00038574+0.00096561i,-0.00014087+0.0010907i,0.00026357+0.001495i,0.00079041+0.00066652i,0.00068121-0.00082731i,-0.00042325-0.00088963i,-0.0010859-0.00086839i,-0.00066072-0.0011642i,-5.0393e-05-0.000745i,0.00029043-0.00062724i,0.00016668-0.00020908i,0.00034546+3.6108e-05i,0.00059941-0.00031397i,-3.9721e-05-0.00024388i,-0.00014879-8.6817e-05i,0.00014323+0.00017149i,6.4248e-05+0.00036854i,-0.00024715+0.00055394i
-0.00061108-0.00022819i,-0.0006116+0.00068488i,-0.00032784+0.00076636i,-0.00018284-0.00026984i,-0.00030073-0.00036487i,-0.0001092+0.0011626i,0.00074737+0.0010911i,0.00050684+0.00011308i,0.00043086-0.00081022i,0.00087145-0.00092506i,0.00041074-0.00040919i,-0.0002498-0.0010053i,-0.00014733-0.0018833i,0.00095506-0.0013811i,0.0015246-0.00047852i,0.0010682+5.9694e-05i,0.00058082+0.00031038i,0.00015172+0.00052879i,3.5389e-05+0.00064326i,-0.00061359+0.0006155i,-0.00056411+0.00016216i,0.00022032-0.00016451i,-7.1926e-05-0.00025375i
-4.1931e-05+0.00015812i,0.0004941+0.00025548i,0.00044482+0.00024185i,0.00071761+0.00047285i,0.00049387+0.00042804i,-8.2811e-05+0.0011608i,6.3047e-05+0.0024257i,0.00060148+0.0022466i,0.00051937+0.0013632i,-3.0118e-05+0.00066332i,-0.00080213+0.00064174i,-0.00072782+0.00059219i,-8.789e-05+0.00037237i,0.00010899+0.00028837i,0.00028701+0.00017333i,-5.1685e-05-0.00050696i,-0.00041685-0.00021463i,0.00025429-0.00013427i,0.00049145-0.00043566i,-0.00049119-0.00060539i,-0.0011509-0.00031124i,-0.0003082+0.00034335i,0.00066479+0.00049082i
-0.0010975-0.0019188i,-0.0018575-0.0014914i,-0.0026626-0.0008458i,-0.0021735-0.00084141i,-0.0019184+9.3898e-05i,-0.0013126+0.001143i,0.00042546+0.0017735i,0.00059048+0.00097769i,0.00024877+0.00016528i,0.00010487-0.00072272i,0.00011376-0.00070803i,0.00036822+2.3194e-05i,1.6485e-05+0.00070361i,-0.00028612+0.00053919i,0.00035657-0.00021348i,0.00081974+1.9258e-05i,0.00062534+0.00035004i,0.00033756+2.2259e-05i,-0.00062252-0.0001635i,-0.00062754-0.00010341i,0.0001868-0.0002523i,0.00050187-0.00054472i,-0.00031056-0.00052617i
5.2542e-05+0.0019763i,0.00089946+0.0023848i,0.0016065+0.0011383i,0.0019394+0.0003136i,0.0015985+0.00020038i,0.00045142+0.00052618i,9.5805e-05+0.0014151i,4.0194e-05+0.001678i,0.00025117+0.0007856i,0.00052279+0.0001715i,0.00048549+0.00011802i,0.00022362+3.641e-05i,-0.00021203-0.00018401i,0.00011726-0.00072276i,0.00014086-0.00070235i,-0.00035953-0.00092694i,0.00055485-0.0011324i,0.00094377-0.00028697i,-0.00018403+0.0001706i,-0.00078624+0.00036243i,-0.00020371+0.00033i,-0.00066897-0.0001804i,-0.00086005-0.00061053i
