-0.0015099+8.274e-05i,-0.0018841+0.0014803i,-0.0022211+0.0030932i,-0.0017461+0.002808i,-0.0013107+0.0014123i,-0.001011+0.0014343i,-0.00068229+0.0019353i,-0.00045218+0.0011806i,-0.00014772+0.0007517i,0.00022232+0.00048921i,0.00046666-0.00037919i,0.0005182-0.00084546i,0.00028402-0.00074212i,-0.00021675-6.674e-05i,-0.00076786+0.00059441i,-0.0015337+0.00015595i,-0.0017255-0.00034892i,-0.0014026-0.0010093i,-0.00062271-0.0011525i,-0.00043187-0.00032992i,-0.00020381-0.00033956i,0.00079718-0.0006445i,0.00089066+3.2113e-05i
-0.00093679+0.00039546i,-0.00038587+0.0010146i,-0.00038929+0.0016101i,-0.00020834+0.0020063i,-1.7898e-05+0.0019616i,-0.00034398+0.00073988i,-0.00085365+7.5144e-06i,-0.00041435-8.525e-05i,0.00042634-0.00016827i,0.00035025-0.00050824i,0.00029363-0.00079018i,0.00016271-0.00067945i,-0.0001517-0.00052804i,-8.2455e-05-2.3566e-05i,-0.00031727+0.00018411i,-8.213e-05+0.00012789i,-0.00012027+0.00078976i,-0.000366+0.0010428i,0.00042786+0.00066413i,0.00055029+0.00028715i,-0.00032111+0.00040822i,-0.0011033-0.00033979i,-0.0010463-0.00079054i
0.0026152-0.0016826i,0.00080162-0.0029395i,-0.0010156-0.0049268i,-0.0016665-0.0045376i,-0.002339-0.0025839i,-0.0028208-0.00049915i,-0.0020238+0.0010086i,-0.00055777+0.00031636i,0.00042842-0.0010729i,0.00093328-0.0014578i,0.00078291-0.0010035i,0.00088427-0.00053842i,0.0013501-0.00034196i,0.00093094+0.00017922i,0.00025715+0.00033329i,0.00019201-0.00033902i,0.00010126-0.00050765i,0.00028216-2.9508e-07i,0.00051841-2.8366e-05i,0.00044237-0.00049615i,-0.00016087-0.00055057i,-0.00063307-0.00075289i,-7.6767e-06-0.00098955i
-0.0015659-0.00024205i,-0.0013327+0.0011907i,-0.00019923+0.0016698i,0.00031537+0.001901i,-0.00010651+0.0017708i,6.3802e-06+0.00078545i,0.00049196+0.0002848i,0.00031652-0.00028628i,-0.00026545-0.00095779i,-0.00053491-0.00034033i,4.2573e-05+0.00026252i,0.00061356+0.00013233i,0.00048351+0.00013589i,-0.00021659-6.5906e-05i,-0.00065894-0.00041275i,-0.00034481-0.00057287i,0.00021144-0.00087758i,4.4624e-06-0.0004917i,1.7747e-05+4.8564e-05i,0.00071576+9.0918e-05i,0.0011282-0.00029331i,0.00065072-0.00087211i,0.00010688-0.0011759i
0.0018202+0.00097635i,0.00036102+0.00023944i,0.00030909-0.00093803i,0.00056057-0.0011228i,0.00028231-0.0012997i,-0.00091078-0.0010023i,-0.0012268-7.3763e-05i,1.6182e-05+9.618e-05i,0.00049846-7.0851e-05i,-0.00029046-0.00017368i,-0.00061318-0.0002807i,-0.00089337-0.00036692i,-0.00066645+6.9759e-05i,0.00027358+0.00016367i,0.00072153-9.1749e-05i,0.00068112+0.00026253i,0.00071024+0.00025084i,0.00045967+0.00016947i,0.00051123+0.00046529i,0.00056523+0.00040945i,-0.00012754+0.00036994i,-0.00017912+0.00034606i,-0.00037897+0.00023556i
-0.00050911+0.0005408i,-0.00055219+5.968e-05i,-0.00045132+0.00023371i,-0.00017192-3.1689e-05i,0.00057966-0.00068614i,0.0012002-0.00049295i,0.00013361-0.00014586i,-0.0012058-0.00065251i,-0.00088269-0.0017198i,-0.00011479-0.001874i,-0.00017423-0.0018096i,-0.00013235-0.0016766i,0.00080451-0.0013459i,0.00041894-0.0012808i,-0.00095624-0.00071589i,-0.0014479+0.00040622i,-0.00068097+0.00030326i,-0.00054267-0.00052352i,-0.00050505-0.0011849i,0.0003544-0.001105i,0.000461-0.00061123i,-0.00036127-0.00043479i,-0.00070378-0.00072622i
-0.00054953-0.0014705i,0.00016515-0.00057956i,0.00076471+0.0002526i,5.4154e-05+0.0013049i,-0.00088725+0.0014518i,-0.0013761-3.1529e-05i,-0.0010441-0.00089205i,-0.00035242-6.5493e-05i,-0.00058965+9.675e-05i,-0.00025681-0.00058412i,-0.00022937-0.00061221i,-0.00070818-0.00052959i,-0.00020418-0.00052868i,-0.00011627-0.00077866i,-0.00020181-0.00070847i,0.00022943+0.0001166i,0.00088068+0.0006805i,0.00083628+0.00031872i,4.2135e-05-0.00034068i,-0.00025599+7.9707e-05i,-8.0549e-05+0.00062573i,-8.538e-05+0.00023841i,-0.0001985-0.00053746i
-0.00088907+0.0012563i,-0.001754+0.0019694i,-0.0021275+0.0017647i,-0.001105+9.3941e-05i,-0.00074806-0.00019695i,-0.00052462+0.0003164i,-0.00033005-0.0004199i,-0.00061128-0.00085296i,-0.00085409-0.00019884i,-0.00089317-3.1507e-05i,-0.00073413-0.00029891i,-0.00046079-0.00025228i,-2.8955e-05-0.00029284i,0.00029845-0.0004965i,1.1581e-05+8.4635e-05i,-9.5237e-05+0.0003488i,0.0001843+0.00014542i,2.4547e-06+0.00030559i,0.00025517-5.319e-05i,0.00051874-7.0732e-05i,0.00041782+3.9499e-05i,0.0010395-0.00069232i,0.0011282-0.00056231i
4.5015e-05-0.00054809i,0.00011706-0.00091144i,0.00080177-0.0010839i,0.00037497-0.00052243i,-0.00020627+0.00025635i,-0.00017246+0.00029481i,6.4878e-05+0.00019551i,0.00025866-0.00070544i,-0.00029263-0.0014021i,-0.00043422-0.0013905i,0.00057637-0.00079996i,0.001285-0.00040278i,0.0014181-0.00075528i,0.00088483-0.0011572i,0.0004503-0.00077616i,0.00028682+0.00014681i,8.0409e-05+0.00092087i,-0.00014732+0.00096842i,0.00014459+0.00024325i,0.0009018+7.5572e-06i,0.00094693+0.0001324i,-2.148e-05+0.00021373i,-0.00036677+0.00032328i
-0.0012911-0.00069109i,-0.00070531-0.00096164i,-0.00041769-0.00092768i,-0.00075238+0.00010025i,-0.0015695+0.00060967i,-0.0015906-0.00022332i,-0.0009202-0.0008935i,2.6159e-05-0.0013433i,-7.8398e-05-0.00050816i,-0.0010894+6.495e-05i,-0.00049539+7.2668e-05i,0.0004299+0.00039396i,0.00043147+0.00020701i,0.00016091+0.00015789i,-0.00023484+0.00023946i,-4.5273e-05-0.00033522i,0.000523-0.00065864i,0.00021582-0.0002585i,-0.00054242+0.0001816i,-0.00087801-0.00017226i,-0.0008622-0.0006381i,-0.0005046-0.00051836i,-0.00030439-0.00047871i
0.0015174-9.2286e-05i,0.0028169+0.000563i,0.0033406+0.0007256i,0.0019017+0.00017218i,0.00012865-0.00077356i,0.00039075-0.00066787i,0.0011493-0.00025954i,0.00048408-0.00024609i,2.3125e-05-0.00012524i,0.00039424-0.00089598i,-0.00012503-0.0014104i,-0.00072727-0.00097603i,-0.00094153-0.00066347i,-0.00046474-0.00078572i,1.3435e-05-0.00063443i,0.00040405-0.00014612i,1.2962e-05+0.00043173i,-0.00017437+0.00071254i,0.00068945+0.00051053i,0.0010618+0.00070012i,0.0011681+5.2849e-05i,0.0018159-0.00078492i,0.0010342-0.0010918i
