-0.0058058-0.00011051i,-0.0048197+0.00057535i,-0.0050969+0.0020446i,-0.0036398+0.0028497i,-0.00088141+0.0025355i,-0.0003534+0.0016737i,-0.00052393+0.00038314i,-7.1739e-05+0.0001463i,-0.00065822+0.00045492i,-0.00051152+0.0013087i,-0.00043277+0.0016709i,0.00034736+0.00093632i,0.00067901-9.7591e-05i,-0.00054211-0.0013546i,-0.00118-0.0018367i,-0.00078051-0.0014888i,-0.0012651-0.00035935i,-0.0015965+4.2472e-05i,-0.00078549-0.00062998i,8.8534e-05-0.00096159i,0.00052989-0.00068764i,0.00025906-0.00060539i,-0.00063983-0.00012659i
-0.00026303-0.002041i,0.00031604-0.0018573i,7.1224e-05-0.0013431i,-0.00023047-0.00044801i,-0.00093576-0.00014782i,-0.0013368+8.6655e-05i,-0.00010743+0.0008569i,0.00025674+0.00097189i,-0.00010398+0.00074473i,-5.8079e-05+0.0011355i,-0.00022683+0.0014717i,-0.00093206+0.0011428i,-0.0012742+0.00011157i,-0.00057483-0.00033675i,0.00023704-3.6688e-05i,0.00068142+5.3393e-06i,0.00045194+0.00064265i,-0.00031321+0.0012458i,-0.00019423+0.0005719i,-0.00062908-0.00016453i,-0.0011531-0.00056579i,-0.00074694-0.0004188i,-0.00021346-0.00029222i
-0.0007987-0.00060224i,-0.0011976-0.0016237i,-0.0014933-0.0018908i,-0.0002909-0.0015355i,-4.0744e-05-0.00071287i,0.00028186-0.00054783i,0.00088389-0.0006219i,0.00079065-0.00016422i,0.00054676+0.00067496i,0.00020143+0.0011924i,5.1441e-05+0.00070842i,8.5313e-05+0.00085495i,0.00047985+0.0016249i,0.00020319+0.0010083i,0.00016198+0.0007946i,0.00037242+0.0009211i,-0.00013871-0.00030654i,-0.00021736-0.00051261i,0.0007268-0.00034101i,0.00081664-0.00098876i,0.00023108-0.0013858i,-0.00024386-0.000837i,-0.00076251-0.00013325i
0.00061596-0.00022866i,0.00057638-0.00079948i,0.00032544-0.0011205i,-0.00076261-0.0010146i,-0.0020083-0.0015269i,-0.001534-0.00045016i,-0.00042452+0.0010277i,-0.00013237+0.00095984i,-0.00018836+0.00087195i,-0.00064987+0.0010077i,-0.0008982+0.00092344i,-0.00080417+0.00032377i,3.8283e-05+0.00054954i,0.00025822+0.0013005i,4.9221e-05+0.00041076i,1.3064e-05-0.00042163i,-0.00044475-6.7066e-05i,-0.00060894+0.0001475i,4.3288e-05+0.00011497i,0.00054271-0.00064904i,0.00021373-0.00071135i,0.00025679+2.534e-05i,0.00043708+0.00032029i
0.00051123-0.00046303i,0.0011153+0.00010719i,0.0010691-3.0908e-05i,-4.2599e-05-0.00060322i,-0.00019565+9.0818e-05i,0.00044747+0.00039909i,0.00084745-0.00058153i,-5.8243e-05-0.0010414i,-0.00087093-0.00016341i,-0.00040277+0.00063634i,-8.8349e-05+0.0004406i,0.00014057+0.0003878i,0.00039717+0.00079253i,-0.00020774+0.00043267i,-0.00090688-0.00017894i,-0.0004978-0.00032406i,-0.00020886-0.00022017i,-0.00056142-0.0004823i,-0.00034535-0.00096321i,-0.00036463-0.0011246i,-0.00041007-0.0011383i,-0.00031129-0.0011901i,-0.00013177-0.0014298i
0.0017805+0.001721i,0.001823+0.0011994i,0.0016343+0.00033914i,0.00047015-0.00081136i,0.0001905-0.0013584i,0.00065913-0.0009516i,0.00040112-0.00012381i,0.0004829+0.0011415i,0.00083612+0.0019135i,0.00042513+0.0011464i,0.00026484+0.00030153i,0.00039508+0.00029132i,-8.9136e-05-0.00036842i,-7.2631e-07-0.0009047i,0.00050048-0.00070556i,0.00022826-0.0005072i,-0.00012039-0.00022257i,0.00015737-0.00026422i,0.00016513-0.0012415i,-0.00043374-0.0015369i,-0.00071264-0.0010728i,-0.0004685-0.00090296i,0.00013353-0.00054198i
-0.0015778+0.00054774i,-0.0014901-0.00011993i,-0.001048+7.5055e-05i,-0.00045892+5.5892e-06i,-0.00032657-9.7826e-05i,-0.00085674-0.00047808i,-0.00083488-0.0006774i,-0.00027317+0.0003339i,-0.00020846+0.00075313i,-0.00068595+0.00098877i,-0.00078464+0.00076781i,-0.00070476-0.00035623i,-0.00072302-0.00059784i,-0.00098241-0.00058134i,-0.00048608-0.0011073i,0.00036502-0.0010272i,0.00017695-0.00021468i,-0.00018304-0.00020444i,0.00042853-0.00077453i,0.0004623-0.00060567i,-0.00033955+1.2286e-05i,-0.00051211-4.5599e-05i,-0.00011928-3.3325e-05i
-0.0006213-0.003212i,-0.002374-0.0020226i,-0.0040951-0.00096479i,-0.0046308-0.00037992i,-0.0030114+1.2219e-06i,-0.00059429+0.0013008i,0.00051674+0.00072755i,0.00016932-0.00057731i,-0.0004373-0.00069993i,-0.0010873-0.00017167i,-0.0014579+0.0007255i,-0.00058066+0.0011678i,-0.00029501+0.00019815i,-0.00040485-0.00090813i,5.3452e-05-0.00036986i,-0.00030385-0.00021583i,-0.00016553-0.00070838i,0.00060918-0.00050777i,0.00052998-0.00021613i,1.6075e-05-0.00053544i,-0.00016111-0.0007548i,-0.00031413-0.00082446i,-0.00067027+0.00027952i
-0.00068942+0.00012977i,0.0002673-0.00029995i,0.00018826+0.00021803i,-0.00074421+0.00034293i,-0.00066189-0.00055898i,-2.9037e-05-0.001195i,-0.00019055-0.00039578i,-0.000514+0.00012785i,-0.00044576+7.585e-05i,-0.0003686+0.00020003i,-0.00061185+7.4012e-05i,-0.0002464-0.00017005i,0.00013872-0.00067608i,-6.0462e-05-0.00022734i,0.00035764+0.00026993i,0.00051617-0.00034035i,0.00026337-0.00073171i,6.8738e-05-0.0003384i,-2.4189e-06-0.00044818i,-0.00035592-0.00092413i,-0.00078305-0.00071896i,-0.00038112-0.00030657i,0.00026791-0.00043331i
0.0003742-0.00011546i,0.00010075+0.0011875i,0.00043106+0.0013529i,0.0002438+0.00095773i,-8.0294e-05+0.00040763i,0.0001585-0.00030043i,5.9831e-05+3.2661e-06i,-6.5489e-05+0.00014558i,0.00015733+0.0001026i,-0.00020316+0.00043374i,-0.00055874+0.00051107i,-0.00050989+0.00048705i,-0.00022559+0.00010374i,5.7116e-05-0.00053624i,4.2371e-05-0.00020056i,0.00024635+0.00031514i,0.00049192+0.000761i,1.4775e-05+0.00096273i,-0.0010332+0.00020065i,-0.0008724-0.00024288i,9.0151e-05-0.00017482i,-9.6192e-05-0.00016535i,-0.0001874-0.00057166i
-0.0011147+0.00028348i,-0.00015327+0.00052642i,-0.0012646+0.0010388i,-0.0017516+0.00040794i,-0.0010996-0.00054027i,-0.00075934-0.00019312i,-0.00037928+6.3829e-05i,-0.00060912-0.00039385i,-0.0011293-0.00043846i,-0.00063325+0.0011867i,6.8404e-05+0.0018017i,0.00023852+0.00072715i,-0.0002179+0.0001354i,0.00046897-0.00033028i,0.00087954-0.0012079i,0.0005931-0.0013657i,5.5664e-05-0.00080295i,-0.00045097-0.00037828i,-5.5933e-05-0.00030038i,0.00023027-0.00043528i,0.00011598-0.00025632i,-0.00011963+0.00016995i,0.00022337+6.6947e-05i
