-0.0045655-0.00016591i,-0.0037+0.0017098i,-0.0030589+0.0033607i,-0.0020613+0.0036072i,-0.00058373+0.0025528i,0.0001611+0.0015978i,-0.0007101+0.00071093i,-0.001556+0.0006802i,-0.001208+0.00061781i,-0.00051094+0.00019457i,0.00039191+0.00024792i,0.00070456+0.00054103i,0.00042253-0.00021341i,-0.0001924-0.0010647i,-0.0011087-0.00164i,-0.00089409-0.0012162i,-0.00020458-0.00027419i,0.00043186-2.9391e-06i,0.00064814+0.00069327i,0.00046788+0.00049937i,0.00053503-0.00037299i,-0.00010336-0.00070866i,-0.00025826-0.00099798i
-0.001528+0.0020072i,-0.0015303+0.0021556i,-0.00037968+0.0030241i,0.00097515+0.0024808i,0.001644+0.00081071i,0.0011296-0.00038117i,0.0001338-0.00039859i,-0.00027686-0.00023227i,-0.00033328-0.00080403i,-0.00018915-0.00060325i,-0.00054177-0.00012468i,-0.00040355-0.00051084i,-0.00034203-0.00070565i,-0.00086151-0.0013309i,-0.0011659-0.0012129i,-0.001251+5.3921e-05i,-0.001065+0.00058429i,-0.00022547+0.0009437i,0.00074949+0.0010544i,0.00025377+0.00078882i,-0.00044145-9.3385e-05i,-8.5169e-05-0.00073081i,-0.00047246-0.0006833i
-0.0018493+5.9287e-05i,-0.0020952-0.00047245i,-0.000923-0.00041966i,0.00023533-0.00054861i,0.00042354-0.00057099i,0.00031287-0.00014587i,-0.00016022+0.00057975i,-0.0011544+0.0010595i,-0.0013756+0.00014448i,-0.00052991-0.00056058i,0.00026503-0.00084163i,0.00013702-0.00064996i,-0.00024986+0.00019643i,-0.00036681+0.00036875i,-0.00055804-0.00029999i,-0.00016788-0.00063143i,0.00017804-0.00041934i,0.00013096-0.00027249i,-0.00023278-0.00042841i,9.5694e-05-0.00060607i,0.00013395-0.00018997i,-0.0004599+0.00048566i,2.5477e-05+0.0010705i
0.00096609-0.00050923i,0.00045163-0.00018419i,2.3872e-05-0.00072851i,-0.00055618-0.00011107i,-0.00026382+9.8301e-05i,0.00057033-0.00019238i,0.00010781+2.0018e-05i,-0.00024381-0.00012074i,0.00010102-0.00050906i,0.00017849-0.00066621i,-7.2385e-05-0.00040409i,-0.00033342+0.00020357i,-0.0003139-0.00012852i,0.00011594-0.00074028i,0.00036899-0.00028642i,2.7037e-05+0.00013715i,-7.4864e-05+0.00017442i,0.00011135-0.00015945i,-0.00035171-0.00024422i,-0.00075749-0.00051181i,-0.0002568-0.00013997i,-6.8237e-05+0.00024434i,0.00052488-1.7545e-05i
-0.0004733+0.002935i,-0.00043918+0.0039749i,0.00087955+0.0031593i,0.0002854+0.00015083i,-0.00016712-0.0014867i,-0.00024555-0.001056i,-0.0010089+0.00012754i,-0.00088946+0.00037703i,-0.00025909-0.00010268i,-0.00033008-0.00088676i,-0.00035348-0.0015286i,-0.00019094-0.0010943i,-0.00028001-0.00083835i,-0.00022223-0.00049161i,0.00046573+0.00021786i,0.00072959+0.00034433i,0.0005283+0.00064962i,0.00052471+0.000453i,7.0903e-05+0.00034415i,0.00019125+0.00045284i,0.00072965-8.4942e-05i,-1.9789e-05-0.00035482i,-0.00074246-8.0303e-05i
-0.0010217+0.00029763i,-0.0011042-0.00028934i,0.00052957+0.00030452i,0.001811+0.00048658i,0.0019233-0.00012056i,0.00069673+0.00061079i,-0.00089595+0.0014709i,-0.0016693+0.00093396i,-0.0012288+0.00023353i,-3.6879e-05-0.00056894i,-0.00049262-0.0010433i,-0.0014847-0.00035i,-0.0015218+0.00044981i,-0.00078745-6.447e-06i,0.00035215-0.00052419i,0.00069936-0.00044634i,-0.00019501-0.00021694i,-0.00027133-3.0843e-06i,0.00021334+0.00013602i,-0.00047776+0.00036109i,-0.00060438+0.00031243i,-7.2181e-05-0.00019029i,0.00015839-1.3597e-05i
0.0005125-0.0019606i,0.00061308-0.0025203i,0.00016141-0.0017416i,-0.0011064-0.0012029i,-0.0011139-0.00088002i,-0.00010954-0.00051959i,-2.0909e-05-0.00015551i,0.00024361-0.00057073i,0.00061639-0.00099448i,-2.3095e-05-0.00089776i,-0.00052592-0.00016042i,-3.3039e-05+0.000718i,-0.00014617+0.0012224i,-0.00028755+0.00056303i,-6.3279e-05-0.00021328i,-0.00072486+0.0007085i,-0.00092568+0.0010442i,-0.00033835+0.000419i,-0.00021035+0.00028718i,-0.00049924+3.4942e-05i,-0.00024131+0.00014119i,-0.00012856+0.00020729i,4.8791e-05-0.00043441i
0.0016201+0.0030911i,0.0026237+0.0014547i,0.0030389+0.00019084i,0.0032836-0.0010829i,0.0027723-0.0016873i,0.0014721-0.0017305i,0.0003757-0.0010513i,-0.00016286-0.00028563i,-0.00078974-5.824e-05i,-0.0010129-0.00022148i,-0.0011226-0.00048501i,-0.00097265-0.00020562i,-0.00087436+0.00025377i,-0.0010586+0.00064841i,-0.0012636+0.0011183i,-0.0005223+0.00077637i,3.2042e-05+0.00036703i,-0.00017623+0.00053278i,-0.000266+0.00057305i,-0.00022238+0.00058372i,-0.00021887+0.00091839i,-0.00019104+0.00066808i,0.00052583-0.00033108i
-0.00087708+0.00013879i,-0.0012308-0.0004196i,-0.00020005-0.00026044i,-0.00029326+0.00023453i,-0.00027373+0.00038621i,0.00026092-0.00037948i,-0.00036122-0.0007278i,-0.00066015+6.7278e-08i,-0.00023733-8.4373e-05i,-0.00011262-0.0010367i,-0.00021313-0.0013828i,-0.00078138-0.0010713i,-0.00093731-0.0010075i,0.00011067-0.0007703i,0.00032621-4.2188e-05i,-0.00014372+0.00047664i,5.9525e-06+0.00034481i,-0.00010433-0.00017429i,-0.00060598-0.00069312i,-0.00060944-0.00043027i,-0.00032841+0.00018928i,-1.1959e-05-0.00023454i,0.00013849-0.00078702i
-0.00015603-0.0010927i,-8.3947e-05-0.00089366i,0.00022274-0.00057433i,-3.6162e-05-0.00068591i,-0.00040309-0.0008047i,-0.00055715-0.00015493i,-0.00073953+0.00068564i,-0.00090767+0.00077338i,-0.00044005+2.0194e-05i,0.00030462-0.00073683i,-0.00030521-0.00052475i,-0.0010192-0.00015704i,-0.0011969+4.0604e-05i,-0.00097217-0.0003679i,-0.00072904-0.0013001i,-0.00079014-0.0010328i,-0.0008861-0.00069588i,-0.0011073-0.00062359i,-0.0004326-0.00095453i,0.00071556-0.00045239i,0.00066549+0.00044065i,-0.00019663+0.00033464i,-0.00083548-0.00013513i
-0.00056981-0.002073i,-0.00017021-0.0015448i,-0.00033585-0.00049972i,-0.0008155+0.00034073i,-0.00085469+0.00078743i,-0.00011856+0.00070679i,0.00011201+0.00049213i,-0.00025074+4.9155e-05i,-0.00053944-9.7598e-05i,-0.00068748-2.0166e-05i,-0.00080423-0.00016378i,-0.00059381-8.9068e-05i,-0.00087762+0.00017075i,-0.0010523+2.8722e-05i,-0.00032056-1.904e-05i,-0.00020066-0.0001422i,-0.00028106-0.00050857i,-0.00029637-0.00030814i,-0.00089163-0.00014907i,-0.00078919-5.5086e-05i,-0.00036906+9.2547e-06i,0.00038221-0.00091259i,0.00057299-0.0010352i
