-0.0032831-0.00034602i,-0.0027127-0.00037871i,-0.0029491+0.0011999i,-0.0015087+0.0026861i,-0.00026023+0.0031893i,0.00088546+0.0023377i,0.00026456+0.0015379i,-0.0010818+0.0017636i,-0.0015774+0.001601i,-0.00068951+0.0013461i,0.0007858+0.00031213i,0.0013836-0.00061989i,0.00094032-0.00068494i,0.00017392-0.00033646i,5.585e-05+0.00015724i,-0.000201+3.0078e-05i,-0.00035289-0.00084606i,0.00055402-0.0011921i,0.00063265-0.00056671i,7.2843e-05-0.00010533i,2.5531e-05-0.0001373i,0.00023421-6.2471e-05i,0.00036952-5.565e-05i
0.0009396-0.0027601i,0.00067447-0.0022107i,-6.2158e-05-0.0025355i,-0.00053118-0.0018357i,-0.00083794-0.0012469i,-0.0009605-0.00052117i,-0.00089135-0.00018276i,-0.0010188-0.00035398i,-0.0013265-0.0010024i,-0.0010417-0.00091777i,-0.00028142-7.2428e-05i,0.00043694+0.00044774i,0.00028705+0.00045744i,-5.1726e-05-7.0473e-05i,0.00031287-0.00024391i,0.00027512-0.00040633i,-0.00052151-0.0005759i,-0.00090123-0.00094737i,-0.00091246-0.00055329i,-0.00042149-0.00028626i,0.00033955-0.00079565i,0.00031969-0.00036464i,0.00025865-0.00019909i
-0.00033155+0.0014562i,0.00097188+0.0026589i,0.0017791+0.001916i,0.0015789+0.00024592i,0.00054323-0.00092592i,-0.00024494-0.00096499i,7.828e-05+0.00010457i,9.433e-05+0.00044097i,-0.00043362+0.00018689i,-0.00013978+0.00052601i,0.00030174-0.00020977i,0.00017973-0.0014768i,0.0002477-0.00144i,2.8856e-05-0.00079908i,-0.00048235-0.00024395i,-0.00027574-0.00073811i,-8.9206e-05-0.00081139i,0.00034655-0.00032823i,0.00075542-0.00042771i,0.00045402-0.00036005i,0.00035182+7.9723e-05i,0.00040128+0.00026377i,0.00012413+0.00074712i
-0.00033859+0.00067426i,-0.00065718+0.00055584i,-0.00085802+0.00039004i,-0.0010988+0.00078367i,-0.00063483+0.0009819i,0.00029354+0.00035789i,0.00010212+0.00017035i,-0.00035942+0.00046383i,-0.00075569+0.00014174i,-0.00036744-0.00023412i,0.00029174-0.00026827i,1.251e-05+4.8795e-05i,0.00046301+0.00030058i,0.00068842-0.00062133i,0.00056028-0.0012025i,0.0001366-0.0010906i,-0.00036907-0.00050598i,-0.00013769-1.0177e-05i,0.00065897-0.0001037i,0.0017672-0.00037575i,0.0015922-0.00033093i,0.00070966-0.00031983i,0.0003578+0.00035088i
-0.00010218-0.0013646i,0.00054483-0.0025274i,0.00033556-0.0027663i,-0.00054791-0.0015289i,-0.00037339-0.00077928i,8.7435e-06-0.00037701i,0.00021963-0.00064296i,0.00020953-0.0012581i,-0.0002039-0.0009684i,-0.00025763-0.00036676i,-0.00026153-5.2413e-05i,-0.00040982+0.00030037i,0.00026476+0.00043474i,0.00075531-3.4827e-05i,0.00091368-0.00032258i,0.0011331-0.00038162i,0.00079565-8.3084e-05i,0.00041892+0.0005981i,9.7829e-05+0.00022598i,-0.00019169-4.0081e-06i,-0.00032115+0.0006466i,0.00015565+0.0012459i,0.00045187+0.0015709i
0.00064077-0.0016917i,0.00034915-0.0010291i,-6.3102e-05-0.00084419i,-8.0813e-05-0.00077733i,-0.00075175-0.00010192i,-0.00039224+0.00057951i,-0.00022249+0.0005701i,-0.00025696+3.6697e-05i,0.00023422-0.00062334i,0.00012312-0.00030631i,0.00025691+0.00073302i,-8.2802e-05+0.00050161i,-0.0010819-0.00052657i,-0.0009615-0.00094155i,-4.7298e-05-0.00059949i,0.00017595+8.9362e-05i,-0.00033842+0.00053064i,-0.00065071+0.00035275i,-0.00091148+0.00034916i,-0.0011703+0.00058176i,-0.00035345+0.00023159i,-0.0002089+0.00031772i,-0.0004087-1.9514e-05i
2.0864e-05-0.00037475i,0.00034803-0.00064294i,0.0012507-0.0012813i,0.00071015-0.00068776i,-0.00017555-0.00025693i,6.0111e-05-0.00090229i,0.00040871-0.00047638i,-0.00012499-0.00017827i,0.00044088-0.00043883i,0.000901-5.584e-05i,1.2249e-05+0.0001449i,-0.00047843-0.00018619i,-0.0008365+0.00016789i,-0.00093765-0.0001104i,-0.00065824-0.00037673i,-0.00022768+7.761e-05i,-5.6264e-05+0.00038559i,0.00028541-9.3891e-05i,0.00076643-0.00092438i,0.00086359-0.0004325i,0.0003082-0.00033081i,-0.00024285-0.00026608i,1.6974e-05-0.00021419i
-3.1724e-05+0.00050209i,0.0005186+0.00063551i,0.00024727+0.0014437i,0.00017911+0.00055046i,0.00034465-0.00056226i,-0.00016798-0.0010881i,-0.00066779-0.0007188i,-0.00033562+2.7186e-05i,-0.0004443+0.00067514i,-0.00033489+0.00030887i,-0.00017944-0.00013883i,-0.00064434+0.00026309i,-0.00050202-1.4953e-06i,-0.00018213-0.0002317i,6.1811e-05+0.00046483i,0.00029118+0.00051617i,-4.9274e-05-0.00024808i,-0.00020195-0.00063976i,0.00036394+2.5242e-05i,0.00075313+0.0006197i,-0.00015481+0.00025065i,-0.00086235-5.9897e-05i,-0.00056872-0.00019438i
-0.00027675+0.0015671i,-0.00037129+0.0021368i,0.00031029+0.0011294i,0.00097852+0.00043871i,0.0007862+0.00088363i,8.4411e-05+0.00092917i,-0.00082633+0.0013047i,-0.0007863+0.00096355i,-0.00039213+0.00024661i,4.3597e-05+0.00019626i,0.00069857+0.00021441i,0.00030611+0.00043673i,0.00011556+0.00063069i,0.00045937+0.000479i,0.00036343+0.00043639i,0.0006549+0.00081774i,0.00086232+0.0014306i,-1.2053e-05+0.00083119i,-0.00064293-0.0008842i,0.00013676-0.0012584i,0.0003788-0.00065829i,0.00033244-0.00011936i,0.00033927+0.00052154i
0.003175-0.00019935i,0.0031883-0.0014887i,0.0033797-0.0018083i,0.0017449-0.0012694i,0.00049229-0.0017771i,-0.00011285-0.002007i,-0.0010828-0.00072681i,-0.00068824+0.00050712i,0.00011584+0.0002894i,-0.00026284+0.00015351i,-0.00074189+0.00040138i,-0.00031851+0.00017103i,-0.00025428-0.00012085i,-0.00067695-0.00014451i,-0.00034816+0.00018244i,-0.00034016+0.00011004i,-0.00032518+2.7361e-05i,-3.9064e-05+0.00022431i,-0.00031229+0.00044292i,-0.00026092+0.00023117i,8.5708e-05-0.00033444i,-8.7654e-05-0.00051498i,0.00010283+0.00011928i
0.00096368+3.0146e-05i,0.00062389+0.00022048i,0.00044567-0.00056553i,-0.00041433-0.0016158i,-0.001115-0.0017647i,-0.0011773-0.00097908i,-0.00066522+4.3525e-05i,-0.00010038-0.00010276i,-0.00033595+0.00019296i,-0.00077957+0.00012435i,-0.00052264-5.3476e-05i,-0.00020168+0.00014554i,6.0482e-05+0.0005183i,0.00036832+0.0004286i,0.0010221-0.00029123i,0.00048154+0.00034066i,-7.5045e-05+0.0009686i,7.3524e-05+0.00058928i,-0.0002561+0.00043077i,-0.00012329+0.00056217i,0.00053279+0.00044656i,0.00091296-0.00014345i,0.00076787-0.00042347i
