0.0003508+2.564e-05i,0.00079663-0.00058214i,0.00050819-0.0006306i,6.3114e-05-0.0013787i,-0.00035286-0.0018714i,-0.00049821-0.0016612i,-0.00027413-0.00017876i,0.00074767+0.00042927i,0.0017868+1.044e-05i,0.0011317-0.00040327i,0.00014186-0.0013857i,-0.00036221-0.00099814i,-0.00089204-0.00056304i,-0.00030047-0.00019249i,0.00017329+0.00036148i,-2.7539e-05-0.00050901i,0.00014652-0.00020134i,0.00016071+0.00046255i,0.00030277+9.5847e-05i,9.2044e-05-0.00026157i,-0.00018081+0.00021957i,-8.3667e-05-4.5105e-05i,-0.00020011-0.00095615i
0.00012047+1.6675e-05i,2.4594e-05-0.0010672i,0.00033713-0.0024447i,0.0013304-0.0031649i,0.00172-0.0033654i,0.0014788-0.0030997i,0.0014931-0.00218i,0.0010558-0.00062109i,-0.00013623+6.8097e-05i,-0.00019001-0.0010465i,-8.3621e-05-0.0014397i,-0.00033866-0.0011203i,-0.00027325-0.0012069i,-0.00039892-0.00045623i,0.00018166+0.00023871i,1.477e-05+0.00015304i,-0.00010023-0.00034715i,0.00039431-0.0003303i,0.00040336-2.2437e-05i,0.00029236+8.6093e-05i,0.00037506+0.00065618i,0.00045448+0.00038822i,0.00031791-0.00062777i
-0.0010242-0.00083797i,0.00045771-0.0013757i,0.00089539-0.00094109i,0.0015124+7.9106e-05i,0.0018629+1.6139e-05i,0.0010533-0.0011754i,0.00093715-0.0022674i,0.00075499-0.0015857i,-9.6158e-05-0.00050616i,-0.00067738+8.1487e-05i,-0.0005905+0.00044076i,-7.3732e-05+0.00036213i,-0.00022379-0.00036313i,-0.00021983-0.00088928i,0.00023111-0.00049996i,-0.00013601-0.00032072i,-7.0762e-05-0.00053755i,5.7376e-05-0.00093949i,-4.9852e-05-0.00054301i,0.00023049+0.00066723i,0.00044106+0.00063342i,0.00096076-0.00028847i,0.00060423-0.00036348i
0.00066983-0.0021268i,-0.00052862-0.0012338i,-0.00080448-5.7479e-05i,-0.00077974-0.00035519i,-0.00023432-0.0015011i,0.00073074-0.0019729i,0.00075116-0.0012623i,0.00051511-0.00027914i,0.0002014+0.00016694i,0.000174+0.00021229i,3.5038e-05-4.4787e-05i,5.2728e-05-0.00037844i,-0.00025076+0.00018019i,-0.00063958+0.00056538i,-0.00052004+0.00025709i,-0.00023973+0.00052683i,-0.00036103+0.00079321i,-0.00027695-0.00017634i,0.00048929-0.0004391i,0.00052625-0.00034929i,-0.00087172-0.00072085i,-0.00041838-0.00094146i,0.00028227-0.00079218i
0.0012493+0.00020642i,0.0016337-0.0011387i,0.0013458-0.00093059i,0.001309-0.0019037i,0.0012868-0.0037101i,0.0013378-0.0038282i,0.001271-0.0026157i,0.00085166-0.0013565i,0.000546-0.0009256i,-9.1279e-05-0.00092778i,-8.3654e-05-0.00060002i,0.00035674+0.0002613i,-0.00019347+4.0088e-05i,-0.00024795-0.00065774i,0.00037241-0.00058289i,0.00043796-0.00054103i,0.0003643+5.8425e-05i,0.00054909-0.00010196i,0.00048639-0.00041855i,-0.00029508+0.00030128i,-0.00049107+0.00045468i,-0.00056876-0.00018289i,-0.00069034-0.00054505i
0.00040495+0.00065113i,-0.00048288+0.00093506i,-0.00087319+0.0012058i,-0.00066386+0.00039467i,-0.00021338-0.0010994i,0.00065374-0.0026477i,0.0010971-0.0025309i,0.0006641-0.0013009i,-7.5298e-05-0.00026818i,-0.00082214+0.00019182i,-0.00040562+0.00033819i,1.88e-05-0.00039404i,9.9848e-05-0.00061579i,0.00061668+3.6924e-05i,0.00039071+0.00063512i,-0.00019314+0.00049721i,-0.00027541-0.0001876i,0.00018735-0.00057644i,0.00013946-0.00033596i,-0.00049913+5.8888e-05i,-0.00041258-3.7197e-05i,-0.00068524+7.7122e-05i,-0.0012085+0.00013514i
0.00036904+0.00056759i,8.0751e-05+0.00011523i,2.141e-05-0.0021287i,0.00055819-0.0026368i,0.00109-0.0023804i,0.00096618-0.0019273i,0.00059717-0.00095437i,0.00029486-0.0001709i,-0.00036927+0.00015252i,-0.00081298-0.00029097i,-0.00078806-0.00029593i,-0.00053183+0.00014339i,-0.00052093-2.9156e-05i,-0.00056571-0.00063819i,-0.00065317-0.0010434i,-0.00071086-0.00090059i,-0.00092971-0.00043543i,-0.00061264-8.4323e-05i,0.00061804+0.00063128i,0.00031764+0.00060736i,-0.00094759-0.00052267i,-0.00086955-0.00085725i,-0.00028343-0.00065462i
0.002083+0.00019658i,0.0025679-0.00015277i,0.0024986-0.00078451i,0.0014874-0.0027637i,0.0010737-0.0040938i,0.00059629-0.0034784i,0.00075781-0.0024286i,0.0011477-0.0014909i,7.6293e-05-0.00093442i,-0.00069407-0.001241i,-0.00054042-0.00068313i,4.5594e-05+0.00043471i,0.00010856+0.00010538i,-0.00034273-0.00036823i,-0.00034952-0.00025183i,2.4507e-05-0.00030802i,0.00054629-0.0002189i,0.00025073-5.0413e-05i,-0.00017274+0.0002487i,-0.00049436+0.0006645i,-0.00028109+0.00055489i,-0.00011494+0.00025725i,-0.00026479-0.00059749i
0.0002044-0.0011263i,0.0006345-0.0014883i,0.00069879-0.00092968i,0.00026712-0.0010116i,-0.00038343-0.0021457i,-0.00056893-0.0018835i,0.00037728-0.0006382i,0.0006726-0.00067503i,0.00032155-0.00091032i,0.0001113-0.00026284i,-0.00038561+0.00017787i,-3.3615e-05+0.00014925i,0.00051323-0.00038518i,-0.0003601-0.00080642i,-0.00063627-0.0012432i,-0.00021385-0.0012908i,-0.00015118-0.0011793i,0.00028944-0.00057735i,-0.00030959+0.00038479i,-0.0005572+0.00021582i,0.00039278+0.00046299i,0.00029917+0.00023082i,-0.00014262-2.7827e-05i
-0.001918-0.00080636i,-0.0015516-0.00046181i,-0.0011394+9.9426e-05i,-0.00056464-0.0011535i,0.000847-0.0022234i,0.0018691-0.0019231i,0.0015499-0.0010271i,0.0013193-0.0006412i,0.00099467-0.00019639i,0.00071921+0.00016104i,-0.00048792+0.00037381i,-0.0015159+0.00095743i,-0.0014481+0.00044336i,-0.00064726-0.00025163i,0.00033818-0.00012236i,0.0002858-0.00011579i,9.3441e-05-0.00031014i,0.00010175-0.00044961i,0.00038638-0.00082405i,0.00070595-0.0012781i,0.00038483-0.0013825i,-1.1335e-05-0.00094791i,-0.00055583-0.00095526i
-0.00034222-0.00029205i,3.4402e-06-0.00034685i,0.00028507-0.001073i,0.00056805-0.0018523i,0.001192-0.0022389i,0.00083075-0.0023768i,0.00052318-0.001793i,0.00055019-0.001418i,0.00077533-0.0012055i,0.00099716-0.0010415i,0.00072755-0.00059118i,0.00014001-0.00066087i,0.00050179-0.0011177i,0.0013992-0.00098804i,0.0014296-0.00084483i,0.00098162-0.0004941i,0.0011541+0.00019175i,0.0012124+0.0004486i,0.00077576+0.00074019i,0.00036923+0.00033992i,0.00035623-0.0004909i,0.00050276-0.00046008i,0.00023528+0.00013569i
