-7.3284e-05-0.0003496i,0.00027399-0.00076315i,-0.00032464-0.0020356i,-0.0015562-0.0024651i,-0.0016403-0.0007323i,-0.0019669+0.0012411i,-0.00183+0.00074363i,-0.00055022+0.0010754i,0.00017287+0.0021502i,0.00081558+0.0011249i,0.0007264+3.2406e-05i,0.00017886-0.00029515i,5.0809e-05-0.00023123i,-0.00031531-1.0997e-05i,0.00033995-0.00015113i,0.0010377-0.00014904i,0.0007416+0.00048613i,0.00062316+0.00051033i,0.00097757+0.00011492i,0.0014938+0.00026652i,0.0014009+0.00013474i,0.00050953-3.4294e-05i,1.0505e-05-0.00036164i
-0.0003048+0.00058749i,-0.00083342-3.0401e-05i,-0.00077369-0.00047136i,-0.00086454-0.00051998i,-0.0012735-0.00050449i,-0.0017211-0.00091897i,-0.0011844-0.00083367i,-0.00094135-0.00031148i,-0.00022012-7.2212e-05i,0.0012576-0.00014068i,0.0010439-0.00019748i,-3.972e-05-8.2692e-05i,-0.00058099+0.00021076i,-0.0011097+0.00011527i,-0.00064498+0.00048048i,-9.4619e-05+0.0003258i,0.0003074-0.00066141i,0.0010592-0.00084574i,0.00054641+2.1716e-05i,-0.00037658+0.00041394i,-0.00033329-0.00022684i,-0.00044107-0.00077021i,-0.0006269-0.00078681i
-0.0013279-0.00018818i,-0.0012588+0.00039569i,-0.0014464+0.00074467i,-0.00048146+0.00051805i,0.0011872+0.00050201i,0.0013778-0.00010771i,0.00060019-0.000703i,-5.4534e-05-0.00035212i,-0.00044182-2.751e-05i,-0.00027753+0.00035133i,5.0849e-05+0.00068911i,0.0007221+0.00032123i,0.00081597+0.00027867i,0.00024707+4.2403e-05i,-0.00054918-0.00050491i,-9.6914e-05-0.00017604i,-0.00012251+0.00027362i,-0.00041745-0.00025522i,2.7328e-05-0.001001i,-0.00037615-0.00078966i,-0.00090086-0.00055548i,-0.00058894-0.00093281i,-0.00025641-0.00078563i
-0.0026171-0.00084383i,-0.0024465-0.00046504i,-0.0014993+0.0010464i,0.00038925+0.0012462i,0.0012835+0.00027995i,0.00045295-0.00093724i,-0.00073337-0.0010576i,-0.0009099+0.0002797i,0.00030379+0.0014747i,0.0018344+0.0014337i,0.0018031+0.00080625i,0.0011434+0.00033806i,0.00095184+0.00015898i,6.2477e-05+6.1019e-06i,-6.8086e-05+0.00030936i,-0.00017643+0.00052441i,0.00018463+0.00039275i,0.00084305+0.00093604i,-3.3115e-05+0.0012566i,-0.0013871+0.00099218i,-0.0015154+0.00013793i,-0.00079584-0.00037086i,-0.0006271-9.7705e-05i
-0.0019161+0.00052806i,-0.0025718+0.0005626i,-0.0018889-0.00024923i,-0.00021269-0.00049061i,0.0012537+0.00013965i,0.00058539+0.00020594i,-0.0010979+0.0001399i,-0.0014018+0.0003491i,-0.00094596+0.00025987i,-0.00010365-0.00042222i,0.0012435-0.00016956i,0.00096839+0.00050056i,-0.00020421-0.00012824i,-0.00059174-0.00072744i,-0.00017723-0.0002705i,0.00016201+0.00065174i,0.00017293+0.0010421i,9.435e-05+0.001025i,-6.8797e-05+0.00053826i,-0.00012721-3.3634e-05i,-0.00024081-0.00018862i,-0.00069197+2.5167e-05i,-0.00088021-0.00019482i
-0.0011358+7.7299e-05i,-0.0021628-4.8821e-05i,-0.0020042-0.00011966i,-0.0012949-0.00011376i,-0.00083023-7.8508e-05i,-0.0013791-0.00055592i,-0.0021123-0.00030386i,-0.00088484+0.00050197i,0.0010845+0.00052137i,0.0014722+0.00050415i,0.0013793-0.00012099i,0.0012537-0.00010857i,0.00081856+2.8176e-05i,-6.2477e-05+0.00030975i,-0.00025724+0.00019169i,0.00031716+0.00026605i,0.00040605+0.0012042i,0.0003399+0.00048875i,0.00059413-0.0006836i,0.00018786-0.00075601i,-5.9335e-05-0.00027846i,-0.00010276+0.000365i,-0.00073456+0.000811i
-0.0015141-0.0009515i,-0.00090334-0.00054737i,-0.00044023+3.5482e-05i,-0.00056266+0.00055588i,-0.00080401+6.2229e-05i,-0.00041082-0.0012842i,-0.0003341-0.0013161i,-8.6175e-05-9.7032e-05i,0.00026016+0.00068119i,-0.00027117+0.00098296i,0.00037392+0.00038792i,0.00075751-0.00033053i,0.00014256+8.0279e-06i,-0.00073594-8.7006e-05i,-0.00062053-0.00015449i,-8.0297e-05+3.9213e-05i,9.813e-05+0.00010861i,0.00081799+3.9582e-05i,0.00072901+5.0642e-07i,0.00050066-7.3372e-05i,0.00034427-0.00064211i,-0.00024289-0.00078223i,-0.00030441-0.00071156i
-0.0010432-0.0011677i,-0.00085617-0.00042598i,-0.00042505+0.00095482i,-0.00087996+0.00089072i,-0.00047082+1.4597e-05i,0.00049535-0.0011506i,8.7586e-05-0.0011833i,-0.00079558-0.00076109i,-0.00041605-0.00017402i,0.00032435+0.0004909i,0.0003207+0.00011282i,0.00028109-0.0007868i,0.0011161-0.00063147i,0.0010698-0.0003629i,9.9515e-05-0.0002778i,-0.0006395+0.00026502i,-0.00040206+0.00089352i,-7.7637e-05+0.00096958i,0.00010286+0.00058265i,0.00037374-1.809e-06i,0.00072333+0.00080411i,0.00017507+0.0014915i,-0.00049203+8.5157e-05i
-0.0014021+0.00027193i,-0.0020823-5.37e-05i,-0.0015294-0.00065736i,-0.00015941-0.00029081i,0.00034209+0.00047319i,-0.00014772+0.0010014i,-0.00034075+0.00045579i,-0.00054238+0.00018165i,-0.00026489+0.00064072i,-0.00018072+0.00073416i,-0.00047336+0.00064226i,-0.00021936+0.00042114i,0.00058405+0.00019568i,0.00038907+0.00016981i,-0.00062492+0.00078678i,-0.0010952+0.0010771i,-0.00070098+0.00029569i,-4.9996e-05+0.00019337i,0.00034089+8.5793e-05i,-0.00038201-1.4762e-05i,-0.0010956-1.7519e-05i,-0.00040794-0.00039321i,0.0003361-0.0002493i
-0.0027406-0.0012223i,-0.0024275-0.0012091i,-0.0017122-0.00027111i,-0.0016931+0.0011601i,-0.00068848+0.0017543i,0.00054849+0.0014911i,0.0004167+0.0013578i,0.00027771+0.00048991i,0.00062552+0.0002576i,0.00025034+0.00058187i,-8.7856e-05-0.00013018i,-0.00029695-0.0010393i,-2.1602e-05-0.0014537i,0.0007271-0.0010423i,0.00096754-0.00011886i,0.00053551+0.00040017i,0.00014994+0.00026873i,-9.8882e-05-0.00016252i,-0.00019385-1.6183e-05i,-0.00024141-0.00029537i,0.00030197-0.00082609i,0.001091-4.6978e-05i,0.00099756+0.00057678i
-0.0010795-0.00052172i,-0.0014923-0.00021647i,-0.0017982+0.00043406i,-0.00055873+0.00043125i,0.0012324+0.00031633i,0.0016451-0.00014148i,0.00043237-0.00053963i,-0.0012978+0.00049426i,-0.0011193+0.0012074i,6.3436e-05+0.001819i,0.00016679+0.001167i,0.0005564+0.00042091i,0.0012804+0.00064729i,0.0011214+0.00014042i,0.00027374+0.00042172i,-0.00032795+0.00062604i,3.9835e-05+0.00023343i,0.00087648+8.8809e-05i,0.00084953-0.00024951i,0.00045167-0.00030495i,0.00023704-0.00074621i,1.8819e-05-0.0017533i,-0.00020021-0.0016469i
-0.0010474-0.00057534i,-0.0012361-0.00045252i,-0.0018186-0.0011182i,-0.001301-0.0001632i,-0.00058792+0.00095189i,0.00028862+0.00060281i,0.00083561+0.00025367i,0.0010714+0.00076486i,0.00099873+0.00089272i,0.00042166+0.00024407i,4.2008e-05-8.2047e-05i,-0.00018572+7.4158e-06i,0.00014889+0.00063229i,1.4625e-05+0.00038691i,-0.00029062+0.00014232i,0.00045564+0.00079017i,0.00094909+0.00061485i,0.00046079+0.000662i,-0.00035417+0.00045712i,-0.00013962-0.00064758i,-1.6236e-05-0.00062721i,-5.7996e-05-0.00052628i,0.00064309-0.00020591i
