-0.0013304+0.00018557i,-0.0012618-0.0011597i,-0.0013524-0.0012358i,-0.0013211-0.0010294i,-0.0011266-0.00034931i,-0.001017+0.0010688i,-0.00024539+0.001565i,0.00058644+0.0012653i,0.0011787+0.00073626i,0.001466+0.00038235i,0.0010505+5.0491e-05i,0.00085699-3.4773e-05i,0.00088123-0.00040989i,0.00019346-0.0010232i,-0.0007969-0.00076568i,-0.0011904+0.00079703i,-0.00061491+0.0011893i,0.00014388+0.00068684i,0.00048319+0.00055482i,0.00051578-1.8669e-05i,0.00061374-6.5876e-05i,0.00023619-0.00030272i,-0.00039539-0.00012756i
-0.00080347+0.0011205i,0.0006795+0.00028382i,0.0010085+0.0007459i,0.000778+0.0013091i,0.0010185+0.0011116i,0.0011426+0.00099459i,0.00074334+8.6759e-06i,0.00019125-0.00064403i,-0.00037195-0.00034537i,-6.739e-05+4.2529e-05i,0.00033996-9.5695e-05i,0.00030025-0.00043047i,-0.00014979-0.00026734i,-0.00014665+0.0002137i,0.0002078+0.00073277i,-0.00064867+0.0011923i,-0.00092097+0.0011263i,-0.00050772+0.00066039i,-0.00043876-0.00012076i,-0.00035978-0.00034547i,-0.00027342+0.0003867i,-0.00051804+0.00072267i,3.9286e-05+0.00074526i
-0.00044069-0.00029066i,0.00023974+0.000989i,0.00053623+0.0012742i,0.00033606+0.0010229i,0.00016353+0.00052964i,-0.00041055+5.0779e-05i,-0.00086111+0.00043843i,-0.00073791+0.00023567i,-0.00033974+6.7488e-05i,0.00059924-0.00039024i,0.00075894-0.0003778i,1.5023e-05-4.8371e-05i,0.00014397+9.3482e-05i,0.0003486+0.00077345i,3.1362e-05+0.00047389i,-0.00014996+0.00032328i,-0.00036581+1.8495e-05i,-0.0011385-0.00037284i,-0.0010508-0.00047748i,-0.00060144-0.00032366i,-0.00023577+5.0466e-05i,0.00018057-0.00032137i,-0.00014869-0.00097975i
-0.00028764+0.001791i,-0.00062254+0.0014664i,0.00014015+0.0005862i,0.00091023+4.5769e-05i,0.0011123+0.00022703i,0.00044125-0.00074134i,-2.3263e-05-0.0013236i,0.00020783-0.0005858i,0.00013605-0.00032637i,0.00012148-0.00025049i,0.00037343+1.7155e-05i,0.00063539-0.00010072i,4.0969e-06-0.00029138i,-0.00070034-0.00028809i,-0.0010628-2.2491e-05i,-0.00094557-3.69e-05i,-0.00011168+0.00014918i,0.0004944+0.00034522i,0.0008403+0.0002251i,0.00022935-0.00016309i,-0.0004451-0.00076025i,-0.00090498-0.00066898i,-0.00064715+0.00016387i
-0.00031319+0.00031174i,-0.000155+0.00017243i,0.00070061-0.00025798i,0.0011571+0.00013372i,0.00063563+0.00084487i,-5.2212e-05+0.00056527i,-0.00036736+0.00019829i,3.6835e-05+0.00010226i,0.0013519-0.00038576i,0.0014296-0.00025842i,0.00092777+1.806e-05i,0.00091207+0.00014866i,0.0004329+0.00048044i,-7.1366e-05+0.00096224i,-0.00061075+0.00081217i,-0.00042317+0.00093523i,0.00041927+0.00077527i,0.00032478-0.00027406i,0.00017659-0.00025746i,0.00099363+0.00032477i,0.0012817+0.00050672i,0.00023562+0.00024083i,-0.00080452-0.00032993i
0.0016215+0.0010252i,0.0014904+0.0010062i,0.00072685+0.0012157i,0.00048415+0.00068062i,0.00010006+0.00032403i,-0.00033369-8.7191e-05i,0.00055092-0.00038579i,0.001243-0.00026297i,0.0022084-0.00031039i,0.0024217-0.00082701i,0.0017937-0.0012223i,0.0014977-0.0013416i,0.00076374-0.00039461i,0.00010081+0.00033945i,0.00036376+0.00060238i,0.00015318+0.0008198i,0.00025248+0.0010798i,0.0006877+0.0010669i,0.00053319+0.00027503i,0.00090363-0.00013219i,0.00051595-9.3839e-05i,-4.3552e-05-0.00016525i,0.00013914+0.00010715i
-0.00036892+0.00040039i,-0.00042816-0.00045323i,0.00030537-0.00077859i,0.001049-5.8862e-05i,0.00082256+0.00028216i,0.00054041+0.00035935i,0.00025762+0.00099916i,0.00025087+0.0014594i,0.00076499+0.00075323i,0.00057615-0.00017864i,-0.00013993-0.00022122i,-0.00016256-0.00056823i,0.00018052-0.00085725i,-0.00012144-0.00032834i,-0.0003684+0.00023813i,0.0001121+3.4868e-05i,0.0004145-0.00030169i,-0.00048413-0.00010721i,-0.00058202-4.4279e-06i,0.00029838-0.00019201i,-1.9042e-05-0.00036105i,-0.0005942-0.00033227i,-0.0005604-0.00011394i
-0.0010942-0.0018873i,-0.00064128-0.0015563i,-0.0010576-1.9711e-05i,-0.0014373+0.00091924i,-0.0012344+0.00062793i,-0.00019961+0.00046499i,-1.9186e-05+0.00042629i,0.00019627+0.00031147i,0.0011452-1.6373e-05i,0.0014099+9.6755e-05i,0.0014457+0.00077064i,0.0013899+3.5278e-05i,0.00092125-0.00063576i,-3.2856e-05-0.00036535i,-0.00077247-0.00049232i,-0.00058308-0.00023779i,-0.00043523+0.00014638i,-0.00097356+0.00057565i,-0.00064441+4.7967e-05i,9.9533e-05-0.00043089i,-0.00068173+0.00032868i,-0.00024793-0.00025082i,0.00064144-0.00062663i
0.0010798-0.00084391i,0.0012959+0.0003614i,6.273e-05+0.00084295i,-0.00076317+0.0012341i,-0.00058468+0.001007i,-0.00024651+0.00034628i,0.00011862-0.00044754i,0.00015615-0.0012886i,0.00041556-0.0014714i,0.00013192-0.00073715i,7.0187e-05-6.67e-05i,0.0005259+3.2609e-05i,0.00097489-0.00028416i,0.00077001+0.00026027i,-0.00065603+0.00013478i,-0.001124-0.00035798i,-0.00029592+0.00019227i,-3.1727e-05+0.00090948i,-0.00027669+0.00083948i,-0.00013864-0.00055368i,0.00070014-0.0010333i,0.0008142-7.2729e-05i,0.00015004+0.00046161i
-0.00033022+0.0027329i,-0.00050086+0.0026107i,0.0015697+0.0016193i,0.0024871+0.00099565i,0.0011566+0.00052658i,0.00010037-0.00013162i,-0.00050981+3.1135e-05i,-0.00023284+0.00028045i,0.00095451-0.00027602i,0.00073651-0.00058068i,0.00034324-0.00061292i,0.00061542-0.00042984i,0.00030054+0.00042996i,-0.00047971+0.0009605i,-0.0012199+0.0004039i,-0.0017458+0.00044291i,-0.0013422+0.00050047i,-0.00051338+0.0002246i,-1.0256e-05+0.00012139i,0.00014901-0.00018651i,0.00011183+2.6491e-05i,-0.00021539+0.00028376i,0.00019773+0.0002316i
-0.001678+0.00095905i,-0.0012489+0.0013132i,-0.001434+0.0019219i,-0.00075439+0.0013857i,-3.0534e-05-0.00021151i,-0.00038071-0.00098209i,-0.00075977-0.00045175i,-0.00043725-0.00024953i,-0.0001726-0.0010623i,0.00024925-0.00082766i,0.00073843-2.4314e-06i,0.00082556-0.00024106i,0.00050956-0.00064077i,9.7304e-05-0.00055354i,-0.00025905-0.00021553i,-0.00024675+0.00022032i,-0.0002374+0.00055906i,0.00024833+0.00034898i,0.00085354-0.00020779i,0.00010063-0.0010533i,-0.00038616-0.0010366i,0.00037274-0.00028276i,0.00094822+0.0004838i
