0.00043913-0.001997i,5.9346e-05-0.0020154i,-0.00081976-0.0018785i,-0.00097245-0.00098814i,-0.0013969+0.0004967i,-0.0014119+0.0010761i,-0.00036798+0.0005982i,0.00011599+0.00049595i,0.0014419-8.2685e-05i,0.002045-0.00079885i,0.00071871-0.0016338i,-5.8256e-05-0.0014123i,-0.0001144-0.00042928i,2.3722e-05-9.295e-05i,-0.00029863+0.00017295i,-0.00063619+0.00082698i,-0.0003623+0.00094474i,-8.372e-05+0.00013807i,-0.00026696-0.00018179i,-0.00038464-0.00010335i,-0.00042082+7.1035e-05i,-0.0011423+0.0002687i,-0.0010302+0.00024262i
-6.8909e-05-0.0012877i,-0.0014126-0.0017859i,-0.0013338-0.00097672i,-0.00026456+0.00041575i,0.00067167+0.0012677i,0.0006335+0.0010689i,0.00061027+0.00016125i,0.0012904-0.0002469i,0.0015654-0.00026129i,0.00087679+4.4633e-05i,0.00025007+0.00060941i,-0.00017564+0.00034827i,-0.00054048+0.00023995i,-0.00011775+0.00013127i,0.00014744-6.3013e-06i,-0.00034744+0.00071486i,-0.00052429+0.00072167i,8.5217e-05-0.00031591i,0.00070246-0.00079071i,0.001093-0.0010056i,0.00071106-0.00024321i,0.00032073+0.00099937i,0.00027626+0.0004754i
0.00061922-0.0018573i,-0.00032459-0.0018982i,-0.00088747-0.00053284i,-0.0013483+0.00053813i,-0.0005448+0.00019463i,0.00031132-9.8464e-05i,0.00081139+7.6964e-06i,0.0013252-7.3e-05i,0.00079871+8.3727e-05i,0.00028336+0.00059248i,0.00020419+0.0015515i,-0.00051056+0.0014197i,-0.00045266+0.00080194i,0.00083393+0.00098576i,0.0014735+0.00066091i,0.00025255+0.00028559i,-0.00052407+6.1297e-05i,3.9535e-05+0.00022681i,0.00062347+0.00027571i,0.00065578-0.0005428i,0.00079255-0.00091017i,0.00088881-0.00095608i,0.00064011-0.0004251i
0.0017831-4.468e-05i,0.00071632-0.00029101i,0.0013434-1.3359e-05i,0.0014341-0.00024655i,0.00026504-0.00077147i,8.543e-05-0.00098651i,0.00084363-0.00085772i,0.0016419-0.00080431i,0.0018754-0.00056173i,0.0017527-0.00064445i,0.0010647-0.00086236i,0.00022204-0.00015625i,3.3459e-05+0.0002476i,0.00020368+7.4327e-05i,-2.485e-06-0.00024985i,1.423e-05-2.3444e-05i,0.0010437+0.00020335i,0.0012744+0.00036167i,0.00035836+0.00098214i,-0.00075887+0.00064904i,-0.0012455-0.00010826i,-0.0007105-0.00029549i,0.00025711+0.00032094i
0.00054137-0.001497i,0.00013044-0.00089249i,-0.0020395-0.00070338i,-0.0030157-0.00026734i,-0.001887+0.00058957i,-0.00083524+0.0018365i,-0.00021356+0.0012952i,0.00058388-0.00014473i,0.00057707-0.0010632i,9.3545e-05-0.00077196i,1.2108e-05+0.00051827i,-0.00016443+0.0003007i,-0.00051664-0.00046105i,0.00038525-0.0001264i,0.0010942+0.00047165i,0.00064819+8.3891e-05i,0.00050846-0.00068094i,0.00027476-0.00073426i,0.00016056-0.00061149i,-0.00021656-0.00082459i,-0.00045779-0.0003374i,-0.0004316+0.00063441i,-0.00017543+0.00042437i
7.4606e-05-0.00065876i,-6.9312e-05-0.00031074i,-0.00023243-0.00082157i,-0.00051069-0.00049933i,-0.0017553+0.0009696i,-0.0014111+0.00054128i,0.00025118-0.00020239i,0.00095261-9.4416e-05i,0.00086519-0.00070318i,0.0002302-0.00048577i,0.00032383+6.7537e-05i,0.00067287+0.00079713i,-0.00024339+0.00090713i,-0.0003515-0.00018988i,0.00070905-0.00079781i,0.00036173-0.00011936i,0.00015764-8.5285e-05i,0.00018813+0.00036675i,8.5137e-05+0.0011602i,-0.00045499+0.00078827i,-0.00093346+0.0006262i,-0.00067771+0.00099532i,-0.00015276+0.0008328i
-0.0021573-0.0011427i,-0.0012924-0.00081606i,-0.00074659+0.00035689i,-0.00010993+0.0012714i,-0.00017165+0.0016044i,0.00067964+0.0014379i,0.0014413+0.00048302i,0.0012577-0.00035637i,0.00099176+5.6267e-05i,0.00012656+0.00084493i,-0.00035272+0.0012288i,-0.00018218+0.001091i,-0.00038999+0.00082062i,-0.0007969+0.00041812i,-0.0015999-0.00044978i,-0.0015446-0.0012043i,-0.00047146-0.0002985i,0.00017661+0.00078176i,0.00048556+0.00041168i,0.00029377-0.00052108i,-0.0004642-0.0004139i,-0.00041609-0.00021191i,-0.0003743+0.00020414i
6.1234e-05-0.0031371i,-0.001346-0.0019834i,-0.0021394-0.0011581i,-0.0021076-0.0004244i,-0.0015508+0.00041352i,0.00016673+0.0007192i,0.0010788+0.00021535i,0.0011595-0.00049519i,0.00081566-0.0006486i,0.00027177-0.00010153i,0.00026595+9.7737e-05i,0.00021326-0.00072121i,-3.8852e-05-0.00030702i,0.00035403+0.00011516i,0.00045471-0.00035558i,0.00014105-0.00097935i,3.3774e-05-0.00090374i,0.00017508-0.00089254i,0.00030624-0.00047295i,0.00020021-0.00028623i,0.00072631-0.00046437i,0.0012583-0.00016784i,0.0004194-3.7601e-05i
0.0018788-0.0018228i,0.00042998-0.0011849i,0.00010607+1.1887e-05i,0.00055562+0.00014935i,6.9782e-05-7.2178e-05i,-0.00022532-0.00036746i,0.00020775-0.0007732i,0.00099816-0.001186i,0.0013453-0.0010935i,0.00056752-0.00081663i,1.9359e-05-0.00016852i,-5.445e-05+0.00021326i,-0.00031367+0.00051758i,0.00073883+0.00071261i,0.0012729+0.00019119i,0.00016342-0.00015393i,-4.3647e-05-7.8443e-05i,0.00052499-8.7098e-05i,0.00064913-0.00051853i,0.00025035-2.5085e-05i,-0.0005746+0.00028009i,-0.00071304-9.4626e-05i,-0.00057737+0.00018898i
0.0023257-0.00066208i,0.0012737-0.00058711i,-0.00024475-0.0011928i,-0.00085784-0.0011057i,-0.00058421-0.00056947i,-0.00014548-0.00063112i,0.00047364-0.00028587i,0.00087497-0.00024915i,0.00086928-0.00068405i,0.00016349-0.00083713i,-7.393e-05-0.00020666i,2.4546e-05+0.00055697i,7.4757e-05+0.00081425i,0.00024312+0.00088377i,0.00054011+0.0007493i,0.00041524+0.00057222i,0.00021872+5.8111e-05i,1.507e-05+8.319e-05i,-0.00035259+0.00022025i,-0.0001249+0.00037888i,0.00032443+0.00029445i,0.00036774+0.00044016i,0.00041606+6.5675e-05i
3.021e-05+9.3046e-05i,-0.00063248-0.00076134i,-0.00061059-0.00048077i,-0.0002961+0.00041621i,0.00030516+0.00024462i,0.00031645-0.00046649i,0.00044093-0.00046226i,0.00077543+2.6839e-05i,0.00082131-8.8531e-05i,0.00041046+2.4127e-06i,-1.5307e-05-1.9938e-05i,3.8684e-05-0.00017835i,-0.00047138-0.00033026i,-0.00067354-0.00024049i,3.4701e-05-0.00044065i,0.00019948-0.0010208i,0.00022151-0.00081747i,8.3592e-05-3.0028e-06i,0.00010612+0.00034304i,0.00038885+0.00066564i,-0.00019716+0.00085177i,-0.00049503+0.00064406i,-0.00025855+0.00046206i
