0.00026665+0.00092038i,0.0012404+0.00068128i,-0.00020833-0.00011975i,-0.00088092-0.00028266i,-0.0014814+0.00056016i,-0.0016546+0.0010722i,-0.0013791+0.00093473i,-0.00017061+0.00071198i,0.0011865+0.00019885i,0.0011606-0.00024852i,0.00023473-0.00041287i,-0.0010159-0.00030048i,-0.001284-4.4146e-05i,-0.00084465-4.4837e-05i,0.00015348+0.00081516i,0.00038848+0.0012616i,0.00035657+0.00038451i,0.00038081+0.00033515i,0.00028923+0.0008058i,0.00043104+0.00020438i,0.00085875-0.00013332i,0.00095969+0.00048772i,0.0004002+0.00064518i
0.00092374-0.0016971i,0.00026815-0.0025847i,-0.00089336-0.0029178i,-0.0015924-0.0022073i,-0.0016216-0.0012754i,-0.00062677-0.00014448i,0.0004471+0.00015109i,0.0013347+0.0003873i,0.0015798+0.0005086i,0.00041765-9.44e-05i,-0.00026666+4.9006e-05i,-0.00020432+0.00055738i,-0.00044905+0.00024997i,-0.00034851+0.00084569i,-0.00025733+0.0016811i,-0.00017759+0.001455i,-0.00056184+0.00082288i,-0.00078496+0.00027086i,-0.00049941-8.9587e-05i,8.1016e-05-0.00028295i,0.0001469-0.00022668i,-0.00031972-0.0001762i,-0.00021145-0.00053089i
0.0004738-0.00027342i,0.00036514-0.00025804i,-0.00035132+0.00019302i,-0.00041948+0.00017065i,-6.3229e-05-0.00060968i,0.00032972-0.0011777i,-0.00024062-0.0012779i,-0.0009275-0.00047671i,-0.00096966+7.2772e-05i,-0.0009149-0.00048142i,-0.00062706-0.00038487i,2.5693e-05+4.9406e-05i,0.00010904+0.00058931i,-0.00037123+0.0011246i,-0.00038897+0.00092728i,-0.00043918+0.00029897i,-0.00045898-0.00010936i,-0.00040087-2.7031e-05i,-0.00045086-0.00011624i,-0.0008799-0.00083778i,-0.00067053-0.00098293i,-0.00048685-0.00020949i,-0.00032646+0.00064316i
-0.0009721-0.00077245i,-0.0016965-0.0010844i,-0.0018099-0.0014115i,-0.0012895-0.0016896i,-0.00075479-0.0013751i,-0.00036592-0.0005116i,-0.00024565-0.00061016i,-9.1255e-06-0.00088055i,0.00037217-0.0012982i,0.00021363-0.00161i,-0.00030728-0.0010529i,9.6658e-05-0.00015941i,0.00077393+0.0010733i,0.00096254+0.001376i,0.00078987+0.0012722i,0.00042021+0.00079308i,-0.00021176+5.2485e-05i,-0.00068975+0.00011596i,-0.00026736+0.00045256i,0.00060026+4.5033e-05i,0.00059029-0.00082074i,-0.00014534-0.0010514i,-7.424e-05-0.0010242i
-0.0013905+0.00040066i,-0.0016085+0.00049534i,-0.00166-0.00027427i,-0.0010151-0.00036589i,-0.00057696-0.00026246i,-0.00057503-0.0010085i,-0.00084724-0.00045067i,-2.7433e-05+0.00081989i,0.00020336-0.00011786i,-0.00076411-0.0011854i,-0.00060875-0.0012375i,-0.00027424-0.00073415i,-0.00089021-6.6327e-06i,-0.00064499+0.00010076i,-0.00012586+0.00020655i,-0.0011379-0.00014496i,-0.00065795-0.00067238i,0.00038184-0.00054896i,7.7427e-05+0.00011644i,-0.00033636+0.00036868i,-0.00058705+0.00017927i,-0.0010329+0.00037328i,-0.0011507+0.00046844i
0.00012846-0.00075613i,0.00086672-0.0012733i,0.00019071-0.0012244i,-0.0014561-0.00069844i,-0.0013212-0.00044172i,-9.4111e-05-0.00041452i,2.0599e-05+0.00052103i,0.00043357+0.00061572i,0.0011219-0.00053119i,0.00014381-0.0013774i,-0.00089022-0.00075412i,-0.00076507+0.00048007i,-0.00016038+0.00046875i,0.00043668+0.00041932i,0.00077448+0.0013561i,-6.9885e-05+0.00081996i,-0.00068619-9.6336e-05i,-0.00016102+3.0461e-05i,-0.00015734+0.00037311i,0.00013012-0.00013753i,9.8842e-05-0.00068913i,-0.0003949-0.0013044i,5.9183e-05-0.00090813i
0.0013005-0.00090372i,0.00089825-0.0016494i,-0.00030052-0.0030089i,-0.00069626-0.0025025i,-0.0010941-0.00083023i,-0.0015303+0.00014495i,-0.00061213+0.00011041i,0.00022294+4.3023e-05i,0.00065359+0.00018073i,-0.00036148+0.00037303i,-0.0011446+0.00034559i,-0.00046683+0.00020169i,-0.0003164+0.00062232i,-0.00071893+0.00062252i,-0.00064735+0.00029249i,-0.0001155+0.00085441i,0.00014583+0.0010772i,0.00033598+8.6333e-05i,0.00042698-0.00013178i,0.00012229+0.00071367i,6.9299e-05+0.00072946i,-0.00014357-0.00036376i,-0.00031046-0.00087209i
-0.00095017-0.0020359i,-0.0020824-0.0014066i,-0.002004-0.00082371i,-0.0010995+0.00022524i,-0.00067492+0.0007779i,-0.00049127+0.00023005i,-0.00070274-0.00034757i,-0.00082645-0.00045816i,-0.00027316-0.00039625i,0.00010923+1.9909e-05i,-0.0001749+0.00084437i,-0.0007579+0.000791i,-0.0010632+0.00012589i,-0.00091185-0.00047014i,-0.00026751-0.00045064i,0.00039328-7.9328e-06i,0.00015997+0.00017797i,-7.9542e-05-0.00049862i,-6.7325e-05-0.00059845i,-0.00010933+0.00011377i,-0.00012582+0.00054579i,0.0001907+0.00077517i,-2.7777e-05+0.00051536i
-0.00091974-0.00043669i,-0.00019173+0.00067063i,-4.9422e-05+0.00083321i,-0.00036885+0.00037118i,0.00011546-0.00063899i,0.00061961+2.8948e-05i,-0.00044161+0.00087026i,-0.00068792+0.00097181i,0.00030838+0.00062005i,0.00061051+0.00014708i,-0.00012712-5.8e-05i,-0.00027703+0.00033703i,-2.0145e-05+0.00070166i,-0.0002956+5.0024e-05i,-0.00041348+3.8194e-06i,2.9351e-05+0.00010395i,0.00013137-0.00020085i,0.00053711+1.175e-05i,0.0011974+0.00025897i,0.00037018+1.3072e-05i,-0.00030148-0.00020918i,-0.00012822-2.4592e-05i,-0.0004772+0.00041881i
-0.0017732+3.3346e-05i,-0.0017528+0.00032227i,-0.0015249+0.0012211i,-0.00029199+0.00091938i,0.0014515+1.4017e-05i,0.0011873-0.0014619i,-0.00059422-0.0019657i,-0.00079679-0.00089104i,0.00021119-0.00055414i,0.00072797-0.0010378i,0.00029786-0.00078976i,0.0001533-0.00049387i,4.3759e-05-0.0005097i,-0.0002502-0.00057716i,-2.6885e-05-0.00062224i,7.4424e-06-0.00017807i,-0.00022381+8.293e-05i,-0.00067819+0.00033125i,-0.0013385+0.00024473i,-0.0010308+0.00069761i,-0.00027814+0.0016561i,0.00030327+0.00119i,0.00043595+0.00058054i
0.0010096-0.00027807i,0.0014771+0.00065488i,0.00031808+0.00043181i,-0.00099006+2.4804e-05i,-0.00070188-0.00040028i,-0.00031171-0.0007969i,-0.00032237-0.00051153i,-0.00017953+3.9385e-05i,0.00040315+0.00039536i,8.3807e-05+0.00038346i,-0.00075062+0.00045517i,-0.00032323+0.00028472i,0.00068589+0.00011176i,0.00036074-0.00049644i,-0.00044689-0.00068046i,-0.00013024-0.00015585i,0.00056949+1.8069e-05i,0.00069893-2.1994e-05i,0.00031262-6.8166e-06i,-0.00021137+0.0003201i,6.3175e-05+0.00067375i,0.00038194+0.001109i,0.0005666+0.00046272i
0.00055632+0.0005099i,0.00090784+0.00060985i,0.00123+0.00028322i,0.00079895-0.00077182i,-5.0586e-05-0.0010138i,-0.0012888-0.00079482i,-0.0014581-0.0001894i,-0.00021167+2.1014e-05i,0.00084323-0.00011299i,0.0001214+0.00056518i,-0.0006257+0.0004906i,-0.00068136+7.7592e-05i,-0.00080974-0.00016771i,-0.0012595-0.00028398i,-0.001436-0.00030592i,-0.00099713+3.122e-05i,-0.0005872+0.00027767i,-0.00037708+6.618e-05i,-0.00035317+0.00041681i,-0.00059959+0.00059284i,-0.00023426-3.9385e-05i,0.00077722-0.00063159i,0.0010093-0.00054424i
-0.00074965+0.00039612i,-1.2986e-05+0.00085821i,-3.8012e-05+0.00085255i,-0.00070364+0.0016422i,-0.0011963+0.0014303i,-0.00093048-0.00036019i,-0.00020985-0.00036927i,0.0002142+0.00030462i,0.00038284+1.0666e-05i,0.00038015-0.00042536i,0.00058137-0.0003283i,-9.7463e-05-2.4977e-05i,-0.00068445-0.00077188i,-0.00059325-0.0010734i,1.0328e-05-1.7496e-05i,-1.4489e-05+0.0016878i,-0.00050691+0.0020613i,0.00017041+0.00085976i,0.0011106+1.2948e-05i,0.00061131-7.7466e-05i,-0.00028567+3.3327e-05i,-0.00021458+0.00013402i,-0.00019145+0.00037299i
0.001288-2.468e-05i,0.0005574+0.00039185i,-0.00015567-0.00065833i,-0.00092491-0.0019214i,-0.00054995-0.0022722i,9.2964e-05-0.0017753i,-0.00055874-0.00088204i,-0.00094408-0.00051605i,5.1355e-05-0.00036066i,0.00012112+0.00015243i,-0.00028947-0.00012614i,-0.00082034-0.00058703i,-0.00077742+2.8515e-05i,0.00047411+0.0011858i,-0.00015148+0.0014465i,-0.0014426+0.0007827i,-0.00081117+0.00017266i,4.8607e-05+0.00016624i,6.0553e-05+0.00077082i,0.00035103+0.00097337i,-6.0569e-06+0.0012499i,-0.001489+0.00021975i,-0.001358-0.00072455i
-0.00063933-0.0029434i,-8.4313e-05-0.0020767i,-0.00057686-0.0010906i,-0.00041828-0.00048731i,0.00017555+0.00072266i,0.00066381+0.00047752i,0.00066229+0.00016908i,0.00064966+0.0002176i,0.00030952+2.6193e-05i,-7.6347e-05-0.00015826i,-0.00034022-0.00064668i,-0.00021411-0.0011568i,1.8463e-05-0.00085688i,0.00021146+0.00029854i,0.00034608+0.0011856i,-0.00025334+0.00086617i,-0.00035829+0.00015808i,-0.00040994+6.2302e-05i,-0.00081092+0.00042543i,-0.00021458+0.00068021i,0.00091609+0.00059309i,0.00080138+0.00037319i,-0.00014747-3.9844e-05i
0.0019007-0.00090157i,0.001831-6.532e-05i,0.00066419-0.00051273i,-0.00030823-0.0010321i,-0.00017205-0.0010621i,-0.00057283-0.0015457i,-0.0010625-0.0012683i,-0.00032193-9.0426e-05i,0.00050225-0.00018789i,0.00072528-0.0016531i,0.00056938-0.0012904i,3.5403e-05-7.3676e-06i,-0.00046085-3.7497e-05i,-0.00026817-0.0001486i,-0.00033258-9.4184e-06i,-0.00075033-0.00048232i,-0.0011257-0.00090384i,-0.00098056-0.00051668i,-0.00061188+0.0003668i,-0.00071612+0.00035717i,-0.00038998-0.00017376i,0.00046933-0.00029127i,0.00049122+0.00019492i
0.0008162+0.0015359i,0.0012669+0.0010361i,0.002085+0.000138i,0.0017143-0.00010097i,0.00047292-0.0011115i,-0.00071142-0.0017785i,-0.0013213-0.0010299i,-0.0012117-0.00068379i,-0.00070839-0.00089965i,-6.0709e-05-0.00061993i,9.4426e-05-0.00048235i,-0.00021955-0.00052327i,-0.00069183-0.0011752i,-0.00053773-0.00072332i,-0.00033057+0.00044539i,-0.00051251+0.00051008i,0.00010061+0.00012454i,0.00040891+0.00014258i,-7.2953e-05-0.00029216i,-0.00041359-0.00092189i,-0.00061596-0.00043078i,-0.00049441+0.00021553i,-0.0004736-0.00036629i
-0.0020866-0.0014427i,-0.0015826-0.00029244i,-0.0014457+0.00055463i,-0.0016518+0.0012663i,-0.0014673+0.0016323i,-0.0010834+0.00033148i,-0.00088313-0.00082455i,-0.00055702-0.00070465i,-0.00021821-0.00033553i,-0.00012202-0.00042808i,-0.00049302-0.00040688i,-0.00036684-0.00022676i,-3.8885e-05+0.00026543i,0.00012283+0.00074707i,0.00043339+0.00039212i,0.00011894+2.8491e-05i,-0.000334-9.2207e-05i,-0.00075796-0.00045433i,-0.00053012-0.00081758i,-0.00014702-0.00030427i,-7.7106e-05+0.00034375i,-0.00046176+0.00051863i,-0.0009088+0.00019542i
-0.00069601+5.5731e-05i,-0.00048316-0.00012883i,-0.00081895-0.00067965i,-0.0011324-0.00043176i,-0.0011106+0.00019795i,-0.0006899-0.0003776i,-0.00013444-0.00055244i,0.00040659+0.00023064i,0.00084077+8.5343e-05i,-4.8963e-05+0.00083926i,-0.00082999+0.001409i,-0.00074574+0.00068459i,0.00013851+0.0001041i,9.8216e-05-0.00015783i,-0.00082926-5.7365e-05i,-0.00073243+0.00015951i,-0.00021509+0.00039622i,-0.0001033+0.00027079i,0.0002355+0.00033716i,0.00038134+0.00038633i,-6.289e-05-0.00022321i,-0.00030026-0.00074307i,-0.00038886-0.00017971i
-0.00014871-0.0026409i,-0.00035447-0.0015739i,-0.00082842-0.00118i,-0.001208-0.00053059i,-0.00055745+0.00042874i,-0.00023468+0.00048617i,-0.00055067+0.00053931i,-0.00043649+0.00062817i,-0.00032634+2.3756e-05i,-2.089e-05-0.00065873i,0.00023289-0.00049422i,-7.3837e-05-0.00010542i,-0.00062483-4.549e-05i,-0.00050503-0.00053367i,-0.00011266-0.00051574i,5.5986e-05+0.00025269i,4.9312e-05+4.681e-06i,0.00049156-0.00054479i,0.00055335-0.00043731i,0.00029083-0.00015018i,0.00047103+0.00058144i,0.0007749+0.000611i,-8.9166e-05-0.00023034i
0.00023895+0.00059889i,0.00020392+0.00011036i,-9.5625e-05-0.00013704i,-0.00014696-0.00067328i,0.00010257-0.00094778i,-0.00018975-0.0005496i,-0.00038494-0.0005459i,-0.00060968-0.00018122i,-0.00058376+6.3969e-05i,-9.0291e-05-0.00032229i,0.00049354-0.00053285i,0.00010046+2.3719e-05i,2.3274e-05-0.00024612i,0.00018242-0.0002081i,-0.0007+0.0008112i,-0.00057043+0.00033476i,0.00015556-0.00061142i,-0.0004441-0.0004032i,-0.00081641-8.9293e-05i,8.0731e-05+0.00052016i,0.00037302+0.00048547i,-0.00039976-0.00014254i,-0.00091187+3.8804e-05i
-0.0011342+0.001013i,-0.0010117+0.0018456i,-0.00084477+0.0020973i,-8.0243e-05+0.0015054i,-0.00037179+0.00077238i,-0.00081557-0.00075539i,-0.00056932-0.0012531i,-0.00034146-0.00022271i,-0.00018951-0.00021822i,-0.00024148-0.0010565i,0.0002969-0.00070644i,-0.00022494-0.00065341i,-0.00077562-0.00056915i,-0.00023524-8.38e-06i,-7.5294e-05+6.7157e-05i,-5.0139e-05+0.00016288i,-2.9398e-05-3.4309e-05i,0.00011209-0.00029315i,-4.0231e-05-0.00042253i,0.00010407+2.7108e-05i,0.00020432+0.00065574i,-8.2407e-05+0.00057661i,0.0003618+0.00071388i
0.00016245+8.934e-05i,0.00029744+0.00025793i,0.00011198-0.00041979i,-0.00034488-0.0010186i,-0.00071146-0.0010724i,-0.00087662-0.0012164i,-0.00041376-0.000731i,-0.00039979+4.4581e-06i,-0.00098338+6.6687e-05i,-0.00096411-0.00012887i,-0.00071343-0.00047165i,-0.0010228-0.00023984i,-0.0010946+0.00074576i,-0.00092994+0.00024739i,-0.0010023-0.00013289i,-0.00064077+0.00039377i,-0.00023068+0.0001319i,-0.00059327-0.00092431i,-0.00029599-0.00096003i,-0.00017553-0.00027825i,0.00013401-9.1372e-05i,0.0010943+0.00044751i,0.00081321+0.00069411i
-0.00032344+0.00041448i,-0.00016291+0.00076411i,-0.00029126+0.00055251i,0.00040091+0.00015294i,0.00014441-0.00031151i,-0.0007817-0.0010107i,-0.0010328-0.00050813i,-0.00098602+0.00051204i,-0.00046155+0.00043486i,-0.00020015-0.00057098i,0.0004363-0.00015164i,0.00079995+0.00058782i,0.00014631+4.7794e-05i,4.4306e-07-0.00029184i,0.00032308-0.00012701i,-0.00016211-0.00015919i,-0.00064297+0.00035018i,-0.00057349+0.00029271i,-0.00014026-0.00048536i,-0.00013938+8.1277e-05i,-0.00049486+0.00094124i,-0.00084012+0.00092662i,-0.00045384+0.00045795i
0.0015821-0.001934i,0.00091049-0.001712i,-0.00032875-0.0019348i,-0.0004414-0.0016895i,-0.00033419-0.00059345i,-0.00026047+0.00089989i,-0.00039291+0.00086889i,0.00029002+0.00061611i,0.00076203+9.8708e-05i,0.0007099-0.00077738i,0.00027563-0.00078953i,-0.00011059-0.0004706i,-0.00047622+0.00049483i,-4.209e-05+0.00092929i,0.00096833+0.0010603i,0.0009556+0.00091521i,0.00067083+0.00041629i,0.00062357-0.00013648i,0.00077853-0.00078731i,0.00077107-0.00083487i,0.00048407-0.000533i,7.4437e-05-0.00056836i,-8.0828e-06-0.00074025i
-0.0012534-0.00019488i,-0.00060882-0.00014002i,0.00017319+0.00027142i,5.2451e-05-0.00018698i,-0.00021561-0.0014874i,-0.0003694-0.0022863i,-0.00094425-0.0011736i,-0.00045922+0.00049371i,0.00013504+0.00014168i,-9.3507e-05-0.00044671i,-0.00030597-4.3658e-05i,-0.00051305+0.00037069i,-0.00076082-0.0001035i,-0.0010151-0.00012736i,-0.00062606+0.00022544i,-0.00018045+0.00031927i,-0.00045566+0.00076345i,-0.00076167+0.0015121i,-0.00084061+0.0010762i,-7.2847e-05+0.00015689i,5.3819e-05-0.00012076i,-0.00012819+0.00029025i,0.00018026+0.00043862i
