-0.0034161-0.0001063i,-0.0018298+0.00061452i,-0.0022225+0.00078481i,-0.0017868+0.0011404i,-0.00032628+0.0012298i,0.0001754+0.0011179i,0.00027138+0.0015001i,0.00043074+0.0021041i,0.000577+0.0011891i,0.00066012-0.0002168i,0.00063991-0.00089958i,0.00052808-0.0012353i,0.00056676-0.00052042i,0.00079868+7.0451e-05i,0.00069826-0.0002625i,0.00014007-0.00043975i,7.0649e-05-0.00019768i,1.7074e-05+0.00026496i,-6.8721e-05+0.00013287i,0.00048548+0.0002768i,0.00069516+0.00029563i,0.00054976+0.00034591i,0.0005082+0.00055783i
0.0015148-0.0012897i,0.00060741-0.0013129i,-0.00030239-0.0011171i,0.00061273-0.00087428i,0.0012452-0.00063386i,-3.3009e-05-0.00087599i,-0.00096637-0.0012842i,-0.00082727-0.00091321i,-0.00097215-0.0010155i,-0.00089068-0.0010697i,-0.00080414-0.00099569i,-0.00042727-0.00067088i,0.00059494-0.00044838i,0.001183+2.0393e-06i,0.0010564-3.5818e-05i,0.00082024-0.00013869i,0.0009189+0.00029i,0.00069182+0.00057246i,0.00051453+0.00053016i,0.00057175-0.00034017i,0.00025405-0.00037957i,0.00025921+0.00051689i,0.00021323+0.00059996i
-0.0014442-0.00014579i,-0.0011378+0.0007074i,-0.0013056+0.0012192i,-0.0011554+0.002115i,0.00011578+0.0016712i,-7.2602e-05+0.00082512i,-0.0010168+0.00011471i,-0.00053917+2.5286e-05i,8.4585e-05-0.00074097i,0.0003491-0.0016416i,-8.6934e-05-0.0010737i,-0.00054328-0.00050219i,-0.00036738-0.00019185i,0.00039381-6.0709e-05i,0.0006439-0.00031403i,0.00026924-0.00030633i,0.00018943+0.00035912i,0.00061449+0.00080585i,0.00047892+0.00076658i,0.00014459+0.00080433i,0.00048055+0.00050371i,0.00065689+0.0005603i,0.00034935+0.00080293i
-0.0008978+0.00017323i,-0.0013298-0.00099499i,-0.0013515-0.00076075i,0.00037039-8.0369e-05i,0.0019496-8.4536e-05i,0.001647-0.00038391i,0.00036942-0.00054871i,0.00019643-0.00049947i,0.00072359-0.00075184i,0.0007222-0.00045248i,-0.0003056+0.00018588i,-0.0012253-0.0002797i,-0.00068676-0.00078802i,-0.00048301-0.0013577i,-0.0005326-0.00174i,0.00011425-0.0010354i,0.00031346-0.00038991i,-2.9347e-05-0.00032417i,0.00048139-0.00016915i,0.00062954+0.00019677i,-0.00014013+0.00054285i,-0.00018301+0.00055691i,-0.00010841+0.00066976i
-0.00053885+0.0001721i,0.00022711+0.00049591i,-6.214e-05+0.00087703i,0.00043169+0.0013323i,0.0011812+0.001003i,0.00069054+1.2628e-05i,-0.00010925+0.00013474i,-0.00051143+0.00075408i,-0.00014559-0.00015463i,0.00049127-0.0011496i,-0.00016942-0.0010699i,-0.00021879-0.0010265i,0.00033107-0.0013322i,0.00047986-0.0011301i,0.00029457-0.0010491i,-6.8042e-05-0.0010336i,-0.00034777-0.00029794i,-0.00040113+0.00046451i,-0.00046577+0.00017727i,-0.00044546-9.7344e-05i,3.548e-05-0.00037343i,0.00018993-0.00088328i,0.00030351-0.00049851i
0.0034885-0.0031485i,0.0024392-0.0035889i,0.0015193-0.0035448i,0.00082021-0.0020646i,0.00071484-0.0015473i,-0.00070408-0.0021522i,-0.0023935-0.0015662i,-0.002004-0.00021164i,-0.00066285+0.00055933i,-0.00040138+0.00017755i,-0.0001594-5.5263e-05i,-7.8181e-05-0.00067206i,0.00021607-0.0010961i,0.00049728-0.00044529i,0.00059086-0.00059289i,0.00084837-0.00068853i,0.00018153+0.00027311i,-0.00077893+0.00042772i,-0.00070891+5.0885e-05i,0.00045108+2.0915e-05i,0.0008296+0.00018662i,0.00037304-0.00031454i,3.443e-05-0.00045992i
7.4916e-05-0.001568i,0.00041772-0.0011636i,-3.8691e-05-0.0013849i,-0.00022649-0.00080963i,0.00057878-0.00020345i,0.00033588+0.00020529i,-0.00055552-0.00070042i,-0.00076783-0.0010366i,-0.00030023-0.00080579i,-0.00010052-0.001029i,-0.00024332-0.00060947i,-0.00014227+4.4611e-05i,0.00013366+0.00046817i,0.00050373+0.00022815i,0.0010082-0.00011168i,0.00059593-0.00048338i,-0.00036225-0.00090544i,-0.00056482-0.00058278i,-0.00045672-0.00015046i,0.00015516-2.5434e-05i,6.169e-05+0.00020008i,-0.00090206+3.4658e-05i,-0.00087305-0.00060804i
0.0012697+0.0011213i,0.00097707+0.00037947i,0.0011827-0.00030029i,0.00074227-0.00040163i,0.00098341-0.00078444i,0.00069277-0.0013759i,-0.00032275-0.0013051i,-0.00049136-0.00062059i,-0.00011957-0.00065946i,0.00039371-0.0010701i,-0.00018067-0.0012134i,-0.0010922-0.00055408i,-0.001055+6.3931e-05i,-7.9992e-05+0.00070943i,0.00063447+0.00029044i,1.5267e-06-0.00034636i,-0.00026102-0.00032379i,-0.00074179-0.00045989i,-0.0012569-0.00034908i,-0.00065933-8.0819e-05i,0.00043271-0.00040728i,0.0013895-0.00070014i,0.0016337-0.00022259i
-0.0011377+0.0013031i,-0.00049693+0.00074174i,0.00079371+0.00030932i,0.0017832+0.00022199i,0.0024197+0.00026828i,0.00205+0.00027935i,0.00088903-0.00033724i,0.00039654-0.00042646i,0.00051365-0.00031576i,-0.0001008-0.00049125i,-0.00098721-0.00085483i,-0.00036933-0.00088192i,0.00089911-0.00059417i,0.001245-0.00054078i,0.0012007-0.0006671i,0.00065364-0.00017722i,-0.00076101-0.00033952i,-0.00099447-0.00077946i,-0.00024531-0.00028507i,-0.00073774+0.00028398i,-0.00050165+0.00072703i,-0.00025731+0.00018725i,-0.00045001+0.00010155i
0.0020378-0.0010577i,0.001127-0.00014406i,-0.0010631+3.7625e-05i,-0.0011767+0.00043753i,-0.00061796+0.00026162i,-0.00048653-0.00051449i,-0.0007074-0.00022804i,-0.0012707-7.0345e-05i,-0.00089741-0.00057696i,-0.00043132-0.00029185i,-0.00060151+0.00021468i,-0.00071161-0.00034996i,-5.3541e-05-0.00050691i,0.0011647+6.9643e-05i,0.0010714-0.00020927i,-0.0003811-0.00069372i,-0.00031223-0.00096882i,0.00068626-0.0008649i,0.00017493-0.00019936i,-0.00021952+0.00021499i,0.00028784+0.00030648i,9.6591e-05+0.00015526i,-0.00016151-0.00050437i
0.0011443-0.002899i,-0.00050996-0.0029535i,-0.0019844-0.0026565i,-0.00084998-0.0011013i,-1.2322e-05-0.00051599i,-0.00038392-0.00038953i,-0.000565+0.00018i,-0.00091368-0.00016972i,-0.00061938-0.0015494i,2.2466e-05-0.0017175i,-0.00075442-0.0010268i,-0.0009552-0.00066231i,0.00020627+0.00056048i,0.00064363+0.00018951i,0.00045377-0.00059411i,-4.7532e-05+0.00022095i,-0.00033329+0.00012476i,1.9012e-05+0.00032421i,0.00034292+0.00054961i,0.0004683-7.0653e-05i,0.00045268+0.00012925i,0.00030675+0.00070998i,0.00046863+0.00056037i
0.0018433+0.00082097i,0.0016059+0.00034114i,0.0011403-0.00015636i,0.0012934+0.00050832i,0.0013368+0.00010093i,0.00043346-0.00029272i,-0.00099028-0.00027152i,-0.00084092-0.00071371i,9.4795e-05-0.00085995i,-0.00023411-0.00078171i,-0.0011415-0.0003956i,-0.00099924+0.00044012i,-0.00029969+0.00011045i,6.1257e-05-0.00022849i,0.00038418-0.00033237i,0.00013838-4.0732e-06i,9.0768e-05+0.00011515i,-0.000157-0.0002988i,-0.00047948-0.00036882i,0.00026045-0.00019665i,0.00075128-0.00045845i,-9.5683e-06-0.0005411i,-0.00031431-0.00051516i
-0.0010108-0.00017165i,-0.00023903+0.00022159i,-0.00017022+0.00029096i,-0.0001417+0.00089038i,0.001075+0.00095955i,0.0018068-0.00016997i,0.0011563-0.0006382i,7.2277e-05-0.00036178i,-0.00029164-0.00080152i,-0.00046402-0.00038815i,-0.00077416-4.5503e-05i,-0.0013175-0.00032664i,-0.0010815-0.00042653i,1.141e-05-0.0008937i,0.00081024-0.0002798i,0.00069403+0.00013671i,0.00040101-0.00046387i,0.00063857-0.00036557i,0.00078569+0.00023055i,0.00036734+0.00024569i,0.00024314+0.00032891i,-7.7124e-05-0.00024601i,-2.8309e-05-0.00035933i
-0.00013346-0.00040157i,-0.00032783+1.4453e-05i,-0.0018038+0.00032309i,-0.001033+0.00099926i,0.0008594+0.00061585i,0.00096012+0.00031304i,0.00021085-0.00018478i,-0.0008707+0.00029309i,-0.0012889+0.00034911i,-0.00093322-0.00026569i,-0.00091428+0.00012944i,-0.0005119+0.00033635i,0.00023738-0.00026461i,0.00065671-0.00057872i,0.00037315+0.00016373i,-0.00016414+0.00048057i,-0.00023126-0.00022544i,0.0001385-0.00013868i,0.00083364+0.00012977i,0.0011722+0.00027302i,0.00023709+0.00028334i,-0.00041883+0.00031378i,0.00020882-0.00031405i
0.00066168-0.00019907i,0.0011153+9.8559e-05i,0.00075627-0.00084642i,0.0012057-6.8936e-05i,0.0015361+0.00077407i,0.0009208+0.00040208i,0.00012683-0.000597i,-0.00025398-0.00090102i,-5.2118e-05-0.00044608i,2.7027e-05-0.00085441i,-0.0005178-0.0010247i,-0.00081933-0.00025416i,-0.00017738+0.00071635i,0.0005715-0.00042482i,0.00057724-0.0014067i,0.00031516-0.0011901i,4.1521e-05-0.0012195i,-0.00016958-0.0010097i,-0.00024373-0.00057601i,0.00036797-0.00011077i,0.00035588+0.00023771i,4.7389e-05-0.00051015i,0.00014026-0.00025189i
0.00038592-0.001143i,0.0005136-0.0019964i,-0.00038005-0.0025384i,-4.4689e-06-0.001113i,0.0014183-0.00065409i,0.0014409-0.0013978i,0.00012883-0.00095355i,-0.0013897-0.00095933i,-0.0010665-0.0013582i,-7.9488e-05-0.00083356i,-0.00037345-0.0003156i,-0.00046819+0.00022763i,0.00059637+0.00034219i,0.0011705+1.8044e-05i,0.00098427-0.0002761i,0.00043164-0.00049073i,-0.00064187-2.3878e-06i,-0.00058435+0.00034536i,8.0193e-05+0.00060262i,0.00051498+0.00058206i,0.00091497+0.00064848i,0.00087022+0.0011374i,0.00046308+0.0012511i
