-0.0022874+0.002562i,-0.001005+0.0011868i,-0.00061861-0.0014211i,-0.0013142-0.0020467i,-0.0024587-0.00065168i,-0.001719+0.0010984i,-0.0010546+0.0023731i,-0.00072858+0.0023043i,1.637e-05+0.0017221i,0.0002896+0.00051509i,-0.00014896-0.00040686i,-0.00044074-0.00048486i,-0.00031815+0.00013755i,-0.00021176+0.00063647i,-3.7048e-05+0.00031886i,-0.00047619+0.00041763i,-0.00032446+0.00048712i,0.00056849+0.00030281i,0.00096497+0.00019131i,0.00090126-8.7324e-05i,0.00068794-0.00043842i,0.00055619-0.00045602i,0.00035645-0.00040961i
-0.003112+0.0019507i,-0.0021236+0.0020325i,-0.0001325+0.0018247i,0.00051943+0.0011471i,0.0011216+0.00021264i,0.00087453-0.00046932i,1.8954e-05-0.0005111i,-0.00028391+0.00026407i,0.0003758+0.0013698i,0.00093151+0.00094589i,0.00024674-0.00022328i,-0.00051468-0.00049879i,-0.00065018-0.0008129i,-0.00068246-0.0013381i,-0.0006952-0.0004247i,-0.0010506+0.00049923i,-0.00085969+0.00025786i,-0.00026364-5.6147e-05i,-0.00079427-2.3494e-05i,-0.00081329-0.00012726i,0.00018585-0.00060216i,0.00058791-0.00052584i,-7.4689e-05+2.7208e-05i
-0.0029147+0.0011804i,-0.0020015+0.0016969i,-0.00030502+0.0011034i,0.0011293-5.9262e-05i,0.0019235-0.00042231i,0.00082814-0.00026963i,0.00020668-0.00012691i,6.6575e-05+0.00015345i,0.00027297+0.00018445i,0.00071608-0.0003071i,0.00023198-0.00049207i,-0.00030045+0.00014108i,1.0621e-05+0.00028064i,-0.00056622-0.00024937i,-0.00096309-0.0012515i,0.00035427-0.00085086i,0.0013174-0.00045495i,0.00075607-0.00053833i,2.6029e-06-0.00045079i,0.00023652-0.00072881i,0.00064464-0.0005029i,0.00022525-0.00087656i,-1.7487e-05-0.0012779i
-0.0013891+8.263e-05i,-0.0018538+0.0017345i,-0.00073888+0.0025082i,0.00010135+0.0018745i,0.00044186+0.00019347i,0.00053728-0.00069291i,0.00092379-0.00063376i,0.0010043-0.00033781i,0.00047039+0.00034291i,0.00028272+0.00055237i,0.00017113+0.00062961i,-0.00030953+0.00039229i,-0.00042213-0.00030902i,-0.00022325+1.1576e-05i,-5.0606e-05+0.00101i,0.00013755+0.001318i,0.00019413+0.00079057i,4.8643e-05+0.001169i,-0.0001241+0.00079366i,-0.00017128-0.00040629i,-0.00036401-0.00020225i,-0.00051076+0.00035188i,0.00012089+0.00045061i
-0.0026551+0.00021096i,-0.0018492+0.001217i,-0.0013718+0.00077748i,-0.00010835+1.0823e-05i,0.00049229+0.0007815i,0.00081269+0.00094615i,0.00094731+0.00048933i,1.8835e-05+0.00091339i,-0.00012447+0.001235i,0.00039797+0.0010646i,0.00022981+0.00080254i,0.00019923+0.00051536i,0.0008385+0.00013104i,0.00058859+0.00011519i,8.4087e-05+0.00069481i,-0.0001787+0.0005038i,0.00053214-0.00048878i,0.000946-0.0002058i,0.00027525+0.00039198i,-0.00033039+0.0010355i,-0.0005544+0.00067419i,-0.00035523+0.00022792i,-0.00021056+4.8087e-05i
-0.0037209+0.0014977i,-0.0025631+0.0028685i,-0.0006588+0.0028595i,0.00088787+0.0019195i,0.0013862+0.00083721i,0.001087-0.00056275i,0.00086726-0.00045666i,-0.00011448+0.0009318i,-0.00090771+0.00093145i,-0.00084458+0.00032655i,-0.00067425+0.00036671i,-0.00073416-0.00018493i,-0.00048006-0.00051694i,-0.00019792-0.0002886i,-0.00018524-0.00046583i,-0.00018436-6.0453e-05i,0.00065405+6.6135e-05i,0.00087135-0.00056737i,9.7609e-05-0.00088042i,-0.00045787-0.00035604i,0.00016114+0.00021166i,0.00086968+0.00063763i,0.0006227+0.0003726i
-0.0044049+0.00015815i,-0.004466+0.00091428i,-0.0021912+0.0013685i,0.0007018+0.0016947i,0.0018461+0.0013911i,0.0021456+0.00020424i,0.0016982-0.001099i,0.00073458-0.00047693i,0.00026234+0.00079776i,5.2663e-05+0.00034587i,0.00037219-0.0004426i,0.00065596-0.00026174i,-0.00015101-5.0766e-05i,-0.00061892-0.00030064i,-7.5944e-05+4.4092e-05i,0.00018376+0.00022165i,0.000566-0.00079257i,0.00048107-0.00058332i,6.1902e-05+0.00058918i,-0.00028245+0.00011913i,-0.00082941-0.00014235i,-0.00084138+2.3589e-05i,-0.0010541+0.00031985i
-0.0024849-0.0008077i,-0.002244-0.00046118i,-0.0006491+9.0334e-05i,0.0004198+0.00051119i,0.0012583+0.00011668i,0.0011645+0.00013656i,0.00066828+0.00037343i,0.00013119+0.00038147i,-0.00046715+0.00043489i,-0.00025743+0.00059941i,0.00054576+0.00077169i,6.2605e-05+0.00040423i,-0.000751-5.1508e-05i,-0.0004675+1.7127e-05i,6.5563e-05-0.00018137i,-0.00037117-0.00023147i,-0.0010284-0.00022609i,-0.00087758-0.00052945i,-0.00046628-0.00068433i,-5.0569e-05-0.00083419i,-0.00011977-0.00036968i,-0.00010235+4.5024e-05i,0.00023931-3.8377e-05i
-0.0023428+0.00045171i,-0.0010796+0.00037138i,0.00070733+0.0015955i,0.0013902+0.0019239i,0.0014993+0.00043943i,0.0019187-0.00087666i,0.0018832-0.00078675i,0.00073612+0.0002715i,0.00076404+0.00070075i,0.00036231+0.00039638i,7.5101e-05+0.00016691i,0.00065268+2.0218e-06i,0.00057562-0.00079528i,-0.00016745-0.0006481i,-0.00093277-0.00012749i,-0.0011933-0.0011737i,-0.00057527-0.0012837i,0.00015466-0.00030027i,0.00045917-0.00044723i,0.00070153-0.00041144i,7.5481e-05+0.00048244i,-0.00060124+0.00087792i,-0.00040043+0.00085996i
-0.0030186+0.00098215i,-0.003891+0.0016639i,-0.0032309+0.0010822i,-0.0014599+0.00012969i,0.00010782-5.8342e-05i,0.00026254+0.00035386i,0.00020752+0.00036721i,0.00053118+0.00052268i,0.00049822+0.0011373i,-0.00031412+0.0015073i,-0.00057198+0.00092359i,0.00044229+0.00046173i,0.001207-9.0068e-05i,0.0014698-0.00055084i,0.0014433+7.9181e-05i,3.3398e-05+0.00062645i,-0.00057401+0.00088462i,0.00016976+0.00077831i,-0.00017684+0.00034153i,-0.00051209+0.00070654i,0.00016616+0.00058406i,0.00022349+0.00016033i,-0.00012296-0.00035262i
-0.0029716-0.00065028i,-0.0035821+0.00023062i,-0.0018508+0.00053077i,5.5926e-05-8.0016e-05i,0.00068161+2.0302e-05i,0.00080479+0.00014427i,0.00055683-0.00041871i,0.00026179-0.00064673i,0.00080185-0.00037306i,0.0008105-0.0005989i,0.00071769-0.0010286i,0.00095625-0.00043795i,0.00032122+0.00030484i,0.00071311-0.00017811i,0.00081234-0.00019384i,0.00013091+0.00021635i,-0.00036088+0.00048077i,-0.00062233+0.00064691i,-0.00045108+0.0002068i,0.00026646+0.0002374i,0.00089836+0.00042657i,0.00070504+0.00026682i,0.00038424+0.00057095i
