-0.00074699+0.00023502i,-0.00085014+0.00079529i,-0.0010104+0.00071246i,-0.00081511+0.00036332i,-0.001104+0.00089894i,-0.00041779+0.00069927i,-0.00010365+0.00087319i,0.00023942+0.0014917i,0.0011289+0.0019347i,0.00092621+0.0006927i,0.00024922-0.00077665i,-0.00027746-0.0011986i,-0.00038719-0.00090316i,4.5967e-05-0.00045053i,0.0010093+0.00012563i,0.00062983+0.00069046i,-0.00046005+4.3735e-05i,-0.00071995-0.0007663i,0.0001015-0.0010736i,0.00086928-0.0008859i,0.0006721+4.3563e-05i,0.00060219+0.00026671i,0.00099014-4.7207e-06i
0.00050752-0.00035932i,-0.0001679-6.6642e-06i,-0.00076948+8.4e-05i,-0.00064241+0.00064529i,-0.00077821+0.0006379i,-0.0015026+0.00026217i,-0.0018536+0.00043802i,-0.0012334+0.00051615i,-9.3656e-05+3.8838e-06i,0.0003603-0.00041441i,-0.00063896-0.00073978i,-0.0010099-6.2508e-05i,-0.0013007+0.0012567i,-0.0011931+0.00056035i,-0.00088739-0.00026512i,-0.00049683+0.00035872i,-9.335e-05+0.00022053i,-0.0001268-0.00059163i,4.2859e-05-0.00038472i,0.00028157+0.00012033i,0.00012002-0.00081966i,0.00031895-0.00089086i,0.00061607+8.1197e-05i
-0.00091375-0.0008226i,-0.00022896-0.00069357i,-9.1786e-05+6.0552e-05i,-0.00038276+0.001107i,-8.9036e-05+0.0015537i,0.00034899+0.00040359i,-0.0005755-0.0011457i,-0.00099242-0.00081403i,-0.00086116+0.00041644i,-0.00079753+0.00037345i,-0.00054957+0.0004187i,9.7373e-05+0.00050752i,2.4961e-05-0.00021631i,-9.9077e-05-0.00015313i,0.00079735+0.00073227i,0.00056274+0.0011161i,-0.00014005+0.00048685i,0.00018145-0.0005108i,-1.7293e-05-0.00054949i,4.4866e-05+0.00031272i,0.00099042+0.00024956i,0.00085063+0.00033931i,-0.000372+0.00047684i
0.0011821+0.0014187i,0.0012807+0.002698i,0.0014523+0.0025686i,0.001529+0.001312i,0.0001602+0.0002601i,-0.0015427-8.9701e-06i,-0.001602+0.00011987i,-0.00077838+0.00042564i,0.00021137-0.00014508i,0.00018177-0.00089628i,-0.00027077-0.00084338i,-0.00083655-0.00055412i,-0.00099013+0.00023934i,-0.000773+0.00030515i,-0.00088595+0.0003755i,-0.00061835+0.0005128i,-6.7526e-06+0.00058067i,0.00040055+0.00074908i,0.0002751+0.00098392i,0.0002961+0.00043126i,0.00032769-0.00021686i,-0.00037044-0.00011122i,-0.00083307+0.000323i
-0.0030626+0.00030397i,-0.0028081-9.5877e-05i,-0.0026559+0.0013101i,-0.0015154+0.0014359i,0.00020743+0.0012049i,0.00079352+0.00048355i,0.00015045-0.00059105i,-0.0010135-0.00094888i,-0.0011119+0.00021414i,-0.00048926+0.00054509i,0.00031964-0.00017519i,1.6466e-05-0.00021884i,3.3745e-06-3.845e-05i,-0.00039897-0.00040851i,-0.00066129-0.00078487i,9.8381e-05-0.00078111i,0.00041697-0.00023899i,0.00026427+0.00022466i,-0.00029302-1.6639e-05i,-0.0010605-0.00042994i,-0.00070824-0.00031326i,0.00013995+0.00026158i,0.00022039+0.000731i
-0.00063664+0.00023521i,-0.0013094+0.00044965i,-0.00046489+0.0006033i,-0.0001453+0.00037966i,-0.00030235+0.0010904i,-0.00079262+0.0014321i,-0.0015539+0.00094217i,-0.0016962+0.00060734i,-0.0011918+0.00035166i,-0.00013097-7.2874e-05i,0.00042334+0.00032882i,0.00079734+0.00071883i,0.0011738+0.00054819i,0.00099318+0.00064416i,0.00020728+0.00011825i,-0.00055716-0.0001641i,-0.00031196+0.00053891i,0.00061619+0.00062765i,0.0005114-0.00011148i,-2.3416e-06-0.0011517i,0.00023552-0.001657i,0.00031299-0.0010027i,-7.2294e-06-0.00018896i
0.00081013+0.00022205i,0.00055545+0.0013002i,-0.0013697+0.002163i,-0.0014359+0.0018528i,-0.00023853+0.001124i,0.00062883+0.00036187i,-0.00017779-9.5658e-05i,-0.0011219-0.00037199i,-0.00024166-0.00015046i,0.0011203+0.00012558i,0.0012707+0.00013438i,0.00038667-0.00061435i,0.00010719-0.0014808i,-0.00022329-0.0010992i,2.079e-05-0.00030123i,0.0012703-3.5205e-05i,0.0012973+0.00056689i,0.00030011+0.00055073i,-0.00025751-0.00032849i,7.1578e-05-0.00046336i,6.3463e-05-0.0002584i,-0.00079895-9.1943e-05i,-0.0010314-0.00029091i
-0.00086035+0.0013284i,-0.0010711+0.0017079i,-0.00112+0.0023567i,-2.6031e-05+0.0016551i,0.00094812+0.0013743i,0.00071936+0.00036018i,0.00066155-0.00012567i,6.3173e-05-0.00017893i,-0.0008408-0.00089994i,-0.00037903-0.00076593i,-0.00019996-0.00088559i,2.8294e-06-0.00049506i,0.00092628+0.00014532i,0.00098648-0.00041122i,0.0001383-0.00041899i,-0.00014125+0.00032959i,-0.00041071+0.00042985i,-0.00049003-0.00028306i,-0.00022898-0.00051741i,-0.0001197+0.00019285i,-0.00055376+0.00059009i,-0.00054204-4.5461e-05i,-0.0001659-9.2727e-05i
-0.0016581-0.00028009i,-0.0015358-2.7637e-05i,-0.0016432+0.00053479i,-0.0013614+0.00088555i,-0.0013115+0.0011488i,-0.0014616+0.00031309i,-0.0010391-0.00039524i,-0.00045182-0.0005169i,0.00019025-0.00067048i,0.00046046+6.5908e-05i,0.00045129+0.00062311i,0.00026329+0.00072275i,0.00012458+7.6187e-06i,5.944e-06-0.00023254i,-0.00015174-0.0003326i,-0.00014487-0.00062905i,-0.00052368-0.00095148i,-0.00050992-0.00093673i,-0.00053564-0.00053069i,-0.00060002-0.00090585i,-0.00035436-0.00051282i,0.0003624+0.00015258i,0.00053052+0.00016451i
3.3305e-05-9.0698e-05i,-0.00049984+0.00075217i,1.2649e-05+0.0010223i,-0.00016566+0.00072419i,-0.00063372+0.00033013i,-0.00054363+3.7999e-05i,0.00025548+8.1246e-05i,0.00057622+0.00028403i,-0.00038239+0.00039976i,-0.00069036+0.00072281i,-0.00044298+0.00012978i,-0.00016252-0.00064541i,-0.00036713-8.9398e-05i,-0.00088588+0.00033299i,-0.00085722+0.00039399i,-0.00049924+0.00053946i,-6.6033e-05+0.0001023i,-0.00040208+0.00028652i,-0.00063682-0.00018592i,-8.4199e-05-0.0012393i,0.00046113-0.0012375i,0.00053614-0.00025318i,-2.6482e-05+0.00035646i
-0.00042483-0.00070162i,-0.001557-0.00011332i,-0.001881+0.00067323i,-0.0017434+0.0010493i,-0.0012122+0.00053473i,0.00033184+0.0005046i,0.0010317+0.00037208i,-6.994e-05-0.00093356i,-0.00086196-0.0012712i,-0.00058726-0.00015048i,-0.00071596+0.00041317i,-0.00025584+0.0001392i,-6.2956e-05-0.00055781i,-0.00015911-0.00047452i,0.00032685+0.00051094i,0.00022476+4.2253e-06i,0.00036665-0.00032317i,0.00061211-0.0001205i,7.4357e-06-4.4418e-05i,-0.00071221+0.00031498i,-0.001215-0.00013678i,-0.0012296-0.00018043i,-0.00074025-4.3814e-05i
