0.00029535+0.0010526i,0.0018036+0.000459i,0.00068584-0.00076568i,-0.0010092-0.0020277i,-0.0013526-0.0027968i,-0.00089102-0.0016448i,-0.0001871-6.4498e-05i,-4.3827e-05+0.00068176i,0.00012458+0.00015603i,0.00058101-0.00050162i,0.00064833-0.00081149i,0.00060788-0.0003537i,0.0006643+0.00023457i,0.00091831+0.00014082i,0.00025522-0.00025406i,-0.0010456-0.00024095i,-0.00051911+0.00077286i,-0.0002887+0.0010637i,-0.00051948+0.00018132i,-0.00035422+2.3669e-05i,-0.00029221-4.9307e-05i,0.00033766-0.00026649i,0.00080787-0.00074025i
0.00049729+0.00055277i,0.0019336-0.00028269i,0.001439-0.0011383i,0.00096868-0.0018087i,0.00048256-0.0016828i,-0.00074615-0.0012018i,-0.001114-0.0002109i,-0.00067245+0.00015369i,-0.00045321+0.00038521i,-0.00044119+0.00059822i,0.00017944+7.7249e-05i,0.00035262-0.00039488i,0.00016517-0.00033182i,0.00021699+0.00068377i,-0.00040507+0.0012052i,-0.00042973+0.00081906i,0.00033552+0.00026192i,0.00028705+0.0003451i,0.00035169+0.00057194i,0.0010865+0.00065077i,0.0010479+0.00052549i,0.00054038+0.00073275i,-4.0283e-06+0.00053437i
-0.00081902-0.0015015i,-0.0007515-0.001662i,0.0003922-0.0014049i,0.00082155-0.0014022i,-0.00014066-0.0024433i,-0.00067326-0.0030201i,-0.0011333-0.0019109i,-0.0009973-0.00074592i,9.6901e-05-0.00076885i,0.0003024-0.00073475i,0.00013173+7.8914e-06i,-0.000586+0.00082325i,-0.0020232+0.0010555i,-0.0013854+0.00082541i,-0.00023464+0.00082427i,7.1057e-05+0.00059533i,0.00035939+0.00017883i,0.00033929-0.00029105i,0.00067808-0.00023812i,0.00074552-0.000502i,0.0001627-0.00050481i,5.5395e-05+4.8542e-05i,0.00024916+0.00028654i
0.0004824+0.00035223i,0.00053645+0.00013539i,-0.000285+6.0666e-05i,0.00063821-0.0020488i,0.0015709-0.0036983i,0.00069972-0.0024176i,-0.00013879-0.00085001i,-0.00025624-0.00080378i,-0.00036768-0.0005706i,-3.5957e-05+9.6342e-05i,0.00031863+0.00067212i,0.00051585-4.582e-05i,0.00028671-0.0012047i,0.00013214-0.0012209i,0.00043755-0.00049645i,0.001106-5.8782e-05i,0.00058103+0.00031203i,-0.00069415-0.00021982i,-0.00047203-0.00036794i,0.00045326-0.00019135i,0.00052662+0.00034497i,0.00027958+0.00064655i,-2.0122e-05-0.00018048i
-0.00057291+0.00060725i,0.00011531+0.00032724i,0.00049577-0.00056475i,0.00043044-0.0021379i,-0.00012299-0.0029809i,-0.00085451-0.0024646i,-0.001596-0.00097101i,-0.001334-0.00060089i,-0.00083216-0.00023654i,-0.00030839+0.00063736i,2.1364e-05+0.00069912i,-0.00010783+0.00066423i,-0.00040072+0.00052545i,-0.0001352+0.00014438i,0.00015465+0.00036914i,-0.00014045+0.00067403i,-0.00030023+0.00015162i,-0.00017633-0.00021537i,0.00027078-0.0006605i,0.00072318-0.00082854i,0.00065962-0.00014397i,0.00018596+0.00068124i,-0.00019287+0.0006635i
0.0017886-0.00037944i,0.0010839-0.0010617i,0.00048408-0.00056182i,0.00028041-0.00023947i,0.00048244-0.0010626i,0.00075153-0.0014561i,0.00094831-0.00094263i,0.00094853-0.00042463i,0.00015249-0.00042299i,-0.00012105-0.0010146i,0.00063287-0.0011846i,0.00079664-0.00041623i,0.00045217+0.00067332i,-0.00020423+0.00058052i,-0.00056596-0.0006269i,-0.00028104-0.0010605i,-2.1378e-05-0.00045635i,0.00018632+7.2229e-05i,-7.8129e-06+0.00066431i,-0.00031752+0.00082511i,-0.00018532+0.0006256i,0.00059966+0.00020959i,0.00037734-0.00019257i
0.0008211-0.00033958i,-8.6614e-05-0.0017302i,-1.7609e-05-0.0030294i,0.00055324-0.0032007i,0.00022908-0.0029536i,-0.00092885-0.0021513i,-0.0011435-0.0010336i,-0.00042201-0.00045524i,-0.00049354-0.00038325i,-0.0010895-0.00050414i,-0.00075925-8.3543e-05i,0.00039279-0.00045183i,0.0010545-0.0010303i,0.00051162-0.00017099i,-0.00016816+0.0003855i,-0.00062402-1.505e-05i,-0.0012272+2.7268e-05i,-0.0015935+0.0001766i,-0.001418-0.00044468i,-0.00080399+0.00014708i,-6.3951e-05+0.0010007i,0.00036387+0.00017436i,0.0002491-0.00042072i
0.00084028+0.0003107i,0.00097934+0.00012859i,0.00036365-0.00058156i,0.00043595-0.001422i,0.00050422-0.0025794i,0.00045101-0.0028241i,-8.9509e-05-0.0022906i,-0.0010836-0.0016352i,-0.0010256-0.001057i,-0.00012378-0.00042783i,0.00036783-0.0001137i,0.00090971-0.0003721i,0.00066532-0.00013676i,0.0002544-0.00043341i,-0.00020699-0.00081336i,-6.4238e-05+0.00020291i,-0.00017271+0.00075861i,-0.00054841+0.00051066i,-0.00072665-4.0978e-05i,-0.00041856-0.00036659i,-0.00016313-0.00010783i,-0.00010369-0.00029491i,0.00026317-0.0008899i
0.0013305-0.0010879i,0.0012242-0.0018458i,0.00048913-0.0021754i,0.00058567-0.0026235i,0.00083407-0.0036292i,-0.00083288-0.0024782i,-0.0018686-0.00069748i,-0.00099198+0.00014705i,-0.0010286+0.00045101i,-0.00094378+0.00040451i,-0.00044715+0.00033239i,-0.00018091+0.00041637i,-0.00025051+0.00031671i,-0.00034347+5.6687e-05i,-6.8109e-05+0.00014317i,-0.00079064-0.00018426i,-0.0012135-3.4022e-05i,-0.00014507+2.0174e-05i,0.0011691+9.8982e-05i,0.001449+0.00028822i,0.00074775+0.00034486i,0.00011894-0.00028713i,-0.00031727-0.00090708i
-0.0014055-0.0015953i,-0.00066949-0.0018334i,-0.00051807-0.0012864i,-0.00012392-0.0016806i,0.0001635-0.0021604i,0.00025746-0.0020992i,6.2816e-06-0.0016405i,-0.00108-0.0011733i,-0.0018692-0.00099192i,-0.0010232-0.00011531i,-0.00073529+0.00028349i,-0.00091055-6.5337e-05i,-0.00035741-0.00020938i,0.00057085+3.6265e-05i,0.00086336+0.00057332i,0.00061757+0.00089281i,0.00035253+0.00083778i,9.9629e-05+0.00098889i,-0.00042186+0.00097876i,-0.00057407+0.00035817i,-0.00075438-0.00019897i,-0.00015112-0.00024415i,0.00035384+0.00019762i
0.00034652-0.0012461i,0.00016085-1.1409e-05i,0.00026822-0.00047349i,0.00067066-0.0013764i,0.00051033-0.0020008i,-0.00043648-0.0012371i,-0.000769-0.00044476i,-0.00017523-0.00081083i,-1.9938e-05-0.00059408i,0.00032775-9.4915e-06i,0.00036767-0.00021162i,-0.00015245+8.5292e-05i,-0.00050112+0.00026886i,-0.00054373+0.00019512i,-0.00043393+0.00050711i,-0.00038228-0.00028148i,-0.00066988-0.0013122i,0.00017162-0.00070672i,0.00089816-6.0763e-05i,0.00060853-0.00021461i,0.00085812-6.2046e-05i,0.00065953+0.00028196i,0.00024137+0.00024019i
