-0.0044424+0.0005662i,-0.0030463+0.002244i,-0.0021862+0.0049094i,-0.0017785+0.0050339i,-0.0013123+0.0032026i,-0.00076132+0.00080005i,0.00032326-0.00023328i,0.0010059+3.9875e-06i,0.0017797+0.00076793i,0.0018365+0.00027724i,0.0011867-0.00064483i,0.00085295-0.001235i,0.00091348-0.0013637i,0.00054836-0.00092704i,0.00050939-0.0011296i,-2.8603e-05-0.00089992i,-0.00066015-0.0002051i,-0.00013626-0.00022922i,0.00043037-0.00081694i,-4.1035e-05-0.00048645i,-0.00089218-0.00036704i,-0.00093972+4.6874e-05i,-0.00011012+0.00021134i
0.0018212+0.0021265i,0.0020023+0.0018983i,0.0019777+0.00099979i,0.0028047-5.1766e-05i,0.0031342-0.00015508i,0.0010349-0.00033275i,-0.00035041-0.00034948i,-0.00018312-3.1381e-05i,-0.00026624+0.00024781i,-0.00027355-0.00021138i,0.00034132-5.9625e-05i,8.3817e-05+0.00036676i,-0.00094355+0.00012641i,-0.0012171-0.00027829i,-0.000702-0.0010164i,-0.00029002-0.0012091i,-0.00090065-0.00083105i,-0.00041132+0.00044622i,0.00042076+0.0012854i,0.00041023+0.0011199i,-4.2903e-06+0.00079039i,1.1851e-05+9.6664e-05i,0.00071186-0.00088287i
-0.00047642-0.00050457i,-0.0010871+6.2959e-05i,-0.0017313+0.0006963i,-0.0023135+0.0010826i,-0.002407+0.00081722i,-0.00076694+0.00011599i,0.00066935+2.8221e-05i,5.5059e-05-0.00020001i,-0.000223-0.00086095i,-7.8869e-05-0.00088506i,-6.2107e-05-0.00045575i,0.00039461+0.00039173i,0.00087033+0.0013969i,0.00081421+0.00062322i,5.8306e-05+0.0004263i,-0.00031248+0.00070012i,-0.00016876+0.00010626i,-1.0499e-05-0.00022254i,0.00066897-0.00076828i,0.0012018-0.00017782i,0.00053473+0.00027159i,-0.00020946-0.00010421i,-0.00020521-6.9944e-05i
-0.00072665-0.00065138i,-0.00083345+0.00016372i,-0.00042333+0.00122i,0.00029645+0.0025001i,0.00087762+0.0029425i,0.0019058+0.0015394i,0.0019995+0.00012264i,0.00087247-0.00043292i,-0.00050814-0.00067867i,-0.0014384-0.00019668i,-0.001903+0.00011245i,-0.0013308-0.00025384i,0.0001572-0.00060322i,0.00079283-0.00023183i,0.00023584+0.00050159i,-0.00012473+0.00083029i,-6.7441e-05+0.00057524i,0.00032754+0.00019268i,0.0004144+0.00039118i,-0.00029364+0.00044642i,-0.00093699-0.00048532i,-0.00095598-0.001019i,-0.0006569-0.00058238i
0.00049968+0.0034305i,0.0012513+0.0032275i,0.0026146+0.0029527i,0.0029855+0.0013335i,0.0017109-0.00025798i,-0.00037777-0.00079813i,-0.00078393-0.00022457i,-0.00049554+2.3209e-05i,0.0001559+3.8469e-05i,0.00058806-2.5401e-06i,-0.00035677-0.00046515i,0.00035156-0.0010383i,0.00084498-0.00050683i,-0.00069779+2.6337e-05i,-0.0011685-6.9442e-05i,-0.00024608+9.8264e-06i,-6.1958e-05-0.00028492i,-0.00094008-0.00097333i,-0.0011229-0.00058027i,-0.00016835-2.0519e-05i,0.0011758+0.00035526i,0.00127+0.00071718i,0.00053962+0.00031187i
-0.0013591-0.0011808i,-0.0017429+0.00071635i,-0.0012066+0.0024023i,-0.00010334+0.0024596i,0.00077564+0.0015507i,0.0016299+0.00031024i,0.001721-0.00094446i,0.001044-0.00076077i,0.00022815-0.00028456i,0.00058236-0.00034032i,0.00087037-0.00031622i,9.3174e-05+0.00038633i,-0.00048927+0.00078379i,0.00013224+0.000891i,0.001022+0.00015136i,0.00063953-0.00064344i,-0.00053014-0.00050295i,-0.00055364-0.00034918i,-0.00011203-0.00047964i,0.00060852-0.00079936i,0.00047429+7.7017e-05i,-0.00047734+0.00098978i,-8.4454e-05+0.00079994i
0.00026924+0.00043273i,0.00064365+0.00069867i,0.00034584+0.00057809i,0.00059319+0.00059919i,0.0010498+0.00073378i,-0.00022175+0.00043993i,-0.00023116-0.0003988i,0.0013037-0.00062798i,0.0013735-0.00057943i,0.0003552-0.00012532i,-9.8207e-05-0.00024203i,0.00022619-0.00067001i,0.00049995-7.9123e-05i,0.00035091+0.00023193i,-0.00029985+0.00059539i,-3.7359e-05+0.00088534i,-7.7602e-05+0.00048451i,-0.00037835-8.3045e-05i,-2.0171e-05-0.00021467i,0.0001268-4.8444e-05i,3.837e-05+0.00029653i,-0.00054749+0.00051512i,-0.00074154+0.00015186i
0.0018673+0.00084243i,0.0021654+0.00082469i,0.0019544+0.0011841i,0.0010072+0.0013965i,0.00089522+0.00056245i,0.00025527-0.00049648i,-0.00073914-0.00076429i,-0.00014287-0.00034167i,7.8343e-05-0.00026112i,-0.00032851-0.00074515i,-0.00062683-0.00080854i,-0.00098978-5.7735e-05i,-0.00086494+0.00017286i,-0.00068661+0.00031422i,-0.00083582+7.0393e-05i,9.2481e-05-0.00035961i,0.0006914-0.00051699i,0.0012018-0.00039584i,0.00088651-0.00019167i,0.00045086-0.00068103i,0.00097961-0.00069924i,0.00069582-0.00062016i,0.00057994-0.00055068i
-6.9794e-05+0.0018129i,-0.00064024+0.0025327i,0.00031014+0.0030815i,0.0010743+0.0028581i,0.00029282+0.0014478i,-0.00041945+0.00060078i,-0.00022265+0.00024318i,-5.5894e-05+0.00031691i,-1.0634e-07+0.00024176i,-0.00051643-0.00069506i,-0.0012339-0.00068293i,-0.0013822-0.00017705i,-0.0011518-0.00040239i,-0.00014281-0.00039603i,0.00062696-0.00031413i,0.00054567-0.00026972i,-0.00016599-7.8202e-05i,-0.00056458-0.0003073i,0.00010238-0.00049466i,0.00010344-0.00078003i,5.4297e-06-0.0010867i,0.00081558-0.00067888i,0.0010718-0.00019554i
0.0012983+0.0017312i,0.0023845+0.0020101i,0.0028051+0.0024303i,0.0018949+0.0011071i,0.0013376-0.00098359i,0.00096294-0.0017213i,0.00016884-0.0013763i,7.9368e-06-0.0011507i,0.00017499-8.8569e-05i,-0.00033135+5.9598e-05i,-0.00070543-0.00091995i,-0.00036681-0.00090977i,0.00011791-0.0001353i,0.00071539+4.7471e-05i,0.00015522-0.00049974i,-0.000761-0.0005168i,-0.00072299+9.1736e-05i,-0.00062741-2.3982e-06i,-0.00091963-0.00020378i,-0.0011599+0.00025326i,-0.00081253+0.00014269i,0.00012595-6.8355e-06i,0.00082077-0.00013778i
0.0016542+0.0030805i,0.0017526+0.00352i,0.0018604+0.0030729i,0.001592+0.0022404i,0.0010047+0.0012219i,0.00019412+0.00046716i,-0.00064184+0.00019264i,-0.00064753-0.00030276i,5.2033e-05-0.00061469i,0.00068909-0.00075107i,-0.00013182-0.00091163i,-0.00064812-0.00077891i,-0.0007308-0.00020374i,-0.0012666+0.00083585i,-0.0019497+0.0011294i,-0.0010731+0.00053937i,0.00034897+0.00055335i,-6.7371e-05+9.552e-05i,-0.00076196+0.00027333i,-0.00054026+0.00071024i,-0.00040189-7.1294e-05i,2.1865e-05-0.00093115i,0.00021946-0.0010722i
-0.00035084+0.00029977i,-0.0012929+0.001303i,-0.000703+0.0022903i,0.0002962+0.0030543i,0.00089895+0.0017429i,0.0012491+0.00060523i,0.0011221-0.00021638i,0.00071476-0.0013892i,0.00022889-0.0012941i,-0.00031765-0.00076683i,-0.00019476-0.00010089i,6.7673e-05-0.00044838i,-0.00022707-0.00090015i,-0.00040919-0.00060576i,-0.00026117-0.00059913i,-0.00095937-2.7429e-05i,-0.0010581-0.00018897i,-0.00060488-0.00038671i,-0.00061766-0.00044663i,-7.7752e-05+0.00023913i,0.0003264+0.00081521i,-0.00040656-0.00020576i,-0.00076329-0.0001516i
-0.0011448+0.00046957i,-0.00013327+0.0009988i,0.0013342+0.00182i,0.0016448+0.0024097i,0.00078909+0.0012384i,0.00035203-0.00062001i,0.00061915-0.0005767i,0.00078363+7.0283e-05i,0.00057943-0.00044455i,-0.00017235-0.00038001i,-0.00024825-0.00026908i,-0.0005502-0.00014832i,-0.00081381-0.00013379i,-0.00058771-0.0011414i,-0.00049096-0.0011902i,-0.00037738-3.531e-05i,0.00028222+0.00055473i,0.0011315+0.00022803i,0.00054621+0.00015855i,-0.0005281-0.00061253i,-0.00084768-0.00064343i,-0.00095926-0.00019769i,-0.00047786-0.00029282i
