-0.0012429+0.00052575i,-0.00025678-0.0011418i,-0.0007297-0.0017607i,-0.00097123-0.0011804i,-0.0013832+0.0011978i,-0.0014445+0.0028712i,-0.0005895+0.0033847i,0.00057443+0.0025449i,0.00072411+0.0010424i,0.00057377+0.00024926i,0.00044344+0.00052886i,0.0002312+0.00029616i,1.0533e-05-0.00014753i,-0.00050191-0.00053988i,-0.00055839-0.00042298i,-0.00054573+0.0005019i,-5.3868e-05+0.0009882i,0.00073974+0.0004556i,0.0010675+4.0611e-05i,0.00050452-0.00033051i,-0.00015658-0.00061607i,-5.8668e-05-0.00052228i,-0.0002067+0.00017922i
-0.00050949+0.00063972i,-0.00064794+0.00074009i,-0.0015251+0.00049999i,-0.0018097+0.00043485i,-0.0010993+0.0010213i,-7.2501e-05+0.00092848i,0.00026522+0.00037649i,-0.00025663+0.00059261i,-0.0004545+0.0010555i,-0.00044172+0.0005196i,-0.00028667-0.00011692i,-0.00034744+0.00010417i,-0.00074247+1.6085e-05i,-0.001135+7.1314e-05i,-0.0010458-0.00052385i,-0.0002392-0.00091769i,8.8852e-05-0.00029471i,-0.00052304-0.00011032i,-0.00088309+6.6481e-05i,-0.00089191-0.00032103i,-0.00039536-0.00061873i,0.00054545-0.00071392i,0.00049226-8.9832e-05i
0.00079088-0.0023684i,0.00035115-0.002203i,-0.00095573-0.0026638i,-0.0014426-0.0017684i,-0.0015624+0.00078698i,-0.0011509+0.0016156i,-0.0004686+0.0011574i,-0.00033958+0.00077965i,2.7466e-05+1.059e-05i,0.00033158-0.00021444i,0.00036995-4.9007e-06i,-0.00037765-0.00051677i,-0.0010631-0.00030596i,-0.00054352-0.00060487i,-0.00031425-0.0013503i,-4.2486e-05-0.0009856i,0.00083182-0.00053324i,0.0006974-8.8045e-07i,0.00082366+0.0004088i,0.00064549+0.000289i,-0.00027098-0.00035961i,0.00013376-0.00044413i,3.8548e-05+0.00026448i
0.00064439+0.001002i,0.00056279+0.00036059i,0.0001191+0.00012954i,-6.6671e-05+0.00049333i,-0.00017383+0.00058027i,-0.00033048+4.1623e-05i,-0.0006754-7.2695e-05i,-0.00075284+0.0003284i,-0.0002605+0.00055872i,0.00011816+0.00047642i,-0.00023193-8.8045e-05i,-0.00068266-0.00011209i,-0.00064994+0.00011394i,0.00034001-0.00015728i,0.00049506-0.00021158i,-2.14e-05-0.0007043i,0.00024677-0.00026785i,0.00019927+0.00033511i,0.00012495+3.4929e-05i,0.00013189-0.00059667i,-0.00030794-0.00094156i,-0.00087693-0.00072778i,-0.001225-0.00022484i
0.0013262+0.001507i,0.00096536+0.0015504i,-4.3247e-05+0.00081243i,-0.00059498-0.00077705i,0.00011679+1.1852e-05i,0.00082106+0.00032477i,0.00073236-0.00010073i,0.00025511+0.00018284i,-9.2968e-05+0.00087903i,-0.00084398+0.0010994i,-0.00086026-5.2896e-05i,0.00012376-0.00073223i,0.00056989-0.00010396i,0.00032597+0.00031207i,0.00010086-2.4631e-05i,0.00010707-0.00086901i,3.7684e-05-0.0013692i,5.9261e-05-0.0012303i,0.00044706-0.00093513i,0.00084112-0.00055697i,0.00053415-0.00032078i,0.00028889-0.00059594i,-0.00013199-0.00084485i
-0.0011738-0.00022203i,-0.0016877+0.00057062i,-0.0022859+0.001173i,-0.0025298+0.0013981i,-0.0015592+0.0014547i,-0.0011372+0.0010606i,-0.00086094+0.00045441i,-0.00035134-0.00023849i,-0.00010137-0.00052807i,-9.091e-05+0.0001639i,-7.0337e-05+0.00089168i,0.00032951+0.0012436i,0.00078525+0.00076718i,0.00041345-0.00040894i,-0.00016909-0.00028336i,0.00022543+0.00069022i,0.0010118+0.00012493i,0.0003004-0.00043603i,-0.0006392+0.00038691i,-0.00058871+1.7165e-05i,-5.096e-05-0.0012283i,0.00072908-0.0010627i,0.00045066-3.9121e-06i
0.000768-0.0028471i,0.00066824-0.0042471i,0.00014043-0.0046396i,-0.0010227-0.0026061i,-0.0011648-0.0003742i,-0.00049883+0.00056955i,-0.00058703+0.0010689i,-0.00083014+0.00084334i,-0.00078857+0.00067665i,-0.00020839+0.0010846i,-0.00026645+0.00090961i,-0.00026986-0.00039749i,-0.0001644-0.001229i,-0.00058046-0.00084375i,-0.0008179-0.00025543i,-0.00038184-8.1146e-05i,-6.883e-05+0.00012988i,6.0275e-05-0.00047792i,0.0002032-0.0010315i,-0.00021456+9.5484e-05i,-0.0002324+0.00051343i,0.00018851-6.307e-05i,0.00052399+1.0549e-06i
-0.0028132+1.4184e-05i,-0.004002+0.0011812i,-0.0052086+0.0019732i,-0.0041527+0.0019047i,-0.0018396+0.0022912i,-0.00076866+0.0020554i,-0.00086902+0.00084989i,-0.0010005+0.00075294i,-0.0009212+0.00045689i,-0.0014252+0.00040277i,-0.0013877+0.00096731i,-0.00056214+0.0016396i,0.00017477+0.002044i,-8.5037e-05+0.0014375i,-0.00019811+0.00041381i,8.432e-05+0.0002861i,9.1216e-05+0.00017847i,-0.00034799-0.00016616i,-0.00059384+0.00011855i,-0.00014887+7.3252e-05i,0.0004974-0.00043669i,0.0003174+0.00010466i,-0.00020777+0.00076776i
-0.00040116-0.00059678i,-0.00064832-0.0013022i,-0.0015958-0.0020941i,-0.0021627-0.001942i,-0.0016295-0.00025169i,-0.00077566+0.00090593i,0.00019731+0.00054209i,0.00031564+0.00038347i,-0.0003039+0.00040779i,-0.00063532+0.00075353i,-5.5709e-05+0.00038533i,0.00056229-0.00050488i,-0.00021284-0.00075458i,-0.00081775-0.00036694i,-0.00020864-0.00010147i,0.00040812+0.00013451i,0.00057167+0.00020738i,0.0008848+0.000294i,0.00036447+6.8387e-05i,9.952e-05+0.00029717i,0.00013973+0.00056499i,-0.00042526-0.00036627i,-0.00099982-0.0011802i
0.001425+0.00022136i,0.00040802-0.0011142i,-0.00027786-0.00065263i,-0.0017062-0.00055865i,-0.002371-0.0010778i,-0.0021965-0.00084032i,-0.0020835+2.5456e-05i,-0.0013125+0.00079727i,-0.00070736+0.00093487i,-0.00078343+0.00022942i,-0.00016823-0.0002595i,0.00039202-0.00051658i,0.00062781-0.00046941i,0.00066763+9.8167e-05i,-3.545e-05+6.2499e-05i,-0.00046353-0.00051862i,0.0004169-0.00028824i,0.001253+0.00027747i,0.00070639+4.6967e-05i,0.00010409-0.00030496i,-0.00041051-0.0004998i,-0.0007907+0.00053042i,-0.00069919+0.0010634i
-0.002218-0.0014105i,-0.0015116-0.0018028i,-0.0014066-0.001732i,-0.0011012-0.00033438i,-0.00055067+0.0010117i,3.431e-05+0.0012443i,0.00047189+0.00063457i,0.00018811+0.00071503i,-0.00065982+0.0009018i,-0.00047053-0.00036192i,0.00034304-0.00029961i,-0.00016928+0.00046823i,0.00010296+0.00041193i,0.00038889+8.3261e-05i,-8.0292e-05-0.00012085i,3.7788e-05-1.8901e-05i,4.3461e-05-0.00013732i,-4.965e-05-0.00073802i,-2.9707e-05-0.00079172i,-9.3166e-05-0.00023242i,0.00040963+0.00024725i,0.00032777+0.00029298i,-9.1949e-05-0.0004651i
