0.0002055+0.001719i,-0.0002358+0.00091742i,-0.00056255-0.00046831i,-0.00080669-0.0015534i,-0.0020972-0.00098123i,-0.0031101+0.00053289i,-0.0028707+0.00081681i,-0.00083698+0.00087149i,0.00086503+0.0011648i,0.0012165+0.00051351i,0.00049835-0.00015458i,-0.00052932-0.0004996i,-0.00042907-0.00061352i,-4.0504e-05-0.0010863i,3.4054e-05-0.0014193i,-0.00017576-0.00077351i,-0.00038011+0.00012089i,-0.00026364-0.00016837i,0.00031609-0.00054312i,0.00019078-4.9466e-05i,5.7059e-05+0.00035653i,-2.0837e-05-0.00013746i,-0.0005715-0.0002351i
-0.00014588-0.0020724i,0.00094548-0.0022926i,0.00070354-0.002073i,0.00014986-0.0013974i,-0.00071398-0.0010037i,-0.00089387-0.00055951i,-0.00059818-6.4321e-05i,-0.00046124-0.00012657i,-0.00067048-2.4926e-07i,-0.00068461+0.0006304i,-0.00016923+0.00026976i,-0.0003503-0.00061137i,-0.00077759-0.00013471i,-0.00018761+0.00071183i,-0.00018172+0.0005572i,-0.00032809+0.00030437i,3.0203e-05+0.00055276i,-0.00013916+0.00031928i,-0.00083592-0.00020442i,-0.00076854-3.8744e-05i,-8.5497e-05+0.00059045i,-0.00048195+0.00097077i,-0.00058843-6.0853e-05i
3.4359e-05-0.0016039i,-0.00019968-0.0015397i,-0.00065539-0.0029528i,-0.000805-0.0028211i,-0.0011477-0.0013368i,-0.0014965+2.2038e-05i,-0.00083271-0.00047038i,8.6471e-05-0.00079582i,6.6446e-05+0.000103i,4.7642e-05+1.0323e-05i,0.00042346-0.0010729i,0.0011996-0.00080198i,0.0010609+0.00020148i,0.0011675+0.00087918i,0.0015421+0.00041621i,0.0010086+0.00031773i,1.4684e-07+0.0010643i,-0.00070525+0.00064646i,-0.00022105+4.4597e-05i,0.00022895+0.00060151i,0.0002221+0.00037086i,0.00020916-8.685e-05i,0.0002946+0.00012744i
-0.0023265-0.0018239i,-0.0013263-0.0018369i,-0.0019123-0.0017343i,-0.0016633-0.00080126i,-0.0010536+0.00017405i,-0.00099781+0.00037162i,-0.001059+7.8731e-05i,-0.00087036-0.00054327i,-0.00026065-0.00033622i,0.00034485+0.00024948i,0.00046181+0.0004158i,-6.6885e-05+0.00034782i,-0.00056632-2.367e-05i,-0.0011949+4.0781e-05i,-0.0010071-0.00019149i,-0.0011892+0.00046196i,-0.00079029+0.00095327i,0.00054473+0.00050445i,0.00081466+0.0011017i,3.9989e-05+0.0017166i,-0.00037504+0.0004433i,-0.00063605-0.00043436i,-0.0005428-8.3036e-05i
-0.00067861-0.00027985i,-0.00016365-0.00074641i,-0.0011125-0.001204i,-0.0012386-0.0016241i,-0.0014838-0.0012545i,-0.00203-0.00013955i,-0.0017532+0.00033383i,-0.00092743-9.2623e-05i,-0.00085453-0.00051523i,-0.00053048+0.00033728i,0.00037223+0.00048055i,0.00087435-4.6536e-05i,0.00038757-2.7844e-05i,9.9728e-05+0.00034642i,0.00044231+0.00020268i,0.00024162+0.00018376i,-0.00036399-0.00012384i,-0.0001949-0.00059665i,-0.00026424+0.00017597i,-0.00055294+0.00092348i,1.1215e-05+0.0002946i,-0.00036685-2.1832e-06i,-0.00033558+0.0008463i
7.7771e-05-0.00049389i,0.00053042-9.2168e-05i,0.00038121+0.00076154i,0.00066551-0.00011751i,0.0003951-0.0011366i,-0.00033629-0.00065934i,-0.00040803-0.00051383i,-0.00076355-0.00068365i,-0.0010015-0.0006344i,-0.00066947-0.0001185i,-0.0012467+0.00045668i,-0.0010918+0.00074002i,6.343e-05+0.00047868i,0.00057002-0.00049688i,-0.00035881-0.00043173i,-0.00065804+0.00048275i,9.0964e-05+0.00059467i,0.00044649+0.00063054i,-7.8848e-05+0.00096463i,-0.00058463+0.0003275i,-0.0004545+0.00019357i,-0.0002564+0.00042946i,-0.00032045+0.00068106i
0.00067199+0.00011032i,0.0009082-0.00011312i,0.001072-0.0011013i,0.0010885-0.0022166i,0.00049978-0.001351i,-0.00062095-0.00039273i,-0.00073829+0.00029459i,0.00041852+0.0009655i,0.00075801+0.00097086i,0.00017266+0.00038876i,2.2461e-06-0.00042274i,0.00037115-0.00068028i,0.0010036-0.00033596i,0.00093512-0.00055075i,0.00071979-0.00025399i,0.00084498+0.00048087i,0.00051752+0.00072245i,3.5435e-05+0.00071743i,0.00037605+0.00043685i,0.00080164-0.00016053i,0.00028109-0.00083015i,-0.00020423-0.00083145i,0.00029347+6.7108e-05i
6.3923e-06+0.00069005i,0.00075066+0.00083782i,0.0010905+0.00093292i,0.0011502+0.00026224i,0.00021157+0.00046474i,-0.00016584-6.7399e-05i,-0.00012867-0.00047925i,-0.00020292-0.00044928i,0.00015272-0.000404i,0.00063356-0.00022842i,0.00070073-0.00032662i,0.00053347-6.5139e-05i,0.00029492-0.00022954i,8.124e-05+2.8485e-05i,3.0865e-05+0.0010303i,-0.00035544+0.00084766i,-0.00062924-0.00013779i,-0.00017073-0.00083711i,0.00035801-0.00015046i,0.00016752+0.0005333i,0.00048118+0.00091325i,0.00070918+0.00093224i,0.00082451+8.2384e-05i
-0.0014085+0.0002377i,-0.00094733-0.0001093i,-0.00072477-0.001304i,-0.00082139-0.0019739i,-0.0012625-0.0014478i,-0.0010875-0.00086656i,-0.00047579-0.00042137i,-0.00017992+0.00032523i,-0.00033711+0.0010802i,-0.00013443+0.00060435i,0.00025366+0.00014654i,0.00054951+3.6642e-05i,0.00049873-0.00054379i,-0.00080075-0.00029862i,-0.00131+0.00066122i,-0.00022125+0.00096619i,0.0006525+0.00043781i,-6.9208e-05+0.00028791i,-0.00031675+0.00027833i,-6.8401e-05-0.00011611i,5.3388e-06-0.00021602i,0.00019905+8.2549e-05i,-0.00016987+0.00040021i
-0.0014415-0.00039297i,-0.00076327-0.00058592i,-0.00059169+0.00029959i,-6.939e-05+4.4511e-06i,-6.257e-06-6.0802e-05i,-0.00020957+7.3856e-05i,-9.6833e-06-0.00024503i,0.00011299+0.00039506i,-1.5091e-06+0.0015238i,-0.00015502+0.0015096i,-0.00012807+0.0011786i,-0.00013944+0.00090199i,-0.00018226+0.00053199i,-0.00011696+0.00033912i,0.00060308+0.00034472i,0.00066997+0.00013864i,0.00012734+0.00045177i,-0.00012975+0.00046848i,-3.5833e-05+2.2109e-05i,0.00047535+4.9377e-05i,0.00026303+0.00038684i,-0.0001019+0.0011933i,0.00048481+0.0012908i
-0.0014606+0.0020433i,-0.0024862+0.0027363i,-0.0020996+0.0029784i,-0.0009128+0.0015856i,-0.00034076+0.0010001i,-0.0003297+6.9505e-05i,-0.00049954-0.00050502i,8.3293e-05+0.00032805i,-4.8889e-05+0.001573i,-0.00061036+0.0015353i,-0.00081615+0.00063095i,-0.00041965-0.00011615i,0.00014565-0.00067058i,-0.0005238-0.00060315i,-0.00065148-0.00020796i,-0.00083432+8.8445e-05i,-0.0011725-7.9106e-05i,-0.00050496-7.0614e-06i,8.129e-05-6.6722e-06i,-0.00060193-0.00031948i,-0.0014887-0.00023679i,-0.001034-3.0954e-05i,-0.00060104+0.00070552i
