-0.0011646+0.0011753i,-0.00097245-0.00044662i,-0.0017538-0.0011263i,-0.0019679-0.0010391i,-0.0020809-0.00089045i,-0.0013545+0.00010493i,-0.00090456+0.0014224i,-0.00025919+0.00096388i,0.00097242-0.00084537i,0.00054874-0.0015489i,-0.0010533-0.0015704i,-0.00082576-0.0013604i,-0.00022415-0.00082549i,0.00012001-0.000426i,-0.00026039+0.0007247i,-0.0004872+0.0010851i,-0.00018568-0.00017634i,0.00016255-0.00087046i,0.00018749-0.00040399i,-0.00047887-0.00028195i,-0.00059954-0.00042613i,-0.00055166-7.9412e-05i,-0.00089297-0.0005453i
0.0020864+0.002431i,0.00081435+0.0022485i,-5.9455e-06+0.002139i,-0.00010273+0.00094667i,-0.0002944+0.000484i,-7.8155e-05+0.0010755i,0.00027574+0.00053589i,-0.00018491-0.00012381i,-5.914e-05-0.00094138i,0.00047853-0.0016989i,-0.00028664-0.0022285i,-0.00071977-0.0017449i,-0.0004015+3.4249e-05i,-0.00055806+0.00072479i,0.00013289+0.00046326i,0.00048209+2.2543e-05i,-0.00025196-0.0014079i,-0.00013037-0.0018053i,0.00043809-0.00071934i,-7.6825e-06+0.00022223i,-0.00041467+0.00042929i,-0.00088754+0.00061906i,-0.0010913+0.0002168i
0.00055843-0.00050743i,0.0022754-0.0012596i,0.0018184-0.0017213i,0.00049711-0.00091527i,0.00063006-0.00059527i,0.0011373-0.00073549i,0.0014321-0.0012104i,0.0013471-0.0019915i,0.00091272-0.0019239i,0.00031761-0.0010243i,-0.00064059-0.00092378i,-0.0011111-0.00087379i,-0.00060231-0.00030656i,-5.0393e-05-0.00033181i,-6.3889e-05-0.00039964i,0.00021544+0.00030019i,0.00063752+0.00066909i,0.00076684+0.00049462i,0.00024175+0.00049738i,-7.7955e-05+0.00051699i,0.00015874+0.00010631i,-0.00046547+8.3016e-05i,-0.00032852+0.00067846i
0.00023562+0.0010932i,-0.00027979+0.001472i,-0.00097826+0.0020732i,-0.00034077+0.001798i,0.00036762+0.0013403i,0.00013548+0.00042859i,0.00017054-0.00042427i,0.00084195-0.00051371i,0.00096254-0.00097403i,0.00030766-0.00071319i,-0.00056987+0.00012229i,-0.00087207+0.000184i,-0.00035021+0.00032641i,8.2968e-05+0.00094372i,0.00066901+0.00027241i,0.0012302-0.00038928i,0.0013728+6.4727e-05i,0.0012572-0.00010957i,0.00039906+8.7553e-05i,-0.00069756+0.00058115i,-0.00021236+0.00028691i,0.00084413-0.00049434i,0.00031947-0.00048969i
-0.00081899-0.0021061i,-0.0013084-0.0013344i,-0.001686-0.0015886i,-0.0009277-0.0014676i,-0.00051265-0.00054695i,7.1435e-05-6.4017e-05i,0.0005326-0.00049495i,6.2324e-05-0.00095031i,-0.00074616-0.0008067i,-0.0012117-0.00035329i,-0.0011999-0.00084569i,-0.001001-0.00097051i,-4.6255e-05-0.00035261i,0.0001959+0.00015068i,0.00010013-0.00014858i,4.1599e-05-0.00027624i,-0.00075159+4.4789e-06i,-0.0010887-0.00010758i,-0.00087607-0.00040825i,-0.00042794-0.00043676i,-0.00048308-0.00029156i,-0.00043356-3.7877e-05i,6.5483e-05-9.615e-05i
0.00070752+0.0002029i,0.00077277+0.00053736i,-0.00059457+0.00060958i,-0.00060695+6.0318e-05i,0.00013914-7.1217e-05i,0.0006786-0.00023695i,0.00097135-0.0010621i,0.00065322-0.0012003i,-0.00030252-0.0011089i,-0.0013906-0.0011888i,-0.0015595-0.00063611i,-0.0011408+5.4866e-06i,-0.00091376-8.3384e-05i,-5.2604e-05-0.00051202i,0.000711-0.00012901i,-0.00031718+0.00049639i,-0.00056744+0.00019606i,-0.00039239+0.00022395i,-0.00046273+0.00095039i,-0.00011958+0.0013096i,-3.0637e-05+0.00067069i,-0.00025848-0.00047547i,0.00027437-0.00070105i
-0.00031921+0.00020726i,0.00034012-0.00024632i,-0.00043091-0.00058962i,-0.0014659-2.171e-06i,-0.00053559+0.0011023i,0.0011177+0.0017316i,0.0014987+0.0015472i,6.2797e-05+0.00078569i,-0.00105-0.0007032i,-0.0010234-0.001668i,-0.00046643-0.0010903i,-0.0001307-0.0003427i,-3.0565e-05+0.00041543i,-0.00023127+0.00058647i,-0.00024174+0.00025064i,6.9608e-05-0.00018749i,0.00017757-0.00012848i,-1.9012e-05+4.3553e-05i,-0.00052738-0.00055865i,-0.00033886-0.00095188i,-0.00015069-0.00016517i,0.0001204+0.00031328i,0.00037604+0.00086598i
-0.0018915+0.0010243i,-0.0019684+0.0018346i,-0.001609+0.0023154i,-0.00098892+0.0017218i,-0.00086446+0.00083239i,-0.00022349-0.00028251i,7.1571e-05-0.0010483i,0.0002069-0.00045254i,0.0001558-0.00059965i,6.1071e-05-0.00074593i,0.00016079-0.0008741i,0.00027066-0.00094905i,0.00054503-0.00072833i,0.00095765-0.00048327i,0.00103-8.5552e-05i,0.0013065+7.8765e-06i,0.0007554+6.7655e-05i,-6.839e-05-0.00060136i,-0.00053751-0.00060122i,-0.00021583-3.8556e-06i,-0.00022303-0.00032278i,-0.0004426-0.00022588i,-0.00048081+0.00024503i
0.0012325-0.00075121i,0.0013364-0.00090028i,0.0005173-0.0005783i,-0.00043208+9.2397e-05i,0.00044226+0.00045388i,0.0006851+0.00076772i,0.00063807+0.00037038i,0.0006148-0.00077432i,0.0003208-0.0011464i,-0.00073496-0.0010944i,-0.0011802-0.0013878i,-0.0012465-0.00054538i,-0.00082866+0.00066262i,0.00023932+0.00050251i,0.00047463-0.00010016i,-0.00027617-0.00016905i,-0.00028636-0.00017704i,-4.1744e-05-0.00084032i,8.7054e-05-0.00065945i,0.00059618-0.00042061i,0.0007301-0.00057727i,0.000397-0.00043331i,0.00073512-0.0004626i
-0.00099623-0.0010993i,-0.0015193-0.00073895i,-0.0011851-0.00092634i,-0.00032764-0.0010091i,0.0005707-0.00053732i,0.0014994-8.0398e-05i,0.0015536+0.00030074i,0.00073699+9.2532e-06i,2.2417e-05-0.00059207i,-0.0008978-0.00076207i,-0.0012069-0.00071935i,-0.00094757-0.0004655i,-0.00063048-0.00020093i,-0.00025679+3.1251e-06i,0.00044432-0.00029521i,0.00045688-0.00046575i,-0.00011092-0.0006099i,0.00016404-0.00044167i,0.00021971-0.00021744i,-0.0001822-1.1302e-06i,-0.00011719+0.00057832i,0.00047521+0.00016441i,0.00050656-0.0003788i
-0.0021972-0.0018068i,-0.0021336-0.0012629i,-0.0016664+0.00014055i,-0.00052735+0.00061758i,-4.6393e-05+0.00078993i,-6.6868e-05+0.0008223i,0.00086168-0.00035561i,0.00097996-0.00079597i,5.705e-05-0.00097732i,-0.00044924-0.0007297i,-0.0003286-0.00032363i,7.2958e-05-0.00012177i,-7.0437e-05-2.1524e-05i,-5.6782e-05-0.00017516i,0.00030191-0.00058927i,0.00013589-0.00063616i,-0.00040406-6.4345e-05i,-0.00074921+0.00077823i,-0.00067079+0.00094236i,-0.00061302+0.00072661i,-0.001148+0.00039257i,-0.00099379+0.00021927i,-5.3739e-05+0.00018015i
