-0.0041753+0.00099811i,-0.0019099+0.00083925i,-0.0022521+0.00075494i,-0.0020075-0.00022168i,-0.001011-0.00044293i,-0.00091811+0.00046288i,-0.00027845+0.0008821i,0.0011227+0.00153i,0.0019559+0.0014776i,0.0020676-0.00015231i,0.0014332-0.0009588i,0.0012929-0.0011104i,0.0014598-0.00099195i,0.0013107+0.0002011i,5.2512e-05+0.0007346i,-0.00095829+0.00057156i,0.00023596+0.00048812i,0.001542+6.2152e-05i,0.00068906-0.00044284i,-0.00080356-0.00087372i,-0.00082072-0.00023853i,0.00032266-0.00025546i,0.00089573-0.0012813i
-0.0045327-0.00015566i,-0.0051932-0.00061837i,-0.0041314-0.00048933i,-0.0026455+0.0001756i,-0.0023557-4.5e-05i,-0.0015179-0.00055151i,-0.0010279+0.00011098i,-0.00072593+0.00018205i,-5.0748e-06-0.00029884i,-0.00036843+0.00029886i,-3.8488e-08+0.0012464i,0.00067574+0.0011245i,8.1813e-05+0.00063245i,-0.00077962+0.00029667i,-0.00095331-6.2284e-05i,-0.00025292+0.00022107i,-0.0002909+4.8604e-05i,-0.00029593-6.1504e-05i,0.00048568+0.00025025i,0.001016-0.00022257i,0.0012303+0.00023387i,0.00063233+0.00046099i,0.00025105+0.00041378i
0.00083011+0.003691i,0.00021873+0.0039754i,0.0008453+0.0032739i,0.0013835+0.0013711i,0.00081313-0.00013004i,0.00036637-0.00066475i,0.00071364+0.00013383i,0.0012528+0.0010153i,0.0010396+3.1988e-05i,0.00048789-0.00052182i,0.00016184-1.0637e-05i,0.00035977+8.9657e-05i,0.00010372-0.00019995i,1.9935e-05+0.00023835i,0.00031866+0.00054791i,0.00081961+0.00023844i,0.00062678-0.00026883i,0.00020008-0.00043698i,0.00043198-0.00039652i,0.00046199-0.00021563i,0.00030962-0.00048879i,0.00052198-0.00021813i,0.00017284+0.00043925i
-0.0013833+0.00058198i,-0.0012735+0.00043954i,-0.00064375+0.00056892i,5.2599e-05-0.00012061i,-8.2522e-05-0.00087537i,-0.00052995-0.00040435i,0.00033136-0.00013276i,0.0011304-0.00071294i,0.0013273-0.00080544i,0.00099842-0.00036153i,0.0008098-2.3374e-05i,0.00019782-0.00013701i,-0.00060756+0.00036412i,-0.00054081+0.00055649i,-0.00012549-4.1361e-05i,-0.00029401-0.00058232i,6.8502e-05-0.0010173i,0.00082436-0.00049384i,0.00065122+0.0001177i,0.00023485+0.00025102i,5.1166e-05+0.00042682i,-0.00019079+0.00027817i,0.00025952-0.0003673i
0.00053583-0.00045829i,0.00025365+0.000184i,-0.001577-0.00035635i,-0.002712-0.00053363i,-0.0019021-0.0003917i,-0.00055026+4.7943e-05i,-0.00010235-4.3748e-05i,0.00053751-0.00027085i,0.00073006-0.00023418i,0.00026587+0.00017243i,4.6754e-05+1.7092e-05i,4.3781e-05-6.4136e-05i,-2.3269e-05-7.8463e-05i,-0.0008505-0.0001812i,-0.00085814+0.00027346i,-0.00023512+0.0001911i,-0.00051986-0.00013854i,-0.0010709+0.00014082i,-0.00053142+0.00061888i,-3.0663e-06+0.00020641i,0.00022835-0.00077779i,0.00038063-0.0011057i,6.2152e-05-0.00056587i
-0.00060527-0.0011959i,-0.00039195-0.0020307i,-0.00054574-0.0015359i,-0.0006731-5.4765e-05i,-0.0011983+0.00037288i,-0.00087113-0.00033971i,0.00031374-0.00041235i,0.00078888-0.00016255i,8.9864e-05-0.00050141i,-0.00018708-0.00091896i,0.00015365-0.00035464i,5.9697e-05+0.00037094i,-0.00012491+4.6136e-05i,-0.00047402-7.4709e-05i,-0.00060386+0.00075577i,-7.1618e-05+0.00075811i,0.00046659+6.9127e-05i,-1.5973e-05+0.00061207i,-0.00075261+0.00045939i,-0.00061581-3.5831e-05i,-0.00025728+0.0005415i,-0.00014264+0.00060275i,-0.0003999-0.00023094i
9.1162e-05-0.0012828i,-0.00047919-0.0014673i,-0.00010842-0.0018667i,-0.00020503-0.0019951i,-0.00090073-0.0015519i,-0.00097917-0.00065515i,9.475e-05+0.00035809i,0.0010699+3.4884e-05i,0.00079964-0.001016i,0.00047664-0.0004408i,0.0014183+0.00066462i,0.0019443+0.00085488i,0.00086146+0.00037265i,0.00033826+0.00018443i,0.00039604+0.00055582i,-0.00018933+0.00059777i,-0.00037405+0.00028989i,0.00032586-0.00016847i,0.00023059+5.7783e-06i,0.00013802+0.00035558i,-0.00010082+0.0006089i,0.00034312+0.00036526i,0.00075821+0.00038388i
-0.0007185-0.00053229i,-0.0003879+0.00036724i,-0.00041511+2.5793e-05i,-0.00083758-0.0011567i,-0.0009234-0.00091683i,-0.0013214+0.00034087i,-0.00051776+0.00090681i,0.00065125+0.0010867i,0.00015341+0.00023719i,-0.00011931-0.00075164i,1.2782e-05-0.00064593i,0.00016687-0.00043458i,0.00026958-0.0005064i,-0.0001218-0.00016598i,-0.00052632-0.00047386i,-0.00058411-0.00042336i,-0.0007146+5.2447e-05i,-0.00023304-9.7972e-05i,-0.00010575+0.00063562i,-2.5817e-05+0.00054322i,0.00030612-0.0002243i,0.00040985+8.5553e-05i,-0.00044557+0.00016787i
-0.0017473+0.0004248i,-0.0018386-0.00047404i,-0.0020823-0.00084505i,-0.0011823-5.9536e-06i,-0.00080609-0.00018888i,-0.00098923-0.00028149i,-0.00061538+0.00040959i,0.00031695+0.00074188i,0.00076714+0.00050684i,0.00028612+0.00061803i,-0.00016558+0.0006277i,0.00012114-0.00013861i,0.00043844-0.00022062i,0.00095489-0.00023609i,0.0011322-6.1833e-05i,0.00055831+2.6674e-05i,0.00014968-0.00065187i,0.00027503-0.00029218i,-3.3007e-05+0.00132i,-0.00034723+0.0013335i,-0.00024694+0.00034335i,9.1001e-06-0.00054732i,0.00019008-0.00099794i
0.0010737+0.0012928i,0.0016235+0.00031819i,0.0026568+0.00011038i,0.0023513+0.0001517i,0.0010554-7.887e-05i,1.1695e-05+0.00027377i,-0.00059706+0.00064639i,0.00042383+0.00027318i,0.0015213+0.0003895i,0.0012161+0.00042993i,0.00060961-0.00074956i,0.000554-0.0015095i,-0.00014361-0.0012327i,-0.00020059-0.00074108i,0.00030203-0.0002738i,-0.000282-9.2146e-05i,-0.00045113-0.00026039i,1.2105e-05-0.00030342i,-0.00012895-0.00045725i,0.00036683-0.00023247i,0.00031721+0.00017405i,-0.0010801+0.00034382i,-0.00083889+0.0006264i
0.00091044-0.00074648i,0.0012694+0.00034662i,0.0015903-0.00034785i,0.00045546-0.00093864i,-0.0012143-0.0014507i,-0.00090506-0.0019784i,-0.00034316-0.0013197i,-0.00033855-0.00028874i,0.00011252+0.00043352i,-0.00011265+0.00028272i,-0.00057302+7.311e-05i,-0.00045428-0.00028859i,0.00017102-0.0006519i,0.00060778-0.00076019i,0.0004885-0.00074392i,-0.00033188-0.00041207i,-0.0003393-0.0002853i,-0.00065735+0.0001556i,-0.00037246+0.00023903i,0.00026618+0.00016916i,-0.00014429-0.00012436i,0.00022721+0.00013342i,0.00057136+0.00054675i
