0.0015974+0.0003971i,0.0024248-0.00074659i,0.0018297-0.0026418i,3.6992e-05-0.0033083i,-0.0018962-0.0021078i,-0.0024427+0.00024792i,-0.0011613+0.0013346i,0.00025564+0.00044428i,0.00044663-0.00068526i,0.00056898-0.0014854i,0.0012354-0.00099002i,0.0014361-0.00048504i,0.00055515-0.00084246i,6.5635e-05-0.00095912i,0.0004346-0.00047024i,0.00015671-4.44e-05i,-0.0004054+0.00063717i,-0.00029089+0.0010156i,0.00041128+0.0012469i,0.00028002+0.00083755i,-0.00031055-0.00015039i,-0.0001657-0.00079797i,0.00026161-0.00082404i
0.00038601+0.0010645i,0.0010461+0.0017939i,0.00028939+0.0019625i,-0.00067483+0.00080756i,-0.0012007+9.6984e-05i,-0.00080612+9.6185e-05i,5.0359e-05-0.00061409i,-0.00019802-0.0021118i,-0.00014357-0.0014564i,0.00066052-0.00037193i,0.0007919+0.0001609i,0.00047698+0.00055842i,0.00096411+0.00030494i,0.0013995-2.832e-05i,0.00073247+0.00031256i,6.3353e-05+0.00053747i,-1.3091e-05+0.0004473i,-0.00027045+0.00056176i,0.00023792+0.00053133i,0.00039454+0.00022321i,-0.00068937+0.00034043i,-0.0007461+0.00023049i,-4.4047e-05+0.00012919i
-0.0010921-0.0014372i,-0.0014913-0.0015562i,-0.00079968-0.0023958i,-0.0010423-0.0019196i,-0.0019189-0.0013489i,-0.00034332-0.0016816i,0.001273-0.0020619i,0.00092249-0.0014329i,0.00028341-0.00081752i,0.00049957-0.00056759i,0.00054781-0.00026311i,6.4935e-05+0.00035309i,3.8392e-05+4.8423e-05i,-5.2822e-05-0.00073042i,-0.001032+2.1696e-05i,-0.00084468+0.00030093i,-0.00038792+0.00015205i,-0.00028368+0.00092651i,-0.00072343+0.00040181i,-0.00071977+2.1686e-05i,-3.5823e-05+0.0002367i,-0.00067545-2.8192e-05i,-0.0008262-0.00049668i
0.0015117-0.0021613i,0.00096946-0.0012577i,0.00037082-0.0012649i,6.4432e-05-0.0014214i,-0.001328-0.0010414i,-0.0019152-0.0005158i,-0.0012463-0.0011354i,-0.00059046-0.0012761i,-0.00081145-0.00012497i,-0.0013489+0.00038467i,-0.00077897+0.00010549i,-0.00089715+0.00043979i,-0.0012197-3.8222e-05i,-0.00025547-0.00064538i,0.00064848-0.00024247i,0.00060137+0.00017032i,0.00034929+0.00033898i,0.00041299+0.00035861i,0.00061415+0.00081063i,0.00028177+0.0011713i,0.00016082+0.00071843i,0.00021906+0.00012882i,-9.0832e-05+0.00021078i
0.00059659+0.0025154i,0.0010257+0.0026241i,0.002058+0.0028378i,0.0016101+0.0013892i,0.00010796-0.00072569i,-0.00044057-0.0018307i,-0.00079493-0.0013222i,-0.00093867-0.001113i,-0.00060829-0.000579i,-0.00025786+0.00031407i,3.2197e-05+0.0002199i,0.00055604-0.0004863i,0.0016471-0.0010017i,0.0013735-0.00047694i,0.00085347-7.6351e-05i,0.00054086+0.0002586i,-8.908e-05+0.00039039i,-0.00058993+0.00045874i,-0.00064084+0.00093501i,-0.00029384+0.00081272i,-0.00032013+0.00029292i,5.2305e-05-0.00054684i,0.00037312-0.00089906i
-0.00059298+0.001263i,-0.00076138+0.0015978i,-0.00013179+0.0014004i,0.00017514+0.0012433i,-4.2207e-05+0.00067553i,0.0005248+0.00073148i,0.00037989-1.328e-05i,-0.00062672-0.001138i,-0.00083224-0.0010207i,-0.00099884-0.00041771i,-0.0013477-0.00031539i,-0.0010581-0.00013016i,-9.9559e-05+0.00039467i,0.0006193+0.00052307i,0.00045843+0.00081759i,-1.5345e-05+0.00024056i,-2.1755e-05-0.00014698i,-0.00019216+0.00021296i,-0.00075802-0.000101i,-0.00025885-0.00037095i,0.00036769+0.00061829i,0.00018328+0.00063435i,0.00020956-0.00019495i
-0.00071253+0.00085406i,-0.0010493+0.00022374i,-0.00062097+0.00086382i,-0.0003322+8.1867e-05i,-1.5875e-05-0.0018458i,0.00014818-0.0018538i,0.00059692-0.0014157i,0.00056167-0.0016084i,-9.5008e-05-0.0013837i,0.00029214-0.00048625i,0.00084608+0.00067468i,0.0011957+0.0010439i,0.00031748+0.00044942i,-0.00066584+0.00015796i,-0.00086888+0.0001745i,-0.00054742+0.0002274i,-0.000114+0.00024736i,0.00027527-0.00019589i,0.00057533-0.00021519i,0.00015319+4.1733e-05i,-0.00036906-2.5117e-05i,-0.00041871-0.00025645i,-0.00025602-0.00033941i
-0.00030122+0.0014276i,-0.00031809+0.00087471i,-0.00038497-0.00017116i,-0.00025719-0.0010214i,-0.00063407-0.00069397i,-0.00056321-0.0011215i,0.00036155-0.0016076i,0.00013017-0.0013826i,-0.00089294-0.00056645i,-0.00048319+0.0001582i,0.00045253-0.00020485i,-0.00045009-0.0006195i,-0.00073436-0.00062158i,-0.00026095-0.00033258i,-6.5782e-05-0.00035062i,3.505e-05-0.0006194i,-0.00014096-0.00049534i,0.00041605-0.00021993i,-0.00027064+0.00024783i,-0.0014485+0.00019327i,-0.0012793-0.00038075i,-0.00047853-0.00073867i,0.00019702-0.00012712i
-0.00034787-0.0019041i,-0.00073889-0.00079742i,-0.001135-5.1628e-05i,-0.0015915-0.00015066i,-0.0017503+0.000335i,-0.0018344+0.00065961i,-0.00080218+0.00031355i,0.0004969-0.0004262i,0.0010366-0.00082931i,0.00058401-0.0004299i,-0.00061394+0.0001285i,-0.0013175+0.00050243i,-0.00038454+0.00016006i,0.00060121+0.00027617i,0.00069711+0.00085863i,0.00021583+0.00057976i,-0.00012475+0.00043817i,0.00083379+0.00026768i,0.0001555+3.0718e-06i,-0.00077917+0.00017281i,-0.00033053+0.00014711i,-0.00099913-0.00011957i,-0.0010909-0.00024288i
0.0019789-0.0020818i,0.0017574-0.0019831i,0.00036485-0.0027242i,-0.0021013-0.0025877i,-0.0028333-0.0014261i,-0.001258-0.00026644i,-0.00027917-0.00066215i,-0.00010943-0.0018653i,3.9279e-05-0.0023246i,0.00013063-0.0013026i,0.00051227-0.00016001i,0.0010735+0.00030054i,0.00018988+0.00048007i,-0.00054841+0.0004987i,-0.00097938+0.00089098i,-0.0017868+0.00032664i,-0.0011144-0.00079897i,-0.00017936-0.0004882i,0.00033352-0.00057827i,0.00064383-0.00053667i,0.00098257+0.00038766i,0.00089695+0.00039353i,0.00021097+0.00036459i
0.00087305+0.001027i,0.0019733+0.0016466i,0.0021145+0.00042429i,0.0017557-0.0022301i,0.0010517-0.0029992i,0.00025495-0.0025146i,0.00080163-0.0019957i,0.0010171-0.0015843i,0.00049218-0.0012722i,0.00048707-0.00061041i,0.00065667-0.00055987i,0.00027122-0.00071667i,0.00031303-0.00073376i,0.00076693-0.0003257i,0.0010928+9.8423e-05i,0.00069428+2.9641e-05i,0.00023571+0.00045742i,0.00038638+0.00070105i,0.00060773+0.0013408i,0.00028494+0.001224i,-0.00024418+5.2032e-05i,0.00022485-6.9734e-05i,0.00085607+0.00017157i
