0.00065947+0.00037057i,9.466e-05-7.151e-05i,0.0013528-0.0015495i,0.0014297-0.0018113i,-0.00080392-0.0012552i,-0.0011543+0.00023726i,-0.00059802+0.0019691i,-0.00013637+0.0018684i,0.0009492+0.0010567i,0.0014876+0.00034591i,0.0010466+0.00024398i,0.00047477+0.00013051i,0.00036363-2.6742e-05i,-0.00033354-0.00010235i,-0.00039862-0.00011795i,0.00043275-0.00017315i,0.0009388-0.00022376i,0.00044727-0.00054543i,-0.00030813-0.00017763i,-0.00051457+3.1785e-06i,-0.00016736-6.5596e-05i,-0.00049137-0.00049681i,-0.00094986-0.0010953i
0.002297+0.00089825i,0.001526+0.0012887i,0.0017866-0.00017237i,0.0024418-0.00088398i,0.0019058+2.7752e-05i,0.00057491+0.0009979i,6.7385e-05+0.0015363i,0.00013839+0.00035267i,0.00015162-0.0010161i,3.1941e-05-0.00076835i,1.3642e-05-0.0008609i,0.00025704-0.00012811i,0.00071245+0.001669i,0.00017007+0.0013524i,-1.7085e-06+0.00036673i,0.0008809+0.00024433i,0.0006029+0.00010699i,-4.5938e-05-0.00041411i,-0.0003225-0.00059499i,-0.00031669+5.1502e-05i,-4.1495e-05+0.0005172i,1.4262e-05+9.5617e-05i,-0.00018944+8.007e-05i
0.0019627+0.00072308i,0.0022082-0.00053406i,0.0024568-0.0021398i,0.0012888-0.0025269i,-0.00045748-0.0020879i,-0.00072772-0.0009112i,-0.00027389+0.00034879i,-0.00065881-4.6822e-05i,-0.0006998-0.0006363i,0.00026003-0.0006882i,0.00052022-0.00058895i,-0.00026611-5.1703e-05i,-0.00034376+4.6654e-05i,0.00041929+5.2346e-05i,0.00016476+0.00021504i,0.00036154+0.00055201i,0.00072609+0.0009647i,0.00010748+0.00095377i,-8.7241e-05+0.00024894i,0.00020862-0.00019499i,0.00025106-0.0004901i,0.00079511-0.00054262i,0.00061624-5.3609e-05i
-0.00013794+0.0015924i,0.0016002+0.0020301i,0.0020599+0.00096416i,0.0028757-0.00047723i,0.0027344-0.0009532i,0.0011321-0.00024207i,-6.2801e-05+0.00084915i,-0.00041555+0.00030259i,0.00010228+1.0347e-06i,0.00028403-6.5007e-05i,-0.00015658-0.0004489i,-0.00067134-0.00040842i,-0.00090251+6.6559e-05i,-0.00027938-2.5025e-05i,0.00020932-0.00011114i,0.00035519+7.7731e-06i,0.00046762-0.00023452i,0.00053162+0.00020019i,0.00027204+0.00086744i,-0.0007146+0.0004117i,-0.00042171-0.00038349i,0.00013222-0.00075343i,-0.00026542-0.0007932i
0.0011136+0.00030454i,0.0017393+6.8572e-05i,0.0016119-0.00064702i,0.0010109-0.0010504i,0.0014669-0.00035378i,0.0013636+0.00037292i,0.0012003+0.00023081i,0.0013053-0.00030755i,0.00095768-0.00045564i,0.00086163-5.6708e-05i,0.000824-0.0001386i,0.00061711-0.00024221i,0.00031689-0.00045393i,8.1752e-05-0.00067052i,0.00016543-0.0011299i,2.4815e-05-0.00079004i,0.00054023-3.355e-05i,0.00075645-0.00033517i,8.7059e-05-0.00061019i,0.00045542+5.8962e-05i,0.0010382+0.00010019i,0.00058608-0.00022776i,0.00050122+0.0003575i
0.001707+9.9623e-05i,0.001069+0.00054455i,6.8921e-05+0.00058758i,-0.00039994-0.00040085i,-0.00048417-0.0012903i,-0.00079075-0.00087752i,-0.00066188-0.00066887i,0.00033293-0.000964i,0.00066264-0.00073476i,0.00047531-0.00022544i,0.00013723+0.00041737i,-0.00023186+0.00036357i,-0.00049629-3.6408e-05i,0.00018002-0.00047192i,0.00036323-0.00017863i,-0.00050312+0.00030027i,-0.00068295-8.6125e-05i,-0.00084933-0.00038139i,-0.00018906-0.00024622i,0.00039593+0.00024923i,-0.00015073+0.0011103i,-3.998e-05+0.0014683i,5.0457e-05+0.00071139i
-0.0028836-0.00040267i,-0.0028623-0.00056786i,-0.0019228-0.00078867i,-0.00094193-0.00027077i,-0.0001424+0.00064999i,0.00063748+0.00052402i,0.00093484+0.00033357i,0.00033502+0.00026024i,-0.00026595+2.0261e-05i,-0.0006018+0.0001764i,-0.00034855+0.0003443i,0.00026709+0.00058244i,0.0010833+0.00052207i,0.00095217-0.00010005i,0.00018788-9.4644e-05i,0.00075475+8.5978e-05i,0.00090659+0.00043127i,8.4543e-05+0.00072584i,0.00031559+0.00086749i,0.0012409+0.00096851i,0.00073474-0.00010892i,-0.00013524-0.00072899i,-0.00027045-0.00092585i
0.00086129-0.00026763i,0.001786-0.00055376i,0.0017065-5.46e-05i,0.0024038+0.0010632i,0.0022579+0.00071046i,0.00053933+0.00024228i,0.00034351+0.0003593i,0.001283-4.1915e-05i,0.0013411-0.00049528i,0.00098011+3.0861e-05i,0.0007723+0.00020506i,0.00044993-0.00026681i,7.2791e-05+0.00021276i,-0.00012954+0.00039399i,-0.00056647+2.106e-05i,-0.00030755-0.00038169i,0.00012549+0.0001363i,0.00028092+0.00052266i,0.00063635+0.00024465i,2.5894e-05+0.00023788i,9.3014e-05+0.00048269i,0.00024527+0.00078472i,0.00031184+0.00044472i
-0.00078817+0.00012821i,-0.00035483-0.00016469i,0.00073024+0.00050658i,0.0012512-0.00040777i,0.0001343-0.0013427i,-0.00075718-0.0009064i,-0.00034518-0.00012502i,-0.00015441+2.8123e-05i,-0.00036548+0.00044768i,-0.00012224+0.00025095i,0.00044061-0.00063675i,0.00058729-0.00044014i,0.00014231-3.1694e-05i,-0.00030713-0.00015908i,1.1224e-05+0.00014716i,0.00053986+0.0010322i,0.00065244+0.0007826i,0.00038533-0.00015429i,7.0149e-05-0.00033115i,-5.0938e-05-0.0005744i,-0.00016229-0.00028494i,-0.00027568+0.00025236i,0.00056009-0.00015778i
-0.0002138+0.001621i,-0.00026201+0.0018294i,0.00096447+0.0020038i,0.0015141+0.00089353i,0.001746-0.00060332i,0.001529-0.00020477i,0.0005945+0.00018603i,0.00023143-0.00066051i,-0.00012667-0.00068566i,0.00037565-0.00017051i,0.0010248-2.5981e-06i,0.00086905-0.00028622i,0.00073664-0.0012414i,0.00070519-0.0018253i,0.00096842-0.0010395i,0.00037826+2.9291e-05i,-0.00051635+9.3433e-05i,-0.00044313+0.00019269i,-0.00023552-7.6278e-05i,-0.00019876+0.00010191i,0.00029851+0.00056022i,0.00065359+0.00034056i,0.00063593+0.00062033i
0.00019538-0.00025987i,-0.0002777-0.0011186i,0.00012307-0.001681i,0.00043934-0.0016281i,0.00021622-0.0013893i,0.00029444-0.00093316i,0.0001551-0.0002571i,0.00019361-0.00034502i,0.00041687-0.000293i,0.00029108+5.4343e-05i,0.00064765-9.7233e-05i,0.00078167-0.00052222i,0.00020239-0.0005983i,-0.00011129-0.00068701i,0.00051713-0.00028409i,0.0011746+0.00011056i,2.225e-05-0.00019401i,-0.00063014+1.2851e-05i,0.00013386+0.00060771i,0.0002868+0.00032135i,-0.00022557-1.1439e-05i,0.00046603+1.91e-05i,0.0013489+0.00056464i
0.0022358+0.0012884i,0.0031104+0.0011213i,0.0039523-0.00067357i,0.0033637-0.0011542i,0.0017349-0.00099805i,0.00072099-0.00065085i,5.9269e-05+0.00061856i,-3.4589e-05+0.00070239i,0.00026553-0.00062891i,5.2074e-05-0.001278i,0.00047693-0.00088029i,0.0011195-0.00064977i,0.00085981-0.00046418i,0.00069752+0.00014641i,0.00016071-0.0003592i,-9.4504e-05-0.00065946i,0.00041836-0.00019949i,0.00030098+0.00014186i,-0.00020351+0.00024641i,-5.2625e-05+0.00027708i,0.00017534+0.00085212i,-2.8214e-05+0.0010397i,-0.00024817+0.00010638i
-0.00028576+0.0012864i,-0.00097053+0.00084609i,-0.00052567+0.0012778i,0.00053285+0.00079219i,0.00042918-6.5607e-05i,5.3037e-05+0.00017254i,-0.00028647+0.00018371i,-0.00051594+0.000338i,-0.00041857+6.5318e-05i,0.00025911-0.00059267i,0.0009064-0.00057499i,0.00061982+8.5999e-06i,-0.00019516-0.00030182i,5.169e-05-0.00086762i,0.00042221-0.00065997i,0.00061504+0.0005109i,0.0010037+0.0012643i,0.00089303+0.00097838i,0.00047983+0.00082805i,7.1231e-05+0.00053013i,-0.00039609+0.00012214i,0.00016631-0.00040371i,0.00035563-0.00070014i
0.00063869+0.0038943i,0.0011555+0.0038092i,0.0016531+0.0023308i,0.0023897+0.00038i,0.0031302-0.00041341i,0.002694-0.00062282i,0.001505+0.00026735i,0.00044531+0.00082044i,0.00016383+0.00048251i,0.00015427+0.00034739i,0.00056917+0.00011813i,0.00067648-0.00017253i,0.00088691-0.00042467i,0.0014991-0.00098791i,0.0024708-0.00079529i,0.0022427-0.00049964i,0.0010989-0.00066021i,0.00020893-0.00084473i,-0.00048625-0.00036044i,-0.00072172+0.00033589i,-0.00013835+0.00036715i,8.9836e-05+0.00046999i,-0.00029903+0.00067919i
-0.00090795-2.6554e-05i,0.0004901+0.00078082i,0.0011124+0.0012963i,0.001238+0.00085669i,0.00034035+0.00034277i,0.00021811+0.0008639i,0.00055194+0.0012337i,0.00050185+0.00024325i,0.000335-0.00056433i,0.00013902-0.00059869i,-0.00043392-0.00025209i,-0.00098272+0.00057042i,-0.00076074+0.00093061i,-0.00010245+0.00031609i,5.6163e-05-0.00028702i,-0.00023638-0.00075788i,4.5947e-06+0.00010011i,0.00030563+0.0013623i,-0.00019819+0.00079489i,-0.00047088-0.00018641i,0.00031509-0.00023831i,0.00033268+5.493e-05i,-3.5258e-05-0.00037866i
-1.3322e-05+0.00042726i,-0.0005053+0.00073308i,0.00012537+0.00017539i,-4.4514e-05-0.00054623i,-0.00086672-6.0241e-06i,-0.00016372+0.00072349i,0.0010275+0.00087274i,0.00093299-0.00025381i,0.00023213-0.00080344i,-0.00034098+2.259e-05i,-1.5534e-05+0.00010586i,-9.4323e-05+0.00027385i,-0.00053644+0.00036857i,-3.3734e-05+0.00061636i,0.00072833+0.00070195i,0.00021463+0.00025266i,-0.0010504+0.00055464i,-0.00076276+0.00094605i,0.00027023+0.000756i,0.00036179+0.00022098i,-0.0001631-0.00012198i,-0.00078612+5.9567e-05i,-0.00041615+0.00096309i
-0.0019732+0.00017057i,-0.0016644-0.00015756i,0.00037465+0.00019995i,0.0023597+0.00035908i,0.0023635+0.0002627i,0.0012986+0.00053963i,0.00053548+0.00037831i,0.00046688-0.00042295i,-2.3498e-05-0.00018131i,0.0002307+8.2984e-05i,0.00095669-0.00027019i,0.00066887-6.7527e-05i,-0.00024729-0.00014489i,-0.00052933-0.00013328i,-0.00051566+0.00050264i,-0.00017878+0.00038991i,2.2749e-06+0.00058015i,-0.00037793+0.0003508i,-0.00069212-0.00078149i,-0.00031187-0.00093903i,-0.00019117+0.00062561i,-0.0011115+0.0012204i,-0.0012464+0.00034285i
-0.00012518+0.0019159i,-2.6977e-05+0.0019401i,-0.00016259+0.0010393i,-0.00030631+1.8653e-06i,0.00060026-0.00030099i,0.00058682+0.00016441i,0.00077987+0.00041545i,0.00032898+0.00010828i,-0.0004248+0.0002071i,0.0001592+0.00060303i,0.0003988+0.00021685i,4.7253e-05-2.5782e-05i,6.9708e-05+0.00042872i,0.00072649+0.00063162i,0.00064482+0.00023046i,0.00087557-0.00037924i,0.00080019-0.00028368i,0.00010817-0.00039093i,7.5796e-05-0.0010073i,-4.1652e-05-0.00055758i,-0.00073907+0.00040043i,-0.00078656+0.0012174i,-0.00016057+0.00090607i
0.00074022+0.00090333i,0.00097515-3.443e-05i,0.00085473-0.00065151i,0.00041079-0.0012938i,-0.00025543-0.0016521i,-0.00070684-0.0011357i,-0.00033499-0.00010977i,-0.00042707-0.00028411i,-0.00071964-0.0010244i,-0.0006925-0.00077732i,2.479e-05-0.00023394i,0.00088443-0.00045081i,0.00079166-0.00041573i,0.00047648-0.00033404i,0.00038152-0.00043561i,-0.0001324+0.00049803i,-0.00079399+0.0010724i,-0.00069457+0.0011913i,-4.5133e-05+0.0011519i,6.9588e-05+0.00068204i,-0.00061431+0.00049569i,-0.00072853+0.00056833i,-0.0003964+0.00065226i
0.0011823+0.00070464i,0.0011705+0.00052698i,0.0017637-0.00091063i,0.0016769-0.0012018i,0.0013608-0.00094772i,0.0015939-0.00056964i,0.0014319+0.00016469i,0.00089944+0.00014723i,0.0011748+0.00058589i,0.0015375+0.00088059i,0.0004252+0.00019369i,-0.0003617-0.00057008i,0.00064361-0.00051493i,0.0008951-0.00037778i,0.00045606-0.00057955i,0.00040286-0.00087853i,0.0001037-0.00049663i,-4.0806e-05+0.00011902i,2.0556e-05-0.00017929i,0.00073546-0.00019242i,0.0012172+0.00057686i,0.00099921+0.00050582i,0.00040275-0.00017298i
0.00037574-0.0012689i,0.00017488-0.00081958i,0.00036935-0.00070915i,0.00097749-0.0013562i,0.00018419-0.0015597i,-0.00011566-0.0004546i,0.00040212+0.00070432i,0.00025025+0.00026658i,0.00029552-0.00055541i,0.00074261-0.00041317i,0.00092382-0.00031725i,0.0010169-0.00039193i,0.00094914-0.00020764i,0.0007068+0.00015224i,0.00017239+0.00063551i,-0.00020733+0.0008216i,-0.00044491+0.00089622i,-0.00047754+0.0012388i,-0.00030304+0.00054766i,-0.00062258+3.5846e-05i,-0.00027897+0.00045505i,3.056e-05-0.00013221i,0.00025535-0.00077522i
-0.0010907-0.00029635i,-0.00021552+5.4441e-05i,0.00017096-0.00083559i,0.00059646-0.00030887i,0.00081146-4.6232e-05i,0.00079473+0.00028723i,0.00043605+0.001167i,-0.0003349+0.0003921i,-0.00072714-0.00014093i,-0.00021169+6.4791e-05i,0.0007772-0.00055053i,0.00097648-0.00097019i,0.00063629-0.00064914i,0.00051407-0.00048112i,0.00082013-0.00025246i,0.0009461+0.00041241i,0.00047083+0.00023848i,-0.00013318-0.00012937i,0.00046663+0.000443i,0.0010262+0.00036863i,0.00080869-0.00030221i,0.00045541-0.00027224i,0.00013948-0.00050949i
7.0584e-06+0.0012394i,0.00070232+0.00016094i,0.00048984-0.00099052i,0.00075542-0.00092698i,0.0014775-0.0012747i,0.0014903-0.00052283i,0.00060144+0.00026097i,0.00027805-9.743e-05i,0.00074174-0.00030934i,0.0011066+2.8847e-05i,0.0011998+0.0004419i,0.0012291-3.7162e-05i,0.00077511-0.00082957i,0.00073028-0.00050643i,0.00067882+0.00038443i,-0.00010891+0.00095534i,-0.00056613+0.00055755i,-0.00041556-0.00039885i,0.00011264-0.00025407i,-8.3215e-05+0.00046586i,-0.00029882+0.00055165i,0.00022159+0.00038318i,0.00023789+0.00036239i
-0.0009254-0.00048347i,-0.00026272-0.00061846i,0.00044109-0.00010191i,9.128e-05+0.00038833i,-0.00016032+0.00025993i,-0.00028882-0.0001358i,-1.0894e-05-0.00010987i,-0.00048529-0.00066348i,-0.00070357-0.00023555i,0.00054526+0.00058815i,0.00084665+0.00013201i,0.00018631+0.0004429i,4.0099e-05+0.00071007i,0.0004927+3.4218e-05i,0.00035489-6.4772e-05i,0.00039059+0.00025299i,0.00071775+0.00041179i,0.0011417+0.00039891i,0.0016903+0.00048839i,0.00083398+0.00034263i,-0.0002727+0.00034624i,-5.2925e-05+0.0003981i,0.00010474+0.00027526i
-0.00047532+0.0012975i,5.3002e-05+0.0021799i,6.3723e-05+0.0018578i,0.00085579-0.00024384i,0.0013455-0.00092523i,0.0014072-0.0004093i,0.00073912-0.00063823i,0.00016043-0.00075912i,0.00012548-0.00072036i,0.0006381-0.0010646i,0.0012509-0.000833i,0.00091841+4.1328e-05i,0.0005724+0.00087848i,0.00072847+0.0011142i,0.00099842+0.00036016i,0.00061651-6.846e-05i,0.00019837-0.00043706i,0.00052568-0.00054543i,0.00047103-0.00027925i,0.00038303-2.4291e-05i,-0.00047582+0.00030697i,-0.00081228-0.00034608i,6.6438e-05+0.00013125i
