-0.0022902+0.0015393i,-0.0014388+0.00046248i,-0.0011908-0.0011576i,-0.0012189-0.0014999i,-0.0018087-0.0012302i,-0.0017786-0.00053264i,-0.00047399+0.000732i,0.00042423+0.00042878i,0.00093137-0.00024576i,0.001161-0.0010228i,0.00021095-0.0014484i,-0.00095819-0.0016031i,-0.0010104-0.0016868i,-0.00058384-0.0010795i,-0.00066054+0.00013368i,-0.00024776+0.0010038i,-5.686e-05+0.00071826i,-0.00055614-3.9453e-05i,-0.00014517-0.00055708i,0.00013836-0.00045032i,-6.3787e-05-0.00055503i,-0.00014942-0.00094563i,-0.00010792-0.00076555i
0.00042694+0.0034611i,0.0010224+0.0040751i,0.0018645+0.0029793i,0.0032562+0.0011515i,0.0021707-0.00043696i,-0.00019634-0.0017046i,-0.00022151-0.0019237i,0.00051159-0.00081497i,0.0012019-0.00015846i,0.0013243+4.5168e-05i,0.00035338-0.00054366i,6.173e-05-0.00099278i,5.8479e-05-0.00057938i,-0.00044357-0.00071395i,-0.00079973-0.0010089i,-0.00020828-0.00067276i,6.9e-05+0.00014199i,-0.00014812+0.00044516i,0.0001361+0.00063838i,-2.5346e-05+0.00079521i,-2.2275e-05+0.00023631i,-2.7068e-05-4.7215e-05i,-0.00046517-0.00047901i
0.00070448+0.00018886i,0.0012479-0.00025328i,0.00029219-0.00035826i,-0.0010912-0.00025902i,-0.0014528-0.00066135i,-0.001428-0.00049787i,-0.00054858-0.00070128i,0.0005204-0.0010495i,0.00058179-0.0006702i,0.00012753-0.00042865i,-0.00024229-0.00088208i,-0.00047873-0.0014897i,-0.00023251-0.0013468i,0.00051581-0.00057809i,0.00043057-2.3997e-05i,-0.0003185+3.0173e-05i,-0.0010477-9.6913e-05i,-0.0015575-0.00013693i,-0.00050037-0.00021498i,0.0006729-0.00011038i,0.00046446-0.00013376i,-0.00014804-1.5036e-05i,-0.00025666+0.00011041i
0.0017744-3.6476e-05i,0.0020979-0.00056218i,0.0028387-0.0013569i,0.0026565-0.0017679i,0.00075342-0.0015092i,-0.00049342-0.0014877i,-0.00084482-0.0010811i,-0.00077847-0.00074631i,-0.00033783-0.00092387i,0.00021341-0.0011415i,0.00067302-0.00077778i,0.00030649-0.00055054i,-3.5713e-05+0.00010949i,-5.719e-08+0.00045497i,0.00011593-0.00071049i,-0.00023142-0.00069976i,-0.0011043-0.00030039i,-0.00080901-0.00059407i,-8.1944e-06-0.00061519i,-7.7611e-05+5.2604e-05i,-0.00013713+0.00062895i,0.00039517+0.00025517i,0.00094189-5.697e-05i
-0.0021961-0.00064297i,-0.0012127+0.00042366i,-0.0014016-5.5883e-05i,-0.001398-0.00072392i,-0.00077981-0.00022544i,-0.00058565+0.00014263i,0.00027886+0.00028577i,0.0006798+0.00068712i,0.00045477+0.00039709i,0.00029286-0.00012099i,-0.00025839+7.6007e-05i,-0.00076358+0.00035797i,-0.00041031+0.00070175i,-0.00047225+0.00066946i,-0.00077161+0.00050626i,-0.00043389+4.5959e-05i,-0.00029191-0.0001553i,-1.2898e-05+0.0007818i,0.00044287+0.00044905i,0.0006108-2.6973e-05i,0.00020248+0.0002626i,5.7163e-05+9.765e-05i,0.0001831+0.00021358i
-0.0011787-0.00048077i,-0.0017177-0.00020505i,-0.0012227+1.555e-05i,-0.00035941+0.00028614i,0.00062994-0.000659i,0.00049368-0.0019011i,-7.8788e-05-0.0018789i,0.00021917-0.0011447i,2.9239e-05-0.0012199i,-0.00062906-0.00064753i,-0.00066089+0.00034258i,-0.00035631+0.00042088i,-0.00043604+0.00031187i,-5.5298e-05-1.8226e-05i,-0.00023331-0.00068197i,-7.007e-05-0.00086403i,0.00016836-0.00054433i,-0.00037144+8.2924e-05i,-0.0010175+0.00059968i,-0.0001926+0.0013368i,0.0011055+0.0013953i,0.0012257+0.00051597i,0.00056419+0.00065495i
0.00087246+0.001273i,0.0013285+0.00095508i,0.0030392+0.00057944i,0.0037073-0.00060261i,0.00243-0.0016533i,0.00072499-0.00097727i,0.00016679-0.00080036i,0.00021081-0.00068314i,0.00041596-0.00036443i,0.00096219-0.00032623i,0.00097036-0.00072313i,0.00019076-0.00031059i,-0.00020016+0.00061192i,-0.00020451+0.00040942i,0.00039554-9.2203e-05i,0.00087668-0.00042136i,0.00037301+8.0506e-05i,0.00020662+0.00051701i,0.00039391+0.00034442i,-0.000271-3.2587e-05i,-0.0012353-0.00029074i,-0.0016146-0.00050472i,-0.00050336-0.00047123i
-0.002411-0.0013466i,-0.0025109+0.00075225i,-0.0034932+0.0011752i,-0.0028567+0.00036435i,-0.0015286+0.0007152i,-0.001416+0.00052198i,-0.0015011-0.00030777i,-0.00080583-0.00061354i,-0.00018106-0.00088747i,-9.3791e-05-0.00034251i,0.00014414+2.9856e-05i,0.00073797-0.00035384i,0.00060125+0.00015999i,-4.2222e-05+0.00058668i,0.0001124+9.7348e-05i,-4.1294e-06-0.0010374i,6.5968e-05-0.0010509i,0.00011233-0.00042312i,0.00045025-0.00051648i,0.0010304-0.00034127i,0.00038718+0.00019816i,-0.00054136+0.00026751i,-0.00020114-9.83e-05i
0.0016396-0.00035039i,0.0015669-0.0010307i,0.0030308-0.00091525i,0.0028402-0.00067001i,0.00099677-0.0022317i,-0.00013101-0.0028484i,-2.1556e-06-0.0018309i,0.00055053-0.0016342i,0.0006542-0.0020849i,0.0003569-0.0015468i,0.00016307-0.00077471i,-0.00049981-0.00054427i,-0.00028153-0.00011176i,0.00014191+0.00022405i,-0.00045068+0.00037416i,-0.00056962+0.00049632i,0.00011882+0.00011165i,0.00069222+6.0555e-05i,0.00031436-0.00017508i,-4.2241e-06-0.00016244i,8.1621e-05+0.00035535i,8.899e-06+0.00025919i,0.00018607-1.5648e-05i
0.0010157-0.0025843i,0.0016249-0.0031531i,0.001316-0.0035812i,0.00060226-0.0036842i,0.00056319-0.0028696i,-2.653e-05-0.0016381i,0.00041221-0.00076428i,0.00010948-0.00081881i,-0.00077214-0.0011159i,-0.00018054-0.0014952i,0.00061267-0.0010528i,-9.8564e-05-0.00045936i,-0.0002237-0.00040061i,-0.00051491-0.00052674i,-0.0012752-0.00038313i,-0.0013913+0.00043941i,-0.00096856+0.00060719i,-0.00043785-0.00069989i,4.6139e-05-0.0013912i,9.4533e-05-0.00051217i,-0.00046373-0.00075394i,0.00021984-0.00096299i,0.0013513-0.00033492i
0.00025904+0.003199i,-2.7476e-05+0.003886i,-0.00032296+0.0034486i,-0.0014952+0.0019005i,-0.0015352-9.2659e-06i,-0.0005721-0.00099228i,-6.2827e-05-0.0011073i,3.3205e-06-0.0010083i,-0.00041228-0.00042257i,-0.00055137-0.0010213i,0.00034421-0.001316i,0.00066666-0.00053965i,-2.396e-05-0.0006588i,-0.00038077-0.0001499i,-0.00038753+0.00036321i,3.247e-05+0.00011534i,0.00025649+0.0005087i,-0.00037616+0.00072891i,-0.00053634+0.00083804i,1.4435e-05+0.00050967i,0.00021129-0.00013821i,0.00044256-0.00072427i,0.00027186-0.00066079i
0.0012933+2.2233e-05i,0.0016243-0.0007789i,0.0030337-0.0032047i,0.0029769-0.0045347i,0.0014942-0.0041392i,0.00056578-0.0030805i,0.00044429-0.002214i,7.9573e-05-0.0017868i,-0.00069235-0.0012913i,-0.00054841-0.00068827i,0.00022587-0.00063561i,0.00043154-0.00028904i,0.0002946+0.00037898i,-0.00012464+0.00013683i,8.7749e-06-0.00023534i,0.00069899-8.2384e-05i,2.86e-05-0.00016075i,-0.00050309-0.00050732i,-0.0011492-0.00059431i,-0.00090961-0.00063422i,0.00017657-0.00088447i,0.0001973-0.00084301i,4.0992e-05-0.0001731i
-0.0020135-0.00079243i,-0.0030481+0.00041646i,-0.00382+0.0010389i,-0.0015737+0.00061183i,0.00052411+0.00024775i,0.00029813+0.00043593i,-0.00085813+0.0002028i,-0.00033089-0.00026562i,0.0002719-0.00048787i,0.00070696+4.9914e-05i,0.00072229+3.6959e-05i,0.0005071-0.0001823i,0.00045829+7.7634e-05i,-0.0006722+0.00018204i,-0.00084799-7.0288e-05i,-8.7422e-05-0.0004741i,-2.8665e-06-0.00065587i,-0.00019506-0.00064181i,0.00013056-7.3389e-05i,0.00046029+0.00040594i,0.0009746-2.6902e-05i,0.00037121-0.00055935i,-0.0001242-0.00040423i
0.00096759-0.00010045i,0.0024156-0.0012014i,0.0023765-0.0014087i,-3.3222e-05-0.0017462i,-0.0010813-0.0015601i,0.00024659-0.0014769i,0.00076817-0.0017938i,0.00021076-0.0012734i,0.00024446-0.0012911i,0.00026614-0.0007784i,0.0002385-0.00037817i,-0.00015248-0.00053433i,-0.00034401-0.00049063i,-8.1354e-05-0.00041982i,0.0002932+0.0005766i,0.00050054+0.0011537i,0.00062944+0.0001462i,0.0011156-0.00080012i,0.001148-0.00035928i,0.00075142+0.00051755i,0.00014149+0.00077023i,-0.00069229+0.00082777i,-0.00078425+0.00072724i
0.002194-1.3625e-05i,0.0030211+0.0008377i,0.0030058-0.00019713i,0.0025636-0.0020212i,0.0019702-0.003004i,0.00032847-0.0022553i,-0.0009372-0.00076431i,-0.00088475-0.00035882i,-0.00032071-0.00067809i,-0.00033623-0.00033968i,-0.00077378-2.7521e-05i,-0.00073445-0.00022758i,-0.00095746-0.00054968i,-0.0013324-0.00041934i,-0.0010254+0.00037684i,-0.00069204+0.00072993i,-0.00026934+0.00051174i,-0.00022391+0.00045952i,-0.00023939+0.00099397i,4.0201e-06+0.00077495i,0.00021053+0.00015415i,0.00034152+0.00010531i,0.00040584-0.00012949i
