-0.003814+0.00097615i,-0.0039389+0.00038979i,-0.0051033+0.00057971i,-0.0034543+0.001524i,-0.0015738+0.0036094i,-0.00051701+0.0040819i,0.00042959+0.0035019i,0.00040237+0.0028544i,0.00045139+0.0022853i,0.0019332+0.0016721i,0.0017888+0.00070369i,0.00035202+0.00055352i,2.3444e-05+0.00085744i,0.00022955+0.0013341i,-9.3161e-07+0.00081133i,-0.00042924+3.6489e-05i,-0.00075704+2.6981e-05i,-0.00092393+1.1263e-05i,8.6035e-06-0.00051316i,0.00043292-0.00053484i,-8.1154e-05-0.00015325i,0.00023139+0.0003323i,0.0001688+0.00044368i
0.0010823+0.0011064i,-6.1208e-05+0.0014055i,-0.00013482+0.00075992i,0.00038622+0.00048053i,0.00015073+0.00033962i,0.00012601+0.00073167i,-0.00012541+0.0011909i,-0.00012855+0.001285i,0.00064296+0.00105i,0.0013186+0.00040039i,0.0012007-0.00051202i,0.00074217+3.1311e-05i,0.00081295+0.00050728i,0.00090393-0.00024763i,0.00058297-0.00043373i,-8.0565e-05-0.00034262i,3.9851e-05+8.8494e-05i,0.0003383+0.00023247i,0.00014812+0.00044213i,-6.8182e-05+0.00049321i,9.5257e-05-0.00036417i,0.00033057-0.00014678i,0.00025018+0.00042421i
-0.00071626-0.00040963i,-0.00084835-0.00043494i,-0.001783-0.00035621i,-0.0015481+0.0011578i,-0.0007677+0.0028398i,-0.00016548+0.0032501i,-0.00063128+0.0021383i,-0.00060839+0.00058669i,1.414e-05-7.8316e-05i,-1.6016e-05-2.9835e-05i,0.00016132-9.9889e-05i,0.00020583+0.00010573i,0.00043468+0.00020278i,0.00073098-0.00060658i,0.0010873-0.00091384i,0.00088612-0.00028176i,0.00017819+0.00033074i,-0.00030453+0.00019026i,-0.00043624+0.00022126i,-7.8249e-05+0.00049583i,1.649e-05+0.00051057i,-0.00022517+0.00030624i,-0.00055887+0.00065979i
0.00018488+0.00096225i,0.00097585+0.00065668i,0.0013316+0.00085318i,0.00015332+0.0017478i,0.00050089+0.0020117i,0.0011003+0.001395i,0.0004603+0.00053498i,-0.00016783+0.00044718i,0.00017921+0.00081493i,0.00096829+0.00027689i,0.00037106+0.00036993i,-0.00041057+0.00059696i,-0.00016297+0.00021147i,4.7367e-06+0.00043606i,0.00054176+0.00081884i,0.00046092+0.00075819i,0.0001475+0.00044752i,0.00039124+0.00048593i,0.00070917+0.00018691i,0.00047021-8.3995e-05i,0.00062569+0.00030641i,0.00097467+0.00060008i,0.00037251-0.00014956i
-0.0023343+0.00080532i,-0.0013134+0.002213i,-0.00096113+0.0024125i,-0.00042576+0.0017172i,0.00075352+0.0019748i,0.0006718+0.0019925i,-0.00032268+0.0012175i,-0.00021233+0.00043377i,-8.8158e-06+0.00041746i,0.00081759+0.00072903i,0.00098751+0.0006462i,8.9878e-05+0.00041354i,-0.00017423+0.00016312i,-0.00047269-9.8547e-05i,-0.00043215-0.0008367i,8.3015e-05-0.0012111i,9.8731e-05-0.0013178i,-0.0001088-0.001529i,-3.8597e-05-0.00076816i,0.00041656-0.00023819i,0.00092002-0.00033605i,0.00080736+0.00037811i,8.3007e-05+0.0011638i
0.00030089+0.00010347i,-0.00065097+0.00036988i,-0.0015412+0.0013081i,-0.00047958+0.001793i,0.00014103+0.002914i,-0.00017047+0.0035291i,-4.6394e-05+0.002421i,0.00020799+0.0010075i,0.00034013+0.00018359i,0.00031382-0.00032063i,0.0005447+0.00017453i,0.00036232+0.00019091i,0.00012512-0.00035932i,0.00058901-0.00070348i,0.00071647-0.0010221i,0.00079514-0.00076781i,0.0014096-5.7757e-05i,0.0013451+0.00014528i,0.00043206-0.00037808i,-0.0002619-0.00059501i,-0.00022748-0.000266i,0.00017348+5.2105e-05i,0.00021484+0.00020467i
-0.00090884+0.00084407i,-0.0013669+0.00090081i,-0.0013943+0.00080838i,-0.00087725+0.00072704i,0.00010604+0.0014012i,0.00067687+0.0017561i,0.000835+0.0011284i,0.00044237-0.00029811i,0.00066194-0.0004258i,0.0012014+0.00050924i,0.0011866+0.0002171i,0.0009023+0.00032871i,0.00068946+0.00048123i,0.00050402+0.0001242i,-6.9289e-05-2.3402e-05i,0.00036388-0.00039179i,0.00058288-0.00070677i,0.00062909-0.00013054i,0.00064665-0.00020709i,0.00024822-0.00047613i,-2.8738e-05+4.8864e-05i,0.00064101-0.00013256i,0.00092624-0.00061839i
0.00099792-0.0018686i,0.0018253-0.0026007i,0.0018241-0.0016829i,0.00089405+1.2174e-05i,0.00014874+0.0015808i,0.00033317+0.0023862i,-0.00037782+0.0015015i,-0.00079344+0.00081447i,-7.7304e-06+0.0012128i,0.00073793+0.00089281i,0.00060196-8.4995e-05i,0.00049071-0.00076662i,0.00079174-0.00040516i,0.00090679+0.00024191i,0.00057124-7.2236e-06i,-0.00027346-0.00029862i,-0.00069986-0.0005833i,5.0023e-05-0.00074265i,0.00027195-0.00042137i,-0.00032841+8.3715e-05i,-0.00019051-3.9913e-05i,6.5338e-05-0.00042119i,-0.00012802-0.00064198i
-0.0017325-0.00066897i,-0.0024947+0.00058754i,-0.0029722+0.00071698i,-0.0019838+0.00059518i,-0.0013574+0.0022089i,-0.0005942+0.0027437i,-0.00077836+0.0014973i,-0.0012518+0.00020378i,-0.00086323-0.000574i,-0.0009348-0.00023614i,-0.00051239-0.00044425i,9.9658e-05-0.00063677i,0.00019735-0.00053953i,-2.0432e-05-0.00015123i,0.00030116+3.6237e-06i,0.00090301+0.0003282i,0.001076+0.00091297i,0.00099111+0.00062097i,0.001127+3.4409e-05i,0.0013439-0.00029731i,0.0010861-3.5706e-05i,0.00034029+0.00045164i,9.1897e-05+0.00030776i
-0.00086426+0.00065704i,-0.0024449-0.0001165i,-0.0027038+0.00020901i,-0.0014854+0.00094497i,-0.00034281+0.0014216i,0.00043737+0.0025416i,0.00093722+0.0022564i,0.00038578+0.0012976i,0.00088493+0.00088925i,0.0019461+0.00094097i,0.0013318+0.00065844i,0.00073159+0.00050492i,0.00047598+0.00062534i,0.00068221+0.00045415i,0.00086324+0.0002159i,0.00046833-0.00057569i,0.00032837-0.00071451i,9.3862e-05-0.00027307i,-8.7159e-05-0.00019882i,-3.3577e-05-0.00062236i,-0.00043226-0.00049214i,-0.00019542+4.8043e-05i,0.00090863+0.00020589i
2.8284e-05-0.0016102i,-0.0003513-0.0013678i,-0.00093634-0.0011394i,-0.00030982-0.00058627i,-9.891e-06+0.0011033i,-0.00084505+0.0025708i,-0.001219+0.0022345i,-0.00068897+0.00070955i,3.1658e-05-0.00037892i,0.00015595-0.00037934i,0.00011381-0.00019358i,-0.00020611+0.00023397i,7.5248e-05+0.00034047i,0.00024565-0.00041424i,-0.00056455-0.00027147i,-0.00071943+0.00034057i,-0.00047499+0.00063933i,-0.0005087+0.00032718i,8.5048e-05-8.7095e-05i,-9.5597e-05-0.00055125i,-2.5567e-05-0.00089802i,0.00019425-0.00058459i,-0.00039246+0.00013372i
