0.001298-0.00079607i,0.00039457-0.0016245i,-0.0003421-0.0023434i,-0.00060507-0.0012985i,-0.00070856+0.00055332i,-0.0016352+0.0010566i,-0.0021815+0.0010579i,-0.0006945+0.0015181i,0.0010747+0.0012507i,0.00139-0.00017382i,0.00080211-0.0009866i,-0.00079675-0.00088583i,-0.0011194-0.0012417i,-3.282e-05-0.0010273i,0.0004342-0.00068101i,0.00047877-0.00053555i,0.00039598+4.1342e-05i,-0.00011367-0.00038521i,0.000257-0.0011743i,4.8854e-05-0.00091597i,-0.00045935-0.0005839i,-0.00012376-0.00067991i,-0.00033478-0.00042964i
-0.0032252-0.0013393i,-0.0028023-0.0013461i,-0.0019816-0.00052841i,-0.0014436+9.3449e-05i,-0.00051439+0.00022833i,0.00036392+0.00025615i,-0.00012036-0.00025277i,-0.00037362-0.00018977i,0.00010652+0.00097126i,0.00037176+0.0015247i,-0.00013339+0.0011319i,-0.00023452+0.00073891i,0.00019424+0.00023015i,0.0003284+0.00029676i,0.00073254+0.00076883i,0.00072952+0.00086118i,0.00060758+0.00080374i,0.00050129+0.00086177i,-0.00047333+0.00088251i,-0.0007712-0.00011948i,-0.00053298-2.0371e-05i,-0.00074188+0.0011147i,-0.00034946+0.00093755i
0.00028373-0.0026531i,-0.000442-0.0035558i,-0.00096968-0.0026812i,-0.00045418-0.00056185i,0.00019165+0.00025569i,-3.9074e-05+0.00018434i,-0.00045259+2.6361e-05i,-0.00019635+4.7664e-05i,0.00014393+6.0089e-05i,-8.1807e-05+0.00016061i,-0.00051741+0.00030217i,-5.5711e-05+0.00019121i,0.00014624+0.00028427i,-4.0102e-05+0.00097904i,0.00011979+0.00077408i,0.00040468+2.0051e-05i,0.00049351-0.00015787i,-3.6322e-06-0.00047475i,-0.00016387-0.00085608i,-0.00022627-0.00069791i,-0.00020466-0.00059237i,-0.00044357-0.00024069i,-0.0010521-0.0004435i
0.0011303-0.00010905i,0.00080068-0.00099997i,0.0011095-0.0017528i,0.0013588-0.00075918i,0.00057177-0.00020014i,-0.00077182-0.0012514i,-0.00035903-0.00058928i,0.0007973+0.00045758i,0.00094123+1.3959e-05i,0.00039226-0.00037718i,-0.00024901-0.00037089i,-0.00039128-0.00029944i,-0.00015659-0.00022489i,3.475e-05+0.00072829i,0.00038232+0.00094259i,0.00069893+0.00063497i,0.0010677+0.0005162i,0.001382-0.00023925i,0.00083785-0.00036431i,4.395e-05-0.00030394i,-2.3889e-05-0.00011739i,0.00054356+0.00058217i,0.00029532+0.00037017i
-0.00062164-0.0001295i,-0.00064565-0.00019366i,-0.00041221+0.0013094i,-5.7047e-05+0.0017503i,0.0004934+0.00051834i,0.00059817-0.00059121i,-0.00021757-0.0010656i,-0.00040254-0.00021151i,0.00018126+0.00025195i,-0.00010735+0.00020794i,-0.00019363+0.00055345i,0.00048397+0.00081982i,0.00068434+0.00061604i,0.00073459+0.00013371i,0.00045322+9.538e-05i,0.00073996+9.4347e-05i,0.00098723+0.00038258i,0.00068538+0.001023i,0.00087854+0.00066593i,0.0010452+4.3816e-05i,0.00017138-0.00042898i,-0.0007777-0.00048962i,-0.00012779+0.00022587i
0.0017804-0.0013912i,0.0019647-0.0010497i,0.0023354-0.002096i,0.0021357-0.0020595i,0.0021954-0.001752i,0.0013711-0.0010224i,0.00034446+9.4081e-05i,7.318e-05+0.0001164i,0.00049647+0.0002377i,0.00018775+7.1406e-05i,-0.00018442-0.00076062i,0.0005637-0.00071875i,0.0011001-0.00019015i,0.00021335+6.8783e-05i,-0.00021651-1.7892e-05i,0.00021491+0.00015534i,0.00055169+0.00041417i,0.00058869+1.2512e-05i,0.00033752-0.0007367i,0.00029842-0.00092881i,0.00023901-0.0011058i,0.00070905-0.0012191i,0.00037055-0.00034048i
-0.00083951+0.001231i,7.6029e-05+0.00088185i,0.00043149+0.00020659i,0.0003064-0.00037637i,0.00038598-0.00087325i,0.00075622-0.0014741i,0.001286-0.0013239i,0.0012228-0.00074852i,0.00037425-0.00070921i,3.4965e-05-0.00062836i,6.8791e-05-0.00057189i,-0.00010862-0.0004344i,-0.00079984-0.00036543i,-0.00065743-0.00077552i,0.00033447-0.00017432i,0.00063266+0.00065793i,0.00012338-0.00029241i,-0.00028038-0.00080598i,-0.00024343-9.8268e-05i,6.6379e-05-6.1666e-08i,0.0004467-0.00061627i,0.00071327-0.0011137i,9.1795e-05-0.00023773i
-0.00018934+0.0012116i,7.4934e-05+0.0010638i,0.00082692+0.00061742i,0.00079186+0.00016902i,0.00073235-0.00073393i,0.00058751-0.00081876i,1.9109e-05+0.00043709i,-0.00021881+0.00065634i,0.00038371+0.00010841i,0.00031231+0.0006193i,0.00029632+0.00085999i,0.00031033-8.8819e-05i,-0.00018332-0.00066113i,6.5079e-05-0.00033991i,0.00043401+0.00020047i,0.00026478+0.00046161i,0.00037997-0.00038445i,-0.00036974-0.001211i,-0.001549-0.0010962i,-0.0013529-0.0012372i,-0.00051101-0.00093322i,-0.00022604-0.00034185i,-0.00042108-0.00013987i
-3.5317e-05+0.00071334i,-0.000222+0.0010375i,-0.00015536+0.0013516i,8.9202e-05+0.001333i,0.00012807+0.00095609i,0.00015119+0.00013558i,-0.00016283-0.00031547i,0.00010523+0.00017986i,0.00087225+0.00054763i,0.00047575+0.00028321i,-0.0010929+0.0004433i,-0.001089+0.00075326i,-0.00023218+0.00051084i,-7.3029e-05-0.00033197i,0.00028587-0.0009254i,0.00016014-0.00061427i,-0.00056398-0.00047912i,-0.0001442-0.00083667i,-3.1914e-05-0.00042749i,-0.00046208-0.0001697i,-0.00018471-0.00053794i,-4.7884e-05-0.00040855i,0.00013389+0.00027459i
-0.00029513+0.00050585i,-0.00087403+0.0011443i,-0.00052145+0.0020664i,0.00033738+0.0014228i,0.0005821+0.00036571i,0.00085248-0.00027431i,0.00039409-0.00024501i,0.00022633-0.0001256i,0.00090382-0.00035149i,0.0011076-0.00047262i,0.00039449+7.4271e-05i,-9.2103e-06+0.00051917i,0.00042836+0.00068841i,0.00073421+0.000352i,0.00056617+0.0005413i,-0.00013397+0.000555i,-0.00045132+0.00025746i,-0.00038145+0.00016346i,-0.00044834-0.00040327i,-0.00039345-4.6579e-06i,8.8175e-05+0.00077013i,0.00038919+0.00090666i,0.00027025+0.00088241i
-0.00079805+0.0020741i,-0.00077353+0.0015387i,-0.00041415+0.0019532i,9.6709e-05+0.0018104i,0.0009406+0.00050429i,0.0015426-0.0017694i,0.00086218-0.0016691i,3.9818e-05-6.1281e-07i,0.00021268+0.00031887i,7.6253e-05+0.00011564i,-0.00029024-0.00033106i,-9.7378e-05-0.00023891i,0.00036635+0.00058745i,0.00055192+0.0011078i,0.0012089+0.00072619i,0.0010776+1.084e-05i,0.00046889+0.00035909i,0.00040859+0.00058103i,6.8382e-05+0.00017835i,-0.00092687+0.0005471i,-0.0011624+0.00015117i,-0.00070696-0.00042049i,0.00021327+0.00011923i
-0.0022513-0.00094511i,-0.0025162-0.00064629i,-0.0028+0.00012155i,-0.0010029+0.00068372i,0.00014482+0.00029961i,0.00048581-0.00082916i,0.00075489-0.0010527i,0.00060489-0.00066584i,7.4919e-05-0.00055786i,-0.00030249+0.00036584i,-0.0010297+0.00084246i,-0.00070269+0.0004351i,0.00027203+0.00067206i,0.00025576+0.0006257i,0.00012609+0.00044037i,0.00072928+0.00091091i,0.00041493+0.00048322i,0.00045816-0.00095809i,0.00038411-0.00091616i,5.9769e-05-8.3031e-05i,0.00032287+0.00010631i,-0.00011495+0.00014167i,-0.00061632+0.00017414i
0.0006354+0.00039864i,0.0007293+0.00079062i,0.0007634+0.0011098i,0.0015386+0.00062438i,0.0019181-0.00027817i,0.0015932-0.0011936i,0.0010392-0.0013411i,0.00012107-0.00013364i,-0.00067196+0.00032619i,-0.00047883-0.00015532i,-2.3281e-05-0.00010398i,0.00032801+0.00045573i,0.00044544+0.0005669i,8.1932e-05+6.7179e-05i,-0.00014748+1.4745e-05i,-0.00022212+0.00018828i,0.0001226+3.6161e-05i,0.00059252+0.00024717i,0.00050149+0.00043038i,-0.00019477+0.00055796i,-0.0010355+0.00080617i,-0.00073656+0.00076306i,0.0001443+0.0014346i
9.1059e-05-0.0027782i,-0.00090785-0.0028795i,-0.0013844-0.0021067i,-0.0010103-0.00066843i,-0.0012056-5.6421e-05i,-0.0010987-0.00012786i,-0.00057304-0.00010461i,-0.00049908+0.00021117i,-0.00047229+0.00080895i,-0.00088953+0.0011066i,-0.00079959+0.00064231i,-7.3321e-05+0.00041839i,5.1003e-05+0.00088747i,-0.00026769+0.00077461i,-0.00026272+9.2039e-05i,8.0891e-06+4.9928e-05i,0.00099808+0.00014163i,0.0010061-0.00054531i,0.0006023-0.00065491i,-6.7186e-05-0.0001561i,-0.00079064+0.00012831i,-0.00050564+0.00026067i,-0.00030818-2.5546e-05i
-0.00063427-3.5597e-05i,0.0013072+4.6122e-05i,0.0019595+0.00017786i,0.001779+0.00027326i,0.0016286-0.00027115i,0.0018728-0.0013474i,0.0019372-0.001331i,0.0011482-0.00061017i,0.00017922-0.00085226i,0.00020655-0.00086369i,0.00064086-3.5237e-05i,0.00084023+6.0459e-05i,0.00058469+0.00045109i,1.7557e-05+0.0014117i,0.00015853+0.0015516i,0.00075211+0.0014027i,0.00071721+0.0010992i,-0.00018307+0.00012762i,-0.00067758-0.00046994i,7.1516e-05-0.00073629i,0.00010989-0.00065594i,-0.00043504+0.00015221i,-0.00023603+0.00019461i
0.0007119-0.00045334i,0.00063561-0.00065044i,0.00076378+0.00022218i,0.00076208+0.0006808i,0.00042241+9.5749e-05i,0.00041653-0.00017545i,0.00026285+0.00010529i,-0.00021335-0.00021763i,-7.0505e-05-0.0002046i,0.00015732-4.1073e-05i,0.0004474-4.5589e-05i,0.00030098+0.00023862i,0.00022163+0.00058108i,0.00027644+0.00026689i,0.00024999-0.00058435i,0.00050945-0.0011067i,0.00063153-0.00022392i,0.00024323+0.000564i,-0.00017218-0.00036374i,-0.00036676-0.0005571i,-0.00013617+0.00023066i,-4.7592e-05+0.00023406i,0.00052942-9.2594e-05i
0.0015073+0.00065369i,0.0011569+0.00029035i,0.0016642+9.0204e-05i,0.0015783-0.00062286i,0.001199-0.0010171i,0.00015286-0.00065469i,-0.00073112-0.0007382i,-0.00014754-0.00033864i,0.0006439+0.00016654i,0.00058048-0.00024517i,0.00018802+7.8323e-06i,-0.00012051+3.0376e-05i,5.0136e-06+4.0166e-05i,0.00069942+9.4742e-05i,0.0010322-1.9937e-05i,0.00022396+0.00039012i,-0.00057127+0.00060893i,-0.00031686-0.00010295i,0.0006781-0.00037629i,0.00077304+0.00024757i,0.00045649+0.00070466i,0.00019438+2.0677e-05i,0.00034847-0.00065615i
0.0016508+0.0019124i,0.001755+0.00058693i,0.0016321+0.00037807i,0.0014834+0.00063517i,0.0012924+0.00023316i,0.0015025-0.00014665i,0.0012989-0.00014379i,0.0010884+0.00036993i,0.00084687+6.8834e-06i,0.00049034-0.00071192i,0.00036481-0.00028532i,-8.1967e-05-0.00012911i,-0.00043183-0.00024648i,-0.00017816-0.00046667i,1.1357e-05-0.00058805i,-0.00018053-1.3555e-05i,-0.0008602+0.00024424i,-0.00065532+0.000301i,-0.00051126-0.00016534i,-0.00043593-0.00086427i,0.00014861-0.00015073i,-9.3189e-05+0.00037808i,-0.00037006+0.00015341i
0.00028483+0.00018319i,0.00017745+0.0010551i,-0.00034151+0.00091383i,0.00025003+0.00019716i,0.001502-0.00025787i,0.00088147-0.00086498i,0.00060282-0.0015584i,0.0012157-0.0014987i,0.0010941-0.00098333i,0.00023324-0.0007091i,-7.1355e-05-0.00061352i,0.00043651-0.00042247i,0.00041295-0.00073046i,0.00015104-0.00047955i,-0.00032265-0.00048218i,-0.00033356-0.0011273i,-1.9847e-05-0.0011221i,-0.00028087-0.00091238i,-0.00029132-0.001216i,-0.00032938-0.00053638i,-0.00079557+1.9023e-05i,-0.00074924-1.9099e-05i,-0.00088838-4.0517e-05i
0.00045889-0.0020118i,-4.1895e-05-0.0035477i,-0.00031846-0.0031091i,-0.00030467-0.00050691i,-2.7399e-05+0.0013481i,-0.00020195+0.00058961i,-1.8424e-05-0.00041982i,6.0334e-05-0.00038951i,0.00030131-0.00058164i,0.00010943-0.00065823i,-0.00064411+1.9207e-05i,-0.0011379+0.00015887i,-0.0012151-5.3342e-05i,-0.00043603-6.3099e-05i,0.00035767+0.00039268i,-5.178e-05+0.0008638i,-0.00055597+4.8802e-05i,2.5391e-05-0.0011637i,0.00054408-0.0011119i,0.00036147-0.00057201i,0.00044201-3.4602e-05i,-0.00024527+0.00019593i,-0.00066258-5.4208e-05i
-0.0003228+0.00054545i,-0.00039709+0.00075918i,-0.00032938+0.00052816i,0.00063729+9.3456e-06i,0.0012606-0.00083759i,0.00089109-0.0010768i,0.00019695-0.0010548i,0.0002274-0.00078124i,0.00075777-0.00068119i,0.00055018-0.00047613i,0.00015618-0.00041238i,0.00077242-0.0002681i,0.00075162+0.00067868i,-0.00019763+0.00062456i,1.6941e-05+0.00018044i,-0.00029417+0.00061122i,-0.00031383+0.00027771i,2.9196e-05-0.00052615i,-0.00025818-0.00043469i,-0.00018279-0.00034584i,-0.00030948-0.00020089i,-0.00095479+8.3824e-05i,-0.00066091+7.8093e-05i
0.0011063-0.00029466i,0.00081954-0.0001433i,0.0011776-0.00012048i,0.0003274-0.00040625i,-0.00041769-0.00043971i,-0.00026254-0.00014376i,0.00065872-0.00060906i,0.0014077-3.7461e-05i,0.0010461+0.00088781i,0.00039735+0.0001277i,0.00091683-0.00030356i,0.00091116-0.00038436i,0.00039994-0.00011368i,0.00034636+0.00038329i,0.00010222+0.00010937i,0.00021772-0.00031203i,0.0003035-0.00070255i,-0.00013119-0.0013098i,-0.00048502-0.00018903i,-0.00030528+0.00064712i,0.00075759+0.00011678i,0.00094422+0.00022789i,-7.5313e-05+0.0001551i
-6.3838e-06+0.0011274i,-0.00017575+0.0012032i,0.00044106+0.0010668i,0.00036663+0.0008327i,0.00044213+0.00013407i,0.00071975-0.00048938i,0.00057847-0.00018206i,0.00063411+0.00015601i,0.00078931-0.00053019i,0.00067082-0.0011696i,0.00043661-0.00070322i,-4.8263e-05-8.4424e-05i,-0.00030899+5.7326e-05i,-0.00011125+5.0948e-05i,0.00061555+0.00015811i,0.00042276+0.00035149i,-0.00022107+0.00037705i,-0.00015569-0.00022685i,-0.00012648-0.00038785i,0.00041044-0.00079407i,0.00058082-0.0010499i,-0.00018458-0.00059674i,-0.0004292-0.00031289i
0.00063264-0.00029383i,0.00060154-0.00042773i,0.00020351-0.00034128i,-0.0002645-0.00098356i,-0.00059745-0.0019122i,-0.00076937-0.0017012i,-7.3618e-05-0.00086993i,0.00029544-0.00013862i,0.00019077+0.00030313i,0.00014157-0.00065852i,-0.00039638-0.00092718i,-0.00066978-0.00031418i,-0.00016485-0.00023798i,0.00036708-0.00047988i,0.00011605-0.00068292i,-0.0002929-6.6886e-05i,0.00019747-0.00029893i,0.00071852-0.00087273i,-4.2185e-05-0.00059927i,-0.00028114-0.00063947i,-0.00032137-0.00070724i,-0.00035847-0.00032583i,-0.00014406+0.00016381i
0.0012422-0.0024196i,0.00053153-0.0026068i,0.00032204-0.0018584i,-0.00013759-0.00079323i,-0.0011136-0.00086869i,-0.00080469-0.00091757i,-0.00027759-0.00084828i,-9.147e-05-0.00067626i,-0.00016172-0.00071835i,-0.00013756-5.4969e-06i,-0.00015052+0.00039393i,-0.00022877-9.784e-05i,-0.00020518+0.00070517i,-0.00059015+0.0013082i,-0.0002156+0.00079668i,0.00057036+0.00044307i,0.00074355+0.00038249i,-3.1082e-05-9.5083e-05i,-0.00083779+0.00010441i,-0.00026872+0.00063793i,-1.4709e-05+0.00026135i,-0.00058108+0.0006102i,0.00055468+0.0010249i
-0.00058968-0.00039025i,-0.0003532+0.00054646i,-0.001066+0.0010678i,-0.00069615+0.0013775i,0.00022352+0.00085907i,0.00034069-0.00039822i,0.00075268-0.00086979i,0.00018748-0.00064172i,0.00012884-0.00030361i,0.0010306+8.9374e-06i,0.00040841-0.00016068i,-0.00024155-0.00034678i,0.0003598+3.3095e-05i,0.00056969+0.00089194i,-0.00028939+0.00011776i,-0.00041997-0.00072893i,-0.00021378-0.00040709i,-0.00050126-7.3735e-05i,-0.00060894+0.00010046i,-0.00060395-7.7207e-05i,-0.00057892-0.00071994i,-0.00081629-3.4335e-05i,-0.00039108+0.0008032i
0.0016456-0.00037964i,0.0023254-0.00073415i,0.0014483-0.00050262i,0.0010031-0.00028035i,0.0016326-0.00018117i,0.00067071-0.0002515i,-0.00035454+0.00011023i,-5.6519e-05-0.00075579i,0.00042819-0.0014219i,0.00027574-0.00073834i,0.00022158+5.7511e-05i,0.00036428-9.7743e-05i,0.0008032-0.00021124i,0.00067712+0.00027457i,-0.00027337+0.00027126i,-0.00052302+3.1442e-05i,-0.00023993-0.0002926i,0.00048206-0.0005224i,0.00086761-0.00058786i,0.00014001-0.00079426i,-0.00086705-0.00085796i,-0.00037164-0.00046928i,0.00098059+1.2821e-06i
0.00056986-0.00099758i,0.00062454-0.00036653i,0.0016011+0.00013037i,0.0013367+4.2746e-05i,0.0010144-0.00035974i,0.0011105-0.00064634i,0.00013081-0.00063574i,6.4975e-05-0.00035095i,0.00064038-0.00036512i,0.00068638-0.00041094i,-0.0002579+0.00019282i,-0.0010533-0.00037474i,-0.00057169-0.00085976i,-0.00040385+6.1397e-05i,-0.00049679+0.00044959i,-0.00087228+0.00067595i,-0.0014194+0.00060918i,-0.00072039+0.0003325i,-0.00027213+0.00039748i,-0.00022843+0.000189i,0.00015343-0.0002626i,0.00012202-0.00031295i,0.00022339-0.00034406i
0.0021254+5.3504e-05i,0.0008853-2.8029e-05i,0.0013018+0.00076319i,0.0012168+0.0014323i,0.0012579+0.00033185i,0.0010301-0.00056815i,0.00056038+0.0001437i,0.00065662+0.00041311i,-8.0934e-05+4.3978e-05i,-4.8985e-05+0.00016818i,0.00037504-0.00013418i,-0.0002821-0.00079603i,-0.00045401-0.0009767i,0.00042875-0.00082894i,0.0006939-0.00042957i,0.001286-0.00040357i,0.0014698-0.00026079i,0.00031316-0.00015277i,0.00015389-0.00025334i,0.00042752-0.0006275i,0.00016254-0.00035656i,-0.00018818+0.00095723i,-0.00018644+0.00068504i
-0.0014521+0.0014474i,-0.002766+0.0019258i,-0.0024441+0.001786i,-0.00092105+0.0014313i,-3.8934e-05+0.00065275i,0.00078964+0.0002485i,0.00017799-0.00033685i,-0.0003746-0.00022312i,-2.1089e-06+0.00035124i,-0.00070901+0.00021753i,-0.00065728+0.0003255i,-0.00013374+0.00047204i,-1.5513e-05+0.00010442i,0.00049673+4.2772e-05i,0.00079116+0.00032052i,0.00083237+0.00010684i,0.00042959-0.00062859i,0.00026419-0.0011859i,1.7468e-05-0.00094492i,-1.9088e-05-0.00073352i,-1.0286e-05-0.00062891i,-0.00022153-9.4709e-05i,-0.00048125-0.00022436i
-0.0014786-0.00079256i,-0.0020144-8.7301e-06i,-0.0022572+0.00065258i,-0.00067083+0.00032669i,7.1284e-06+0.00026516i,0.00030961-0.00058307i,0.0010046-0.00025568i,0.0012018+0.00085866i,0.00071924+0.0006922i,0.0001207+0.00072265i,-0.00016096+0.0011783i,0.00037961+0.00062539i,0.0003257+0.00017898i,-0.00055704+0.00059059i,-0.00018168+0.0010983i,0.00048381+0.0010689i,0.00015515-0.00021485i,0.00048695-0.00034382i,0.00083927+0.00020369i,0.00033056+0.00029704i,-0.00057605-2.3267e-05i,-0.00060291+0.00010295i,-0.00026568+0.00052554i
-0.00038892-0.00067584i,-0.00078995-0.00010945i,-0.00047576-0.00066287i,-0.00060665-0.0006194i,-0.0002533-0.00017253i,0.0008477+0.00023119i,0.001039+0.0012275i,0.0008426+0.00098979i,0.00079122+0.00031664i,0.00063189-0.00010151i,0.00034969-0.00047053i,0.00053434-0.00021853i,0.00072544+2.7809e-05i,8.656e-05+0.00061865i,-0.00013421+0.00059759i,7.0319e-05-1.0821e-05i,-0.00012875+0.00027288i,-0.00018847+0.00061847i,-0.00011641+9.8617e-05i,-9.2916e-05+0.00016819i,1.0604e-05-1.1966e-05i,-9.86e-05-0.00066754i,-0.00022621-0.0011662i
0.0021272-0.0013728i,0.0020501-0.0010488i,0.0016346-0.0018537i,0.001384-0.0024566i,0.00077895-0.0012255i,0.0013746+0.00054814i,0.0010682+0.001155i,0.00030133+0.00080146i,0.00022254+0.00044552i,-0.00018976-0.00015168i,-0.00020609-0.00060005i,-0.00022584-0.00055057i,-0.00047088-0.00046263i,-0.00093496-0.00074852i,-0.0010395-0.0010542i,-0.00032821-0.00071546i,-0.00025091-0.00033151i,-0.00063569+0.00095181i,-0.0001857+0.00063664i,4.2613e-05+7.7284e-05i,-0.00017041+0.00031836i,3.171e-05+0.00013535i,0.00011053+0.00011603i
0.00018528-0.00021221i,-0.00065552+0.00092625i,-0.0012026+0.0019724i,-0.00037069+0.0012372i,0.00052137+0.00086375i,0.00085336+0.00067201i,0.00072156+0.00031841i,0.00040754+0.00052418i,-8.1096e-05+0.00014685i,-0.00035449-0.00056293i,0.00010839-0.00052865i,0.00063069+0.0012782i,0.00065536+0.0022296i,0.00064912+0.0011789i,0.00027055-0.00014976i,0.00010483-0.00098207i,0.00034729-0.00099379i,0.0005668-0.00041109i,0.00051826+5.1551e-05i,-8.8293e-05-0.00031219i,-0.00022151-0.00079698i,0.00020903-0.00058987i,-0.00038212-0.00038723i
-0.0025566-0.00047343i,-0.0026371-0.0012298i,-0.0029377-0.00098054i,-0.0015687-2.8663e-05i,-0.00047454+0.00013203i,0.00052084-0.00058415i,0.0013127-0.00089787i,0.00047176-5.5576e-05i,-0.00020301+0.0007557i,0.00049775+0.00067233i,0.00038939+0.00065407i,-9.9902e-05+4.47e-05i,-0.00037529-0.00020846i,4.3934e-06-0.00032641i,0.00084373-0.0011611i,0.00057085-0.00058982i,-0.0002273+0.00034788i,-0.0002252+0.00030923i,-0.00012226+0.00013734i,-0.00071068-2.2558e-05i,0.00029074-5.8682e-05i,0.0014647-0.00035844i,0.00074855-0.00058219i
