-0.00045977+0.0041672i,0.00034891+0.0034093i,-5.3771e-05+0.0019537i,-0.00051537+0.0015831i,-0.0010725+0.0023401i,-0.0016788+0.0022178i,-0.00067551+0.0014i,0.00046546+0.00048691i,0.00062135-0.00023296i,-0.00086686-0.00010939i,-0.0020431+0.00023566i,-0.0019168+0.00012766i,-0.0013316+8.0423e-05i,-0.0001985-5.5796e-05i,0.00031972+0.00015587i,-0.00042336-7.7165e-05i,-0.00037686-0.00048536i,0.00079187-9.7962e-05i,0.0013536-0.00011716i,0.00081371-0.00056495i,0.00047719-0.0005238i,0.00025816+2.4148e-05i,-0.00032252+0.00089561i
0.0014895-0.00096772i,0.0020172-0.00033943i,0.0012319-9.7505e-05i,-0.00058175+0.00072501i,-0.0010858+0.0014764i,-0.00071562+0.0012225i,-0.00084814+0.00026566i,-0.0015932-0.00017506i,-0.0023898+0.00041433i,-0.0021388+0.00070249i,-0.0021154+0.0017246i,-0.0013447+0.0016705i,0.00027589+0.00042739i,0.00063108-0.00077064i,0.00034564-0.00072499i,-0.00021554-0.00060787i,-0.00024339-0.00054198i,0.00051678-0.00031053i,0.00032615-0.00075363i,-0.00032785+0.00015932i,4.3151e-05+0.0011751i,0.00025683+0.00084286i,-0.00010193+0.00044768i
-0.0010062+0.0015559i,0.0005136+0.0018647i,-9.002e-05+0.0017937i,-0.00066233+0.0016574i,0.00034679+0.0011581i,0.00091418+0.00049793i,0.00045788-0.00013849i,-0.00035681+0.00021812i,-0.00096416+0.0014735i,-0.00059413+0.0016682i,-0.00016182+0.0014816i,-0.00042045+0.0010664i,-0.00058805+6.9907e-05i,-0.00031632-5.6181e-05i,0.00028177+0.00044796i,0.00017951+0.00030091i,-0.00045906-0.00032627i,-0.00037441+0.00038732i,-0.00054136+0.00086611i,-0.00062168-1.0508e-05i,-0.00020339-0.00054043i,-0.0006125-0.00023182i,-0.0012532-9.3311e-06i
-0.0026031+0.0015743i,-0.0015096+0.0022017i,-0.00010432+0.0028414i,-9.475e-05+0.0038752i,-3.1762e-05+0.0044529i,0.00022628+0.0025437i,0.00058514+0.0006487i,0.00089976+0.00085391i,0.0011757+0.0016305i,0.0013559+0.0013007i,0.00088863+0.00072263i,0.00031906+0.00057759i,0.00061363+0.00029952i,0.00052649+3.1452e-05i,4.6666e-05-2.4316e-05i,-0.00072818+0.00023144i,-0.0016396-0.00028881i,-0.00095198-6.4149e-05i,-0.00048958+0.00033588i,-0.0010049+7.8004e-05i,-0.00093765-0.0001228i,-0.00019594-0.00052608i,0.00016814+8.9846e-05i
0.0018819-0.00099933i,0.00040816+0.00022426i,-0.0013431+0.0013275i,-0.0011531+0.0021858i,-0.00042625+0.0024978i,-7.8582e-05+0.002213i,0.00032682+0.0013373i,0.00082381+0.00095616i,0.00093842+3.4478e-05i,0.0010784-0.00063512i,0.00033902-0.00011853i,-0.00061989-4.9293e-05i,-5.1365e-05-0.00046788i,6.6196e-05-0.0010756i,-0.00041564-0.0013636i,-0.00070903-0.00074085i,-0.00098272-0.00045928i,-0.00072331-0.00015388i,-0.0009455+0.00026071i,-0.0013926+0.00038863i,-0.00090756-0.00042264i,-0.00042111-0.00063968i,-0.00051044-7.3278e-05i
-0.0032491+0.0019629i,-0.0033935+0.0024533i,-0.001984+0.0017647i,-0.0014146+0.0020919i,-0.0008476+0.002533i,0.00069214+0.0014309i,0.0019449+9.1259e-05i,0.0015833-0.00079848i,0.0005879-0.0019428i,0.00049339-0.0022106i,0.00018019-0.0012185i,-0.00032062-0.0011699i,-0.00068641-0.0013945i,-0.00023844-0.00053766i,-8.7176e-05+0.00013054i,-0.00038289+0.00021426i,-2.6866e-05+0.00083819i,-4.4739e-05+0.0013488i,-1.1206e-05+0.00062784i,-0.00015426-0.00025069i,-0.00072607-0.00013246i,-0.0011606+6.9334e-05i,-0.0007618+0.00032998i
-0.00032546-0.00080688i,0.00012429-0.00024916i,0.00047671+0.0012199i,0.00069576+0.0022805i,0.0011222+0.0025346i,0.0013367+0.001783i,0.0003332+0.00026504i,0.0001647-0.00080136i,0.0002495-0.0017022i,-0.00016282-0.0019871i,-0.00068366-0.0016351i,-0.001067-0.0012501i,-0.00069775-0.00056809i,-0.00070737+0.00040069i,-0.00085761+2.7423e-05i,3.5171e-05-0.00099143i,0.00035944-0.0011375i,0.0003173-0.0013548i,-0.00028218-0.0010353i,-0.00066731+9.5339e-05i,-3.0714e-05+0.00057068i,0.0003196+0.00026136i,-0.00021227-0.00012164i
-0.0013967+0.00090484i,-0.0012164+0.0014013i,-0.0012607+0.0012299i,-0.00094626+0.0017826i,-0.00023063+0.0022888i,0.00021062+0.00079569i,-0.00019497-0.00087475i,-0.00085412-0.0011607i,-0.00097783-0.0013787i,-0.0014088-0.00058102i,-0.0020266+0.00081473i,-0.0019686+0.00014731i,-0.0014243-0.0010883i,-0.00082135-0.00075189i,-0.00062244+6.7303e-05i,-0.00071421+0.00042695i,0.00030763+5.8406e-05i,0.0013151+6.4894e-05i,0.00064863+0.00012347i,0.00037745-0.00027701i,0.00060932+0.00020413i,0.00052812+0.00023333i,0.00040608+0.00046233i
-0.0002721-0.0003394i,0.00031455+0.00083707i,0.00084853+0.00092769i,0.00085835+0.0016734i,0.00034512+0.0024907i,0.00074827+0.0017083i,0.00022203+0.00022524i,-0.00066549-7.4252e-05i,-0.0010367+0.00045149i,-0.0013386+0.00067638i,-0.0014208+0.00046239i,-0.0015283+0.00044607i,-0.0002953+0.00085317i,0.00097936+0.00027253i,2.0337e-05-5.7481e-05i,-0.00070634-0.00020059i,0.00032797-0.00075993i,0.00093076-0.000878i,0.0012604-0.00047971i,0.0011482-0.00017071i,0.0007534+0.00021945i,0.00037532+0.00013974i,-0.00031365+9.1218e-05i
-0.0016513+8.3034e-06i,-0.0021354+0.00033466i,-0.0025257-0.00025535i,-0.0018926+0.0011217i,-0.0014933+0.0022158i,-0.00085881+0.0014057i,9.1335e-05+0.00064208i,0.00085955+0.00019653i,0.0010999+0.00051244i,0.00055428+0.0016602i,0.00029693+0.0019778i,2.7108e-05+0.0010284i,3.6534e-05+0.00064071i,-0.00047331+0.0012696i,-0.00072165+0.0014724i,-0.00036335+0.0010076i,5.8995e-05+0.00063079i,0.00057432+0.00096353i,-1.451e-05+0.0011631i,-0.00062114+0.00056178i,-0.00034387-0.00027511i,7.9653e-06-0.0006695i,-7.2178e-05-0.00032175i
0.0021106-0.00061984i,0.0010705+0.00029665i,0.00084494+0.00097792i,-0.00072388+0.00081881i,-0.0022101+0.0004524i,-0.0015397+0.0006041i,-0.00011213+0.00031498i,-2.9364e-05-0.0003462i,-6.2682e-05-5.6063e-06i,0.00011859+0.0010651i,0.00016484+0.0018366i,0.00015774+0.0014775i,-0.00011037-4.8003e-05i,-9.6402e-05-0.0011288i,-0.00036108-0.00095025i,-0.00070631-0.00012133i,-0.00016953+0.00043957i,8.6812e-05+0.00053319i,-0.00026753+0.00068951i,-9.3905e-05+4.1216e-05i,0.00087109-0.00027494i,0.0010359+0.00019216i,0.00020126+0.00018817i
