-0.0040148+0.0013874i,-0.003543+0.0011333i,-0.0040375+0.00077986i,-0.0040585+0.0010688i,-0.0032062+0.0018865i,-0.0016065+0.0015269i,-0.00093248+0.0010647i,-0.0011361+0.0015804i,-0.0012749+0.0011642i,-0.0001098+0.00093397i,0.0010055+0.00061531i,0.00081368-0.00053599i,0.00034817-0.00093554i,0.00054428-0.00095327i,0.0003396-0.00095747i,0.0001985-0.00044811i,0.0005405+0.0005759i,0.00016336+0.00071734i,-8.0356e-05-0.00012242i,0.0006532-0.0005419i,0.00049159-0.00098292i,-0.00044744-0.0015815i,-0.00042638-0.00056538i
0.00026208+0.0013635i,0.0012143-3.7258e-05i,0.0012868-0.0010258i,0.001035-0.0013441i,0.00073642-0.00082752i,0.00055361-0.00047403i,0.00074699-0.00023156i,7.6898e-05-0.00013002i,-0.00083038+0.00030898i,-0.00054789+0.00040765i,2.0004e-05-0.00011407i,0.00049816-0.00081167i,0.0014735-0.0011353i,0.0012167-0.00082186i,0.00056906-0.00036331i,0.00050561+0.00037197i,0.00015191+0.0002681i,0.00012531-0.00031954i,0.00047094+3.1082e-05i,-0.00011925+0.0007202i,-0.00019559+0.0013165i,0.00026392+0.00056348i,0.00017012+8.0683e-05i
0.0025504+0.00043131i,0.0030105+0.00018554i,0.002797-0.0017758i,0.0011227-0.002317i,-0.0010835-0.0013361i,-0.0013064-0.00060231i,-0.00044711-0.00089239i,-0.00058086-0.0012974i,-0.00075581-0.0011036i,-0.00075932-0.0014761i,-0.0009798-0.0010497i,-0.00089668+0.00035994i,-0.00052805+0.00061268i,-0.0005835+0.00030532i,-0.00029875+0.00067549i,-0.00032165+0.0010658i,-0.00036574+6.5459e-05i,-0.00030747-0.00089971i,-0.00057121-0.00055274i,-0.00064368-9.1267e-05i,-0.00059228+0.00016879i,-0.00031091-0.00020443i,3.7076e-05-0.000684i
-4.4903e-05+0.001329i,0.00018701-0.00066299i,0.00018954-0.0011038i,-0.0012504-0.00071905i,-0.0013964-0.0011824i,0.00023016-0.0013857i,0.00058564-0.001167i,-0.00014398-0.00092098i,-0.00060657-0.00086623i,-9.2316e-05-0.00088447i,-0.00026564-0.00052097i,-0.00086859+1.9634e-05i,-0.00035041+9.3803e-05i,4.1245e-05+4.9082e-05i,-0.00036851+3.1801e-05i,-0.0010597-0.00058835i,-0.00074869-0.00060356i,-8.856e-05+6.1375e-05i,0.00018715+0.00092449i,0.00072253+0.00078607i,0.00028042-0.0001654i,-0.0001151+7.8128e-05i,0.00038289+0.00014977i
-0.00040692+0.0032527i,-0.00011352+0.0014822i,0.0018086+0.000157i,9.3347e-05-0.00022002i,-0.0013252-0.0013788i,-0.00062558-0.0022307i,0.00017962-0.0017152i,-9.197e-05-0.0011266i,-0.00035871-0.00077882i,-0.00011283-0.001421i,-0.00023765-0.0015253i,-0.00029521-0.00012685i,-0.00013745+0.00014663i,-0.00030988+5.9991e-05i,-0.00080239+0.00035249i,-0.00055734+0.00017164i,5.2259e-05+0.00032356i,0.0002725+0.00035558i,-0.00011755-0.00073839i,-0.0010202-0.00097425i,-0.00091852-0.00035888i,-0.00047168-0.00011239i,-0.00024971-0.00083869i
-0.0019344+0.0031859i,-0.00096612+0.0026759i,0.00089721+0.0013021i,0.00093977-0.00034991i,0.00052179-0.00040846i,1.3857e-05-0.0012265i,-0.00046845-0.0017014i,-0.00030933-0.00097662i,0.00088741-0.00074481i,0.001547-0.00060039i,0.0013439-0.0011404i,0.001214-0.0015225i,0.00025863-0.0008358i,-0.0013141-0.00021391i,-0.0013847-0.00016347i,-0.00056849-0.00017795i,0.00013372-0.0001037i,0.00058331+0.0005228i,6.536e-05+0.00041978i,-0.00033876+0.00046002i,0.00040665-0.00019155i,0.00045545-0.00036145i,-0.00047052-0.00025157i
0.0015316-0.00015562i,0.00044826-0.00058581i,7.5053e-06-0.0021348i,-0.00096816-0.0022038i,-0.0025571-0.0015974i,-0.0020718-0.00094142i,-9.3098e-05-0.00032188i,9.1677e-05-0.00073685i,-0.00072924-0.000425i,-0.0002433-6.6019e-05i,0.000121-0.0003136i,-0.00085449+0.00020834i,-0.00070676+0.00045178i,0.00080006-0.00050065i,0.0011271-0.00048507i,0.0011264+0.00027197i,0.0008595+0.00055006i,0.00016357+0.00055207i,-0.00082646+0.00037109i,-0.0010025-0.00022457i,-0.00061926-0.00015795i,-0.00069339+0.0006174i,-0.00065543+0.00055788i
-7.8141e-05+0.0010704i,0.00044736+0.00044793i,0.00066757+0.00017696i,-0.00015742+0.00014508i,-0.00099762-0.00060851i,0.00023852-0.0011763i,0.00069102-0.0016183i,8.4953e-05-0.001089i,0.00011506+0.0001051i,-0.00010752+0.00069504i,-0.00044492+0.00063981i,-0.00029667+0.00041327i,-0.00011247+0.0003145i,0.0002378-0.00024296i,0.00024685-0.00058147i,-0.0002648+0.0002058i,-0.00031812+0.00022957i,0.00063719+0.00031254i,0.0010372+0.00013066i,0.00080475-0.00021879i,0.0004989+0.00031433i,0.00069905-0.00011i,0.00077857-0.00029705i
-0.0015233+0.0015434i,-0.0017579-0.00023815i,-0.0013617-0.0012654i,-0.001174-0.0009959i,-0.0011143-0.00096044i,-0.00034796-0.00074573i,0.00026468-0.00026895i,-0.00018914-0.00027144i,0.00012697-0.0004684i,0.00053042-0.00024411i,0.00024244+0.00043435i,0.00023622+0.00027189i,-5.9193e-05-0.00045495i,-2.04e-05-0.0003695i,0.00056497-0.00016329i,0.00035906+3.1606e-05i,-1.9266e-05-0.00018464i,0.00031487-0.00046505i,0.00071197-0.00062443i,0.00063861-7.7458e-05i,0.00045969+0.00089229i,1.2106e-06+0.00085876i,-0.00052892+0.00074375i
-0.0015198+0.00052154i,-0.0005765-0.00040813i,0.00025187-0.00049017i,7.5042e-05+2.3586e-05i,0.00013822-0.00010394i,0.0011018-0.00072367i,0.00082181-0.0011813i,-6.9544e-05-0.00093346i,-3.6233e-05-0.00012209i,0.00039902+0.00038866i,-3.3645e-05+0.0003198i,-0.00081567-0.00034918i,-0.00099671-0.0005077i,-0.00062673-0.00092512i,-4.7575e-05-0.00098254i,0.00037581-0.0010295i,0.00066406-0.0001418i,0.00071273+0.0013381i,0.0004911+0.00083041i,3.0331e-05+4.2177e-05i,0.00012211+0.00059205i,0.00035877+5.3594e-06i,5.9455e-05-0.00095956i
-0.00078468-0.00028009i,-0.0010921-0.00029245i,-0.001284-0.00097371i,-0.0019567-0.00066755i,-0.0018852-9.0766e-05i,-0.00047367+6.5695e-05i,0.00023743-0.00024191i,0.0003058+0.00026291i,-0.00071112+0.0010609i,-0.0011527+0.001147i,-0.00084096+0.00077289i,-0.00029625+0.00039699i,0.00020219-0.00012043i,0.00067055+1.6726e-05i,0.00054162+0.00021065i,0.00039074-0.00030936i,0.0010494-0.00069651i,0.00071199-0.00034406i,-7.1681e-05-0.00021406i,-0.00025025-0.00017475i,0.00066272+3.6953e-05i,0.0010738-0.00034317i,0.00022136+0.00035003i
