-0.0055752-0.00055957i,-0.0054334+0.00053694i,-0.0049397+0.0040566i,-0.0026998+0.006578i,-0.00086453+0.0058203i,-0.00016444+0.0033854i,-0.00050298+0.0013571i,-0.00021369+0.00038484i,0.00012093-0.00010595i,0.00028891+0.00014328i,0.00061322-1.4827e-05i,0.00078294-0.00060325i,0.00030788-0.0007198i,0.00056489-0.00048872i,0.00094323-0.00067625i,0.00066591-0.0006299i,0.00023716-0.00029442i,-6.8576e-05-0.00076008i,-0.00018534-0.0007684i,-0.00038682-0.00043231i,8.7085e-05-0.0009034i,0.00029443-0.0011202i,0.00021159-0.00090457i
0.0015248+0.00054103i,0.0011449-0.00018013i,0.00036028-0.0021093i,-0.00045688-0.0017752i,-0.00097869-0.00090381i,-0.00089717-8.3082e-05i,-0.00057939+0.0002398i,-0.00077551-0.00031619i,-0.0012417-0.00059925i,-0.0016066-0.00063012i,-0.00069985-0.00090532i,-6.9009e-05-0.000438i,-0.00019838+0.0004469i,-1.9057e-05+0.00024452i,0.00020111-0.00052263i,2.8957e-05-0.00031164i,-0.00022251+0.00015047i,-0.00067123+3.2692e-05i,4.6516e-05+0.00014955i,0.00067181+7.6648e-05i,0.0001847+1.3962e-05i,-0.0002678+0.00012382i,-8.0498e-05+0.00012127i
0.00085984-0.0028073i,-0.00015579-0.0016031i,-0.0010221-0.0014941i,-0.0026548-0.0014636i,-0.0037813-0.00014256i,-0.0029066+0.0010859i,-0.0015559+0.00030494i,-0.0010532-0.0014972i,-0.0010426-0.001313i,-0.00052783-0.00035646i,-2.3097e-05-0.00074585i,4.4151e-05-0.00052648i,-0.00017127+0.00060459i,-0.00026404+0.0010265i,-0.00021336+0.00039968i,2.6191e-05+0.00033539i,0.00035597+0.00053979i,0.0004178+0.00038523i,0.00023176+0.00031867i,5.6456e-05-0.00012029i,-0.00029869-0.00023794i,-8.4406e-05+0.0003452i,0.00050922+0.0013044i
-0.00033372+0.00059426i,0.00049851+0.0010225i,0.0010052+0.0017133i,5.1697e-05+0.0010397i,-0.00077289+0.00028528i,-6.7448e-06-1.7011e-05i,0.00064987-0.00043762i,0.00090118-0.0015551i,0.00049964-0.0015356i,-0.00039724-0.0002026i,-0.0012406+0.00032831i,-0.0011076+0.00025425i,-0.00053993+0.00013808i,0.0002411-2.7966e-05i,0.00033567-0.00024027i,-0.00045786+0.00028397i,-0.00092892+0.00052256i,-0.00060193+0.00055666i,-0.000905+0.00078988i,-0.00094738+0.00037564i,-0.00019555-0.00026199i,-0.00029571+0.00018607i,-4.1675e-05+0.00073712i
-0.00092293+0.00178i,-0.00099885+0.0018439i,-0.0012664+0.0011906i,-0.0023033+0.00076198i,-0.0020941+0.0006701i,-0.0012712-0.00019384i,-0.0010624-0.0014362i,-0.00051784-0.0013852i,-2.758e-05-0.00084205i,-0.00016185-0.00085404i,-0.00039331-0.00045622i,-0.00024658+0.00043031i,-0.00021337+0.00047115i,-1.0175e-05+9.2268e-05i,0.00029764-2.5476e-05i,0.00036691-0.00027273i,-0.00014554-7.9784e-05i,0.00022455+8.9196e-05i,0.00054597-0.00014234i,-1.0609e-07+8.6084e-05i,0.00017325-5.2443e-05i,0.00021502-0.00032173i,0.00011053+4.2389e-05i
0.0018586-0.0014707i,0.0014853-0.001573i,7.4081e-05-0.0014904i,-0.00061794-0.001538i,-0.0010541-0.0008957i,-0.0011682+5.5609e-05i,-0.00089884+0.00048912i,-0.00095462+0.00073251i,-0.0014084+0.00012656i,-0.0018846-0.00047192i,-0.0012809-8.9658e-05i,-0.00028499+0.00057484i,0.00010865+0.0010992i,0.00033048+0.001222i,0.00014031+0.00069261i,0.00057284-0.00083526i,0.00087429-0.00087677i,0.0004509-0.0004016i,0.0001069-0.00055583i,0.00017533-0.00031888i,0.00016704-0.00016445i,0.00014751+9.3537e-05i,0.00051667+0.00053432i
-0.00010591-0.0014473i,0.00045288-0.00060596i,-0.00029509-1.7563e-05i,-0.00074382+0.00046495i,-0.0011663+0.00063509i,-0.0012594+0.00063515i,-0.00016258+3.2651e-05i,0.00027573-0.00069464i,-0.00034078-0.00059534i,-0.00078023+0.00014769i,-0.00059014+0.00074306i,3.5728e-05+0.00051735i,0.0010579+0.00055793i,0.0008766+0.00027883i,0.00062283-8.884e-05i,0.0006152+0.00062929i,0.00024543+0.00075638i,0.00026993+0.00012313i,0.00046489-0.00054193i,0.00025394-0.0002933i,-6.5907e-05+0.00018416i,0.00017385+0.00035669i,-0.00029272+0.00060211i
0.00023606+0.00090778i,-0.00057733+0.00056942i,-0.00028783+0.00058914i,-0.00019502+0.00088692i,-0.00037228+0.001145i,-0.00065679+0.00052981i,-0.0011356-0.00027468i,-0.00058008-0.0004502i,-0.00063926-0.00058884i,-0.0012352-0.00063534i,-0.0010839-5.065e-06i,-0.00069478+0.00066922i,-2.7829e-05+0.0011187i,0.00022356+0.00091641i,-0.00023129+0.00025835i,-0.00019797-0.00018053i,-0.00013395-0.00046121i,-0.00067089-0.0010531i,-0.0012135-0.0016357i,-0.00048877-0.0014828i,0.00053983-0.00084816i,0.00042091-0.00036801i,0.00061493+0.00018882i
-0.0015077+0.0004211i,-0.0028195+0.00073645i,-0.0016418+0.00139i,6.2869e-05+0.0016798i,0.00050938+0.00095283i,2.305e-05-4.6424e-06i,-0.00052219-0.00011645i,-0.00045903-0.00070407i,-0.0001937-0.0005642i,-3.6773e-05+0.00031248i,0.0012963+0.0002009i,0.0016138+0.00016591i,0.00017628+0.00023182i,-0.00070762-0.00033876i,-0.0001379-0.00044943i,0.00014414+6.562e-05i,-0.00065039+0.00095308i,-0.0011685+0.0011686i,-0.00073822+0.0012259i,4.2566e-05+0.00060678i,0.00034261-0.00012535i,0.0006006+0.00024258i,0.00049347+0.00068466i
0.00014852+0.00020516i,0.00031977+9.7637e-05i,0.00022589-3.1216e-05i,0.0002859-4.0384e-05i,5.5704e-05-4.3755e-06i,-0.00057131-0.00078331i,0.00017393-0.001082i,0.00044243-0.00069154i,0.00022172-0.00060087i,-0.00037519-0.00012486i,-0.001474-0.00049249i,-0.001073-0.00031389i,-0.00030178+0.00041877i,-7.2702e-05+0.00062358i,-0.00012236+0.00057726i,-0.00044876+0.00023866i,-0.00062994-0.00064135i,-0.00024577-6.9941e-05i,0.00023922+0.00050167i,-0.00049689-0.00013176i,-0.0008466-0.00077504i,-0.00040853-0.00024151i,-0.00030567+8.029e-05i
0.00082937+0.00024637i,0.0011578-0.00032485i,0.00053069+0.00010695i,-0.00071117+0.00043727i,-0.0010281+0.00025807i,-0.00096836+0.00025917i,-0.00056457-0.00010308i,0.00012426-0.00079918i,0.00012351-0.00039222i,-9.2832e-06+0.00072264i,-0.00061378+0.00053069i,-0.00066313+0.00046331i,-0.00068436-1.081e-05i,-0.00035286-0.00024978i,0.00030215-0.00025636i,0.00039541-0.00027103i,7.8605e-05+2.5041e-05i,-0.00047746-0.00021026i,-0.00050048-0.00049546i,0.00035016-0.0011578i,0.0011067-0.00078171i,0.00041657+0.0006616i,-0.00024894+0.00054712i
