-0.00099216+0.0034221i,-0.00085846+0.001256i,-0.0018183-0.00042881i,-0.0012142-0.0017124i,-0.0012489-0.0016686i,-0.0010726-0.001062i,-0.00074145+4.428e-05i,-0.00069043+0.0011475i,-3.069e-05+0.00080505i,0.0005908-0.00039141i,0.0010682-0.00043287i,0.00063677+0.00039585i,-0.00010215-3.1368e-05i,4.2953e-06-0.00027056i,0.00012832+0.00010149i,0.00023777+0.00030847i,-0.00013183+0.00027027i,-0.00025919+6.835e-06i,0.00012522-0.00063336i,0.00057928-0.00092547i,0.00013299-0.0004727i,-0.00065163-0.0007789i,-0.00041831-0.0009841i
-0.00057773-0.00051923i,-0.00011752-0.00065213i,0.00029687-0.00020959i,0.00072004-0.0013623i,0.0010611-0.0017775i,0.00059593-0.0012728i,-0.00028885-0.001269i,-0.00073013-0.0016407i,-0.00051447-0.0011387i,-7.1778e-05-0.00029841i,-0.00074827-0.00080173i,-0.00033492-0.00079446i,-6.6033e-05-0.00022175i,-0.00064755+0.0004842i,-0.00052176+0.0011122i,-0.0005595+0.000771i,-0.0010838+0.00022296i,-0.00077842+0.00060799i,-0.000215+0.00077804i,-4.7031e-05+0.00076028i,0.00017379+0.00038446i,0.00036009-9.3486e-05i,0.00036801-0.00031742i
0.0010799-0.00030142i,0.0015888-0.00041461i,0.00073585-0.00039183i,-0.00065537-0.0012117i,-0.0014071-0.0016677i,-0.0010939-0.00057326i,-0.00059817+0.00031468i,-0.0001146-6.8844e-05i,-0.00055467-0.0006054i,-0.0011668-0.00068631i,-0.00062207+0.00025259i,-0.00034006+0.0011382i,-0.00062189+0.00085781i,-0.0003714+0.00065418i,0.00088493+0.00059654i,0.0010621+0.0010464i,-2.4979e-05+0.0011535i,-0.00032844+0.00074582i,0.00011932+0.00047944i,0.00016816-0.00017644i,-8.2183e-06-0.00014452i,0.00013048+0.00014589i,0.00024542+0.00051761i
0.0016401-0.00028576i,0.0016417-3.6183e-05i,0.0016203-0.00029435i,0.0014133-0.0017458i,0.00011995-0.0027468i,-0.00071858-0.0023352i,-0.00063607-0.0010518i,-5.1281e-05-0.00060178i,0.00060259-0.00041895i,0.0011768-0.00024369i,0.00092877+3.1535e-05i,0.00046857-2.1581e-05i,-0.0001885-0.00021224i,-0.00052645+5.5054e-05i,-3.5609e-05+0.00053913i,0.00041853-2.1582e-05i,0.00024618-0.00056101i,-1.2916e-05-0.00040243i,-0.00045442-0.00068071i,-0.00047817-0.00055403i,-0.00037271+0.00033165i,-0.00037071+0.00022816i,-0.00020039-0.00015076i
-0.00029554+0.001333i,-0.00067644+0.0013387i,-8.9804e-05+0.00084673i,0.00020603-0.00048598i,-0.00017793-0.0013081i,-0.0009934-0.00067439i,-0.00063984-0.00034343i,0.00061537-0.0005744i,0.0010451-0.00061382i,0.00036934-0.00045144i,-0.00052329+0.00010551i,-0.00073955+0.00086486i,-0.00025966+0.00067328i,0.00031676-9.3953e-05i,-0.00013066+1.7234e-05i,-0.00033923+0.00013269i,5.2917e-05+7.1354e-05i,0.00022162-0.00012684i,0.0004199-0.00018313i,2.1944e-05-0.00036452i,-0.00018355-7.7752e-05i,-0.00022943+0.00022477i,0.00012169-0.00032985i
-0.00064663-0.00049155i,-0.001098-0.0011656i,-0.00026667-0.0023604i,-0.00036489-0.0021377i,-0.0010197-0.0011834i,-0.00064187-5.3064e-05i,-0.00039306+1.3278e-05i,0.00045239-0.00030047i,0.00038934-0.00043966i,-0.0008192-0.00086216i,-0.0006942-0.0010747i,0.00013172-0.00047162i,0.00019581+0.00039691i,0.00046876-8.1641e-05i,0.00044898-0.00058139i,-0.00023519-0.00011249i,-0.00042749+0.00022013i,-3.064e-05+0.0001681i,0.00014151-0.00012245i,-0.00044733-0.00092031i,-9.5438e-05-0.00072134i,-4.7075e-06+0.00016468i,-0.0003794+7.7496e-05i
-0.000206+0.00063134i,0.00083993+0.00010171i,0.00092347-5.3075e-05i,0.0003746-0.001029i,0.00025661-0.0020295i,-0.00049889-0.0018694i,-0.001356-0.0010617i,-0.0008091-0.00022807i,-0.00047324-1.2869e-05i,0.0001419+4.8188e-05i,0.0011047+7.8201e-05i,0.00099143+0.00034156i,0.00055176+0.0001965i,0.00061251+2.8402e-05i,0.00014652+5.6236e-05i,-0.00078616-0.00019467i,-0.00027772-0.00023601i,0.0010565-0.00023776i,0.0014262-0.00040001i,0.00090501-4.3096e-05i,1.1726e-05+0.00025484i,-0.00013639+0.00050907i,-0.00014372+0.00053998i
0.00036039-0.0013404i,0.00084864-0.0017073i,0.0013567-0.0026467i,-7.9806e-05-0.0026386i,-0.00049172-0.0023412i,-0.00010481-0.0017807i,-0.00030713-0.00095149i,2.2677e-06-0.00090821i,0.00026652-0.00068069i,6.6109e-05-5.1246e-05i,-8.5356e-05+0.00038271i,-0.00027033+0.00064696i,3.985e-05+0.00087891i,0.00031833+0.00055502i,0.0001845+0.00011204i,5.4531e-05+0.00037806i,-0.00027803+0.0004049i,-0.00057445+6.4051e-05i,-0.0012039+5.7893e-05i,-0.00077472-0.0005277i,0.00011193-0.00082149i,-0.00047014-0.00066839i,-0.00057084-0.00063737i
-9.297e-05+0.00019478i,-0.0004789+0.00017344i,-0.0010512+0.00068093i,-0.0011848-7.978e-05i,-0.0011495-0.0013022i,-0.0002784-0.0015045i,0.00010735-0.00085937i,2.8501e-06-0.00039913i,0.00035106+1.7126e-06i,0.00065319-0.0002116i,0.00090288-0.0010664i,0.00060391-0.0010059i,0.00022954-3.7143e-05i,0.00014314+0.00036104i,5.7491e-05-0.00043875i,0.00014106-0.00029173i,0.00059802+2.8395e-05i,0.00019747+4.6734e-05i,1.4792e-05+0.00045104i,5.206e-05+0.00089376i,-0.00064256+0.00086203i,-0.00097158+0.0002074i,2.1537e-06+2.5429e-05i
0.00040769-0.00029294i,0.00092972-0.00094247i,0.00078594-0.0014561i,-0.00020109-0.0012428i,-0.00077356-0.00089717i,-6.7561e-05-0.00062714i,0.00069456-0.00019788i,0.00099538-3.9115e-05i,0.00038908-0.00036907i,0.00032964-0.00034514i,0.00064761+0.00046675i,-0.00012403+0.0005092i,-0.00020762-6.3041e-05i,0.00037629-0.0003386i,1.7432e-05-8.3574e-05i,-0.0007029+0.0002703i,-0.00021051+0.00013514i,0.00027449-2.5887e-05i,0.00029321-0.0005317i,0.0007904-0.0004921i,0.00032061-3.0669e-05i,-0.00022154+0.00028644i,-0.00021413+0.0003382i
0.00065984+0.001573i,0.00071192+0.00048662i,0.0010302-0.00049708i,0.00023845-0.0014704i,-0.0011004-0.002361i,-0.0011618-0.0018931i,0.00023052-0.00085108i,0.00055564-0.00035569i,-5.438e-05-9.2316e-05i,-0.00053483+0.00012651i,-0.00044003+9.024e-05i,-0.00054358-0.00029566i,-0.00053316-0.00052469i,-0.00033012-0.00050202i,-0.00033581+0.00050844i,-0.00057098+0.0011409i,-0.00036456+0.00087697i,0.000406+0.001007i,0.00033183+0.00046568i,-0.00070862+0.00013881i,-0.0011495+0.00018539i,-0.0011687+0.00017981i,-0.0013371-5.5169e-05i
-0.0012535-0.00050766i,-0.0008165-0.00046812i,-0.00062803-0.00055677i,-0.0010895-0.00061325i,-0.0013945-0.00051597i,-0.0012072+0.00012346i,-0.00032745-0.00019946i,0.00019892-0.00072902i,0.00015637-0.00083843i,0.0005381-0.00058383i,0.00064957-0.00035862i,8.1329e-05-7.4276e-05i,1.6822e-05+0.00034802i,0.00045861+0.00045265i,0.00027628+0.00064109i,-0.00019704+0.00043244i,-0.00026049-0.00031091i,-0.00056218-0.00092818i,-9.3443e-06-0.00095383i,0.00056432-0.00063018i,0.00052437-0.00065763i,-0.00043465-0.00030638i,-0.0012496+0.00014217i
0.00097484+0.0013206i,0.0015384+1.8365e-06i,0.0019356-0.00082966i,0.002112-0.0015559i,0.001688-0.0021154i,0.00060009-0.0020881i,0.00032372-0.0015071i,0.00038425-0.00075557i,0.00041044-0.00013229i,0.00016673-0.00013484i,0.00019071-0.00018975i,0.00017058-0.00014131i,-0.00015888-5.8691e-05i,-0.00099267-0.00028384i,-0.001412-0.0004797i,-0.00041041+9.7929e-05i,-0.00041898+0.00041902i,-0.00056695+6.0662e-05i,-0.00015708+0.00018144i,-0.00023383+0.00052451i,-0.00074179+7.5755e-05i,-0.00092878-6.9518e-05i,-0.0002954-8.6146e-05i
