0.0023373+0.0012673i,0.00189-0.00022078i,0.0010092-0.0030112i,-0.00012025-0.0037443i,-0.0018412-0.0024627i,-0.0032377-4.2976e-05i,-0.0016122+0.0020605i,0.00061236+0.0025344i,0.0019665+0.0014896i,0.0018726-0.00093575i,0.00048788-0.0018944i,-0.0012801-0.0012741i,-0.0016058-0.0009268i,-0.00059159-0.00055933i,-0.00059654-0.00064917i,-0.0012433-0.00032475i,-0.00094999+0.00018563i,-7.1141e-05+2.3801e-06i,0.00015945+0.00038928i,-0.00017388+0.0005045i,-4.6222e-05-1.0559e-05i,-0.00028894-0.0005783i,-0.0007965-0.00084001i
-0.00046035+0.0020808i,0.00044138+0.0015397i,0.0017441+0.002305i,0.0029435+0.0011945i,0.0032306+7.6617e-05i,0.0016259-0.00024955i,0.00052285-0.00047597i,0.00064201+0.00036488i,0.00073632+0.001297i,0.001788+0.00092572i,0.0020357-9.8787e-05i,0.0012199-0.00093617i,-0.00028379-0.0011078i,-0.00026771-0.0010513i,0.0006722-0.00076393i,0.00023826-0.00062744i,-0.00010082-0.00063694i,-0.00069605-0.00054025i,-0.00064698-0.00023516i,0.00014292+0.00030866i,0.00047341+0.00045928i,0.00034006+8.3976e-05i,0.00021367-0.00029232i
-0.0013306+0.000554i,-0.00028834+0.0012094i,1.4791e-05+0.0016349i,0.00099664+0.0014295i,0.00033326+0.0002919i,-0.00061416-6.7505e-05i,-0.00062602+0.00086014i,0.00021686+0.0012746i,0.00082296+0.00062482i,0.00075881+0.00020041i,0.00031136+0.00029089i,-0.00040099+2.4707e-05i,-0.00022644-8.0295e-05i,0.00073423-0.00015521i,0.00068235-0.0001987i,2.132e-05+0.00078472i,0.00028336+0.00089016i,0.00058898-0.00084233i,-0.00021226-0.00074507i,-0.00079924+0.0002263i,-0.00046464+0.00043522i,-0.00058669+0.00039901i,-0.00063+0.00031136i
-0.00050074+0.00057998i,0.00060273+0.0014998i,0.00085752+0.0012869i,0.0015618+0.00082989i,0.0013779+0.0011971i,0.00030012+0.00074593i,-4.1444e-05-9.7603e-05i,-0.00031437+0.0002044i,-0.00024823+0.0010045i,-0.00041045+0.0010791i,1.008e-05+0.00072863i,0.00084425+3.706e-05i,0.00059977-0.00082247i,-0.0005593-0.0001928i,-0.00093893+5.2362e-05i,-0.00020018-0.00053769i,0.00049253-0.00037434i,9.2701e-06+0.00076281i,-0.00077355+0.00072817i,-0.00076624-0.00032113i,-0.00078392-0.00028284i,-0.0004601+0.00023263i,0.00010348+0.00030248i
-0.00043881+0.00053314i,-0.00024+0.0011201i,-0.00021528+0.0018817i,0.0010604+0.0016741i,0.001881+0.00074105i,0.00092135-0.00035309i,0.00025333-0.00070456i,-0.00017335+0.00068935i,-0.00027012+0.0012864i,0.00021467+0.00030337i,0.00032164-0.0001255i,-0.0001305+9.0012e-05i,-0.00010558+5.6474e-05i,0.00044028-4.7425e-05i,0.00065317-0.00025744i,9.7186e-05+0.00017469i,-0.00037827+0.0010233i,0.00031838+0.00096109i,0.00054455+0.00055157i,8.7402e-05-0.00040313i,-0.00019549-0.0009801i,-0.00050429-0.00077869i,-0.00050694-0.00028295i
-0.0020217+0.00069975i,-0.0021687+0.0010464i,-0.0013203+0.00029197i,-0.00031912-0.0001196i,-0.00015724+0.00060642i,-0.0011421+0.0012817i,-0.0016789+0.00089282i,-0.0012325+0.00075546i,-0.00043153+0.00037853i,6.5548e-05-0.00032995i,2.9457e-06-0.00013191i,-0.00022118-0.00054429i,8.3686e-05-0.00084077i,0.0012801-8.599e-05i,0.00051223+0.00046172i,-0.00076342+0.0002029i,-0.00027165-0.00050352i,0.00050571-0.00043198i,0.0010627+0.00029604i,0.00036496+3.9403e-05i,-0.00077629-0.00047205i,-0.0010354-0.00090447i,-0.00063015-0.00045966i
0.0006131+0.001331i,0.00094105+0.001539i,0.0015237+0.0013223i,0.0018294+0.00019788i,0.0023234-0.0011819i,0.0021345-0.0017733i,0.0010334-7.9792e-05i,-0.00040952+0.0014123i,-0.00059426+0.00063754i,0.00028268-0.00064597i,0.00038543-0.0010266i,0.00033202-0.0005766i,0.00052403-0.00018819i,0.00071871-2.2425e-05i,0.0010475+0.00011569i,0.0013046+0.00012849i,0.0007782-0.00039664i,0.00035433-0.00062592i,0.00030421-0.00017566i,0.00017407+0.00016146i,0.00017695+0.00027601i,-0.00027973-0.00014617i,-0.00084509-0.00074433i
0.00032562-0.00093487i,0.00085504-0.0012865i,0.00091669-0.0010944i,0.00056221-0.00049387i,-0.00022201-8.8656e-05i,-0.00016368+0.00061975i,-0.00036884+0.0012231i,-0.00043175+0.0010894i,0.00015194-0.00039532i,0.00031791-0.0015474i,-0.00034754-0.0004136i,-0.0010671+0.00020351i,-0.0007805+5.883e-06i,-0.000399-0.0004533i,2.2165e-05-6.1843e-05i,0.00032635+0.00067902i,3.9529e-06+0.00074024i,-0.00039258+0.00010642i,1.1437e-05-0.00029795i,-0.00015824+0.00016466i,-0.00084913+0.00043058i,-0.00018916+0.00036752i,0.00051007+0.00037753i
0.0003937-0.001378i,0.00023854-0.00064909i,-0.00023104+0.0007849i,-0.00021306+0.00045594i,0.00046585-0.00014334i,0.00067375+0.00014107i,0.00066675+0.00062566i,0.0012204+0.00061056i,0.001056+0.00026056i,0.00089614-0.00023789i,-0.00018101-0.00032916i,-0.001477-6.8587e-05i,-0.0013089-0.00040047i,-0.00065565-0.00050446i,0.00034847-0.0003557i,0.00065079-0.00028989i,0.00015675-0.00051497i,-0.00067694-0.00026973i,-0.00089912+0.00014375i,-0.00050411+3.0632e-05i,-0.0005271+2.4049e-05i,-0.0009069-0.0004952i,-0.00085972-0.0012316i
-0.00036723+0.00088621i,-0.00073905+0.00080824i,-0.000929+0.00083444i,-0.00040331+0.0014478i,0.00061405+0.0012001i,0.00073189+0.00050881i,0.00069847+0.0010047i,0.00082587+0.0013747i,0.00054319+0.0012796i,9.3916e-05+0.0013984i,-0.00044501+0.0010867i,-0.00084092+0.00026854i,-0.00066675+6.6385e-05i,0.00010581+0.00090734i,0.00048312+0.0011953i,4.7079e-05+0.00096671i,2.7772e-06+0.00031673i,-0.00017729+0.00011267i,-0.00023589-0.00057681i,-0.00024921-0.00050552i,-0.00013485+0.00056528i,-0.00054458+0.00071833i,-0.0013249+0.00022881i
-0.0005487+0.00042216i,-4.2317e-05+0.0010404i,0.00046655+0.0017559i,0.00087455+0.0017351i,0.00077993+0.00084823i,0.00016533-0.00016535i,-0.0001768+3.44e-06i,-0.00018687+0.00020697i,-0.00049569+0.00034088i,0.00012055+0.00057998i,0.00028523+0.00068001i,-0.0004083+0.00043066i,-1.5529e-05+0.00058816i,0.00075753+0.00029452i,0.0010229-0.00012653i,0.00068149+0.0001948i,0.00070386-0.0001322i,0.00034753-0.00050312i,-0.00035061-0.00032347i,9.3673e-05-0.00012338i,0.00056934-0.0003892i,0.00092535-0.00029485i,0.0010539+5.3096e-06i
