0.00095835-0.00036919i,0.00014538-0.00096942i,-0.001743-0.0013871i,-0.0028613-0.0015053i,-0.0027156-0.00019159i,-0.0020312+0.0017066i,-0.0016094+0.0026362i,-0.00071666+0.0025539i,0.00046839+0.0012783i,0.00037761+0.0010697i,0.00030422+0.0009264i,-6.8753e-06-0.0001132i,-0.00056445-0.00042272i,-0.00077415-0.00055463i,-0.00029905-3.4918e-05i,0.00026991+0.00098764i,0.00018785+0.0011697i,0.00023481+0.00044021i,8.2258e-05+0.00037055i,-0.00079632+0.00051231i,-0.0012959-0.00010863i,-0.00092514-0.00057563i,-0.00026547-0.00051373i
0.00058725+8.9643e-05i,-0.0007479-0.00012246i,-0.0019165+0.00056771i,-0.0018003+0.0012775i,-0.00081034+0.0013178i,-0.00071378+0.0010723i,-0.0008403+0.00082046i,-0.00031336+0.00068921i,-0.00091577+0.0017442i,-0.0014016+0.0017667i,-0.00032473+0.00089891i,-0.00025206+0.0004257i,-0.00031103+0.00048498i,0.00047668+0.0010388i,0.00057657+0.00039656i,0.0002178-0.0012861i,0.00071776-0.00066717i,0.00021722+0.00097843i,-0.00078501+0.001456i,-0.00074559+0.0010882i,0.00031988+0.00079087i,0.00074415+0.00088787i,-0.00024985+0.00052805i
0.00014195+0.00062892i,-0.00024245+8.2734e-05i,0.00034557-0.00054023i,3.3904e-05-0.0012347i,-0.00070414-0.00080049i,-0.0011492+0.0004346i,-0.0013617+0.0011336i,-0.00094233+0.001058i,-0.0006012+0.0016801i,-0.00034588+0.0020146i,0.00051886+0.0014834i,0.00050672+0.00050813i,-9.011e-05-0.00034603i,6.1584e-06-0.00019395i,0.00019453-8.1248e-05i,2.035e-05+3.3439e-06i,-0.00011834+8.3871e-05i,-0.00062414+4.8803e-05i,-0.00092533+0.00045537i,-0.00046787+0.00036441i,-0.00026418-0.00036747i,-0.00047557-0.00041066i,-0.0004251+0.00013622i
6.2122e-05+0.0010289i,-2.1063e-05+0.00022218i,-0.00064646-0.00060895i,-0.0012561-0.00080095i,-0.00095273-0.00030951i,-0.0008654+0.00097189i,-0.001175+0.0021965i,-0.00090603+0.0020293i,-0.00084484+0.001579i,-0.00061704+0.001164i,-5.9039e-05+0.00060097i,9.7436e-05+0.00031918i,8.9401e-05-0.0001597i,-7.097e-05+3.5207e-05i,0.00058373+0.00060926i,0.0010332+0.0005047i,0.00068432+0.00038416i,0.0003215+0.00039954i,0.0001567-0.00011412i,0.00039134-0.00012944i,7.3913e-05+0.00061968i,-0.00037701+0.00059818i,-0.00040401+0.0001458i
0.00086418+0.0010552i,0.00025485+0.0014185i,-0.00035227+0.0016437i,-0.00027026+0.0010696i,-0.00069473+0.00071607i,-0.00077948+0.00091629i,-0.00034106+0.0012099i,-2.8307e-05+0.00074784i,-2.4978e-05+0.00087583i,-0.00045208+0.0011438i,-0.00042457+0.00098502i,-0.00047462+0.0010824i,3.572e-05+0.00028683i,0.00034193+0.0003608i,-0.00053845+0.00068681i,-0.00096983+4.0296e-05i,-0.00073808-0.00012495i,-0.00047104+0.0001071i,-0.00057501-6.3187e-06i,-0.00019753+0.00017002i,0.00076353+0.00035527i,0.00045805+0.00039495i,-0.00054418+0.0010488i
0.0021572+0.0013844i,0.0014902+0.0002538i,0.0014447-0.00084008i,0.00042426-0.0010305i,-0.00020011-0.00079418i,-0.00071581+0.00085365i,-0.0010551+0.0024495i,-0.00078122+0.0023054i,-0.00011354+0.0013412i,-0.00030694+0.00097108i,-0.00076571+0.00086598i,-0.0011852+0.00064666i,-0.0018072+0.00010763i,-0.0012301-0.00012939i,0.0003941-0.0002385i,0.00069872-0.00039084i,-0.00014212-4.6505e-05i,-0.0005156+0.00053258i,-0.0009865+0.00090476i,-0.0010258+0.00060132i,-0.00014138-0.00022151i,0.00030072+2.7769e-05i,-7.1354e-05-0.00022785i
0.0014418-0.0018044i,0.0011976-0.0017858i,0.0012086-0.0017147i,0.00017121-0.0011057i,-0.0013134-5.2047e-05i,-0.0023276+0.0012957i,-0.0016829+0.0015209i,-0.001164+0.00095788i,-0.0009645+0.00066999i,-0.0005598+0.00044604i,-0.0011864+0.00039827i,-0.0015937+0.00077268i,-0.0013222+0.0011294i,-0.00075948+0.000395i,-0.0002378-0.0010529i,-0.00050568-0.0011935i,-0.00062653-0.00058136i,-0.00041817-0.00059439i,8.4018e-05+0.00011641i,0.0013615+0.00082951i,0.0011489+3.6882e-05i,0.0002306-0.00061366i,-0.00011489-0.00053879i
0.00010701-3.8995e-05i,-0.00065876-0.00012562i,-0.00078446-0.00088983i,-0.00034067-0.00053486i,-0.00058865+0.00016163i,-0.0013419+0.00046715i,-0.0019553+0.00058112i,-0.0019497+0.00087016i,-0.0019329+0.00116i,-0.0016157+0.00078997i,-0.00091101+0.001348i,-0.0003369+0.001021i,-5.3967e-05+0.00021189i,-3.1758e-05+0.00014631i,-0.00020891+2.2612e-05i,-0.00092468-0.00012552i,-0.00029996-0.00080144i,0.0010482-0.00097758i,0.00023342+0.00019143i,-0.0008056+0.00084945i,-0.00030515+0.00015721i,-0.00017593+0.00018041i,-0.00026206+8.4443e-05i
-0.001629+5.9667e-05i,-0.0021848+0.00074201i,-0.002355+0.00056094i,-0.0028186+0.0011328i,-0.0019929+0.0019235i,-0.0012353+0.001968i,-0.00040623+0.00113i,0.00073675+0.00092572i,0.00087369+0.0014094i,-0.00034781+0.0012742i,-0.00079076+0.0010654i,-0.00021495+0.001034i,2.169e-05-0.00027759i,8.8958e-05-0.0013431i,0.00022115-0.00054337i,0.00037788+0.00031659i,0.00042882+0.00013901i,-8.8224e-05-0.00013933i,-0.00011249-0.00015075i,-0.00028796+0.00022772i,-9.5057e-05+0.00045566i,8.2979e-05+0.00031316i,-0.00068593-0.00018372i
-0.0006998+6.687e-05i,-0.0013035-0.00024198i,-0.0017136-0.00038642i,-0.001433+0.00056001i,-0.0012093+0.0011647i,-0.00076819+0.0013988i,-0.00047758+0.0013468i,-0.00027939+0.00076696i,0.00010678+0.00099583i,-6.904e-05+0.0023557i,-0.00065319+0.0024572i,-0.00047264+0.00066637i,0.00015281-0.00075618i,0.00027172-0.00077676i,0.00026743+0.00025333i,1.5163e-05+0.00047226i,-0.00026643-2.0077e-05i,-0.00040894-0.0002324i,-0.0001388-0.00012066i,0.00039171+0.00041301i,0.00096859+0.00096291i,0.00093123+0.0011369i,0.00033544+0.00056851i
0.0014258+0.00074845i,0.0012253+0.00049996i,0.0022535-7.6607e-05i,0.0017654-0.00032208i,-0.00014028-0.00015184i,-0.00094229+0.0006781i,-0.0012311+0.0013446i,-0.0015247+0.00093701i,-0.0009582+0.00029508i,-0.00053146+0.0003634i,-0.00070992-0.00017405i,-0.001005-0.0010238i,-0.00033449-0.0010153i,-0.0001362-0.0010169i,-0.00024518-0.0010595i,4.2481e-05-0.00054179i,-0.00033985-0.00030241i,-0.00094821+0.00022215i,-0.0013874+0.00089035i,-0.00081473+0.0005048i,0.00053764-0.00016098i,0.0011066-4.919e-05i,-3.2243e-05-0.00018953i
