0.0010308+0.00081039i,0.0015213-0.00094602i,0.0011625-0.0022198i,0.00011458-0.0022173i,-0.0014577-0.0014965i,-0.0021456-0.00015212i,-0.00075595+0.0014056i,0.0011228+0.0017552i,0.0019752+0.00073883i,0.0016927-0.00070452i,0.0012232-0.0012417i,0.00011348-0.00083053i,-3.6035e-05-0.00038015i,0.00028161-0.0006429i,-4.7477e-06-0.00065708i,0.00028172-0.00063897i,0.00012481-0.00065861i,-0.00055168-0.00063669i,-0.00031914+0.00014881i,0.00041453+0.00065824i,0.00097759-1.0159e-05i,0.0010171-0.0007621i,0.0010357-0.00075448i
0.0011387-5.9934e-05i,0.00034954+0.00082665i,-0.00053659+0.0013078i,-0.00018777+0.0012926i,1.0654e-05+0.0012715i,3.0317e-05+0.0011933i,0.0004187+0.0010923i,0.00074498+0.00098652i,0.001419+2.6259e-05i,0.001695-0.0015156i,0.0016323-0.0014056i,0.00081118-0.00046828i,-0.00043765-0.00062482i,-0.00030968-0.0012918i,-0.00037424-0.00088512i,-0.00056714-0.00081377i,0.00032038-0.00071418i,0.00042144-0.00018331i,-0.00032167-0.00011361i,-0.00051192+0.00033257i,-0.00039419+0.0011781i,-0.00053237+0.00058684i,-0.0010769-0.00024899i
-0.00056542+0.0012631i,-0.00052201+0.0013205i,-0.00059775+0.0011607i,-0.00044451+0.00047518i,2.1029e-05+0.0011996i,0.00027822+0.0015583i,0.00010759+0.00091794i,0.00058317+0.00067242i,0.0012347+0.0005406i,0.00082136+8.5828e-05i,-0.00033682-0.00082098i,-0.0002659-0.0010798i,4.8398e-05-0.00040886i,-0.00010037+3.2215e-05i,-5.5637e-06+2.8722e-06i,-1.2642e-05-0.00012011i,8.318e-05+0.00013593i,-0.00049556+0.00036199i,-0.00071126-0.00030326i,-0.00057758+6.0698e-05i,-0.00017505+0.00060813i,0.00054494-6.0555e-05i,0.00089999-0.00053187i
-0.00069759-0.00078451i,-0.00091121+0.0002051i,-0.00055859+0.0013059i,-2.9896e-05+0.0010424i,-4.9084e-05+0.00019668i,-0.00023819-0.00058078i,0.00039853-0.00059794i,0.001084-0.00048863i,0.0014027-0.00034503i,0.0013808-0.00043518i,0.00074131-0.00092405i,0.00028438-0.00040883i,0.0005587+2.714e-05i,0.00073455+0.00015161i,0.00038096+0.00038594i,3.874e-05+0.00011469i,-0.00049788+0.00044563i,-0.00048135+0.00021848i,9.9991e-06-4.3372e-05i,-0.00046649+0.00036951i,-0.0002326+0.00026279i,0.00035078+0.00046993i,-4.6796e-05+0.00085328i
-0.00038505+0.00025064i,0.00062151+0.00013719i,0.00022928+0.00046046i,-0.00027656+0.00075757i,-3.359e-05+0.00077313i,0.00026905+0.00036474i,0.00014408+0.00066054i,0.00044207+0.0012523i,0.00069856+0.00090571i,0.00079983-9.7927e-05i,0.00094383-0.00042207i,0.0012282-0.00015529i,0.00089369+0.00033252i,-0.00021868-0.00016516i,-0.00028153-0.0010338i,0.00042501-0.0007598i,0.0011616+7.8338e-05i,0.0010775+0.00046548i,0.00063845+0.00014484i,0.00071731-0.00024182i,0.00076074+9.0559e-05i,-9.4849e-06+0.00026786i,0.00016875-5.9609e-05i
-0.00015224+0.00062582i,-0.00089109+0.00055441i,-0.00035813-0.00079604i,0.0003954-0.0011987i,0.00015113-0.00034883i,0.00033956+0.00042047i,0.00069199+0.00033629i,0.0015843+0.00017435i,0.0021646-0.00043058i,0.0013544-0.00093894i,0.0010134-0.00055604i,0.00041087-7.2762e-05i,-0.00076769-0.00076855i,-0.0010129-0.00085248i,-0.00025354+0.00017199i,0.00045363+0.00034627i,0.00036267+0.00018838i,0.00013682+0.00046615i,-1.6482e-05+0.00071574i,-0.00042219+0.0006376i,-0.00051604-3.2938e-05i,-0.00040609-0.00042634i,-0.0001001-0.00032794i
-9.0894e-05+5.1385e-05i,0.00070235+0.0010728i,-0.0011067+0.001525i,-0.0018516+0.0015676i,-9.7645e-05+0.0020404i,0.00061286+0.0017453i,0.00028458+0.00084561i,0.00065614+0.00051855i,0.0008196+0.00033388i,0.0015094-6.7845e-06i,0.0018628-0.00057371i,0.0009743-0.00097213i,0.00060747-0.0013564i,0.00050159-0.00077919i,-0.00043599-0.0005371i,-0.00073437-0.0012783i,0.00041606-0.00068867i,0.00040293+0.00047325i,-0.00036132+0.0011225i,-0.00065348+0.0010141i,-0.00069497+0.00062137i,-0.00030671+0.00052751i,0.00018256+3.3253e-05i
-0.00068077+0.00021556i,-0.00073839+0.00068925i,-0.00078311+0.0009309i,-2.9187e-05+0.0011925i,-0.00027786+0.0010968i,-0.00026635+0.00067386i,0.00073721+0.00028021i,0.0012507+8.4519e-06i,0.0017428+0.0001645i,0.0017194+6.0298e-05i,0.0014584-0.00054164i,0.0013371-0.001398i,0.00053267-0.0012014i,0.00084291-0.0007741i,0.0015902-0.00035351i,0.0013401+7.259e-05i,0.00066013+0.0003671i,-0.00013994+0.00016856i,-0.00042593-0.0001582i,7.8199e-05-0.00071579i,-0.00012939-0.0012833i,-4.3151e-05-0.00065686i,0.00039766-0.00013389i
-0.00095107+8.1636e-05i,-0.00037091+0.00020209i,-0.00064904+0.0015709i,-0.0010057+0.0013406i,-0.000954+4.8319e-05i,-3.1665e-05-0.00036469i,0.00098722-0.00034139i,0.0017893-0.00026438i,0.0019606+0.00039118i,0.0013683+0.00024789i,0.00027001-0.00074014i,-0.00050092-0.0016923i,0.00027086-0.0019876i,0.00094684-0.00081299i,0.00035045-0.00022097i,5.9362e-05-0.00012984i,0.00049677-0.0001774i,0.00092759-0.00046294i,0.0011035-0.00012745i,0.00099057+0.00065157i,0.00072102+0.00075186i,0.00012629-0.0001084i,-0.0004621-0.00044777i
-0.00029702-0.00074637i,6.0986e-05-0.00086838i,0.00078908-0.00052293i,0.00038504+0.00047017i,-0.00021379+0.00053318i,-0.00022526-0.00038767i,-0.00018862-0.00083235i,0.00091605-0.0004602i,0.0020194-0.00079708i,0.0015032-0.0014224i,0.00035058-0.0015684i,-3.5547e-05-0.00060361i,0.00051214+0.00081903i,0.0009398+0.00092928i,0.00066588+0.0004008i,-2.007e-05+0.00018429i,0.00079297+0.00022947i,0.0011006+0.00046892i,0.00050407+9.5606e-05i,0.00073138+0.00022885i,0.00058202-4.4904e-05i,0.00061345-0.00059779i,0.00072883-0.0004836i
0.0025474-0.00057554i,0.00089555-0.00079926i,0.00067176-0.00047364i,0.00013714-0.00072053i,-0.00026617-0.00025912i,-0.000877+0.00075269i,-0.0010959+0.0012812i,-0.00022559+0.0011476i,0.00047526+6.3012e-05i,0.00050773-0.00099114i,0.00060405-0.00045772i,0.00026842+7.8325e-05i,0.00074354-0.00040696i,0.0010422-0.00027015i,0.00029493+0.00040024i,-7.611e-05+0.00074067i,0.00040044+0.00063131i,0.00035904+0.00017673i,-0.00024434-0.00025646i,-0.00090989+0.00018391i,-0.00024855+0.00034046i,0.00041269-0.00012031i,-0.00024151-0.00075294i
