-0.0025796+0.0012681i,-0.0018495+0.0017298i,-0.0023614+0.0035016i,-0.0015213+0.0054223i,-0.00073984+0.0059615i,0.00062269+0.0045246i,0.00024431+0.0026707i,-0.0009585+0.0021002i,-0.0007028+0.0022224i,0.00041171+0.0025679i,0.00074887+0.0018958i,0.00011208+0.00050543i,-0.00082298-0.00038461i,-0.00083439-0.0010628i,-0.0005413-0.0011773i,-0.0011484-0.00020216i,-0.001123+0.00056638i,-0.00044796+0.0006778i,-3.6927e-05+9.993e-05i,1.6302e-05+4.9599e-05i,0.00035532+0.00079057i,-3.7871e-05+0.00021006i,-0.00038132-0.00066661i
5.5877e-05+0.00042585i,-7.7705e-05+0.0012528i,-0.00075653+0.00070497i,9.2569e-05+0.00023476i,0.0019455+3.5682e-05i,0.0012126-0.0007105i,6.5286e-05-0.00068184i,-0.00047476-0.00011681i,-0.00055216+0.0003252i,-0.00079826+0.00070782i,-0.0009973+0.00071202i,-0.00048323+0.00061039i,-0.00052779+0.00052883i,-0.00085766+0.00020719i,-0.00017208-0.0002647i,-3.4248e-05-0.00011156i,-0.00089444+0.00028255i,-0.0016812-0.0001356i,-0.0017921-0.00029033i,-0.00080718-0.0010392i,0.00035688-0.0014785i,0.00033807-0.0011235i,-0.00019573-0.0010619i
0.00051834+0.00029451i,-0.00078488-0.00030714i,3.2177e-05-0.00076445i,0.0010479-0.00082933i,0.00076117-0.00053988i,0.00073314+0.00022278i,0.00054156+0.00071073i,0.00044515+0.0010208i,0.00012194+0.0011246i,-0.00015262+0.00047704i,-0.00048557-6.5221e-05i,-0.00033478-0.0004269i,0.00031547-0.00011868i,9.5184e-05+0.00064673i,0.00030283+0.00061903i,0.00039978+0.00042633i,0.00019884+0.00043717i,0.00019015+0.00021198i,-0.00028925+0.00029317i,-0.00033092+0.00056867i,-0.00016353+0.00011188i,-0.00018559-0.00041336i,-0.00027278-0.00049843i
0.00015013-2.3431e-05i,0.00030531+0.00077395i,-0.0010205+0.00087457i,-0.0015528+9.6604e-05i,-0.00072648+0.00014618i,0.00041476+0.00063158i,0.00064046+0.00061486i,0.00035612+7.0161e-05i,-5.9229e-07+3.5428e-05i,0.00034993+4.0584e-05i,0.00062456+7.3945e-05i,0.00022715+0.00026192i,0.00018368+0.0007721i,8.5238e-05+0.0011467i,0.00029478+0.00028473i,0.00032304+0.00036281i,0.00011064+0.0015762i,0.00024195+0.0010453i,0.00011274+0.00062289i,0.00026154+0.00015973i,0.00074232-4.5817e-05i,3.0023e-05+9.8596e-05i,-0.00091641-0.00041856i
0.00046765+4.9457e-05i,0.00031161+0.00039452i,0.00078643-0.0003072i,0.00090977-0.00018247i,-2.0594e-05+0.00085429i,-0.00034123+0.00083229i,3.7775e-05+0.00016211i,-0.00040375+0.0008319i,2.3852e-06+0.0019039i,0.0001999+0.0020714i,0.0001613+0.001429i,0.00043592+0.00081653i,0.00051481+0.00010221i,0.00021114+0.00020483i,-0.00044464+0.00038769i,-0.00065372+0.00016457i,-0.00063895+0.00028379i,-1.4931e-05-0.00024149i,0.00053469-0.0008194i,0.00021957-0.00045415i,-0.0004363-0.00032848i,-0.0005902-0.00077752i,-0.00023085-0.00068217i
-0.00078355-7.627e-05i,-0.00043127+0.0014049i,6.257e-05+0.0013792i,-0.00089982+0.00094584i,-0.0011279+0.00039126i,-0.00028232+0.00032313i,0.00016167+0.00058693i,-0.00022216+0.00071102i,-0.00030406+0.00049832i,0.00054647-3.4249e-05i,-5.392e-05+0.00069501i,-0.00080483+0.00093302i,-5.1399e-06+0.00051115i,0.00047103+0.00072101i,-0.00035794-1.466e-05i,-0.00053413-0.00084014i,0.00033546+0.00011192i,0.00011022+0.001055i,-0.00013991+0.00095723i,-0.00020471+0.0011804i,-1.1075e-05+0.0010817i,0.00066602+0.00032356i,0.00060788-8.3371e-05i
-0.0010616-0.0010523i,-0.00181-0.0007714i,-0.0026882-0.00054732i,-0.0019604+0.00050216i,-0.0015843+0.0009916i,-0.00085908+0.00068253i,5.2613e-06-0.00016163i,-0.00084632-0.0004965i,-0.0015289+9.4577e-06i,-0.00075769+0.00032388i,2.5398e-05+0.0005284i,0.00058391+0.00046198i,0.0014297+0.00076266i,0.0011555+0.0008008i,0.00014967+6.1361e-05i,-0.00039058+2.3215e-05i,-0.00073871+0.0006475i,-0.00080274+0.00039686i,-0.00052301+2.879e-05i,0.00027408-0.00021192i,0.0004856-0.00043666i,-1.5839e-05-0.00041794i,-0.00014937-0.00023431i
0.00095094+0.00052855i,0.0010668+0.00067936i,6.0667e-05+7.9089e-05i,-0.0015559-0.00016845i,-0.0014058+0.00034334i,-0.0011512+0.00091605i,-0.0010168+0.00055627i,-0.00062551+0.00020574i,-0.00049783+0.00025629i,-0.00044489+0.00015375i,-0.00012924+0.00022614i,-0.00040305-2.4348e-05i,-0.00049136-0.00048911i,0.00026465-0.00026391i,-0.00027007-0.00022792i,-0.00093793-0.00039991i,-0.00036787-0.00044869i,-6.3769e-05+5.8016e-05i,-4.4564e-05+0.00065923i,3.6334e-06+0.00056161i,9.952e-05+0.00015637i,0.00028173-0.00032601i,8.9705e-05-0.00019163i
-0.00069299+0.0015695i,-0.00095839+0.0011523i,0.00081986-0.00047804i,0.0015325-0.001242i,0.00087567-0.0010918i,0.0011157-0.00049416i,0.0010109-0.00010268i,-0.00051639-0.00027692i,-0.0012283+0.00026373i,-0.00028998+0.0011i,0.00036001+0.0012494i,4.2786e-05+0.00087038i,-0.00015724+0.0003851i,-0.00013708+0.00056616i,-0.00027026+0.0011756i,-0.00037391+0.00085944i,-0.00061767+5.3267e-05i,-0.0007684-4.1227e-05i,0.00023881-0.00025953i,0.0014165-8.8571e-05i,0.00127+0.00053955i,0.00013782-0.00030638i,-0.00018488-0.00093237i
-0.00021474-0.00028774i,-0.00023271+0.00046972i,-0.0012164+0.00071064i,-0.00085273+0.00028316i,0.00045767+9.6323e-05i,0.00099662+0.00059551i,0.00081794+0.0014316i,0.00081626+0.0013347i,0.0002887+0.00090133i,-0.000298+0.00030078i,-0.0006866+0.00038739i,-0.00091633+0.00083529i,-0.00011208+0.00088415i,0.00040541+0.0010519i,3.2107e-05+0.0010599i,-0.00043141+0.00053427i,-0.00019014+0.00038724i,0.00016438+0.0011511i,-0.00016489+0.0013722i,-0.00041649+0.00062817i,-0.00042937-0.00037554i,-8.6797e-07-0.00072961i,0.00042567-0.00034952i
-0.00045221-0.00083244i,-7.3809e-05-0.00078539i,-0.00079395-0.0005718i,-0.0014475-0.0014553i,-0.001293-0.0019068i,-0.00059961-0.00050973i,0.00016275+0.00010301i,-0.00097917+0.00015087i,-0.0018877+0.00058682i,-0.001122+0.00050775i,-0.00013172+0.00027831i,-5.4684e-05+0.00058052i,1.8141e-05+0.00071324i,0.00056995+0.00082828i,7.9152e-05+0.00070614i,0.0001504+0.00075i,0.00088294+0.0011229i,0.00046886+0.00053573i,-0.00049609+0.00020245i,-0.0011419+0.00051459i,-0.0013603-0.0002115i,-0.00073137-0.00034205i,0.00019118-0.00022951i
0.00024258+0.00011504i,0.0015786+0.00047859i,0.0020027-9.364e-05i,0.00064577+0.00030761i,-3.9951e-05+0.00078364i,0.00077385+0.00033682i,0.00029239+0.00060997i,-0.00029322+0.00049025i,-0.00024557+0.0001641i,-0.00067193+0.00082708i,-0.00074728+0.00053784i,-0.00042999-0.0002489i,-5.9763e-05+0.00043733i,-3.8049e-05+0.0010006i,-0.00063195+0.0001101i,-0.0005947-0.00028093i,-0.00018049+0.00020123i,0.000207+0.00019756i,0.0003172+7.233e-07i,0.00015224+0.00011582i,0.0002498+0.00048324i,0.00023724+0.00023567i,0.000149-0.00015532i
-0.0014771+0.00078359i,-0.00046094+0.0015458i,0.00032923+0.0018617i,4.0528e-05+0.001779i,0.00050021+0.0019189i,0.0016999+0.0012704i,0.0015619+6.322e-05i,-0.0003291+0.00025684i,-0.00085532+0.0015147i,-0.00041125+0.0014346i,-0.0001664+0.00064393i,6.4172e-06+0.00052552i,0.00013393-2.7075e-06i,0.00032516-0.00071435i,-0.00024624-0.0003274i,-0.00070074+0.00023545i,-0.0013259+0.00058807i,-0.0011406+0.00079631i,-9.682e-05+0.00045114i,7.0489e-06+0.0005511i,-0.00022191+0.00019474i,-0.00047505-0.00037913i,-6.0611e-05-0.00017075i
0.00015016+7.4893e-05i,-6.0566e-05+0.00066306i,-0.00057964+4.5567e-05i,-0.0016501-0.00081201i,-0.0020546-0.0010091i,-0.00058492+0.0001546i,0.00023239+0.001084i,-0.00032743+0.00045485i,-0.00099851+3.8815e-05i,-0.000975+0.00075572i,-0.00053065+0.0011852i,0.00016535+0.00089068i,0.00060063+0.00029694i,0.00074986-0.00035875i,0.0011694+0.00017895i,0.00022476+0.00055783i,-0.00053108+0.00051867i,-0.00012444+0.00092496i,0.00012899+0.0011329i,1.0532e-05+0.00052152i,-6.5962e-05-0.0005462i,-0.0008735-0.00045809i,-0.0013945+5.0872e-05i
0.00031723-0.00069489i,1.4438e-05-0.00094374i,0.00066108-0.0011475i,0.000655-0.0012479i,-0.0004371-0.00098431i,-0.00028254-4.2679e-05i,8.0995e-05+0.00066988i,0.000166+0.00093699i,9.3922e-05+0.0012522i,-0.00060534+0.0010533i,-0.0007097+0.00091891i,-0.00060405+0.001099i,-0.00015031+0.00022961i,0.00018773-0.00062638i,-5.4994e-05+0.00018796i,-0.0005339+0.0003888i,-0.00085712-0.00010333i,-0.00032186+8.8388e-05i,0.00049346+0.00063896i,0.00026856+0.00086602i,4.5456e-05+0.00038942i,-0.00029591+0.0007924i,-0.0011987+0.00070669i
