0.00026019+0.00026246i,0.00035825-0.0018429i,0.00051676-0.002881i,-0.00036579-0.0020189i,-0.0014968-5.8389e-05i,-0.0024075+0.001069i,-0.0020934+0.00094856i,-0.0011995+0.001082i,9.1619e-05+0.0011647i,0.0011948-0.00032862i,0.00136-0.0012105i,0.00026999-0.0010302i,-0.00028221-0.00025612i,-0.00043751-0.00030175i,-0.00036329-0.0010497i,-0.00017642-0.00056986i,-1.4108e-05+1.4002e-05i,8.3574e-05+0.00051165i,0.00035162+0.00094575i,0.00052909+0.0002445i,0.00056652-0.00079162i,0.00061128-0.00027733i,0.000238+0.00019381i
0.0008156-0.0019223i,0.00041733-0.0019363i,-0.00020332-0.0040019i,-5.775e-05-0.0035065i,-0.0011169-0.0010862i,-0.0015251+0.00033265i,-0.0011172+0.00051044i,-0.00027806-7.9824e-05i,0.0002375-0.00076263i,2.277e-05-0.00046674i,-0.00016619+2.3218e-05i,0.00017777+0.00015481i,0.00012017-0.00035346i,0.00030908-0.00049156i,6.6361e-05-0.00033248i,0.00018937-0.00056744i,0.00071118-0.0011783i,-0.00025022-0.0010395i,-0.0010132-0.00065228i,-0.00052884-0.00075836i,-0.00048372-0.00044737i,-0.00038954-0.00020288i,0.00026552-0.00033423i
-0.00092076-0.0024198i,2.1491e-06-0.0015826i,-0.00041074-0.0014706i,-0.00036997-0.0010812i,-0.00051565+0.00053955i,-0.00048064+0.00083822i,-0.00026904-9.3621e-05i,-0.0005115-0.0009327i,-0.0006048-0.0003986i,-0.00043109+0.00030766i,-0.00033566+0.00055553i,0.00020204+0.00017181i,0.00048375-0.00044077i,-9.66e-05-0.00022885i,-0.00052134-0.00043165i,-0.00031741-0.00086921i,0.00033627-0.0010394i,0.00013347-0.00089553i,-0.00094532+0.00022303i,-0.00098652+0.0008854i,-0.00089593+0.00013726i,-0.00045223-0.00039831i,-0.00033837-0.00019748i
-0.0012128+0.00039153i,-0.0014245+1.4532e-05i,-0.002109+0.00049211i,-0.00095806+0.0011118i,-0.00012649+0.0014285i,0.00023884+0.0005582i,0.0006802-0.00022625i,-0.00017411-0.00030539i,-0.0005043-0.00094993i,0.00087806-0.0012403i,0.0018649-0.0008319i,0.0017011-0.00059851i,0.0014505-0.00054981i,0.00046643-0.00085329i,-0.00076817-0.00093152i,-0.00094275-0.00095726i,-0.00060003-0.0009699i,4.929e-05-0.00037716i,1.5966e-06-0.00020751i,-0.00071757+0.00020337i,0.00038679+0.00082799i,0.0011944+0.00016854i,0.00084488-3.3766e-05i
0.0017019+0.0011421i,0.0011347-0.0002649i,0.00082721-0.0013657i,0.00016078-0.0023883i,-0.00095276-0.0026524i,-0.00067287-0.0018819i,-0.00041246-0.0014877i,-0.00048321-0.0012329i,-0.00037172-0.00046346i,-0.00058895-4.3592e-05i,-0.00047062+0.00010369i,-0.00036374-0.00024537i,0.00026467-0.00083565i,0.00080708-0.0008305i,0.0009998-0.0011268i,0.00084391-0.0011834i,0.00029116-0.00058602i,-0.00043788-0.00030071i,-0.0003307-0.00039474i,-0.00060502-0.00047258i,-0.00024687+0.00022887i,0.0004508+7.2079e-05i,0.00052797-0.00023777i
-0.0016618+0.00088636i,-0.0016099+0.00092981i,-0.0010795+0.00066128i,-0.00096115+0.00086368i,-0.0010409+0.00043857i,-0.00074103+0.00085346i,-0.00066424+0.00057031i,-0.00034799-0.00018629i,9.3391e-05-0.00042227i,0.00018277-0.0010475i,0.00022262-0.0010595i,-0.00047813-0.0010527i,-0.00090267-0.0015787i,6.1261e-05-0.0012768i,4.3204e-06-0.00046119i,0.00040416+0.00023513i,0.0010266+0.00059127i,0.00066867+7.5368e-05i,3.2484e-05-2.3359e-05i,-0.00072747-0.00018874i,-0.00042666-0.0004761i,0.00040901-0.0001604i,0.00043527-0.00036007i
-0.000561+0.00037091i,-0.00040752+0.00019777i,0.0013777-9.0198e-05i,0.0020473-0.00045524i,0.0014139-0.00082905i,0.00088493-0.00052033i,0.00027875-0.00046173i,0.00068041-0.0006036i,0.00085709-0.0010066i,0.00091865-0.0017693i,0.00084644-0.0014743i,0.00050403-0.00052638i,0.00047815-0.00039185i,5.0805e-06-0.00040242i,-0.00049168-0.00026307i,-0.00067571-0.00072551i,-0.0010453-0.00023422i,-0.00071106+0.0005291i,0.00035013+0.00063688i,0.0002485+0.00013821i,-0.00041634-0.0004137i,-0.00041436+3.3515e-06i,0.00015462+0.00015687i
-0.0019274+4.9773e-05i,-0.0013787+5.9286e-05i,-0.00093676+0.0015968i,-0.0010587+0.0028393i,-0.00039003+0.0017551i,-0.00058702-0.00017868i,-0.0013062-0.00055576i,-0.0011028-0.00035337i,-0.00061831-0.00061442i,-5.3541e-05-0.00033289i,0.00027355-0.00018866i,0.000145-0.00065327i,0.00032002-0.0010145i,0.00060249-0.0013896i,7.1681e-05-0.00091483i,7.1697e-05-0.00035658i,8.4548e-05-0.00060587i,-0.00025161-0.00070855i,-0.00068685+0.00031253i,-0.00044287+0.00047782i,0.00035095-0.0008335i,0.00070927-0.00095712i,0.00089531-0.0012002i
-0.0014363+0.00053542i,-0.00088571+0.0013977i,-0.00013299+0.00089502i,-9.6825e-05+0.00029981i,-0.00063635+5.5309e-05i,-0.00067376-0.00041124i,0.00053341-0.00061055i,0.0012558-0.00043003i,0.00035471-0.00015417i,-0.00033982-0.00028532i,0.00020467-0.00038409i,0.00042897-0.00059946i,-9.9762e-05-0.00061165i,-7.4373e-05-0.00012774i,0.00024642+0.00031936i,-5.8658e-05+0.00029509i,-0.00042388+0.00022026i,-0.00079065-0.0001647i,-0.00062326+0.00021283i,-0.00040017+0.00083603i,-0.0013115+0.0002852i,-0.0015012-0.00079842i,-0.00073469-0.00063741i
0.002196-0.00084528i,0.0011084-0.00083639i,-0.0001608-0.00049077i,-0.00040571-0.00082673i,0.00026458-0.00091907i,-0.00047194-0.00097167i,-0.0016911-0.0011462i,-0.0014278-0.0012461i,-0.00044109-0.00053649i,-0.00022056-0.00011789i,6.1243e-05-0.00091933i,0.0010313-0.00096546i,0.0006203-0.00059205i,-2.0985e-05-0.00078157i,-2.9915e-05-0.00043246i,4.4722e-05-0.00086652i,0.00080031-0.0016453i,0.0004825-0.0011522i,-0.00062223-0.00034178i,-0.00044314+0.00012577i,0.00014147+0.00012944i,0.00049104-0.00033584i,0.00039766-0.00066519i
-0.000444+0.0024046i,-0.00042691+0.002445i,0.00070471+0.0015679i,0.0015255+0.0012833i,0.0016452+0.00074663i,0.00074496+0.0002115i,-0.00011873-0.00019846i,0.00022293+0.00021797i,0.00023232+0.00052193i,-0.00023928-0.00090442i,-0.00075553-0.0019945i,-0.0010461-0.0018217i,-0.00059128-0.00090008i,-0.0001448-0.00085194i,-0.00044071-0.00083747i,-0.00072855-0.00028802i,-0.00112-0.00015921i,-0.00081711+0.00043472i,-5.0611e-05+0.0010667i,-0.00070357+0.00029177i,-0.00059544-0.00028468i,-0.00023284+0.00018448i,0.00012832+0.00046942i
