0.00073439-5.8267e-05i,0.00093545-0.00087142i,-0.00029303-0.002174i,-0.0010624-0.0026538i,-0.001724-0.0011005i,-0.0021806+0.00037364i,-0.00089395+0.0011208i,0.00083025+0.0013062i,0.0017001+0.00068249i,0.00142-4.8974e-05i,0.00045096-0.00021642i,-0.00047703-0.00045046i,-0.00067109-0.00057191i,-0.0002843-8.4225e-05i,-0.00035615-5.6209e-05i,-0.00034303-0.00043876i,-8.8906e-05+1.9973e-05i,0.00024487+0.00071322i,0.00048022+0.00055914i,0.00068568-6.1035e-05i,0.0011765+7.2284e-05i,0.00059348-0.0003369i,-0.00039251-0.00090396i
-0.00042714+0.0024465i,-0.00031755+0.0016008i,-0.00044682+0.0018855i,-0.00016007+0.0016924i,0.00062388+0.0010035i,0.00033141+5.5985e-05i,-0.0010037-0.00069035i,-0.0016209-0.001433i,-0.00099924-0.0014851i,0.00038599-0.00061239i,0.00061405+0.00013216i,0.00078983+0.00035412i,0.00086073+0.0010401i,0.00058937+0.0012764i,0.00072387+0.00059645i,0.00060979+3.2404e-05i,0.00047676+0.00023899i,0.00057537+0.00047659i,-3.6169e-05+0.00040348i,-0.00025688+0.00034695i,0.00024674+0.00092039i,-0.0002369+0.0012515i,-0.00035524+0.00095843i
-0.0009407+0.001244i,-0.00095389+0.00082158i,-0.001465+0.0011169i,-0.0010062+0.0010464i,0.00029488+0.00059036i,0.0012683-0.00055059i,0.0010664-0.0004884i,0.00074446-8.262e-05i,0.00040868-0.00023068i,-0.00014992-0.00049383i,-0.0010349+9.669e-05i,-0.0010733+0.00082392i,-0.00070443+0.00059967i,-0.00056295+0.00026328i,-0.00061374+0.0006986i,-0.00045791+0.00079092i,-0.00031925+0.0012708i,-0.00052654+0.0016857i,-0.00037683+0.00043938i,0.00055503-0.00075443i,0.0010962-0.00015272i,0.001079+0.0008278i,0.00035959+0.00067889i
0.00081492+2.4284e-05i,0.00094535-0.000615i,0.00043739-0.0011358i,-0.00088062-0.0011767i,-0.0010586-0.00068793i,-0.00053533+0.00023853i,-0.00024826-0.0002999i,-0.00014506-0.0016467i,-0.00016238-0.0013712i,-9.1806e-05+0.00022362i,-0.00029427+0.0011037i,-0.00032906+0.00081317i,0.00017173+0.00083401i,0.00045757+0.0011461i,0.00073297+0.0012041i,0.0011568+0.00086601i,0.0006056+0.00085881i,-7.025e-05+0.00079678i,0.00051872+0.00057092i,0.00084873-5.7422e-05i,0.00055571-0.00019431i,0.00028106+4.5849e-05i,0.000121+0.00023718i
-0.0017097-0.00082202i,-0.00045777-0.0010362i,-7.0744e-05-0.00080714i,-0.00035565+2.5255e-05i,-0.00086048-0.00038357i,1.3912e-05-0.0012024i,0.00080628-0.00096278i,-0.00031555-0.00089443i,-0.0014934-0.0014892i,-0.0011273-0.0014402i,-0.0003148-0.00058091i,-0.00076788+7.1873e-05i,-0.0012216+0.00022027i,-0.00064187+0.00010041i,-0.00017065+0.00034333i,-0.00049612+0.00013494i,-0.0008996-0.00015769i,-0.0011404+0.00049493i,-0.00087926+0.00053625i,-0.00010837+0.00013062i,1.4025e-05-0.0002172i,-0.00045635-0.00088394i,-0.00055849-0.00081402i
0.00042934-0.0022253i,0.0010174-0.0011775i,0.00060314-0.0010773i,0.00016863-0.00079047i,-0.00049955-0.00019955i,-0.00089418-2.7399e-05i,3.2322e-05+6.6241e-05i,0.00016131+0.00018628i,-0.00069015-0.00020005i,-0.00082285-0.0001108i,-3.5042e-05+0.00059743i,0.00035528+0.0013003i,0.00017784+0.0014483i,0.00021288+0.0010919i,0.00019903+0.00055839i,-0.00018107+0.00048925i,-0.00066178+0.00098225i,-0.00033039+0.00097755i,-2.5003e-05+0.00019546i,0.00010821-0.00047096i,5.7928e-05-0.00048544i,2.1343e-05-0.00049341i,7.9793e-05-8.5902e-05i
-0.00061326+0.00045823i,-0.0003008+0.0019027i,0.00023689+0.0023813i,9.4086e-05+0.00094801i,0.00013423+0.00072802i,0.00072093+0.00035319i,0.00074216+2.8936e-05i,0.00048339-0.00036606i,0.00031889-0.00043885i,-0.00053532+0.00038926i,-0.00089246+0.00023746i,-0.00046645-0.00044922i,-0.00047453-0.00036234i,-0.00046978+0.00056926i,-0.00021331+0.00080081i,-0.00038648+0.00040974i,-0.00057643-8.8969e-05i,0.00034339+0.00032924i,0.0017748+0.0012012i,0.0020748+0.001205i,0.0015402+0.0010935i,0.00090754+0.00078402i,-0.00028408+0.00059624i
0.0014022+0.0010848i,0.0013933+0.00039622i,0.0019675+1.9748e-05i,0.00075933-0.00018906i,-0.0010649-0.00061142i,-0.0015384-0.00062838i,-0.00094746-0.00074154i,-0.00061758-0.00091339i,-0.00042035-0.0007997i,-0.0010962-0.00019354i,-0.0013401+0.00028321i,-0.00045986+0.00013873i,-0.0004556+0.00069903i,-0.00045152+0.0011081i,0.00036124+0.0014242i,0.00085532+0.0017146i,0.00069017+0.0015142i,0.00023584+0.0014198i,-3.1634e-05+0.00060457i,0.00050978-9.6676e-05i,0.0010041+0.00045175i,0.00092115+0.00082548i,0.00076687+0.00052404i
-0.00027955+0.0016673i,-0.00068936+0.0023683i,-6.9029e-05+0.0017897i,0.001111+0.0010644i,0.000869-0.00025618i,-0.000407-0.00048756i,-0.0010461-0.00091104i,-0.0004679-0.0010635i,-0.000153-0.00070945i,-0.00035697-0.0011381i,-0.0006957-0.0010154i,-0.00033702-0.0003902i,0.00018832+0.00025743i,-0.00042327+0.00093443i,-0.0012434+0.0013281i,-0.0010742+0.0012669i,-0.00063808+0.0017886i,-0.00023835+0.0019333i,0.00034201+0.0011569i,0.00070908+0.00034399i,0.00086102-4.2463e-05i,0.0011483-0.00059001i,0.0011499-0.00030436i
0.0016447+0.0010906i,0.0019282+0.0015094i,0.0023721+0.0020355i,0.0029536+0.0011406i,0.0019544-0.00039647i,0.0010569-0.0015644i,0.0010813-0.0014433i,0.00056163-0.0007782i,-0.00023671-0.00017935i,-0.00038213-0.00031878i,-0.000178-0.00031838i,0.0002411+0.00017444i,0.00054684+0.00083796i,-0.00012934+0.0014784i,-0.00032095+0.001677i,-8.1823e-05+0.001821i,0.00036855+0.0015231i,0.0002223+0.00077805i,-0.00043451+0.00061805i,-0.0007725+0.00045094i,-0.00074792+0.00025735i,-0.0011701+0.00030409i,-0.0013453+0.00018506i
-0.0019948+0.00018648i,-0.0014687-0.00079671i,-0.0005462-0.0011371i,4.7096e-05-0.00040086i,0.00073186+0.00054632i,0.0013221+0.00038346i,0.00066279-0.0007902i,-5.4125e-05-0.0012461i,-0.00024914-0.0010387i,3.5094e-05-0.00064696i,-8.396e-05+0.00047792i,-0.00014638+0.00073606i,-0.00014192+0.00033286i,-0.00020627+0.000621i,-0.00037022+0.0011438i,-0.000683+0.0012294i,-0.00062877+0.0014153i,-0.00051245+0.0016449i,-0.00060187+0.00076577i,-0.00079663-9.1184e-05i,-0.00057855-0.00034488i,0.00019296+0.00022211i,0.00049401+0.0013357i
-3.5209e-05-0.0016683i,-0.00012208-0.0012098i,-0.0011824-0.0012996i,-0.0014608-0.00022378i,-0.00057195+0.001064i,-0.00042607+0.00069185i,-0.00029884+0.00077108i,-0.00020929+0.00067341i,-0.0010114+3.2522e-05i,-0.0013334+0.00043136i,-0.00074407+0.0011731i,-0.00035825+0.00075642i,0.00035492+0.00056266i,0.0011395+0.00041857i,0.0012408+0.00011063i,0.00047146+0.00062619i,-0.00016025+0.0010523i,0.00031136+0.00081356i,0.00060168+0.00024594i,1.7107e-05+6.9304e-05i,0.00015329-0.00024425i,-0.00012739+7.2402e-06i,-0.00071547+0.00057558i
0.0015715-0.0013727i,0.002141-0.0018663i,0.0007647-0.0015963i,-0.0013373-0.001783i,-0.00094607-0.0011832i,0.00034368+0.00078565i,0.00074545+0.0013506i,0.00072399+0.00079555i,0.00074356+0.00023987i,0.0002065+0.00016926i,-0.00013024+0.00073973i,-0.0002453+0.0013693i,0.00026276+0.0013555i,0.00065514+0.0010133i,0.00024833+0.00054062i,-0.00021966+0.00034157i,0.00026061+0.00060519i,0.00077862+0.00043919i,0.00042547+9.7105e-06i,0.00085406-0.00081602i,0.0015949-0.00054692i,0.00096124+0.00023598i,-0.00053689-0.0003519i
0.0019973+0.0011741i,0.0020805+0.0008302i,0.0034042+7.8238e-05i,0.0026048-0.0012439i,0.0010459-0.0015072i,-0.00025112+0.00037485i,-0.00030072+0.0011927i,0.0001101+0.00032674i,0.00022556-8.501e-05i,0.00048505+0.00022218i,0.00019785+0.00039778i,-8.5093e-06+0.00083594i,-0.0001688+0.0014683i,-0.00015993+0.0016107i,-0.00023338+0.0012236i,2.6076e-05+0.00044812i,0.00074955+0.00052014i,0.0009405+0.00082775i,0.00090082+0.00073536i,0.00079816+0.00045409i,0.00022654+0.00076203i,-0.00044423+0.00059849i,-0.00049593+3.6347e-06i
-0.00070268-0.00066723i,-0.00051765-0.00058378i,-0.0010426-0.00071552i,-0.00081885-0.00051894i,-0.0005427+0.00033275i,-0.00014217+0.00060094i,7.7761e-05-0.00031132i,-0.00019543-0.00067308i,-9.6962e-05-0.00069816i,-0.00045395-0.00077143i,-0.00052815-0.0007072i,-0.0009799+0.00015756i,-0.00083019+0.0005672i,3.0906e-05+0.0006559i,0.00056116+0.00091039i,0.0009163+0.0012196i,0.00013434+0.0016094i,-0.00047805+0.0011107i,-0.0005127+0.00038585i,-0.00018345-0.00022434i,0.00038146-0.0010827i,0.00059625-0.0010784i,4.0875e-05-0.00067062i
0.0014683+0.0011089i,0.0010017+0.0023027i,0.00065185+0.0012273i,0.00096831-0.00016414i,0.00040685-0.00064345i,-3.9659e-05-0.0015462i,-0.0002296-0.0022093i,-0.00049324-0.0022061i,-0.00044076-0.0011068i,-0.00057317-0.00056049i,-0.0006253-0.00015313i,-0.00090782+0.0007375i,-0.00080558+0.0012396i,-0.00030948+0.0010725i,-0.00018796+0.00081868i,-0.00012481+0.00090615i,0.00038578+0.00079974i,0.0005077+0.00096753i,0.00085685+0.0011729i,0.00097864+0.0008258i,0.00076238+0.0004195i,0.00067199-4.961e-05i,9.4485e-05-0.00035147i
-0.00057517-6.35e-05i,-0.00038002+8.162e-05i,-0.00018009+0.00045365i,0.00034321+0.00098929i,0.0004866+0.0010808i,0.0006683-0.00056405i,0.00043185-0.0012886i,3.1326e-05-0.0011959i,0.00013892-0.00087866i,0.00039408-0.00025181i,0.00014465-0.00050571i,-0.00050455-0.000534i,-7.5084e-05+0.00031476i,0.00039674+0.0008386i,0.00038115+0.0008085i,-3.4365e-05+0.0006686i,-2.708e-05+0.000622i,0.0007778+0.00094339i,0.0014898+0.00038093i,0.0016313-0.00067202i,0.00024695-0.00057576i,-0.00029381+0.00011417i,-0.00011709+0.00022077i
