-0.0018581+0.0012234i,-0.0038601-0.00044845i,-0.0044183-0.00015218i,-0.0037583+0.00075176i,-0.003364+0.0017291i,-0.0020799+0.0028987i,-0.00059577+0.0025781i,0.00069998+0.0017147i,0.0015887+0.0013284i,0.0015464+0.00071075i,0.0013586+1.6423e-05i,0.00098304-0.00042819i,3.3579e-05-0.00080355i,-0.00033103-0.00080467i,-0.00032359-0.00019079i,0.00047993+0.00081336i,0.00091033+0.0009718i,0.00048562+0.00021426i,-8.7843e-05+0.00012884i,-0.00020138-3.9219e-06i,-8.3667e-05+0.00017124i,-0.00075258+0.00043872i,-0.00059639-8.1378e-06i
-0.00051362-0.0010822i,-0.00079685+7.2709e-05i,-0.0024224+0.00046617i,-0.0025842+0.0016226i,-0.0018885+0.0029829i,-0.0015837+0.0027354i,-0.00039304+0.0017218i,0.00057691+0.00045446i,4.4842e-05-0.0011286i,-0.00046544-0.0013958i,0.00040035-0.00080679i,0.0012334-0.00011628i,3.3553e-06+0.00028489i,-0.0010067+0.00063294i,-0.00029497+0.0010456i,0.00045484+0.0011662i,0.00060021+0.0011026i,0.0010785+0.00040592i,0.0014213+0.00049127i,0.00087098+0.00055459i,0.00040554+0.00033448i,-0.00021692+0.00047681i,-0.00026377+0.00082931i
0.00020313-0.0011199i,-4.4756e-05-0.0017122i,-0.00032294-0.0015323i,-0.0017808-0.00032298i,-0.0029493+0.00096631i,-0.0023828+0.0012639i,-0.00080557+0.00065366i,0.00018762+0.00023841i,0.00038022-0.00013315i,0.00030272-0.00068632i,0.0003858-0.00055044i,0.00043237+0.00012734i,-4.6435e-06+0.0004028i,-0.00050684-0.00044216i,-0.00033449-0.00044074i,2.1293e-05+8.1297e-05i,0.00061052+0.00036179i,-0.00011861+0.00078521i,-0.00046004+0.00074616i,0.00050825+0.00062805i,0.00073497+0.00047385i,3.7875e-05-0.00035652i,-5.1963e-06-0.00078674i
-0.00035685-0.00045799i,-0.00090005+0.00074163i,-0.001522+0.0013877i,-0.001011+0.0013862i,-0.00041119+0.00094915i,3.5703e-05+0.00078404i,0.00028752+0.0010433i,0.0005375+0.0003589i,0.00030386-0.001025i,0.00039294-0.0010933i,0.0014488-7.5692e-05i,0.0011045+0.00036543i,0.00062581+0.00030183i,0.00073821-0.00018123i,9.8716e-05-0.00014167i,-0.00032143+0.0004563i,-8.3496e-06+0.0003994i,0.00019567+0.00026097i,0.00010016+9.5845e-05i,-0.0001378+0.00067663i,-0.00062019+0.00078112i,-0.00064757-0.00012557i,-0.00022641-0.0005125i
-0.0006753+0.00060809i,-0.0022117+0.0013664i,-0.0027098+0.0016682i,-0.0025616+0.0021626i,-0.0024564+0.0024053i,-0.0018535+0.0014011i,-0.00095656+0.00068735i,-0.00044448+0.00018545i,0.00021087-0.00049909i,0.00041826-0.00091604i,-7.6303e-05-0.0013209i,-0.00020286-0.0011779i,-0.0002285+0.00049152i,-0.00041247+0.0013469i,0.00031612+0.00045539i,0.0007892+0.00018818i,0.00054887+0.0005783i,0.00056772+0.00018849i,0.00059226+7.7013e-05i,0.00017466+0.00045075i,3.0827e-05+0.00017807i,-0.00013858+0.00051526i,-0.00022561+0.00069008i
0.00095658-0.0019379i,0.00042345-0.0025941i,-0.00073715-0.0026892i,-0.0018485-0.00066385i,-0.0018025+0.0013641i,-0.00088209+0.0010507i,-0.00019816+0.00069795i,0.00024613+0.00029812i,0.00017665+0.00024492i,-0.00010909-7.3466e-05i,-0.00048511-0.00033693i,-0.00041973-0.00022208i,-0.00018086-7.1696e-05i,0.00039601-8.7293e-05i,0.00035619-0.00018341i,0.00040736+0.00048173i,0.00023383+0.00078689i,0.00010529+0.00022076i,0.00029557+5.998e-05i,0.00027556+0.00058169i,0.00011155+0.00085407i,-0.00010058+0.00015194i,-0.00051377-0.00042487i
-0.00041406-0.0012864i,0.00027433-0.00030585i,0.00054126+0.00064006i,-0.00030154+0.0016072i,-0.0012423+0.0025836i,-0.00064513+0.0024107i,0.00014944+0.0013182i,0.00027764+0.00035826i,0.00028764+0.00011205i,0.00048959-6.6956e-05i,0.00078456-0.00015614i,0.00027257-0.00084713i,-0.0007529-0.0011033i,-0.0013265-0.00039281i,-0.0010939+0.00043632i,0.00011565+0.00040608i,0.00067675-3.3053e-05i,0.0007267+0.00046298i,0.0009298+0.00082349i,0.00032643+0.0006927i,-0.00015354+0.000295i,-0.00050551+0.00013458i,-0.00032198+0.00020666i
-0.00063407+0.00090313i,-0.00089523+0.0011218i,-0.0018027+0.00061764i,-0.0015+0.0002639i,-0.00094026-0.000295i,-0.00052377-0.00050633i,-0.00057959+0.0003067i,0.0001908+0.00033207i,0.0013915-0.00011196i,0.0010919-0.00029563i,2.8003e-05-0.00055028i,-0.00036549-0.00029544i,-0.0005832+0.00020543i,-0.00069848+0.00056046i,-8.7043e-05+0.00064442i,0.00059899+0.00040302i,0.00085195+0.0010732i,0.00095247+0.0013855i,0.00063424+0.00092463i,0.00041165+0.00035557i,0.00048344+0.00019108i,0.00010006-0.00024313i,0.00028751-0.00071482i
-0.0012925-0.00011229i,-0.0011041-0.00015481i,-0.00034209-0.00019467i,-0.0013937+0.00084807i,-0.0015707+0.0022164i,-0.00073305+0.0023585i,1.4903e-05+0.0018973i,0.00053601+0.0010256i,0.00059366-7.6773e-05i,1.8445e-05-6.623e-05i,-0.00044508+2.0513e-05i,1.6987e-05+5.2585e-05i,0.00027746+0.000572i,0.0003836+0.00044407i,0.00030113+0.00041212i,0.00011998+0.0001873i,0.00079693+0.00037423i,0.00089684+0.00049069i,0.0005338+0.00037154i,5.5485e-05+0.00042639i,8.7252e-05+0.00020522i,0.00059444-0.00031646i,0.00020802-0.0010255i
-0.00057026-0.0015614i,-0.00044714-0.0015143i,-0.0018548-0.00040224i,-0.0025795+0.0014376i,-0.0027462+0.0028837i,-0.0014677+0.0018984i,0.00023172+0.00018782i,0.00094611-0.00031524i,6.4107e-05+6.6819e-05i,-0.00022926+0.00056229i,0.00016876+0.00053892i,0.00018159+0.00018937i,-0.00029807-0.0001929i,-0.00010085-0.00026482i,0.0005061-0.00018356i,0.00099667-1.0959e-05i,0.0011544+0.00019474i,0.00011708-0.00035581i,-0.00079725-0.0001013i,-0.00031042+0.00026867i,0.00080404+0.00053792i,0.00094509+0.00039081i,0.0002993+0.00026379i
-0.00057865+0.00063765i,0.00010797+0.0012331i,0.00017041+0.0020976i,-0.00082597+0.0027986i,-0.0011632+0.0026201i,-0.00043998+0.0017943i,0.00083306+0.00024129i,0.0016805-0.00043558i,0.001569-0.0001716i,0.00054074-3.6229e-05i,-6.275e-06-0.00046087i,-0.00061614-0.0002553i,-0.00092443+0.00016725i,-0.0011896+0.00054511i,-0.0010454+0.00036703i,-0.00030787+0.00014755i,-0.0001993+0.00089512i,0.00024176+0.0010145i,0.00099416+0.00070902i,0.0010861+0.00079974i,0.00037241+0.00062402i,-0.00027588-0.00041615i,-0.00054362-0.00063217i
