-0.00070915+0.0016439i,-0.0020885+0.0009971i,-0.0037504+0.0010126i,-0.0026323+0.0010805i,-0.0016417+0.00038905i,-0.001827+0.00050277i,-0.00065423+0.00068937i,0.00025209+0.0012019i,0.00017051+0.0012191i,0.00080811-8.2895e-05i,0.0012044-0.00083569i,0.00023467-0.0010723i,-0.00016438-0.0005592i,-1.1864e-05+0.00018659i,0.00053416-0.00022729i,0.00045635+0.00038593i,-0.00019435+0.0014301i,-0.00022413+0.00088743i,-0.0002282+0.00023321i,0.00061124-7.9041e-05i,0.0005574-0.00062544i,-0.00039448-0.00081596i,-5.3974e-05-0.00019813i
0.0015453+0.0001925i,0.0010925-0.00099927i,0.001905-0.0012997i,0.0019505-0.00090061i,0.0014002-0.00035385i,0.0002017+0.00041381i,-0.00024703+0.00080027i,0.00054383+0.00046566i,0.00073203-0.00012035i,0.00038888-9.4752e-05i,2.0499e-05-0.00011855i,3.9548e-05+0.00036055i,-0.0003192+0.0011116i,-0.00013067+0.0010601i,0.00032338+0.00064608i,0.0004447+0.00060736i,0.00057555+0.00068596i,0.00012449+0.0004431i,-0.00056193-0.00032246i,-0.00017241-0.00065157i,0.00033714-0.0004698i,-2.4783e-05-0.00070888i,0.00020898-0.00058002i
0.00010931-0.00044189i,0.00091163-0.00022175i,0.000181-0.00048878i,-0.0003682+7.6386e-05i,0.00024035+0.00082183i,0.0008555+0.0011484i,0.00049298+0.00046095i,-0.00033172-0.00065689i,-0.00012562-0.0007668i,-5.5121e-05-0.00016882i,5.1359e-05+5.0801e-05i,-4.0721e-05-0.0003666i,-0.00058074-0.00044302i,-0.00049675-0.00015868i,-0.0004259-0.00092444i,-0.00031133-0.0010531i,0.00022794-0.00044393i,0.00061864-4.6844e-05i,0.00034652-8.3373e-05i,-0.00015083+0.00014556i,0.00034814+0.00011528i,0.00082166-0.00032864i,0.00065822+0.00015519i
0.0012317+0.00021149i,0.0008873-0.00056185i,0.00081963-0.00077926i,-0.00025568-0.00089861i,-0.00072734-0.00094798i,-0.00032989-0.0005282i,9.9164e-05+5.4673e-05i,6.8268e-05-0.00021971i,-0.00052703-0.00075236i,-0.00019979-0.00095597i,-0.00013302-0.00042427i,-0.0010864+0.00021929i,-0.0005378-8.8836e-05i,0.00027876-0.00033009i,0.00036006-0.00029604i,3.1098e-05-0.00076686i,-0.00017378-0.00085888i,-0.0001059-0.00027983i,2.21e-05-7.8012e-05i,-0.00063199-0.00068918i,-0.00062075-0.00066787i,0.00016831-0.00030099i,0.00035483+0.00017171i
-0.0014311+4.9863e-05i,-0.0014235+0.00021274i,-0.00071251+0.00073795i,1.0203e-06+0.00083187i,0.00048017+0.0011655i,0.0008584+0.00073997i,0.00092123-0.00028571i,0.00089682-0.00067731i,0.00049934+0.0001383i,0.00017211+0.00066586i,-0.00063872+0.00041105i,-0.0012685-0.00042603i,-0.00051134-0.00015414i,-5.672e-05+0.00070293i,-0.00043487+0.00070041i,-0.00074654+0.0007724i,-0.00056899+0.00040679i,-0.00052349-0.00067111i,-0.0006682-0.00092866i,0.00048758-0.00018919i,0.0004829+0.00041915i,-0.00045357-0.00020075i,-1.5387e-05-0.00040495i
0.00011116-0.00026257i,0.0011096-0.00040322i,0.0011823+0.00050488i,1.7598e-05+0.0023803i,-0.00065264+0.0025926i,0.00025486+0.0013618i,0.00097079+0.0002755i,-1.0768e-05-9.1402e-05i,-0.00012266-0.00044088i,0.00046855+0.00019526i,0.00047988+0.0014169i,-8.69e-05+0.00075609i,-0.00037031+6.3895e-06i,-5.4347e-05+8.7974e-05i,0.00046968+5.906e-06i,0.00059868-6.4548e-05i,1.6502e-05-1.6512e-05i,0.00057693-0.00020223i,0.0014182-0.00030262i,0.0014282-0.00034019i,0.0010365-4.6085e-06i,0.00095687+0.00049383i,0.0004359-0.00035372i
0.0008154+0.0012587i,0.00090862+0.00026375i,0.00074383+0.00069453i,0.00053755+0.0013106i,-0.00013971+0.0018634i,0.00017214+0.00095431i,6.1228e-05-0.0012725i,-0.00047558-0.0012524i,-0.00033293+0.00078162i,-0.00059933+0.0013237i,-0.00057718+0.00036129i,-0.00042482+8.1148e-05i,-0.00029171-0.00039894i,0.0001151-0.0012369i,0.00048697-0.0015359i,0.00084709-0.0011782i,0.00022964-0.0013139i,-0.00058607-0.0017255i,-0.00020449-0.00088473i,-5.4486e-05+9.8757e-05i,-0.00011655+0.0002473i,-7.0625e-06+0.00086164i,0.00012996+0.0012873i
-0.0003961+0.0031097i,-0.0002593+0.001829i,0.0011379-7.4276e-05i,0.00056575+9.3471e-05i,-0.0003671+0.00023297i,0.00026729+0.00023338i,0.0010177+0.00066051i,0.00050363+0.00047306i,-0.00046-0.00022206i,-7.0499e-05-0.0005235i,0.00069315-0.00030014i,0.00026854+3.1294e-05i,0.00049813+0.00039906i,0.001068+0.00050928i,0.00025956+0.0006078i,5.3801e-05+0.00063997i,-5.5758e-06+0.0010394i,-0.00049814+0.0012045i,-0.00060201+0.00036137i,-0.00046497-2.3306e-05i,-0.00037288-9.4984e-05i,-0.00036222+1.4482e-05i,0.00051653+0.00027701i
-0.00083854+0.0046285i,0.00066191+0.0045647i,0.0040376+0.0036178i,0.0047874+0.0022735i,0.0044352+0.00063278i,0.003143-0.00018655i,0.0015429-0.00039376i,0.00050392-0.00022591i,0.00040884+0.00046461i,0.0016346+0.00014467i,0.0011175-0.0012934i,8.0546e-05-0.0010138i,0.00012701-0.0002386i,0.00086611-0.00017166i,0.00080655-4.1211e-05i,-0.00018155+0.00068118i,-6.7198e-05+0.00037142i,0.00064644-0.00073559i,0.0010095-0.0002566i,0.0010341+0.0004244i,0.0010453+0.00050257i,0.00049486+0.00049169i,9.8222e-05-0.00026008i
0.0024042+9.5574e-05i,0.0017264-0.00074273i,0.001014-0.001657i,0.00082581-0.0017576i,-0.00020318-0.00075484i,-0.00094033-0.000188i,-0.00024269+0.00018194i,0.00010496+0.00056481i,-8.0529e-05+0.00030406i,-0.00010978-0.00074721i,0.00040413-0.00073286i,0.00030357+5.1378e-05i,-0.00013231+0.00047179i,0.00038328+0.00085105i,0.0010605+0.00092199i,0.00070687-0.00015854i,0.00042965-0.0007504i,0.00066599-0.0010917i,0.00063596-0.00079567i,0.0004647+0.00019327i,0.00079392+0.0003003i,0.00079685-0.00026497i,0.00055832+9.6117e-05i
0.00056765+0.0011716i,0.00043994+0.0017135i,0.001174+0.0022736i,0.0016684+0.00252i,0.0010865+0.0015413i,0.0010484+0.00057286i,0.0011539+0.00054484i,0.00097662+0.00033549i,0.00059929+0.00094248i,0.00058967+0.00088108i,0.00056122+0.00034898i,-5.3026e-07-0.00011514i,-0.00051568-0.00021763i,-0.00051022+2.6175e-05i,0.00013697+0.00038884i,0.00047335+0.00079473i,-4.2853e-05+0.00069745i,-0.00085928+0.00031858i,-0.00086084-0.00014265i,-0.00014729+3.5916e-05i,0.00041441+0.00052371i,0.00066235-1.0574e-05i,0.00020046-0.00041742i
-0.00090964+0.0013619i,-0.0011659+0.00052266i,-0.001034+0.00019615i,-0.0009369+5.9404e-05i,-0.00068666-0.00043287i,-0.0002514-6.7859e-05i,-0.00019859+2.3174e-05i,0.00094298-0.0001815i,0.0010783-7.5926e-05i,8.5812e-05+0.00017454i,-0.00031153+0.00018228i,7.6925e-05+0.00050145i,1.5203e-06+0.00019145i,0.00012734-0.00031323i,1.3922e-05-0.00043489i,-0.00041519+0.00011498i,0.00015219+0.00056124i,0.0005963-0.00049651i,0.00025789-0.00036449i,-0.00014642+0.00070585i,0.00014755+0.00022203i,0.00026246-0.0005713i,-0.00011373-0.00093619i
0.00048812-1.6897e-05i,0.00014779-0.00074777i,0.00079165-0.00081901i,0.0011103-3.0357e-05i,0.00088666+0.00068831i,0.00066671+0.00036666i,0.00098461-0.00035581i,0.00014435+0.00033075i,-0.00059974+0.0010108i,0.00026682+0.00078545i,0.00033247+0.00058652i,-0.00017627+0.00064112i,-0.00076551+5.508e-05i,-0.00089088-0.00088787i,-0.00012476-0.00078491i,0.00032425+3.9527e-05i,3.3844e-05-7.137e-05i,2.5173e-05-0.00042195i,0.00015607+0.00063375i,6.5413e-05+0.00022892i,-0.00012035-0.00063483i,-0.00038734-0.00060923i,-0.00036501-0.00036186i
0.0015801-0.00074522i,0.000574-0.0011969i,-0.00049838-0.0017355i,-0.0013248-0.0015195i,-0.0023547-0.00083421i,-0.0017878-0.0002035i,-0.0004741+0.00081668i,1.1339e-05+0.00097787i,0.00041423+0.00036408i,0.00029606+0.00052903i,0.00010634+0.0005217i,9.4563e-05+0.00024542i,0.00034492-0.00032857i,0.0006404-0.00082499i,0.000784-0.00062247i,0.00016619-0.00068586i,-0.00043316-0.00053132i,-0.00047674-0.00035331i,-0.00048052-0.00044343i,-0.00052475-0.00027235i,6.6003e-05-0.00027243i,0.00052305-0.0004832i,2.7411e-05-0.00014037i
-6.8587e-05+0.0016367i,0.00065662+0.0025006i,0.00073526+0.0021627i,0.00020596+0.002074i,0.00028598+0.0016901i,0.00078669+0.00016728i,0.0010682-0.00091104i,0.0012196-0.0012867i,0.00085941-0.0003145i,0.00086447+0.00010941i,0.00036089-0.00038733i,-9.0578e-05-0.00056637i,-5.6244e-05-6.7142e-05i,-0.00082596-0.00023282i,-0.0013681-0.0007327i,-0.00074197-0.00086964i,-1.5942e-05-0.00072799i,3.6529e-05-0.00052397i,-0.00039457-0.00039018i,-0.00014795-0.00013127i,-1.6985e-05-0.00057199i,1.2712e-05-0.00077911i,-0.000123-0.00054587i
0.0016184-0.0012679i,-0.00046068-0.0024877i,-0.00080184-0.0032639i,-0.00073293-0.0032362i,-0.0012309-0.0014629i,-0.0018127+0.00024338i,-0.0012599+0.00033347i,5.1035e-05-0.001065i,0.00024819-0.0018848i,-0.00024802-0.0011413i,-0.0003644-0.00020138i,0.00025845+0.0004897i,0.00066441+0.00027279i,0.00081042+0.00010513i,0.00035304-0.00021948i,-0.00054098-0.00013423i,-0.0010072-0.00034412i,-0.0015885-0.00028379i,-0.0018664-0.00011412i,-0.00064176-0.00026312i,0.00092865+6.459e-05i,0.0010143-0.0003081i,-0.00035973-0.00059123i
-0.00079385-0.001951i,0.00011035-0.0012235i,0.00079752-0.0014087i,0.00012999-0.00026562i,-0.00082686+0.001636i,-4.2658e-05+0.00045722i,0.0011796-0.00067259i,0.0010959-0.00047981i,0.00044292-0.00034425i,-2.5041e-05+0.00027755i,0.00058021+0.0011099i,0.00061875+0.00088262i,7.4684e-05+0.00030965i,0.00044279+0.00067859i,0.00029405+0.00081417i,-9.9299e-05+0.0001373i,-0.00051792-0.00035618i,-0.00073644-0.00034164i,-0.00078682-0.00035932i,-0.00078572-0.00073519i,-0.00057519-0.00022632i,-0.00029539-0.00037284i,0.00057803-0.00028682i
0.00072528+0.00021767i,0.00090358+0.00079924i,0.0014028+0.00080283i,0.0011275+0.0003166i,0.00056796-2.4791e-05i,-1.3638e-05+0.00059287i,-4.5423e-05+0.00040989i,-1.9761e-05-0.00049856i,-0.00047953+0.00016681i,-0.00092711+1.0042e-06i,-0.00014114-0.0004359i,0.00030587-4.6721e-05i,0.00023813-0.00014946i,0.00010161-0.00011921i,0.00022146+7.8685e-05i,0.00056671-0.00015244i,0.0005302-0.000351i,0.00056447-0.00093088i,0.00025463-0.001083i,3.032e-05-0.0006299i,7.8328e-05-0.00029531i,-0.00047107-0.00011412i,-0.00078145-0.00020072i
