-0.0026758+0.0015738i,-0.0011473+0.0014681i,-0.0014061+0.001053i,-0.0011948+0.0002827i,-0.00078639+0.00094738i,-0.0013552+0.0017045i,-0.00094172+0.0013628i,0.0001344+0.0013428i,0.00095944+0.0015067i,0.0018151+0.00037231i,0.0019211-0.00091553i,0.0010479-0.0010232i,0.00049792-0.00059606i,0.00028703-0.00052789i,4.0079e-05-0.00032361i,-5.0291e-05-0.00028879i,0.00013539+0.00030125i,0.00011283+5.2648e-06i,-6.5947e-06-0.0011085i,-0.00030091-0.00091429i,2.976e-05-0.00019543i,0.00014933+1.9042e-05i,-0.00028116+1.6555e-05i
-0.0005139-0.0014599i,-0.00060044-0.00013828i,-0.00098205+0.0013539i,-0.0007773+0.0012958i,-0.00022445+8.9529e-05i,0.00048237-5.1801e-05i,0.00070524-0.0003103i,0.00042568-0.00019383i,0.00019833+0.0012033i,-1.2158e-05+0.0011187i,-0.00028204+0.00062152i,-0.00012423+0.00096744i,0.00072971+0.00094065i,0.0003675+0.00050079i,-0.00035998+0.00068989i,0.00042164+0.00046649i,0.00094846+0.00043599i,0.00031879+0.00062015i,0.00012599+0.00038548i,-2.8566e-05+4.6073e-05i,-0.00045771+0.00042483i,0.00012453+0.00071205i,0.00021676+0.00034352i
-7.9964e-05-0.00032767i,0.00019569-0.0015216i,0.0003137+0.00025205i,0.00034839+0.0010581i,0.00060668+9.6411e-05i,0.00067512-0.0003697i,0.00053709-0.00027625i,0.00042404-0.00024589i,-0.00010028+8.5913e-05i,-0.00057724+0.0002999i,-0.00024438+0.00022586i,0.00037663+0.0002218i,0.00078549+0.00013405i,0.00010376+0.00073836i,-0.00013402+0.00048913i,0.00033377+0.00025282i,0.0004142+0.00045334i,0.00074252-5.4629e-05i,0.00046255-0.00024823i,0.00045256+0.00057425i,0.00046218+0.00065372i,0.00026574-0.00024892i,0.00035848-0.00035331i
-0.0002471+0.00017226i,-2.5974e-05+0.00095474i,-0.00021099+0.0011777i,-0.00029859+0.0011447i,1.1518e-05+0.0011443i,0.00075194-1.7456e-05i,0.0014009-0.00029209i,0.00060447+0.00031028i,0.00035247+0.00012148i,0.00092866-0.00047907i,0.00055707-0.00033443i,0.00035021-0.00018495i,0.00011974-0.00032183i,0.00012154-0.00046049i,0.00095275-0.00034798i,0.001251-0.00037637i,0.00046415-0.00023777i,3.4329e-05+0.00018268i,0.00019842+0.00074263i,1.1571e-05+0.0012104i,-0.00016959+0.0011437i,0.00014857+0.00070576i,0.00015426-3.7837e-05i
0.0021572-0.00016607i,0.00097178-0.00044365i,0.00055227-0.0013212i,0.00027647-0.0020188i,-0.00065876-0.0017065i,-0.0017641-0.0004009i,-0.0013494+0.00052847i,-1.4567e-05+0.00072928i,0.0007276+8.8976e-05i,0.00056398-0.00051814i,0.00033616-0.00029384i,0.00038453+2.0552e-05i,3.6451e-05-0.000155i,-0.00052135-1.4908e-05i,-0.00064643+0.00028905i,-0.00031726+0.00017625i,0.00012099+6.2212e-05i,0.00079791+0.00019844i,0.00073804+0.00057605i,0.00093889+0.00056642i,0.0010668-0.00025015i,0.0006922-0.00049847i,0.0002512-0.00069197i
-0.0020747+0.0004429i,-0.0024398-0.00064829i,-0.0015447-0.00090415i,-0.00076872-0.0011665i,-0.00024388-0.0013107i,-8.2263e-06-0.0013806i,0.00015363-0.00076323i,0.00046924+3.88e-05i,0.00071081+0.00070241i,0.00065628+0.0008516i,-0.00046231+0.00066394i,-0.0012126+0.00070304i,-0.00029542+0.00031219i,4.5921e-05+0.00013571i,1.3507e-06-3.2496e-05i,-0.00043988-4.579e-05i,-0.00094383+0.00039191i,-0.00056351+3.0215e-05i,4.92e-05-0.00059896i,-3.2043e-05-0.0004545i,-0.00015712-0.00016893i,0.0001988-0.00041246i,0.00010369-0.00033536i
-0.00090413-0.0013491i,-0.001104-0.00038711i,-0.00059663+0.00038502i,0.00035517+0.0007135i,0.00030586+0.001578i,0.00011469+0.0017188i,0.00034694+0.00077264i,0.0007249-0.00046552i,0.0012713-0.00063477i,0.000616-6.8699e-05i,-0.00013695+0.00042972i,0.00020244-3.9825e-05i,-0.00030355-0.00057407i,-0.00095836-0.00075431i,-0.00061264-0.00027771i,-0.00027678-0.00024044i,-0.00053956-0.00013934i,-0.00056571+2.9684e-05i,0.00077525-0.0003753i,0.0016975-0.00062412i,0.00083686-0.0002137i,-8.0142e-05-0.00043232i,0.0005797-4.736e-05i
-0.00025922+0.00022171i,-0.0013099+0.00084918i,-0.0022476+0.00018889i,-0.0017289-0.0012506i,-0.0010879-0.00085115i,-0.00029501-0.00022588i,0.0010856+0.00035961i,0.00080928+0.00021298i,-6.8637e-05-0.00078148i,9.7524e-05-0.00054739i,9.6151e-06-0.00029239i,0.00051244-0.00077767i,0.0010721-0.00096239i,0.00048359-0.00098101i,-0.0002389-0.00016486i,-0.00094281+7.661e-05i,-3.7293e-05-0.00037596i,0.00076206+0.00013769i,0.00027941+0.00066425i,0.00034521+0.00058836i,0.0004444-9.7585e-05i,0.00051012-0.00065615i,0.00087076+0.00018643i
-0.00042962+0.00015458i,-0.00038706-1.3997e-05i,0.00066749-0.0012444i,0.00096924-0.001387i,-5.2314e-05+2.6983e-05i,-0.00060299+0.00084895i,-0.00022593-3.679e-05i,-0.00037165-0.00041449i,-0.00034531-0.00051091i,0.00036253-0.00054779i,0.00058172+0.00039561i,0.00021027+0.00077442i,-0.0001047+0.00081218i,-0.00020129+0.0004763i,-0.00054412-0.00011751i,-1.3732e-05+0.00019862i,0.00061592+0.00037566i,-1.2917e-05+3.213e-05i,-0.00029943+0.00018314i,-0.000132+0.00047754i,-0.00013508+0.00044467i,0.00027067-0.00013846i,0.00063301-5.3799e-05i
0.00045648+0.00046367i,0.00091351+0.0006185i,0.00060861+0.0015519i,6.392e-05+2.0344e-05i,-0.00041933-0.0013452i,-0.00020934-0.0009612i,0.00091895+3.8601e-05i,0.0010403+0.00035351i,0.0013463+6.0366e-05i,0.0016817+0.00016124i,0.00066668+0.00090347i,-0.00071668+0.00076152i,-0.001075+0.00041509i,-0.00088946+0.00083639i,-0.00025349+0.0014591i,0.00017332+0.0013409i,0.00016207+0.00059823i,-7.8233e-05-0.00049892i,0.00032685-0.0007077i,0.00021233-0.00051931i,-1.055e-05-0.00075139i,-0.00028885-0.00055449i,-0.00050387-0.0003827i
0.00088449-0.0003937i,0.00096271+0.00019328i,0.0017902-0.00012392i,0.0016751+0.00010727i,0.0003722+0.00055272i,0.00018976+0.00070433i,0.00076103+0.00013499i,0.00088328-0.00027665i,0.00080126+0.00027946i,0.00064694+0.00054901i,0.00051408-9.7853e-05i,-0.00040705-0.00050835i,-0.00090487-0.00030599i,-0.00010019-0.00029967i,0.00020592-0.00019117i,0.00041163-0.00031902i,0.00029185-0.0002735i,2.7938e-05-8.1541e-05i,0.00057219-0.00022177i,0.00092596-0.00029482i,4.5739e-05-0.00044794i,0.0001415-0.0010803i,0.00064789-0.00053068i
