-0.0014769+0.0008886i,-0.00060521-0.00023432i,0.00035316-0.00099669i,0.00075534-2.1271e-05i,0.00022584+0.0003771i,-0.0011724+0.00035919i,-0.0010149+0.0012912i,0.00086818+0.0014988i,0.0011173+0.00036632i,-5.4322e-05-0.00068212i,2.6662e-05-0.00045639i,0.00016312+6.4252e-05i,-0.00013892+0.00052219i,0.00020304+0.00092804i,2.3162e-05+0.00081164i,-0.00035603+0.00033048i,-0.00013598+3.8776e-05i,0.00068777+3.9946e-05i,0.00078032-0.00016233i,-0.00049085-0.00030702i,-0.0011089+0.00021068i,-0.00071519-0.00022938i,-0.00037444-0.00026382i
-0.00031903-0.00099011i,9.9415e-05-0.00043703i,0.00062909+0.001178i,0.00057714+0.0022816i,0.00073181+0.0013867i,0.00038891+0.00019988i,0.00051144-4.3022e-05i,0.0015567-0.00025426i,0.0011229-0.00054857i,1.6259e-05+0.00029146i,-0.00018484+0.00067754i,-0.00011979-0.00058287i,-0.00022322-0.0015549i,0.00014996-0.0013911i,0.00019333-0.00065009i,3.0894e-05+0.00015224i,0.00013719-0.00037144i,0.00021439-0.00088773i,0.00031231-0.00010452i,0.00052722+0.00048562i,0.001047+4.5872e-05i,0.0010827-0.0004735i,0.0001425-1.2635e-05i
-0.0013896-0.00015733i,-0.001123+0.00055435i,-0.0012433+0.0016378i,-0.00031528+0.0020315i,0.00080655+0.0017264i,0.0010498+0.001653i,0.00050648+0.0011934i,0.00028087+0.00023043i,-0.00020531-0.00042452i,-0.00046596-0.00095867i,-0.00026883-0.0013585i,-0.00032076-0.0012443i,-0.00074124-0.0011374i,-0.00076675-0.0012619i,-0.00063418-0.0012082i,-0.00064963-0.0007083i,-0.00087773+0.00029196i,-0.00010239+0.00055932i,-9.8074e-05+0.00019195i,-0.00072615-0.00011515i,-0.00041936+0.00043746i,1.6073e-05+0.00074509i,-0.00033062+0.00052827i
-0.00056504-0.00074874i,9.5687e-05-3.2627e-05i,-0.00050362+0.00081946i,-1.5406e-05+0.0022005i,0.0011976+0.0022545i,0.0019089+0.00048817i,0.0018589-0.00042739i,0.001177-0.00063356i,0.00029993-0.00069809i,0.00010984-0.00030411i,0.00024296+5.4079e-05i,-6.8103e-06-0.00019381i,0.00038346-0.0004167i,0.00028446+0.00013766i,0.00040049+0.00021631i,0.00072278-6.8762e-05i,9.7875e-05+7.7647e-05i,-0.00021022+0.00027553i,-0.00025158+0.00024101i,0.00041384-8.8297e-07i,0.00070478+8.7271e-05i,0.0004841+4.2107e-05i,0.00021557+0.00029516i
0.00061853-0.00069365i,0.00024109-0.0012741i,0.0010682-0.00029289i,0.00061753+0.00092016i,-0.00052153+0.0007786i,-0.00032893+0.00058793i,0.00010319+0.00094774i,0.00058728+0.00099463i,0.0010423+0.00018243i,0.00049918-0.00044693i,0.00031185-0.0007216i,0.00028016-0.0011407i,0.0007749-0.0005366i,0.00054486+5.4768e-06i,-0.00085221-0.0010117i,-0.00083735-0.0014071i,-0.00095067-0.00088684i,-0.0011037-0.00024197i,-0.00022069+0.00020518i,-0.00024154+0.00017735i,-0.00037799+0.00055514i,-0.00083807+0.0010872i,-0.0012965+0.000993i
0.0010269+0.0022142i,0.00072591+0.0014691i,0.0010119+0.0014518i,0.0016663+0.0021598i,0.0016097+0.0018819i,0.00038895+0.00011789i,-0.00036497-0.0010889i,0.00011774-0.00088324i,0.00050285+8.6311e-05i,0.00083811+0.00030112i,0.00035354-7.3976e-05i,-0.00085986-5.8752e-05i,-0.00089862+1.0527e-05i,-0.00018603+0.00048502i,0.00020588+0.00089669i,0.00050009+0.00025221i,3.9458e-05-7.4554e-05i,-0.00050702+0.00051209i,-0.00045811+0.00073393i,-0.00076041+0.00082701i,-0.0003422+0.0006493i,0.00018581+0.00024339i,-0.00027693+7.4016e-05i
-0.002132-0.0001674i,-0.0026859+0.0012289i,-0.0016035+0.0019352i,0.00014094+0.0020228i,0.00085922+0.0011739i,0.00020421+0.00064906i,-9.0911e-05+0.00013456i,0.00047378+0.00057023i,0.00034353+0.00079085i,-0.00024023+0.00050786i,-0.00057849+0.00076361i,-0.00013268-0.00031072i,0.00059087-0.00060317i,0.00072411+0.00027061i,0.00049103-0.00016247i,-0.00041199-0.00059166i,-0.0005636+0.00018185i,0.00057799+0.00081028i,0.00025475+0.00045396i,-0.00054362-2.2072e-05i,-0.00093754+0.00017254i,-0.00058535+0.00019021i,0.00016777+0.00067242i
0.00048113-0.0012063i,0.00065914-0.00057086i,0.00059318+0.00076693i,7.1924e-05+0.0014808i,0.00039253+0.0016377i,0.0011073+0.0018723i,0.00063598+0.0012421i,8.8564e-05+0.00053372i,0.00058488+0.00069414i,0.00038316+0.00099352i,6.583e-05+0.00029845i,0.00015161-0.0005457i,-0.00012669-0.00054935i,-0.00036729+2.0713e-05i,-0.00010636+0.00031592i,0.00059231+0.00029774i,0.00039146+0.00049174i,-0.00014597+0.00053461i,0.00061952+0.00054024i,0.0011669+0.00041252i,0.00050513+0.00049366i,-0.00053332-0.00031006i,-0.000686-0.0010113i
-7.4021e-05+0.0006314i,0.00054451+0.0014159i,0.00050668+0.0025095i,0.00051958+0.0026796i,6.7406e-05+0.00089602i,-0.00043382-0.00053051i,-0.00014314+0.00029762i,0.0008075+0.0015936i,0.00063708+0.0013547i,-0.00013352+0.00078105i,3.8694e-05+0.00042098i,0.00020147-0.00041719i,-0.00042218-0.00097849i,-0.00091151-0.0011327i,-0.00085651-0.00058992i,1.239e-05+0.00020978i,0.00020519+0.00033721i,-3.4756e-05+0.00027881i,1.8381e-05+0.00034782i,-0.00025532-0.00015213i,-0.00025828-0.00032815i,-0.00017718+2.0689e-05i,-0.00047441+0.00010327i
0.00049285+0.0010837i,0.001146+0.0018251i,0.0014259+0.0021319i,0.0023737+0.0024124i,0.0029475+0.0021859i,0.0021904+0.001052i,0.00078742+0.00066051i,0.00012568+0.0011229i,9.1054e-05+0.00063392i,-0.00034403-0.00023001i,-0.00025428-0.0010996i,-0.0001826-0.0016898i,-0.00064624-0.0010379i,-0.00078134-0.00036301i,-0.00048095+0.00025979i,-0.001019+0.00083333i,-0.001083+0.00097203i,-0.00055823+0.00073292i,-0.00010217+3.0091e-05i,-0.00038366-0.00027364i,-0.00062284-0.00043167i,-0.00030323-0.00066321i,-0.00022336-0.00033913i
-0.0020289+0.00066364i,-0.00072099+0.0015771i,0.00022066+0.001758i,0.00035279+0.0018353i,1.091e-06+0.0016441i,-0.00054051+0.00060145i,-0.00027437+5.2722e-05i,0.00051426+0.00017702i,0.0012505-8.2128e-05i,0.00031746-0.00079464i,-0.0011872-0.00058788i,-0.00077071-0.00049781i,0.00041069-0.00041713i,-0.00010015-1.8515e-05i,-0.0010755-0.00019064i,-0.0010268-0.00017161i,-0.00019324-1.2251e-05i,6.1398e-05-7.5849e-05i,0.00034+0.00016121i,5.7145e-05+0.00024275i,-0.00046971+0.00022687i,0.00012861+0.00078459i,0.00053293+0.0010188i
