-0.0025084+0.0008289i,-0.0017274+0.0010747i,-0.0018456+0.0018024i,-0.0019646+0.00087883i,-0.0015134+0.00070156i,-0.00089567+0.001788i,-0.00096413+0.002938i,-0.00034803+0.0028852i,0.0011572+0.0023562i,0.0019272+0.0012672i,0.0022368-0.00050707i,0.001473-0.0018399i,0.0007306-0.002519i,0.00036532-0.0019146i,2.5186e-05-0.00086218i,-0.00026552-6.5755e-05i,-0.00040705+0.00079908i,-0.0006672+0.00074289i,-0.00049795+0.00020443i,-0.00022699+0.00073511i,-0.00010295+0.00022078i,-0.00021596-0.00057354i,-0.00075579-0.00037386i
-0.0023421-0.00022585i,-0.0024418+0.00045293i,-0.0017019+0.00043443i,-0.00071618+0.0002024i,-0.00088773+0.00011011i,-0.00067625-0.0004197i,-0.0009605-3.6777e-05i,-0.0013457+0.00036868i,-0.00087252+3.8459e-06i,-3.998e-06-0.00026277i,0.00057784-0.00017625i,0.00033969-0.00081408i,0.00030546-0.000847i,0.00070796-0.00011407i,0.00088641-8.8618e-05i,0.0005506-0.00011677i,8.8426e-05+0.00020734i,0.00011546+0.00030674i,0.00046486+0.00066889i,0.00014026+0.00012995i,-0.00010967-0.00095905i,-0.00035273-0.00053961i,-0.00031454+0.00029708i
0.00064447-0.00074619i,-0.0011375-0.00065471i,-0.0024081-0.00033695i,-0.0027069+0.00015171i,-0.0026976+0.00060101i,-0.0026605+0.00076832i,-0.0020001+0.00015646i,-0.00071413+1.6116e-07i,-0.00038191-6.6638e-05i,0.00021572-0.0010006i,0.00050014-0.0014943i,0.00031556-0.00096673i,7.0956e-05-0.00090212i,-0.00033025-0.0011446i,-0.00052721-0.00094682i,-0.00068741+0.00019631i,-0.00089811+0.0011663i,-0.00064146+0.00095926i,8.2535e-05+0.00024496i,0.000687-0.00034611i,0.00021-0.00011595i,-0.00088844+0.00063867i,-0.00091034+0.00050168i
0.00049697+0.0012899i,0.00012815+0.0016161i,-0.00021518+0.0013935i,-0.00016004+0.0010053i,-0.00010597-0.00028281i,-0.00077478-0.00071289i,-0.00074792-4.8082e-05i,-0.00054802+0.00026506i,-0.00073576+0.00074315i,-0.00045806+0.000336i,0.00010249-0.0012373i,-4.3326e-05-0.0019932i,-0.00011572-0.0015365i,0.00031011-0.00063869i,0.0001403+0.00022317i,7.8032e-05+0.0004436i,0.00027945+0.00026084i,0.00035778+0.00033854i,0.00061962+5.9598e-05i,0.0011575-0.00012302i,0.0011382+0.0002111i,0.00019849+0.00020957i,-0.00054422-2.5549e-05i
-0.00090304-0.0010242i,-0.00046343+7.6503e-05i,-0.0013844+0.00083133i,-0.0016785+0.0010505i,-0.00082732+0.001107i,-3.2324e-05+0.00071324i,-0.00017092+0.00013066i,-0.00052722+5.0208e-06i,-0.00047946-0.00043831i,-0.00010844-0.00016443i,6.3136e-05-0.00013838i,0.00015406-0.00067509i,0.00043642-0.00056331i,0.00016699-0.00055247i,-0.00038738-0.00016193i,-0.00019713-3.1987e-05i,0.00021948-5.152e-05i,0.0005612+0.000335i,0.00096977+0.00041697i,0.00076943+0.00035418i,0.0005649+0.00039845i,-0.00012257+0.00016198i,-0.00092719-0.00031567i
-0.00058395+0.0004793i,-0.00064646-8.5212e-05i,-0.00028457-0.00022102i,-0.00026649-0.00044929i,-0.00028146-0.00058328i,-9.5933e-05-0.00063518i,-0.00013742-0.00037184i,0.0004189-0.00020461i,0.00046283-0.00030997i,0.00013681-0.0004522i,4.4816e-05-0.0012355i,0.00072815-0.0013987i,0.0012833-0.00095465i,0.00096011-0.0010737i,0.0007459-0.0014092i,0.0014801-0.00052275i,0.0011797+1.7439e-05i,7.2655e-05-0.00040722i,-0.00035973-0.00033565i,-0.00054686-0.00043174i,-0.00025245-0.00011468i,-2.474e-05+0.00022522i,-0.00016393+0.0001797i
-0.0009478-0.0016197i,-0.0010595-0.0022267i,-0.0013383-0.0026265i,-0.00092883-0.0020861i,-0.00062308-0.00089192i,-0.0011601-0.00038928i,-0.0011767-1.0507e-05i,-0.00062251+0.00035238i,5.883e-05-0.0003678i,0.00053343-0.00029143i,-3.5185e-05-0.00019137i,-0.0008516-0.0011633i,-0.00052069-0.00095057i,2.2293e-05+0.00078581i,-0.00037051+0.0011818i,-0.00072793+0.00035065i,0.00043959-0.00045451i,0.0010613-0.00075184i,0.00032484-0.00036966i,0.00035276-0.00012805i,-0.00015107+0.00018539i,-0.00044853+0.00061139i,-0.00023563+0.00062309i
0.00097478-0.0012888i,0.0003652-0.00086901i,-0.00074199-0.00028128i,-0.0014324-4.2885e-05i,-0.00092164+0.00077692i,-0.00054116+0.0015363i,5.1762e-05+0.0006967i,0.00031859+0.0002453i,-0.0001394+0.00019247i,0.00011029+0.00010538i,0.00011552-0.00014106i,-0.00075665-0.0008431i,-0.00097155-0.00067875i,0.00020163+6.2208e-05i,0.0012113+0.00023778i,0.0002085-7.6953e-05i,-0.0002629-0.00057796i,5.7621e-05-0.00012987i,8.0768e-05+0.00030432i,0.00032156-3.0474e-05i,0.00045263-0.00051922i,-0.00060419-0.0006988i,-0.00091865-0.00024807i
-0.00028114-0.00050921i,-0.00093813+0.00027204i,-0.0013055+0.00076145i,-0.0017799+0.0010112i,-0.0019146+0.00093611i,-0.00078992+5.2497e-05i,0.00012882-0.00068262i,0.00015533-0.00088474i,0.00068035-0.00073158i,0.00068847+8.7662e-05i,-7.7317e-05-5.8373e-05i,6.9215e-05-0.00078397i,-9.4232e-05-0.00054612i,0.00014036-0.00058871i,0.00098072-0.00058341i,0.00029339+1.777e-05i,-7.2352e-05+0.00027871i,-0.00010891-0.00031842i,-1.3056e-05-0.00091849i,-0.00029011-0.00029303i,-0.000682+0.00033735i,-0.00057868+0.00029393i,-0.00066937+0.0002246i
0.0011154+0.002123i,0.002222+0.0012901i,0.0032007+0.00070412i,0.0020481-0.0004817i,0.00044602-0.0019006i,0.0001373-0.0018i,-0.00044101-0.00011008i,-0.00047797+0.00085551i,0.00043147+0.00068672i,0.0011733-0.00022902i,0.0019129-0.0012366i,0.0019794-0.0010478i,0.00097193-0.00036371i,-0.00048974-0.0001939i,-0.0003278+0.0004463i,0.0005537+0.0010628i,0.00079345+0.0011631i,0.00078237+0.00045169i,0.00074836-7.5021e-05i,0.00038931+0.00024405i,-0.00042551+0.00026815i,-0.0011394-7.3242e-05i,-0.0011809+0.00062401i
-0.00039345+0.0013595i,-0.00040501+0.0016201i,-0.0015111+0.0013749i,-0.0014481+0.00011452i,-0.00043902-0.0010235i,-9.6335e-05-0.00062012i,-9.1177e-05-0.00026425i,-1.0694e-05+0.00055658i,0.00034213+0.0011545i,0.00048062-5.5999e-05i,-2.0928e-05-0.001166i,-0.00030066-0.0015039i,-0.00020204-0.0016135i,-0.0003375-0.00069547i,-0.00028803+0.00062966i,-0.00020826+0.00010422i,-0.00043273-0.00070299i,-0.00077742-0.00027116i,-0.00052931-0.00023083i,-9.4771e-05-0.00033075i,-0.00038092+0.00033248i,-0.00035662+0.00012651i,-7.216e-05+0.00043068i
