-0.0016403+0.0013889i,-0.0001578+0.00047597i,-0.00083651+0.00067985i,-0.001338+0.00074641i,-0.0010952+0.0016135i,-0.0013983+0.0024903i,-0.00092054+0.0028478i,0.00030577+0.0025588i,0.0013946+0.0011876i,0.0010598+0.00038948i,0.00023403-0.00037568i,-0.00060872-0.00080545i,-0.0007215-0.00023437i,-0.00052425-0.00064621i,-0.00057848-0.00071426i,-0.00034152-0.00035008i,0.00039295-9.4651e-05i,0.00091328+0.0003545i,0.00077576+0.00034648i,0.0005023-0.00011513i,0.00057966-0.00027914i,0.00047605+0.00028738i,0.00012097+0.00023933i
-0.00054426+0.00019752i,-0.00042012+0.00068562i,0.00091938+0.00053194i,0.0012802+0.0006719i,0.0013466+0.00072099i,0.00081419+1.5487e-05i,0.00065569+0.00048574i,0.00014637+0.00076781i,2.6386e-05+0.00040519i,0.00055241-0.00040749i,0.00073194-0.00079956i,0.0006757-0.00025201i,0.00018988-0.00013167i,-0.00026734+0.00060814i,-0.00031+0.0013507i,0.00049811+0.00047968i,0.0009671-0.00032552i,0.00083126-0.00017736i,0.00052669+0.00037941i,9.4162e-05+0.00059567i,-1.856e-05+0.00039601i,-8.2483e-05-8.6127e-05i,5.9256e-05-4.5775e-05i
0.00032179-2.6701e-05i,0.0002941-0.00089349i,0.00087262-0.0010185i,0.0013008-0.00015998i,0.00067357+5.0144e-05i,3.0194e-05+0.00040336i,0.000728+0.001378i,0.0012724+0.0011754i,0.0004684-0.00023621i,-0.00018237-0.00083004i,-0.00055187+0.00023601i,-0.00014066+0.00068218i,0.00080736-0.00029191i,0.0014491-0.00087694i,0.0016945-0.00039451i,0.00064755+0.00029489i,-0.00054176+0.00042722i,-0.00063619+0.00037332i,0.00029698+0.00052769i,0.0010344+0.00053281i,0.00040826+5.3781e-05i,0.00059507-0.00081928i,0.0013448-0.00046264i
0.0021271+0.0019275i,0.0028841+0.0018859i,0.0034693+0.0011404i,0.0036085+0.00050475i,0.0028278+0.0013108i,0.0011138+0.0013268i,-0.00060761+0.00066995i,0.00022062+0.00022379i,0.0016147+0.0002009i,0.0011037+0.00047486i,0.00014444-0.00014779i,0.00025317+0.00060415i,0.00049563+0.00092619i,-6.2668e-05+0.00070946i,-0.00028842+0.0011777i,-0.00024424+0.0009973i,-0.00035085+0.0007142i,-0.00019162+0.00060738i,0.00046102+6.0248e-05i,0.00013003-1.2257e-05i,-0.00029583+0.00065579i,-6.7552e-05+0.00090851i,-0.00019222+0.00052071i
9.6266e-05+0.00042794i,0.0008334+0.0013279i,-9.689e-05+0.0021128i,0.00083358+0.0019228i,0.0026467+0.001264i,0.0023417-0.00031176i,0.00099413-0.00068979i,0.00082986+0.00031846i,0.00059703+0.00052625i,-0.00051222+0.0002631i,-0.00081491+0.00077769i,-0.00073586+0.0013101i,-0.00086357+0.00089529i,-0.00017395+0.00027278i,0.0004241-0.00038142i,2.2418e-05-0.00020204i,-0.00022717+0.00020075i,-9.9699e-05+0.00046397i,-0.00057469+0.00066453i,-9.1668e-05+0.00048436i,0.00054787+0.00055873i,0.00036317-2.4334e-05i,0.00037283-0.00024235i
-0.0014611+0.00059412i,-0.0012873+0.00084265i,-0.00015207+0.0015095i,0.00050296+0.0029026i,0.00060871+0.0038022i,0.00040463+0.0018548i,0.00047862+0.00034175i,0.00057589+0.00079891i,0.00043728+0.00073806i,0.00052661+0.00028631i,0.00039512-0.0001454i,-4.6728e-05-0.00041487i,-0.00025159-0.00056503i,5.6253e-05-0.00064438i,0.00016893-0.00025292i,-4.5516e-06+9.5508e-05i,-0.0003335+0.0006025i,-8.6455e-05+0.0011581i,0.00076279+0.00093313i,0.00091328+0.00056327i,0.00054552+0.00043485i,0.00027958+0.0010219i,0.00025363+0.0012696i
-0.00011571+0.0018948i,0.00029126+0.0017292i,0.00019695+0.0022651i,0.00073699+0.0022517i,0.0012871+0.0016663i,0.0010664+0.00046374i,-3.1465e-05-0.00035998i,-0.00035211-0.00018926i,-0.00018069-2.8625e-05i,-0.00031197-8.5856e-05i,-0.00096429-7.4983e-05i,-7.881e-05-0.00029389i,0.0011256+1.2093e-05i,0.0004765-0.0006398i,-0.00013316-0.00070159i,-0.00023624-6.9454e-06i,-0.00058912+0.00035648i,-0.00023783+0.00050893i,-0.00047373+0.00017419i,-0.0011595-0.00021652i,-0.00059076-0.00028719i,0.0002484-3.3185e-05i,0.00046173-0.00037676i
-0.0015433-0.0016931i,-0.0036754-0.0016066i,-0.0038567-0.00077352i,-0.0022979-0.00034356i,-0.00019014+0.00016486i,0.00023596+0.0010786i,2.7409e-05+0.0013393i,0.00034954+0.0013995i,-0.00021263+0.00083276i,-0.00080011+7.2293e-05i,-0.0004253+0.00015775i,-0.00023639+0.00058749i,4.1939e-05+0.00037734i,0.00092831-7.481e-05i,0.00092598-0.00044238i,0.00029311-0.00056618i,-0.0002377+7.6667e-05i,-0.00059963+0.00041797i,-0.00026301-0.00052868i,0.00037534-0.0010895i,0.00063226-0.00044989i,0.00062686-0.00036781i,0.00038061-0.0001613i
-0.0026082-0.0007324i,-0.0013554-0.00036488i,-0.00074372+0.0014223i,-2.6249e-06+0.0036269i,0.00065376+0.0039955i,0.0014704+0.0019471i,0.0014622+0.00038851i,0.00074432+0.00011142i,-0.00038787-0.00021386i,-0.00074679-0.0001166i,-8.93e-05+0.00095903i,0.00020915+0.00078726i,0.0001426-0.00015275i,0.00043817-0.00031069i,0.00027014-9.698e-05i,0.0003991+0.00036208i,0.00083016+0.00074877i,0.0007333+0.00092602i,0.00036864+0.000738i,0.00037388-6.5324e-07i,0.00077999+4.5688e-05i,0.00026689+0.00026839i,7.1096e-05-8.3767e-05i
0.00063137+0.00044684i,0.00084162+0.00071937i,0.00034871+0.0015349i,0.00042116+0.0020668i,0.00071228+0.0011923i,8.1883e-05+0.00085129i,0.0003499+0.00065431i,0.00093809-0.00013251i,0.00052841-0.0014208i,-0.00034607-0.0017269i,-0.00041205-0.00091394i,-7.0173e-05+0.00014894i,2.5704e-05+0.00089579i,-0.00012682+0.00029589i,-3.3249e-06-0.0007701i,0.00041208-0.0003489i,0.0002857+0.00064814i,0.00067227+0.0011017i,0.0010717+0.00098895i,0.00042035+0.00081911i,0.00021546+0.00021743i,-7.4352e-05+0.00037812i,-0.00038779+0.0003494i
-0.00078761+0.0015566i,-0.001339+0.0016966i,-0.00031357+0.0021777i,0.00086924+0.0024496i,0.0010535+0.0020677i,0.00034255+0.0016905i,-0.00026302+0.0012147i,0.0002169+0.00076093i,0.00040511+0.00063632i,-0.00015397+0.00099518i,-0.00046238+0.00038221i,-0.0002761-0.00037732i,-0.00061238+0.00018865i,-0.00091582+0.00048137i,-0.00039096+0.00055231i,0.00014925+0.00082049i,0.00017107+9.7365e-05i,0.00017913-0.00073131i,0.00051841+1.6117e-05i,0.00019857+0.0010712i,-0.00021846+0.00046265i,0.00023049+0.00012124i,0.00079916-0.00010988i
