-0.0026478+0.0016117i,-0.0018569+0.00018235i,-0.0018899+0.00055627i,-0.00093639+0.0015552i,-9.5325e-05+0.0025043i,-0.00011998+0.0020824i,0.00023787+0.0016548i,0.0012491+0.0017042i,0.0012679+0.0014457i,0.00047064+0.00079323i,-0.00029351-0.00077928i,-0.00087385-0.0015573i,-0.00057063-0.0008509i,0.00035972-0.00074168i,0.00035582-0.00046001i,-0.00027741-0.00032479i,-0.00022568+0.0007763i,-0.00025475+0.0016672i,-0.00035601+0.00040569i,-0.00041165-0.00043826i,-3.4028e-05-0.00015989i,7.7564e-05-0.00014188i,-2.1834e-05+0.00014148i
0.00081916+0.00034686i,0.0017351-0.0010047i,0.0021074-0.0016129i,0.001213-0.00075003i,-5.2841e-05-4.7698e-05i,-0.00043035+0.00051757i,-0.00035902+0.00049731i,-0.00027135-0.00038458i,-0.00054356-0.00081098i,-0.00073847-5.8746e-05i,-0.00026675+0.0011431i,0.00026745+0.00091469i,0.00017327-0.00023037i,0.00054438-0.00064037i,0.0012783-0.0001971i,0.00071189-0.00017767i,0.00016592-0.00070966i,0.00022301+9.1231e-05i,-0.00011883+0.0010279i,-0.00024075+0.00046414i,-0.00014093+0.00013025i,0.00014454+0.00036672i,0.00083916+6.8591e-06i
-0.0030304-0.0001256i,-0.002539+0.00040558i,-0.00052304+0.0010637i,-0.00014562+0.0016277i,-0.0010154+0.0018536i,-0.00047954+0.0019987i,-0.00013211+0.0015499i,-0.00039857+0.0009627i,-0.00040332-3.5395e-05i,-0.00067772+9.7591e-05i,-0.00084206+9.1659e-05i,-0.00017458-0.00030652i,-1.2495e-05-0.00026597i,-0.00058501-7.2122e-05i,-0.00058563+0.00011422i,-0.00010431-1.4241e-05i,0.00041462+3.8687e-05i,0.0010215+8.0476e-05i,0.00060859-0.00023839i,8.2811e-05-0.00021301i,3.2516e-05+0.00014817i,-9.7193e-05-0.00021887i,-0.00024675-0.0010221i
-0.0015259+0.00030688i,-0.00096702+0.0013902i,-1.7955e-05+0.00079278i,0.0011968-0.0004286i,0.001711-0.00033167i,0.0011942-0.0003556i,0.00054139-0.0006288i,-0.00013672-0.00039137i,-0.00051635-0.00040979i,-0.00094684-0.00066858i,-0.0010832-0.00042945i,-0.00084035-7.912e-06i,-0.00078935+0.00023228i,-0.00096411+9.6427e-05i,-0.0010123+6.7001e-05i,-0.00039399-0.00021612i,-0.00042969-0.00068582i,-0.00036977-0.00087821i,-0.00020936-0.00050536i,-7.1868e-05-0.00037582i,-0.00011642-0.00060449i,-0.0003249-0.00073507i,-0.0010035-0.00068445i
0.0027258-6.2941e-05i,0.0027319-0.00065935i,0.0028889-0.0010141i,0.0011974-0.00056196i,-0.001295-0.001452i,-0.0020538-0.0016205i,-0.0012695-0.00088959i,-0.00068442-0.00021021i,-0.00035804-0.00022492i,-0.00033668-0.00047601i,-0.00082384+0.0003039i,-0.00079546+0.00043878i,-0.00040878+0.00024132i,-0.00031462+5.0128e-05i,-0.00021436+0.00015249i,-9.5318e-05-0.00021444i,9.4685e-05-0.00017532i,-1.408e-05+0.00018054i,-0.00022039-0.0003411i,-0.00020182-0.00060663i,7.7319e-05-0.00094526i,0.00049185-0.00076917i,-3.6905e-05+0.00020288i
-0.00038274+0.0010492i,0.00010085+0.00079376i,0.00025911+0.0014967i,0.00091749+0.0026376i,0.00092286+0.0027528i,0.00080291+0.001432i,0.00076897+7.2346e-05i,0.00061358+0.00021029i,8.7984e-05-0.00039448i,-0.00016397-0.0014293i,7.6423e-05-0.00082312i,-0.00040279-9.736e-05i,-0.0007125-0.00027185i,-0.00084583-0.00055446i,-0.0014057-0.00057434i,-0.0010581-0.00057795i,-0.00037149-0.00023517i,-0.00023783-0.00031373i,0.00063073+0.00020466i,0.0011283+0.00011669i,0.00026002-0.00069226i,0.00038969-0.00089702i,0.0009501-0.0007815i
0.0011104+0.00029445i,0.0023722+0.00017645i,0.0022736+0.00054904i,0.0021533+0.0006512i,0.0019812+0.00027965i,0.00046795-9.832e-05i,-0.00045747+0.00030141i,2.0994e-05+9.4759e-05i,-3.2885e-05+0.00013926i,-0.00044498+0.001259i,-0.00018817+0.0013344i,-0.00033997+4.7339e-05i,-0.00059874-0.001133i,-0.00025599-0.00065506i,0.00012001+0.00022258i,-8.2995e-05+0.00074083i,-0.00042216+0.0012692i,-5.1727e-05+0.00096645i,0.0011528-4.4656e-05i,0.00076599-0.00058025i,-5.2198e-05+9.222e-06i,-0.00043398+0.001295i,-0.00068377+0.0010974i
-0.00079805-0.00057312i,-0.00030137+0.00050789i,-0.0010988+0.0017628i,-0.0011951+0.0027084i,-0.00032606+0.0026259i,0.00065222+0.0015595i,0.00057507+0.00055531i,-0.00019974+0.00032702i,-0.00059906+7.0511e-05i,-0.00065844+2.7152e-06i,-0.00019875-0.00010171i,-0.00023295-0.00058856i,-0.00016097-0.00056643i,-0.00020972-0.00015235i,-9.8088e-05+3.1047e-05i,-0.00079544-5.6602e-05i,-0.0014486-8.9471e-05i,-0.00079794+6.026e-05i,0.00052798-0.0001694i,0.00078014-2.3184e-05i,5.0173e-05-0.00043766i,-0.00017884-0.00071693i,0.00011275-0.00054157i
0.0010761-0.0019709i,-0.00060914-0.0016013i,2.9315e-05-0.0016357i,0.00069753-0.0020604i,0.00018966-0.0022064i,-0.00016015-0.0014403i,-3.0383e-05-0.00030279i,0.00050356+0.00048445i,-0.00037083+7.742e-05i,-0.0010596-0.00061836i,-0.00071336-0.00048309i,-0.00022989-0.00022112i,-1.7232e-05+0.00015645i,0.00019352+0.00048408i,-0.00048709-0.00018432i,-0.0004096-0.001056i,6.9157e-05-0.0014206i,-0.00080329-0.00063847i,-0.00073469-0.00016165i,0.00011422-0.00011118i,0.00027751+0.00051942i,-7.5626e-05+0.00060548i,-0.00065835+0.00044678i
0.00036876-0.00081324i,-0.00090905-0.00062887i,-0.0013762+0.00046728i,-0.0010081+0.0014588i,-9.8587e-05+0.0013054i,-0.00037266+0.001314i,-0.00019091+0.0017148i,-8.273e-05+0.0014197i,-0.00069692+0.00098562i,-0.00093376+0.0015143i,-0.000333+0.00079267i,0.00037305+0.00037191i,0.0002367+0.00091765i,0.0001264+0.00058119i,0.00057256+0.00024962i,0.00049773+0.00049835i,0.00014121+0.00038042i,0.00011427-0.00055891i,-0.00031297-0.00040486i,-5.5929e-05+0.00031175i,0.00054587+0.00037268i,0.00025505-0.00044426i,0.0001221-0.00080234i
-0.0013885+0.00098697i,-0.0013793+0.00098833i,-0.00090445+0.00072312i,0.00019159+0.00042278i,0.0010536+4.8871e-06i,0.00066696-0.00073356i,9.5759e-05-0.00066674i,0.00055665-0.00024786i,0.00010164+0.00049445i,-0.00068783+0.00092673i,-0.00045563+0.00070595i,-0.00069101+3.1818e-05i,-0.00094839-0.00060144i,-0.0006332-0.00093198i,-0.00023806-0.00088612i,-0.00071059+0.00019161i,-0.0007065+0.00083456i,-0.000217+0.00021881i,-0.000331+9.9783e-05i,-0.00054817+0.00074444i,-0.00034898+0.00077999i,-0.00013023+0.00066267i,-0.0006933+0.00017105i
