-0.0025102-0.00018344i,-0.0018894+7.3472e-05i,-0.0024964+0.00076715i,-0.0026367+0.00087674i,-0.002108+0.00075561i,-0.0010519+0.00068975i,-0.00079396+0.0014977i,-0.00087969+0.0016932i,-0.0005499+0.0018663i,0.00020428+0.0015587i,0.0012353+0.0001343i,0.0012079-0.0015231i,0.00014453-0.0016457i,-0.00078786-0.00098461i,-0.00096521-0.0010351i,-0.0004171-0.00060483i,-0.00039593+0.00031065i,-0.00084106+0.00012121i,-0.00082605+0.00039318i,-9.1579e-05+0.00050345i,0.00037215+0.00025665i,-8.0794e-05+0.00016966i,-0.00019481+0.00011589i
0.0025269+0.00019544i,0.0022227+0.00036839i,0.0015144+0.00038144i,0.00049334+0.00068701i,-4.2164e-05+0.00059032i,-0.00030531+0.00040787i,-0.00079374+0.00031996i,-0.00097407-0.00017786i,-0.00037293-0.00023964i,0.0002268+0.00017897i,-0.00022103+0.00011134i,-0.00082162-0.00055154i,-0.00053068-0.00035834i,-0.00049769-0.00034005i,-0.00043284-0.00034005i,-0.00044032-0.00020198i,-0.00051114-0.00053305i,-0.0001065-0.00047748i,-0.00045689+7.3754e-05i,-0.00033902-7.2427e-06i,0.00020024-5.2642e-05i,0.00037349+0.00019931i,0.0010843+0.00046763i
-0.0011988+0.0010018i,5.3328e-05+0.00033888i,0.00053285-0.00051046i,0.0001532-0.00092194i,-0.00024509-0.0011991i,-0.00064423-0.0011158i,-0.0012931-0.00026452i,-0.0017533+0.0007339i,-0.00076503+0.0011588i,0.00015577+0.00056558i,2.5008e-05-0.00023686i,-0.00048253-0.00058843i,-0.00043128-0.0007844i,0.00059104-0.00080469i,0.00072159-0.00017352i,0.00032529+0.00011768i,0.00078526-0.00049874i,0.00039631-0.00056119i,-0.00037343-1.5441e-05i,-0.00044568-0.00027948i,6.118e-05-0.00025332i,0.00059529+0.00017497i,0.00048458+0.00025342i
-0.001497+0.00075258i,-0.00040469-2.1086e-05i,-6.1534e-06-0.00063531i,-0.00035447-0.00010001i,-0.0006147+0.00085744i,-0.00039284+0.00095883i,-0.00071913+0.00035599i,-0.00080611-2.136e-05i,-0.00066855+0.00060072i,-0.00087366+0.0011649i,-0.00057091+0.0002862i,0.00056681-0.00042393i,0.00083227+0.00010371i,0.00014631+0.00028927i,-0.00077858+1.1364e-06i,-0.00055456+0.00019983i,0.00075042+0.00026348i,0.00092702+6.021e-05i,0.0004164-0.00038544i,-2.798e-05-5.4419e-05i,-0.00044292+0.00089902i,-9.0739e-05+0.0003586i,0.00064409-0.00070801i
-0.00099456-0.0022863i,-0.0007519-0.001972i,-0.00066718-0.00071557i,-0.00034476+0.0006582i,-0.00044297+0.0013086i,-0.00060961+0.0016462i,-0.00026371+0.00052323i,-0.00048173-0.00016014i,-0.001173+0.0010386i,-0.0015609+0.0012151i,-0.0006057+0.00064043i,0.00031521+0.00088878i,0.0003178+0.0008996i,-0.00023596+0.00012581i,-0.00034037-0.00013015i,0.00030953-0.00026979i,0.00096994-0.00060463i,0.00025951-0.00026078i,-0.00046785+0.00056305i,-0.00025861+0.0011691i,8.6617e-05+0.0011281i,-0.00028711+0.00090377i,-0.00036198+0.0003377i
0.0013048+0.00090041i,0.0021794+0.001635i,0.0027482+0.00075463i,0.0016252-0.00029074i,0.00053857-0.0015315i,-0.0007075-0.0013497i,-0.0020426-0.00039473i,-0.0018085+0.00018467i,8.5051e-05+0.00038308i,0.0014931+8.3405e-05i,-4.2859e-05-0.00025965i,-0.0012797-0.00065116i,-0.00033587-0.00075272i,7.3604e-05+6.2062e-05i,-0.00064397+0.00018467i,5.2053e-06-0.00018989i,0.0011411-5.959e-05i,0.0013625-0.0003251i,0.00098567+0.00062232i,0.00029517+0.00088436i,-0.00010324-0.00024243i,-0.00013615+5.9648e-05i,0.00062465+0.00093489i
0.00089272+0.0012823i,-0.00031787+0.00069229i,-0.00028954-0.00016021i,6.6543e-05-0.00081619i,5.7686e-05-0.001124i,-6.6228e-05-0.00066186i,-0.00035108+9.0448e-05i,-0.0006711+0.00078108i,-0.0002237+0.0011967i,1.8079e-06+0.00068851i,-0.00047169+0.00030711i,-0.00014421+0.00012091i,0.00034828-0.00066742i,0.0006923-0.0014302i,0.00077899-0.00084928i,0.00016536-0.00012031i,-0.00070621-2.3905e-05i,-0.00095026-0.00020574i,-0.00014943-0.00043573i,0.00084302-0.00014108i,0.00059252-4.3529e-05i,-0.0001409+0.00031503i,-0.00034361+0.00055202i
0.00046921+0.0022866i,0.0013845+0.0019056i,0.0017787+0.00098685i,0.0015315-0.00023788i,0.00058029-0.00093579i,-0.0011442-0.00074543i,-0.0014323-0.00011759i,-0.00051163+0.00079657i,-0.00023239+0.0013448i,-0.00028531+0.00036682i,2.2921e-05+0.00013833i,0.00024924+0.00091858i,0.00024354+0.0013659i,0.00015081+0.0010334i,0.00016964+0.00035877i,0.00023085-8.8069e-05i,0.00049642-0.00038541i,0.00038645-0.00048219i,-0.00047878+0.00010497i,-0.0010593+0.00073995i,-0.00087736+0.0002847i,-0.00018003-0.00067904i,0.00076915-0.0009277i
-0.0011228-0.0012768i,-0.0020626-0.00048201i,-0.0027715-0.00076406i,-0.0020534-0.0015217i,-0.00070416-0.00048335i,-0.00035695+0.00053353i,-0.0012081+0.00017404i,-0.00070904-0.00033596i,0.00022434+0.00025685i,0.00045238+0.00041608i,0.00018289-0.00093124i,-0.00011653-0.0013009i,0.00082333-0.00061462i,0.0010634-3.1758e-05i,-5.9908e-05+0.00034469i,-0.00048425+0.00058263i,-3.0196e-07+0.00047164i,2.2107e-06-3.8478e-05i,0.00011781-0.00044933i,0.00052337-0.00011373i,0.0005699+0.00013401i,0.00035394-0.00053066i,0.00017451-0.0010211i
-0.00018523-0.0022353i,-0.00024062-0.0014386i,1.8056e-05+0.00014381i,-0.00018645+0.00088934i,-0.0012275+0.00017671i,-0.0012409+0.00045198i,-0.00097292+0.0015997i,-0.0016567+0.00121i,-0.0013585+0.0010195i,-0.00083033+0.0014626i,-0.00080854+0.00079298i,7.4294e-05-5.7901e-05i,0.0003904-0.00037019i,0.00065361-4.7995e-05i,0.00062784+4.9078e-05i,-0.00051157-0.00010494i,-0.00081904-0.00029532i,-0.00034922-0.00048375i,-0.00020352-0.00014397i,-6.9279e-05+0.00033333i,0.00049023+0.00038303i,0.00027603+0.00086521i,-0.00033949+0.00099468i
0.00027775-0.0012307i,-0.00086499-0.0011139i,-0.0017378+5.7126e-05i,-0.0011223-0.00039083i,-0.00076812-0.00047435i,-0.0010016+0.00055271i,-0.0011443+0.0011896i,-0.00092297+0.0004067i,-0.0005341-0.00023419i,-1.8495e-05+0.00038901i,0.00038956+0.00054941i,0.0005143-8.4558e-05i,0.00067135-0.00040015i,0.00034311-0.0010392i,0.00017604-0.00042021i,0.00030503+0.00062482i,0.00015546+0.00018723i,-0.00023915-0.00035816i,-0.00027328+0.00034485i,0.00038358+0.00063828i,2.1387e-05-8.629e-05i,-0.00053413-0.00080604i,0.00025695-0.00032241i
