-0.000202-0.00059837i,-0.00092255+0.00042098i,-0.0016388-0.00012823i,-0.00063008-0.00094706i,0.00037023-0.0010846i,0.00055015-0.00045494i,0.00057994+0.00026212i,0.00087231-6.1913e-05i,0.0016921-0.00048469i,0.001672-0.00034194i,0.00063958-0.00037293i,0.00042726-0.0012672i,0.0008323-0.0016668i,0.0003869-0.0010092i,-0.00038338-1.0094e-06i,-0.00063907+0.0010412i,-6.5037e-05+0.00099574i,0.00029204+0.00065373i,-0.00029685+1.3683e-05i,-0.0003473-0.00080858i,0.00047401-0.00052103i,0.00059869-0.00072903i,-0.00036311-0.00060791i
0.0008879+0.0012082i,-0.00032352+0.0010744i,0.00022231+0.00073038i,0.00012528+0.00014578i,0.00030819-0.00097515i,0.00039355-0.0015071i,0.00011947-0.001237i,0.00050742-0.0011831i,0.00081368-0.0013074i,0.00010266-0.00086543i,-0.00087054-0.00089558i,0.00018403-0.001239i,0.0017543-0.00089075i,0.0010809-0.00037655i,0.00062154-0.0003861i,0.00037389+0.00037582i,-4.238e-05+0.0011834i,0.0001159+0.00086382i,8.8734e-05+0.00033005i,-0.00049881+0.0002775i,-0.00070903+4.8789e-05i,-0.00011086-0.00045706i,-0.00061148-0.0004708i
-0.00063396-0.0015255i,-0.00092223-0.0017932i,-0.0012459-0.0011148i,-0.0015588+0.00039104i,-0.00044736+0.00078542i,0.00047494-0.00028988i,0.00043578-0.0012271i,0.00022084-0.0013174i,-0.00042974-0.001031i,-0.00043974-0.00051984i,-0.00028774-0.00049857i,-2.9835e-05-0.00056283i,0.00036659-0.00062168i,6.7124e-05-0.00056413i,-6.5774e-05-0.00024064i,0.00025191-0.00053346i,0.0001704-0.00076497i,-0.00014667-0.00045784i,-0.00040331-0.00069867i,-0.00042004-0.00031282i,-0.00010825+0.00061756i,0.00030383+1.6794e-05i,0.0006371-0.0009041i
-0.00059839-0.00041724i,-0.00088799-0.00036799i,-9.8745e-05+0.00068702i,0.00067785+0.0013592i,0.001142+0.00098862i,0.0017295+0.00020047i,0.001219-0.00034672i,0.00043328-0.00027065i,0.00029341-0.00079835i,0.0003784-0.001251i,0.00037632-0.00034393i,0.00020959+0.00034399i,0.00014024+6.4239e-05i,-5.1849e-05+0.00011393i,-0.00024026-0.00037445i,-0.0008011-0.00077618i,-0.00049781-0.00085575i,0.00021661-0.00043374i,3.183e-05+0.00054529i,-0.00032088+0.00017139i,7.0577e-05-0.00075607i,0.00022655-0.00028451i,-0.00024995+0.0008436i
-0.00082888-0.00030206i,0.00033299+0.00064054i,-0.00075841+0.0020103i,-0.0015653+0.0021001i,-0.00017836+0.0012963i,0.0013152+0.001198i,0.0012096+0.00053872i,-8.0674e-05-0.00094334i,-0.00075911-0.0018051i,-0.00099098-0.0010581i,-0.00017594-0.00034651i,0.00044135-0.00052784i,0.00019282-0.00052211i,0.00031292-0.00043019i,0.00057018-0.00031655i,0.00057548-0.00025418i,0.0003759-0.00047383i,5.0854e-05-0.00060021i,-0.00060203-0.00026494i,-0.00069698-0.00011021i,-0.00049967+0.00031142i,-0.00018535+0.00019031i,-2.8615e-05-6.8564e-05i
-0.0006447+0.0001203i,-0.0012912+0.0011399i,-0.0012272+0.00076207i,-0.00096835-4.0208e-05i,-0.00075344-3.6417e-05i,-0.00024802-0.00057274i,0.00036661-0.0012342i,0.0003793-0.001088i,-5.0274e-05-0.00091939i,-0.00057717-0.00057179i,-2.3118e-06-0.00014249i,0.0001507-0.00026663i,-0.00018201-0.00053723i,0.00013286+0.00037458i,9.4082e-05+0.0009756i,8.7289e-05+0.00059722i,0.00045054-0.00045225i,0.00020462-0.00027363i,-7.231e-07+0.00069034i,0.00072286+0.00032473i,0.0011769+0.00018228i,0.00074111+0.00038615i,-1.1987e-05+0.00021998i
0.00014633-0.00076574i,-0.00043542+0.00050562i,-0.00076682-0.00014153i,-0.0011098-0.0003388i,-0.00023172+0.0002164i,0.00049026-9.079e-06i,3.9763e-05-0.001177i,-0.0009144-0.0017576i,-0.001201-0.0016649i,-0.00096908-0.0009027i,1.414e-05+0.00068836i,0.0010258+0.0012377i,0.00076824+0.00082795i,0.00046992+0.00083297i,0.0013565+0.00037368i,0.0016304-0.00028626i,0.00071707-0.00044396i,-0.00019264-0.00032662i,-0.0003856-0.00033539i,6.8744e-05-0.00097607i,0.00035084-0.00083709i,0.00015438-0.0001162i,-0.000392+0.00022783i
0.00063171-1.8464e-05i,-0.00027457+0.00087392i,-0.00074845+0.00076252i,-0.00057706+0.00082879i,-9.4232e-05+0.00034098i,0.0004148+0.00029287i,0.00024239+0.00011199i,-0.00058498-0.00081279i,-0.00081241-0.0016263i,0.00014692-0.0011108i,0.0011899-0.00015722i,0.0017024+0.00032492i,0.00096447+0.00086672i,-2.5434e-05+0.00042578i,-0.00025475-0.00049015i,-0.0005543-0.00040692i,-0.00015955-0.00022542i,-4.1394e-05-0.00015793i,4.0838e-05+6.8308e-05i,0.00059358+5.1519e-05i,0.00014004+2.3862e-05i,-0.00022126+0.00017811i,-4.1776e-05-0.00040625i
0.00027786+0.00055077i,-0.00082341+0.00063047i,-0.00031618+0.0013465i,0.00019006+0.0015571i,9.4176e-05+0.00083556i,0.00057612+0.00012218i,0.00047664-0.00063494i,-0.00029758-0.0011081i,-0.0003464-0.0011355i,0.00013635-0.0010993i,0.0006173-0.001025i,0.00096561-0.00025453i,0.0011758+0.00019995i,0.0010108+0.00040151i,0.00031093-5.7917e-05i,-0.0001439-0.00090902i,-9.0895e-05-0.001136i,4.5737e-05-0.00091221i,0.00038147-8.5309e-05i,0.00015017+0.0007484i,-0.00029956+0.0010624i,-0.00028185+0.00040549i,-8.6821e-05-0.00051454i
0.00019597-0.00012016i,-0.00042739-0.00010603i,-0.0010995-0.00048846i,-0.0011369-3.9135e-05i,0.00013865+0.00078569i,0.0010005+0.0001214i,0.0013799-0.0011124i,0.0016478-0.0014144i,0.0005217-0.0013804i,-0.00053927-0.00085143i,0.00034567-0.00070697i,0.0019796-0.0013322i,0.001328-0.0014649i,-0.00015597-0.00083434i,0.00082152-0.00016333i,0.0010652+0.00051058i,0.00041351+0.00048926i,8.5727e-05-0.0004479i,-0.0001241-0.0010067i,0.00010928-0.0009113i,-0.00034446-0.00056779i,-0.00051362-0.00015917i,-0.00019926-0.0002111i
-0.0015469+0.0003621i,-0.0021044+0.0011247i,-0.0021953+0.0014618i,-0.001508+0.0016204i,8.9162e-05+0.0015984i,0.0010462+0.0011582i,0.00075396+3.478e-05i,-0.00051049-0.00086147i,-0.0012515-0.0006477i,-0.00039842-0.00084123i,-4.9442e-05-0.00074686i,-0.00056377-1.9383e-05i,-0.00021284+0.00013125i,6.0433e-05+0.00019561i,7.0105e-05+4.2183e-05i,0.00071473-0.00068685i,0.00033938-0.00069999i,-0.00019845-0.00031438i,0.00021984+3.9255e-05i,0.00065817-0.00010375i,0.00065501-0.00065306i,-0.00022016-0.00069087i,-0.00023625-0.00062773i
-0.00066299-0.00076582i,-0.0011799-0.0008283i,-0.0017684-0.0001747i,-0.00084019+0.00031166i,0.00011646+0.0002887i,0.00049006-0.00055591i,0.0011844-0.0010015i,0.00065683-0.00032984i,-0.00072966-0.00042679i,-0.00064707-0.00072344i,8.7772e-05-1.8041e-05i,1.8363e-05+0.00063739i,-0.00041989+1.5523e-05i,-0.00024425-0.0008755i,0.00052806-0.00060007i,0.00034905-5.627e-05i,-0.0013821+0.00015117i,-0.001629+0.00021277i,-0.00065673+2.2487e-05i,-1.9555e-05+4.5802e-05i,0.00067444+0.0001248i,0.00090639-1.6684e-05i,0.00072588-0.00079353i
-0.0025958+0.0012449i,-0.0010952-5.8397e-05i,-0.0013135+0.00043702i,-0.0012688+0.0016419i,0.00054612+0.0014955i,0.001406+0.00090717i,0.00085589-0.00035087i,-3.8516e-05-0.0012623i,6.8945e-05-0.00058251i,0.00046646+0.00016557i,0.00063293-0.00037108i,0.00085744-0.00081601i,0.00045229-0.00030039i,-0.00052642+0.00038654i,-0.000786+0.00011017i,-0.00031401-0.000698i,-0.00016553-0.00035769i,-0.00083518+0.00049575i,-0.00052805+0.00067813i,0.00030796+4.0654e-05i,0.00067899+1.8886e-05i,0.0006469+0.00024315i,0.00054727-9.7856e-05i
