-0.0011028-0.0019945i,-0.001805-0.0036957i,-0.0036143-0.002972i,-0.0043141-0.0022302i,-0.0038711-0.00098343i,-0.0027348+0.00036468i,-0.0014338+0.0016841i,-0.00066814+0.0026667i,-0.00041179+0.0023459i,0.00034368+0.0014226i,0.0011202+0.00032635i,0.0008455-0.0011359i,0.00063878-0.0012447i,0.00052631-0.00063612i,8.7219e-05-0.00032972i,0.00012839-1.1076e-05i,0.00023177+4.2153e-05i,-2.9015e-05-0.00020461i,-0.00031394-0.00046248i,-0.0003862-0.00062796i,-0.00034244-0.00040819i,-0.0003486-2.2446e-05i,-9.1885e-05+3.6102e-05i
-4.8303e-05-0.0019509i,-0.001283-0.0021402i,-0.002901-0.0018165i,-0.0028306-0.00077815i,-0.0024134+0.00081531i,-0.0019421+0.0011982i,-0.00031811+0.00021797i,7.6557e-05-0.00060298i,-0.0014862-0.00055163i,-0.0022763-0.00062655i,-0.0015208-0.00088713i,-0.0010577-0.00052327i,-0.00051783-6.59e-05i,8.2806e-05-3.7828e-05i,0.00034526-0.00025703i,0.00017419-0.00019118i,0.00028261+0.00030108i,-0.0001792+0.00067014i,-0.00054081+0.00031097i,9.7236e-05-0.00015504i,0.00074779-9.5552e-05i,0.00065331+1.1508e-05i,-0.00026731+0.00031181i
0.00019133-0.00027113i,-0.00019075-0.0018774i,-0.001755-0.0027917i,-0.0025009-0.0016319i,-0.0021768-0.00028262i,-0.0014436+0.00049248i,-0.00076842-0.00018949i,-0.00033114-0.0010786i,-0.00052588-0.00079107i,-0.00093567-0.00026089i,-0.00029726-0.00047391i,-0.00032226-0.0007055i,-0.00059201-0.00036013i,-0.00022151+0.00048418i,-0.00062583+0.00079123i,-0.00099479-2.9817e-05i,-0.00081691-0.00083146i,-0.000652-0.00092859i,-0.00044392-0.00017557i,-0.00046779-6.5972e-06i,-0.0010618+0.00044416i,-0.00054851+0.0005618i,-7.1226e-05+0.00040312i
-7.1393e-05-0.00070128i,-0.00089484-0.00067827i,-0.0023289-0.00083755i,-0.0030772+0.00018696i,-0.0027518+0.00057459i,-0.0019246-0.00057444i,-0.0015378-0.00029327i,-0.0019354+0.00078257i,-0.0018245+0.000415i,-0.0012623+0.0002235i,-0.00089679+0.00041784i,-0.00092151+0.00057776i,-0.00019162+0.00017309i,0.00056708+0.00024987i,0.00020743+0.0001278i,-0.00042096-0.00030897i,-0.00019225-0.00012922i,0.00060711-0.00017721i,0.0010581-0.00067217i,0.00074969-0.00095682i,0.00034269-0.001028i,4.0088e-05-0.00037503i,-0.00018321-0.00040931i
-0.0005794-0.0022721i,-0.0009968-0.0022112i,-0.0017085-0.0014479i,-0.0022364+0.0001396i,-0.0024251+0.0004337i,-0.0018691-0.00050503i,-0.00082184-0.00097527i,-0.00020462-0.00093096i,-0.00091198-0.00040899i,-0.0015672+0.00055734i,-0.0009342+0.00082767i,-0.00032897+0.00030894i,-9.3921e-05-0.00010313i,9.3521e-06-0.00028224i,-8.5364e-06+0.00012153i,-0.00060069+0.0002401i,-0.0011863-1.888e-05i,-0.00061492+2.5498e-05i,-0.00030601+0.00035678i,-0.00035141+0.00024386i,0.00032498-6.4916e-05i,0.00087547-0.00028083i,0.00062234+0.00012915i
-0.00056529-0.00041271i,-0.0017876-0.00060856i,-0.0023482-0.00075171i,-0.0021759-0.00063681i,-0.002116-0.00050496i,-0.0013026+0.0003108i,-0.00024291+0.0009357i,7.0526e-05-0.00010577i,-0.00036423-0.00042104i,-0.00088845-0.00022515i,-0.00073312-0.00048568i,-0.00042537+0.00012428i,-0.0002147+4.6269e-05i,0.00023562-0.0005392i,0.00086198-0.00014666i,0.00034878-0.00024983i,-0.00067233-0.00070685i,-0.00070418-0.00062213i,-2.9631e-05+0.00011183i,0.00064364+0.00048001i,0.00012631+7.1823e-05i,4.725e-05-0.00035873i,0.00075603-0.00010395i
-0.0025763-0.00034851i,-0.0017625-0.0023866i,-0.001761-0.0014807i,-0.0016281-0.0007542i,-0.0010135-0.00072499i,-0.00041302-0.00052833i,-0.00057795+4.4543e-05i,-0.0011751+0.0011352i,-0.00090554+0.0013773i,-0.00043133+0.00043386i,-0.00020615-0.00050935i,-0.00058284-0.00080434i,-0.00056358-0.00035847i,-0.00021587+0.00017447i,-0.00037994+0.00059411i,-0.00039837+0.00068213i,0.00013686+0.00057512i,-0.00024354+0.00048935i,-0.00035434+0.00023178i,0.00050536+0.00015111i,0.00047619+5.7271e-05i,7.9528e-05+0.0004163i,-0.00052092+0.0010361i
-0.0013772-0.0028399i,-0.00086423-0.0032316i,-0.001629-0.0024963i,-0.0019352-0.0013553i,-0.001651+0.0003246i,-0.0012747+0.0021183i,-0.00071779+0.001952i,-0.00068419+0.00097488i,-0.0013782+0.00082689i,-0.0012832+0.0012241i,-0.00039884+0.00032559i,4.9774e-05-0.00079649i,-2.0344e-05-0.00075753i,0.0003771+2.6347e-05i,0.00091821+0.00044965i,0.0006662+0.00045907i,3.2975e-05+0.00045377i,-0.00035867+0.0002431i,-0.00035575+0.00060728i,-8.7374e-05+0.0010729i,-0.00031873+0.0007796i,-3.9667e-06+0.00017728i,0.00010522+0.00028056i
-0.0015866-0.0018819i,-0.001342-0.0014895i,-0.0024652-0.00018281i,-0.0033015+0.00019955i,-0.0024543+0.00035164i,-0.00076568+0.00054895i,-0.00026661+0.0013819i,-0.0010298+0.0018464i,-0.001197+0.00031014i,-0.00080015-0.00077687i,-0.00091096-0.00026846i,-0.0003636-3.9777e-05i,0.00069348-0.0003341i,0.0007656-0.00034665i,0.00025018-0.00017971i,-0.00045265-0.0006154i,-0.00042314-0.0005308i,0.00016355-0.00020828i,0.00074325-0.00011868i,0.00064949-0.00044133i,0.00044681-0.00081855i,0.00028903+0.00038538i,3.0529e-05+0.0011342i
-0.0015134-0.0017802i,-0.0026792-0.002948i,-0.004202-0.00297i,-0.0041652-0.0013326i,-0.0031337-0.00018884i,-0.0017774+0.00056448i,-0.00062816+0.0002343i,-0.00045642-0.00048474i,-0.0016473-0.00054316i,-0.0019824-0.00034649i,-0.0010362+0.00014789i,-0.00084565+0.0010866i,-0.0010785+0.0013281i,-0.0010568+0.00054169i,-0.0010787-0.00026473i,-0.00028426-0.00051622i,0.0002444-0.00052664i,0.00054675-0.00074116i,0.00083887-0.00012827i,0.00021283+0.00035125i,0.00017502+0.00031318i,0.00052587-0.00015148i,-0.00039999-0.00047338i
-0.00055612-0.0019505i,-0.0003099-0.0017696i,-0.002024-0.0021566i,-0.0035911-0.0013135i,-0.0034698+0.00018432i,-0.0025164+0.0011498i,-0.0012743+0.001422i,-0.00095066+0.00022173i,-0.0013753-0.00056788i,-0.0012904-0.00016046i,-0.0010411-1.4865e-05i,-0.00073849-0.00025763i,-0.00017673-0.00037033i,0.00036216-0.00027249i,0.00041244-0.00062001i,0.00066023-0.00060399i,0.00070222-0.00023164i,-0.000438-0.00050438i,-0.00081479-0.00051415i,0.00012774-8.8758e-05i,0.00051578+0.00049447i,-9.0346e-05+0.00019699i,-0.00045668+0.00017404i
