-0.0012466+0.0012536i,-0.00098189+0.0019146i,-0.0019467+0.001632i,-0.0027032-3.3645e-05i,-0.002527-0.00091105i,-0.0017175+0.00030518i,-0.00047456+0.0016758i,0.00086493+0.0018444i,0.0017984+0.0015608i,0.0018758+0.00074633i,0.00178+0.00082856i,0.0010489+0.0007483i,8.7444e-05+0.00017188i,-0.00026846+0.00017623i,-0.00056002-0.00018398i,-9.0609e-05-0.0006704i,0.00020225-0.00055221i,0.00054259-0.00027024i,0.00028397-0.0001572i,-0.00036001-0.00014409i,-0.00017449-0.00011726i,-0.00022237-1.0532e-05i,-0.00041146-0.00060412i
0.00058761-0.0001976i,0.00094431-0.00099074i,0.0011135-0.00090127i,0.001244-0.00076553i,0.0010541-0.00071217i,0.00052721-0.00052979i,0.00033485+0.00070373i,0.00024426+0.0016612i,0.0002498+0.0015586i,0.00032021+0.00035764i,-0.00030243+7.9583e-05i,-0.0010495+0.0004865i,-0.00018125+9.5338e-05i,0.0004802-0.00037312i,0.00033815-5.7204e-05i,0.00018158+0.00050352i,-0.0002438-2.3665e-05i,-0.00087715-0.00085401i,-0.00097222-0.0012417i,-0.00043886-0.00080688i,-0.00014579-2.0454e-05i,-0.00051664-9.7937e-05i,-0.00038774-0.00023044i
-0.00055099+0.00059731i,-0.001045+0.00046315i,0.00026305+0.0011799i,0.0015361+0.001223i,0.0012822-5.9869e-05i,1.4697e-05-0.00089351i,-0.00065056-3.6489e-05i,8.0236e-05+0.00080202i,0.0012281+0.00094429i,0.00084555+0.00061421i,0.00081695+1.214e-05i,0.00091708-0.00031926i,1.138e-05-0.00057566i,-0.00073812-0.00050145i,-0.00061951-0.00053141i,0.00026854-0.00083537i,0.00082312-0.00085279i,0.00047809+0.00031104i,0.00012084+0.00088225i,-0.00012337+0.00016391i,-0.00037703-0.00031077i,-0.00066035+5.5055e-05i,-0.0004763+0.00031668i
0.00066405+0.0013133i,0.00075729+0.0013166i,0.00052332+0.0016668i,0.00047858+0.00096939i,0.0013022+0.00078065i,0.0013696+0.00024967i,0.00025243+0.00017692i,-0.00036751+0.0015505i,0.00035098+0.0019364i,0.0011226+0.0012242i,0.0013386+0.0006392i,0.00079236+0.00039814i,3.7959e-06+0.00047066i,-0.0011498+0.00062402i,-0.0018511+0.00022923i,-0.0014717+0.00020248i,-4.5792e-05+0.00012254i,0.0015733-0.00047505i,0.0012033-8.9556e-05i,-1.2575e-05+4.2165e-05i,-0.0004725-0.00016964i,-0.00040996-0.0004555i,0.00033854+0.00028426i
-6.2014e-05+0.00017432i,-0.00091766+0.0010315i,-0.0014909+0.00062658i,-1.2801e-05+0.00057895i,0.0011158+0.0015714i,0.00094981+0.0011435i,0.00053003+0.00052974i,0.00011485+0.0012105i,0.00014283+0.0015951i,0.00048222+0.00036724i,0.00041954-0.0004522i,1.617e-06-0.00034756i,0.00023395-0.0003759i,0.00059655-0.00014333i,0.00073894+0.00037597i,-1.5499e-05+0.0005002i,-0.00072223-0.00021606i,-0.00038085-0.00091535i,-0.0002062-0.00041082i,-0.00046696+0.00032929i,-0.00066048+0.00027714i,-0.00067705+8.3671e-05i,-0.00025231-0.0002799i
0.00047332+0.00085173i,0.0013089+0.0012257i,0.0019781+0.00096479i,0.0018364+0.00036682i,0.00084383-0.00071233i,0.00071588-0.0013995i,0.0010373-0.0010199i,0.0014822-0.00044958i,0.0017936+0.00035333i,0.00077823-8.8026e-05i,-0.00058467-0.00013679i,-0.00072348+0.00032224i,-0.00029333+0.0002996i,-3.1669e-05+0.00035378i,-0.00064846+0.001181i,-0.00076239+0.0010392i,-0.00020491-0.000595i,-0.00025454-0.0014253i,1.5432e-05-0.001025i,2.2834e-05-8.6492e-05i,-0.00039476+0.00036817i,-0.00029263+0.00039801i,-5.4787e-05-0.000147i
0.00077374-9.0767e-05i,0.0004831-0.00012449i,0.00027013-0.0011257i,0.00027108-0.0010386i,7.3955e-05-0.00044917i,-0.00092242-0.00038861i,-0.0014128-0.00016743i,-0.0010439-0.00022338i,-0.0007336-5.6506e-05i,-0.00032792+9.0249e-05i,0.00065357-0.00032563i,0.0010355+7.8772e-05i,0.00025767+8.5074e-05i,-0.00060533-0.00032367i,-0.00094177-0.00080429i,-0.00050513-0.0011376i,0.0001437-0.00034259i,8.9639e-05-4.8222e-05i,7.8982e-05-0.00035608i,2.5833e-05+0.00025277i,-0.00047817+0.00038241i,-0.00061272+0.00037461i,1.3669e-05+0.00055157i
-0.00044103+0.0010517i,-0.00071295+0.00029238i,-0.00092489+0.00090438i,-0.00064643+0.0014907i,6.9476e-05+0.00065639i,0.00095061+0.00038143i,0.00090212+0.00073207i,0.0005789+0.0009491i,0.000518+0.0014233i,0.0011515+0.00065653i,0.0012856-0.00030874i,0.00032645+0.00028821i,9.9739e-05+0.00043033i,9.9948e-05+0.0002345i,6.3735e-06+0.00036083i,0.00013696-0.0003934i,-0.00054796-0.00042362i,-0.00037324-0.00034257i,0.00027746-0.00074443i,-0.0001435-0.00097162i,-0.00033695-0.00019649i,0.00013657+0.00040675i,2.9618e-05+4.6092e-05i
-0.00038004-0.00041699i,0.0005797-0.00092639i,0.00017423-0.0013891i,-0.00019196-0.0011697i,0.00038866-0.00013045i,0.00081911-0.00023312i,0.0010431-0.00056672i,0.00068785+8.5089e-05i,6.5855e-06+0.0007823i,-0.00031777+0.00038333i,-0.0001865-0.00073504i,9.2956e-05-0.00038628i,0.00026901+0.00078449i,0.00024987+0.00059536i,0.00026304-0.00011247i,0.00026599-0.00092289i,0.00036299-0.00074776i,4.4561e-05+0.00022274i,-2.6899e-05+0.00077395i,0.00074995+0.00020778i,0.00089184-0.00022226i,0.00070097-5.7089e-05i,0.0005643+2.8405e-06i
-0.00012514+0.0001175i,-0.0011688+0.0010053i,-0.0013299+0.00068355i,-0.00045485-0.00031916i,-0.00078394+9.2642e-06i,-0.00083557+0.00042011i,-0.00042162+0.00062257i,0.00022858+0.00084933i,0.00084796+0.0007482i,0.0010597+0.00024795i,0.00049223+0.00020209i,2.8505e-05+0.00027714i,-0.00034701+7.9603e-05i,-0.0011037-0.00017343i,-0.00087962-0.00030636i,-5.4544e-05-0.00029655i,2.672e-06-0.00013198i,-0.00011827+0.00016385i,-0.00024058+0.00036981i,-0.00051712+0.0004188i,-0.00012625+0.00042915i,0.00027415+0.00011043i,-0.0004151-0.00048875i
0.0011676-0.00034408i,0.0010622-4.46e-05i,0.00088702+0.00019844i,-0.00019887-0.00035465i,-0.00096239+2.4877e-05i,-0.00049785+0.00092472i,-6.6561e-05+0.0012771i,0.00041748+0.00097629i,0.00049796+0.00044779i,0.00034207+0.00038766i,0.00043181+0.00077409i,0.00021327+0.0007696i,6.3639e-05+0.00045277i,-0.00011442-0.00037207i,-0.00042853-0.00077191i,-0.0004486-0.00053181i,0.00011495+0.00011162i,0.00063599+0.00049016i,0.00033412+0.00021853i,-0.0004849-2.6523e-05i,-0.00047355-6.8826e-07i,-0.00043521+0.000634i,-0.0010389+0.0011972i
