-0.001315+0.0025166i,-0.0011852+0.0011107i,-0.0014752+0.00075969i,-0.0019782+0.0004961i,-0.0021642+0.00093854i,-0.0023216+0.0016182i,-0.0023175+0.0020334i,-0.0012353+0.0013639i,0.00051695-0.00021062i,0.0010091-0.0010923i,0.00061592-0.0009411i,0.00043257-0.00020271i,0.00040209-0.00021862i,0.00025277-0.00070831i,-6.6728e-05-8.7055e-05i,-0.00028375+0.00067135i,-0.00024732+4.2698e-05i,-1.4733e-05-0.00017191i,0.00020727+0.00026152i,0.00011726+0.0004857i,5.166e-05-0.00035575i,-0.00032136-0.0012015i,-0.0006206-0.00072738i
0.0021353+0.00084672i,0.0017362+0.00083895i,0.0015582+0.00027288i,0.00080065-0.00014107i,-0.0010785-0.00077429i,-0.0023284-0.0008606i,-0.0019766-0.00017187i,-0.00060441+2.1203e-05i,0.0003188+8.6964e-05i,-1.0073e-05+5.678e-05i,-9.2912e-05+0.00028837i,0.0002424-0.0002847i,-0.00026872-0.00054505i,-0.00086333+9.794e-05i,-0.00082863-0.00011792i,-0.00074435-0.00066658i,-0.00077477-0.00016755i,-0.00024385-0.00045633i,0.00017623-0.001155i,-0.00015168-0.0005913i,0.00027652+0.00010287i,0.00076833+7.3792e-05i,-0.00012123+0.0002435i
-0.00024693+0.003874i,0.0014091+0.0024416i,0.0027233+0.0015187i,0.0025089+0.0015584i,0.0006906+0.0006851i,-0.00034715-0.00055737i,-0.00089361-0.00055303i,-0.00096231-8.465e-05i,0.00051431+0.00042439i,0.0013432+0.00033042i,0.00086818-0.00013114i,0.00028141-0.00015554i,-0.00052217-0.00011776i,-0.0011268-0.0010326i,-0.00047524-0.0013188i,0.00055147-0.00031854i,0.00043801-0.0001554i,-0.0003122-0.00037082i,-0.00079073+0.00012598i,-0.00087355+0.00023527i,-0.0010292-9.9194e-05i,-0.00047286+0.00026385i,0.00012369+0.00074679i
-0.0010947-0.0024931i,-0.0025062-0.0019967i,-0.0031659-0.00082853i,-0.0031559+0.00051791i,-0.0029065+0.00079924i,-0.0025511+0.00067393i,-0.002153+0.00067063i,-0.0014246+0.00083438i,-0.00033842+0.000589i,0.00020566+0.0006429i,0.00023705+0.0012574i,0.00057267+0.0013605i,0.000853+0.0010536i,0.0007922+0.0011713i,0.00073699+0.0012592i,0.00028646+0.00084121i,7.9251e-05+0.00048007i,0.00019256-2.9739e-05i,0.00049332-0.00063647i,0.00039666-0.0011119i,0.00026784-0.0010084i,-0.00029319-4.3118e-05i,-0.00013476+0.00047322i
0.001661-0.00077984i,0.00073313-0.00085214i,-0.00025225-7.8709e-05i,-0.0012445+0.00063211i,-0.0015025+0.00054757i,-0.0011146+0.00062327i,-0.00098126+0.0010765i,-9.3887e-05+0.00099029i,0.00065822+0.00041026i,0.00038614+0.00067058i,0.00036943+0.0004108i,0.00055024-7.011e-05i,-0.00037003+0.00033691i,-0.0012182+0.0002366i,-0.00046854+0.00047434i,0.00022621+0.0011536i,-0.00036667+0.0014407i,-0.00040617+0.00062208i,0.00041459+0.00013357i,0.00047614+1.226e-05i,0.00056152-5.6748e-05i,0.00060221-0.00078325i,0.00018527-0.00095954i
-0.00083577-0.0003403i,-0.00055195-0.0014104i,-0.00011976-0.0012384i,-0.00016072-0.0001779i,7.2023e-05+8.4429e-05i,-0.00056816-2.842e-05i,-0.00051305-2.1829e-05i,0.00030315+7.1882e-05i,0.00022182-0.00025793i,0.00076269+0.00016372i,0.0010381+0.00077893i,0.00055633-0.00026353i,0.00018289-0.00075847i,6.2105e-05-0.00046919i,0.00089779-0.00041289i,0.0014288-0.00021242i,0.00037578-0.00029294i,-0.00029562-0.00033032i,-0.00054746-0.00024417i,-0.00052771+0.00019045i,0.00013984+0.00075489i,0.00067077+0.00012113i,8.624e-05+6.0006e-05i
0.00069954+0.00023531i,0.0017422+0.00054576i,0.0017603+0.00051506i,0.00060212-7.4781e-05i,-0.00061194+0.00034067i,-0.0014096+0.00086714i,-0.00093045+0.0006737i,0.00012857+0.00044174i,0.00024448+0.00045048i,-0.00033944+0.00020353i,-2.6498e-05+0.00023049i,0.00050655+0.00028056i,-1.8086e-05-0.00016666i,-0.0001047+0.00023945i,0.00034216+0.00093267i,0.00015592+0.00052226i,-0.00041179+0.00015076i,-0.00098741+0.00050091i,-0.0006661+0.00080947i,5.0442e-05+0.00048518i,0.00012688+0.00010422i,-0.00032775-0.00070871i,-0.00015294-0.00073294i
-0.00051553-0.00030281i,-0.0016498-0.00045831i,-0.0015146-0.00015009i,-0.00042741+4.9005e-05i,0.00023213+0.00071116i,-7.648e-05+0.0010565i,-0.00032875+0.00084986i,-0.00030736+0.00095114i,-0.00033424+0.00072238i,-0.0002226+0.00023962i,0.0004295+0.00020084i,0.0010501+3.7381e-05i,0.00041601-0.00065819i,-0.000485-0.00097374i,-0.00030252-0.00020764i,-0.00034064-0.00019354i,-0.00074455-0.000544i,-0.00016862-0.00048455i,0.00042786+0.00014255i,2.3743e-05-0.00036902i,-0.00040227-0.0011388i,-0.00028698-0.00081384i,-0.00017257+0.0001898i
-7.0981e-06+0.0017171i,0.00022979+0.00067149i,0.0010529+1.209e-05i,0.00044877+0.00084891i,-0.00019954+0.00067309i,-0.00070662-0.00041849i,-0.0014209-0.00072833i,-0.0015063-4.3992e-05i,-0.0008291-0.00014461i,0.0003351-0.00025366i,0.00072797+0.00016196i,0.00015518+4.673e-05i,-6.6672e-05-0.00034213i,-0.00028187-0.0006089i,-0.00020099-0.00043439i,1.0995e-05-0.00017504i,-0.0001371-0.00035826i,0.00067821-0.00054475i,0.00093166-0.00061442i,0.00020251-0.00039319i,0.00049909-0.00020651i,0.0010856-0.00049798i,6.3016e-05-6.0889e-05i
0.00070637-0.0012665i,-0.00017962-0.0015346i,-0.0010348-0.0013537i,-0.00093707-0.00096088i,-0.0010402-0.00057828i,-0.0012862+0.00056057i,-0.0010128+0.0011216i,-0.00055071+0.0011035i,-0.00036762+0.00091167i,-8.7973e-05+0.0012891i,7.1759e-05+0.0015286i,1.4072e-05+0.00056963i,0.00017494+0.00025663i,-7.1671e-05+0.00052038i,-0.00031717+0.00053207i,-2.605e-05+0.00058449i,1.0942e-05+0.00031583i,0.00015588+0.00015204i,0.00012057-0.00012402i,-0.00025453-0.00060462i,8.1083e-06-0.00024325i,0.00039291+0.00013795i,-0.00016408+0.00031305i
0.00095089+0.0010034i,0.0005731+4.9611e-05i,0.00025071-0.0012135i,0.00018895-0.0015981i,0.00035556-0.00014331i,-0.00055644+0.00047772i,-0.0012797-8.2993e-05i,-0.0009848-0.00033854i,-0.00040801-0.0003937i,-5.2988e-05+3.5456e-05i,0.00028792+5.1836e-05i,0.0003282+0.00017472i,-9.3919e-05+0.0006026i,-0.00061598+0.00020096i,-0.00068389-0.00088485i,0.00010288-0.0014881i,0.00020003-0.00091518i,-0.00027976-0.00032558i,0.00023809+0.00034089i,0.00028652+0.00035619i,-5.023e-05-0.00012162i,0.00012274-0.00099324i,1.5457e-05-0.00091704i
