-0.00236+0.00093841i,-0.0030745+0.0007342i,-0.0034771+0.0014729i,-0.0023652+0.0012926i,-0.001342+0.0010237i,-0.00092408+0.00082928i,-0.00056151+0.001098i,7.2204e-05+0.0015816i,0.00080944+0.001629i,0.00067813+0.0008565i,0.00055453-0.00040521i,0.0004179-0.0009405i,0.00025286-0.00093746i,0.0003068-0.0010314i,8.1217e-07-0.0014492i,-0.0003747-0.00080536i,-0.00063844+0.00016483i,-0.00056259+0.00043117i,-0.00092934-0.00038543i,-0.001336-0.00018747i,-0.00067744+0.00043404i,0.00034327+0.00046097i,0.00049751+0.00023711i
-0.00031638-0.0011083i,0.00017473-0.0013789i,0.00036421-0.001662i,9.1661e-05-0.0011606i,0.00043674-0.00027515i,0.00075169+0.00013125i,0.00090263-0.00092506i,0.00025631-0.00074208i,-0.00065741+9.061e-05i,-0.0002674+0.00025212i,9.9671e-06+0.00024471i,8.7557e-05-7.7323e-05i,0.00016656-0.00021263i,2.752e-05+0.0002831i,0.00017108+0.00063579i,0.00057727+0.00058148i,0.0010095-0.00071577i,0.00072077-0.0015549i,-0.00017891-0.00090874i,-0.0005475-0.00027138i,-0.000561+0.00067753i,-0.0005119+0.0013303i,-5.8412e-05+0.0011401i
0.00057971-0.0002788i,0.00048567-0.00036388i,0.00064658-0.00018003i,-0.00022515+0.0011545i,-0.00055638+0.0010272i,0.00072884+0.00061674i,0.00093528+0.00017901i,1.698e-05-0.00019796i,-0.00049823-0.00044493i,-0.00056376+0.00016638i,-0.00023654+0.00076223i,-2.4336e-05+0.00067709i,0.00057108+0.00045784i,0.0010093-0.00045195i,0.00022643-0.00085927i,-0.00013277-0.00026486i,0.00020838+0.00030156i,-0.00018068-2.2721e-05i,-0.00060729-0.00032156i,-0.00027313-0.000543i,0.00046264-0.00062874i,0.00036077-0.0002889i,-0.00031117-0.00051867i
-0.00078465-0.00089167i,-0.0021342+0.00053991i,-0.0018409+0.00086138i,-0.00023378-0.00017826i,0.0007111-0.00071196i,0.0012095-0.00068298i,0.00086028-0.0014809i,0.00048097-0.0014571i,0.00025097-0.00072033i,-0.00019752-0.00051643i,-0.00064778+0.00012501i,-0.00086341+0.00040283i,-0.00046022-0.00058057i,0.0005741-0.0017272i,0.00080687-0.0015937i,0.00034326-0.00080672i,0.00043186-0.00048222i,0.00027202+2.2788e-05i,-0.00035974-4.7765e-05i,0.00022152-0.00092719i,0.0010049-0.00080493i,0.00099687-0.00010209i,0.00039423-0.00018534i
0.00047106-0.001017i,0.0013992-0.0023556i,0.00073001-0.002163i,-0.00055219-0.0010541i,-0.00073937-0.0011059i,-0.00092209-0.00102i,-0.00028949-0.00050438i,0.00093097-0.00052394i,0.0012597-0.00024056i,0.00022428+0.00046392i,-0.00040139+0.0004846i,-0.00019294+0.00041077i,4.6108e-05+0.00051208i,-0.0003763+0.00040263i,-0.00073579-0.00048105i,9.5729e-05-0.0013064i,0.00077969-0.00083712i,0.0010808+7.1921e-05i,0.0003641+0.00012442i,-0.00014727+9.7498e-06i,-0.00015703+0.00068606i,-0.00030889+0.0012418i,0.00020668+0.00035166i
0.0022574-0.00093714i,0.0012297-0.0012258i,0.00067896-0.0028036i,0.0003859-0.0026068i,-7.1415e-05-0.00078279i,0.00060463-0.00097172i,0.0012549-0.0015311i,0.0015693-0.0011735i,0.001479-0.00056416i,0.00041948-0.00016948i,7.1364e-05+0.00011519i,-1.4261e-05+0.00022794i,-0.00099316-0.00030812i,-0.0011382-0.00044331i,-0.00068982+0.00020029i,-0.00021289+0.00048914i,9.7097e-05+0.00081163i,-0.00028165+0.00057204i,-0.00061027-0.00030848i,-0.00036353-0.00024669i,0.00010412+6.3456e-06i,0.00073019-0.00047933i,0.00071563-0.00066787i
0.00052034+0.0018531i,0.0019375+0.0016447i,0.0022889+0.0012249i,0.00068392+0.00060252i,-0.00043184+2.0082e-05i,-0.00094555-0.00050405i,-0.00091497-0.0009673i,-7.3508e-05-0.00016732i,0.00029172+0.00012289i,-0.00015753-0.00069134i,-0.00040827-0.0011093i,-0.00013211-0.00064047i,-6.84e-05-0.00021876i,-0.00033607-9.2114e-05i,-0.00041675+0.00020866i,6.4952e-05+0.00026918i,0.00071882+0.00040611i,0.0010259+0.00076283i,0.00071125+0.0012655i,9.1764e-05+0.00061638i,-6.4489e-05-9.0776e-05i,-1.8513e-05-0.00057994i,-0.0001024-0.0004563i
0.00050463-0.0017809i,-0.00024052-0.0023054i,-0.00075724-0.0028207i,-0.0014975-0.0023622i,-0.001201-0.0018296i,-0.00019102-0.0012504i,0.00081517-0.00063593i,0.0012839-0.00025954i,0.0013904+2.9665e-06i,0.0011343-5.43e-05i,0.0011632-1.4928e-05i,0.00055258+0.00032085i,6.8645e-05-1.0332e-05i,8.4228e-05-0.00055508i,3.2535e-05-0.0011353i,8.1608e-05-0.00069953i,-0.00020638+0.0001512i,-0.001022+0.00036189i,-0.00046736+0.00082373i,0.0010173+0.00058833i,0.00096664-0.00027623i,0.00046434-0.0006391i,0.00022483-0.00028142i
-0.00041176-0.00061887i,0.00062598-0.000219i,-0.00015538+0.0010792i,7.3919e-05+0.001424i,0.001338+0.00048033i,0.0014014-9.6512e-05i,0.00054971-0.00035595i,0.00034923-0.00070208i,0.00011951+1.8305e-05i,0.00020084+0.00081159i,0.00028109+0.0012773i,-0.0010262+0.0010608i,-0.00061124+0.00042298i,0.00037128+0.00031523i,0.00016531-7.762e-05i,-0.00038648-0.00028321i,-0.00049285-0.00067686i,0.00022051-0.00072141i,0.00058156+0.00026207i,0.0005544+0.00090967i,0.00062716+0.00075357i,0.00058066+0.00014516i,0.00079516-0.00045733i
0.00011658+0.00027298i,-0.00014091-0.0010119i,-0.00054804-0.0014373i,-0.0007381-0.0011393i,-0.00090765-0.00095118i,-0.0006156-5.6627e-05i,-0.00012964+0.00029937i,2.2718e-05-0.00061278i,0.00038407-0.00054454i,0.00042159+0.00014778i,-9.2597e-05+0.00077977i,-0.00018492+0.0010089i,-9.01e-05+0.00082429i,-0.00033189+6.6906e-05i,-0.0003752-0.00099865i,-0.00026333-0.00064919i,-0.00087321-5.0138e-05i,-0.0012982+0.00054855i,-0.0008515+0.00052833i,0.00012683+1.9068e-06i,0.00059465+0.00020839i,-7.8224e-05-0.000376i,-0.00060948-0.00027089i
0.002393+0.00058413i,0.0022179-0.00071033i,0.0013609-0.0017492i,0.0013659-0.00019647i,0.00061956+0.0010562i,-0.0002635+0.0010136i,-0.00033231+0.00024843i,-0.00032259+0.00028539i,-0.00099379+7.4953e-05i,-0.0010884-0.00050265i,0.00010365-0.00031263i,0.00038099-0.0004929i,-0.0002336-0.00027781i,-0.00031624+0.0002085i,-0.00031952-0.00043533i,-0.0002605-0.00019455i,-0.00034814+0.00031297i,-0.00042232+0.00039969i,-5.561e-05+0.0006743i,0.00016458+0.00066581i,0.00013375+0.00055337i,-0.0001348+0.00045631i,-0.00010264-0.00034466i
-0.00014413+0.00098012i,-0.00095352+0.00081936i,-0.00033699+0.00036916i,-0.00038543+0.00034008i,-0.00011642+0.00038844i,0.00068142+0.00030631i,0.00057103-4.0942e-05i,-5.6081e-05-0.00038562i,-0.0011536-3.4557e-05i,-0.0019581+0.00084826i,-0.0018612+0.0007424i,-0.00078518+0.00052117i,0.00011237+0.0010498i,3.7093e-05+0.00074585i,8.609e-05-0.00048274i,0.00083592-0.00050661i,0.0014235-0.00074792i,0.0012499-0.0011549i,0.0013306-0.00061347i,0.00079004-4.2782e-05i,-0.00013027-0.00041663i,-0.00016387-0.00057473i,0.00082379-0.00041928i
9.8202e-05-0.00039072i,-0.00023805-0.00053428i,-7.8743e-05-0.0011837i,0.00035541-0.00098819i,0.00062562-0.00063007i,0.00098792-0.00051659i,0.0010095-0.00079521i,0.00053219-0.00045256i,0.00056783-0.00043493i,-7.7872e-05-0.00051176i,-0.00033098-9.8543e-06i,-0.00017484+0.00043964i,-0.00025691-0.00022059i,-0.00021651-0.00010214i,-0.00067934+0.00063336i,-0.00057093+0.00095996i,-0.00027789+0.00063186i,5.9376e-05-0.0006885i,-4.1042e-05-0.00056378i,-0.00097783+7.1265e-05i,-0.0013979-8.7565e-05i,-0.0013915+0.00040089i,-0.00098691+0.00055877i
0.0014324-0.00053597i,0.0013211-0.00045767i,-0.00016524-0.00049358i,-0.0012951+0.00037381i,-0.0014026+0.00069459i,-0.00090335+5.2583e-05i,-0.00030802-0.00084805i,0.00011804-0.00080992i,-6.9499e-05-0.00032884i,-1.099e-05-0.000137i,0.00010094+0.00033945i,-0.00033206+0.00014461i,-0.00023831-0.00044277i,-0.00059033+0.0001582i,-0.00068861+0.0010332i,-0.00018059+0.0010442i,-0.00059616+0.00029075i,-0.00081114-0.00078109i,-0.00037605-0.001221i,0.00020899-0.00037491i,0.00092795+0.00048118i,0.00065484-7.9672e-05i,0.00010323-0.00045301i
-0.00053182+0.0011255i,-0.00018678+0.00056596i,0.00088623+0.00029876i,0.0008776+0.00014932i,6.1912e-05+5.0145e-05i,-0.00090005-0.00045049i,7.6044e-05-0.00038911i,0.00076477+0.00014897i,-0.00024885-0.00047155i,-0.00092822-0.0007733i,-0.00085453-0.00062988i,-0.00077164-0.00077045i,-0.00035506-0.00075653i,-3.3622e-05-0.0011496i,-0.00051009-0.0018785i,-0.00034625-0.0014659i,-4.0132e-05-0.00086433i,-0.00042923-0.00033408i,-0.00041637+0.00023968i,0.00052928+0.00042991i,0.0006992+0.00080019i,-2.5966e-05+0.00074908i,-0.0002532+8.3205e-06i
-0.0028989+0.002399i,-0.0016767+0.0020125i,-0.00051838+0.0016963i,0.00081996+0.0011872i,0.0013648+0.00061379i,0.00088495-0.00067717i,5.9817e-05-0.00153i,-0.00035478-0.00061124i,0.00013341-0.00022611i,0.00097457-0.00065833i,0.001042-4.2085e-05i,0.00015276+0.00078374i,-0.00035332+0.00042811i,-0.00043046-0.00048804i,-0.0005886-0.0012874i,-0.00077452-0.0010346i,-0.0013057-0.00043627i,-0.0011872-0.0004182i,-0.00019087-2.0211e-05i,0.00017457+0.00025681i,7.9052e-05+0.00034264i,-0.00043237+0.00029266i,-0.00042584+5.2508e-06i
1.6136e-05-0.0012379i,-0.00048212-0.00066141i,0.00021416+0.00011845i,0.0004168+0.00053123i,5.5992e-05+0.00040572i,-0.00018909-0.0003669i,-8.8353e-05-0.0013795i,-0.00028507-0.0018358i,-8.7584e-05-0.0011809i,0.0003141-0.00022869i,0.00010223+0.00028452i,-5.5467e-05+0.00021747i,-0.00058117-0.00041782i,-0.00067006-0.00044852i,-0.00046185-0.00047326i,-0.00061999-0.0011634i,-0.00032433-0.0013226i,-0.00027662-0.00012877i,-0.00064904+0.00033206i,-0.00098552+6.1188e-05i,-0.00052234+0.00030075i,0.00050403+0.00023391i,3.2166e-05-0.00015449i
0.00083448-0.00024077i,0.00099247+4.2443e-06i,0.00072243+0.00043132i,0.00043344+0.00034547i,0.00027886+0.00070878i,0.0012544+0.00015241i,0.0017892-0.00068327i,0.000842-0.00071843i,-0.0004832-0.00021937i,-0.000552+0.00034834i,-0.00023778-6.5126e-05i,-9.0383e-05-0.00067829i,-6.5288e-05-0.00045685i,0.00048277-0.00044803i,0.0010146+0.0001476i,0.00071962+0.0005095i,0.00076675+0.00038125i,0.00046524+0.00018649i,-9.3547e-05-0.00069552i,-0.00034992-0.0010899i,-0.00048776-0.00031977i,9.3454e-05+0.00044965i,0.00041323+0.00017605i
-0.00068373+0.00087149i,-0.0012104+0.00034011i,-0.00074903-0.0003879i,0.00084671-0.00084421i,0.0017846-0.00073926i,0.0018966-0.00056053i,0.0019963-0.00044071i,0.0010139-0.0005851i,-2.1733e-05-0.00055737i,-0.00023952+0.00016247i,-5.5857e-05+0.00069742i,0.00035143+0.00024081i,-0.00035568-0.00065667i,-0.00052963-0.0011958i,0.00038713-0.0012049i,0.00029464-0.00098631i,-0.00010299-0.00060996i,-0.00019853-0.00054758i,-2.1968e-05-0.00032179i,0.00023911+0.00016726i,0.00082208+0.00059086i,0.00064706+0.00052516i,8.5865e-05+2.1493e-05i
0.0012206+0.00021783i,0.0014257-0.00022915i,0.0015484+0.00034048i,0.0011451-0.00014904i,0.00062372-0.0018026i,-4.0647e-05-0.0018751i,-0.00038183-0.00083297i,1.9181e-06-0.0002923i,0.00022649-0.0001674i,0.00012107+0.00010993i,-0.00030627+0.00074931i,-0.00099869+0.00071545i,-0.00095683+0.00018829i,-0.00022716-0.00042988i,-0.00019787-0.00042632i,-0.0005-0.00013349i,-0.00055759+0.00022555i,-9.8406e-05-0.00024549i,0.00071128-0.0010675i,0.0010339-0.00068755i,0.00080213+0.00047437i,-0.00027029+0.00011603i,-0.00044881-0.00033588i
0.00045949-0.001501i,0.0014923-0.0010973i,7.443e-05+2.7282e-05i,-0.0007673+2.5015e-05i,0.00047699-0.00044586i,0.00074569-0.00086835i,-0.00040021-0.00080595i,-0.0013581-0.00058896i,-0.0014303-0.00059038i,-0.00091332-0.00061513i,-0.00046221-0.00016524i,-0.0011523+0.0002481i,-0.0010715+0.00030749i,0.00026493-0.00021821i,0.00088816-0.00073385i,0.00082617-0.00054861i,0.00058413-6.6921e-05i,0.00033794+0.00033005i,0.00038552+0.00015304i,-0.00013758-0.00049162i,-8.2481e-05-0.00035386i,0.00051164+0.00035714i,0.00075395+0.0013181i
0.0027364+0.0015914i,0.0027239+0.0013416i,0.0021861-9.3729e-05i,0.0017741-0.00058749i,0.00038717-5.5751e-05i,-0.00049858-0.00039894i,0.00020658-0.0010394i,-0.00045187-0.00069877i,-0.0013013-0.00056449i,-0.00054565-0.00054704i,-0.00018563-0.00054428i,-0.00022468-0.00074189i,-4.4423e-05-0.00062439i,-0.00043811-0.00085819i,-0.00087051-0.0012393i,-0.0011753-0.0010571i,-0.00083671-0.00064264i,-0.00071716-3.4732e-05i,-7.2509e-05+0.00010716i,0.00011699+9.7159e-05i,-0.00015736-0.00010529i,0.00059149-0.00057836i,0.00095732-0.00057597i
0.0003531+0.00069084i,-0.00010103-0.00036008i,-0.00011546-7.8642e-05i,0.000408-0.00039144i,0.00048795-0.001252i,0.00034153-0.0014788i,-0.00021081-0.00044593i,-0.00082255+0.00027654i,-0.00053112-1.5149e-05i,0.00021066-0.00045901i,0.00069459-0.00013721i,0.00046855+0.00038345i,0.00024601+0.00022141i,0.00017719-0.00034549i,-0.00023581-0.00066257i,-0.00022126-0.00045456i,-0.00015339-0.00064061i,-0.00015297-0.00084567i,-0.00033966-0.00025599i,-0.00043774-2.2953e-05i,-0.00011537-0.0003539i,0.00025816+0.0001112i,0.00015201+0.00038161i
